idx,ID,NAME,TEXT,Joie,Peur,Surprise,Tristesse,Admiration,Embarras,Jalousie,Autre,Colere,Degout,Culpabilite,Fierte,Comportementale,Designee,Montree,Suggeree,Base,Complexe,elongation,ironie,insulte,mépris / haine,argot,abréviation,interjection,ROLE,HATE,TARGET,VERBAL_ABUSE,INTENTION,CONTEXT,SENTIMENT,marker_type,marker_value,source_file
1,1,brice,parce qu'il est gros,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,bully,OAG,victim,DNG,AIN,OTH,NEG,punctuation,',CyberAdoAgg_gold_global_total_latest.xlsx
2,2,Thibaut,Mais frere t casiment aussi obèse que lui gros chien,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,victim_support,OAG,bully,NCG,DFN,AIN,NEG,word,mais,CyberAdoAgg_gold_global_total_latest.xlsx
2,2,Thibaut,Mais frere t casiment aussi obèse que lui gros chien,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,victim_support,OAG,bully,NCG,DFN,AIN,NEG,word,frere,CyberAdoAgg_gold_global_total_latest.xlsx
2,2,Thibaut,Mais frere t casiment aussi obèse que lui gros chien,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,victim_support,OAG,bully,NCG,DFN,AIN,NEG,word,t,CyberAdoAgg_gold_global_total_latest.xlsx
2,2,Thibaut,Mais frere t casiment aussi obèse que lui gros chien,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,victim_support,OAG,bully,NCG,DFN,AIN,NEG,word,casiment,CyberAdoAgg_gold_global_total_latest.xlsx
2,2,Thibaut,Mais frere t casiment aussi obèse que lui gros chien,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,victim_support,OAG,bully,NCG,DFN,AIN,NEG,word,aussi,CyberAdoAgg_gold_global_total_latest.xlsx
2,2,Thibaut,Mais frere t casiment aussi obèse que lui gros chien,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,victim_support,OAG,bully,NCG,DFN,AIN,NEG,word,obèse,CyberAdoAgg_gold_global_total_latest.xlsx
2,2,Thibaut,Mais frere t casiment aussi obèse que lui gros chien,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,victim_support,OAG,bully,NCG,DFN,AIN,NEG,word,que,CyberAdoAgg_gold_global_total_latest.xlsx
2,2,Thibaut,Mais frere t casiment aussi obèse que lui gros chien,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,victim_support,OAG,bully,NCG,DFN,AIN,NEG,word,lui,CyberAdoAgg_gold_global_total_latest.xlsx
2,2,Thibaut,Mais frere t casiment aussi obèse que lui gros chien,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,victim_support,OAG,bully,NCG,DFN,AIN,NEG,word,gros,CyberAdoAgg_gold_global_total_latest.xlsx
2,2,Thibaut,Mais frere t casiment aussi obèse que lui gros chien,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,victim_support,OAG,bully,NCG,DFN,AIN,NEG,word,chien,CyberAdoAgg_gold_global_total_latest.xlsx
3,3,brice,bah alors on a les nerfs?,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,bully,CAG,victim,OTH,ATK,DFN,NEG,word,bah,CyberAdoAgg_gold_global_total_latest.xlsx
3,3,brice,bah alors on a les nerfs?,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,bully,CAG,victim,OTH,ATK,DFN,NEG,word,alors,CyberAdoAgg_gold_global_total_latest.xlsx
3,3,brice,bah alors on a les nerfs?,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,bully,CAG,victim,OTH,ATK,DFN,NEG,word,on,CyberAdoAgg_gold_global_total_latest.xlsx
3,3,brice,bah alors on a les nerfs?,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,bully,CAG,victim,OTH,ATK,DFN,NEG,word,a,CyberAdoAgg_gold_global_total_latest.xlsx
3,3,brice,bah alors on a les nerfs?,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,bully,CAG,victim,OTH,ATK,DFN,NEG,word,les,CyberAdoAgg_gold_global_total_latest.xlsx
3,3,brice,bah alors on a les nerfs?,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,bully,CAG,victim,OTH,ATK,DFN,NEG,word,nerfs,CyberAdoAgg_gold_global_total_latest.xlsx
3,3,brice,bah alors on a les nerfs?,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,bully,CAG,victim,OTH,ATK,DFN,NEG,punctuation,?,CyberAdoAgg_gold_global_total_latest.xlsx
4,4,Thibaut,nn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,victim_support,NAG,,,CNS,ATK,NEU,word,nn,CyberAdoAgg_gold_global_total_latest.xlsx
5,5,Thibaut,mais c pas cool,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,victim_support,NAG,,,CNS,ATK,NEU,word,mais,CyberAdoAgg_gold_global_total_latest.xlsx
5,5,Thibaut,mais c pas cool,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,victim_support,NAG,,,CNS,ATK,NEU,word,c,CyberAdoAgg_gold_global_total_latest.xlsx
5,5,Thibaut,mais c pas cool,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,victim_support,NAG,,,CNS,ATK,NEU,word,pas,CyberAdoAgg_gold_global_total_latest.xlsx
5,5,Thibaut,mais c pas cool,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,victim_support,NAG,,,CNS,ATK,NEU,word,cool,CyberAdoAgg_gold_global_total_latest.xlsx
6,6,brice,vous faites pitié,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,bully,OAG,victim_support,DNG,ATK,CNS,NEG,word,vous,CyberAdoAgg_gold_global_total_latest.xlsx
6,6,brice,vous faites pitié,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,bully,OAG,victim_support,DNG,ATK,CNS,NEG,word,faites,CyberAdoAgg_gold_global_total_latest.xlsx
6,6,brice,vous faites pitié,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,bully,OAG,victim_support,DNG,ATK,CNS,NEG,word,pitié,CyberAdoAgg_gold_global_total_latest.xlsx
7,7,Thibaut,pk ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,victim_support,NAG,,,DFN,ATK,NEU,word,pk,CyberAdoAgg_gold_global_total_latest.xlsx
7,7,Thibaut,pk ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,victim_support,NAG,,,DFN,ATK,NEU,punctuation,?,CyberAdoAgg_gold_global_total_latest.xlsx
8,8,brice,tg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,bully,OAG,victim_support,OTH,ATK,DFN,NEG,word,tg,CyberAdoAgg_gold_global_total_latest.xlsx
9,9,Arthur,Oe pk tu parles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,bully_support,OAG,victim_support,OTH,ATK,DFN,NEG,word,oe,CyberAdoAgg_gold_global_total_latest.xlsx
9,9,Arthur,Oe pk tu parles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,bully_support,OAG,victim_support,OTH,ATK,DFN,NEG,word,pk,CyberAdoAgg_gold_global_total_latest.xlsx
9,9,Arthur,Oe pk tu parles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,bully_support,OAG,victim_support,OTH,ATK,DFN,NEG,word,tu,CyberAdoAgg_gold_global_total_latest.xlsx
9,9,Arthur,Oe pk tu parles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,bully_support,OAG,victim_support,OTH,ATK,DFN,NEG,word,parles,CyberAdoAgg_gold_global_total_latest.xlsx
11,11,julien,oe moi aussi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bully_support,CAG,victim_support,OTH,ATK,DFN,NEG,word,oe,CyberAdoAgg_gold_global_total_latest.xlsx
11,11,julien,oe moi aussi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bully_support,CAG,victim_support,OTH,ATK,DFN,NEG,word,moi,CyberAdoAgg_gold_global_total_latest.xlsx
11,11,julien,oe moi aussi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bully_support,CAG,victim_support,OTH,ATK,DFN,NEG,word,aussi,CyberAdoAgg_gold_global_total_latest.xlsx
12,12,brice,bon frerot raconte pas ta vie,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,bully,OAG,victim_support,OTH,ATK,DFN,NEG,word,bon,CyberAdoAgg_gold_global_total_latest.xlsx
12,12,brice,bon frerot raconte pas ta vie,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,bully,OAG,victim_support,OTH,ATK,DFN,NEG,word,frerot,CyberAdoAgg_gold_global_total_latest.xlsx
12,12,brice,bon frerot raconte pas ta vie,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,bully,OAG,victim_support,OTH,ATK,DFN,NEG,word,raconte,CyberAdoAgg_gold_global_total_latest.xlsx
12,12,brice,bon frerot raconte pas ta vie,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,bully,OAG,victim_support,OTH,ATK,DFN,NEG,word,pas,CyberAdoAgg_gold_global_total_latest.xlsx
12,12,brice,bon frerot raconte pas ta vie,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,bully,OAG,victim_support,OTH,ATK,DFN,NEG,word,ta,CyberAdoAgg_gold_global_total_latest.xlsx
12,12,brice,bon frerot raconte pas ta vie,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,bully,OAG,victim_support,OTH,ATK,DFN,NEG,word,vie,CyberAdoAgg_gold_global_total_latest.xlsx
13,13,julien,j'avoue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,bully_support,NAG,,,AIN,ATK,NEG,word,j'avoue,CyberAdoAgg_gold_global_total_latest.xlsx
13,13,julien,j'avoue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,bully_support,NAG,,,AIN,ATK,NEG,punctuation,',CyberAdoAgg_gold_global_total_latest.xlsx
14,14,julien,mais on t'as meme pas parler a toi,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,bully_support,NAG,,,OTH,DFN,NEU,word,mais,CyberAdoAgg_gold_global_total_latest.xlsx
14,14,julien,mais on t'as meme pas parler a toi,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,bully_support,NAG,,,OTH,DFN,NEU,word,on,CyberAdoAgg_gold_global_total_latest.xlsx
14,14,julien,mais on t'as meme pas parler a toi,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,bully_support,NAG,,,OTH,DFN,NEU,word,t'as,CyberAdoAgg_gold_global_total_latest.xlsx
14,14,julien,mais on t'as meme pas parler a toi,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,bully_support,NAG,,,OTH,DFN,NEU,word,meme,CyberAdoAgg_gold_global_total_latest.xlsx
14,14,julien,mais on t'as meme pas parler a toi,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,bully_support,NAG,,,OTH,DFN,NEU,word,pas,CyberAdoAgg_gold_global_total_latest.xlsx
14,14,julien,mais on t'as meme pas parler a toi,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,bully_support,NAG,,,OTH,DFN,NEU,word,parler,CyberAdoAgg_gold_global_total_latest.xlsx
14,14,julien,mais on t'as meme pas parler a toi,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,bully_support,NAG,,,OTH,DFN,NEU,word,a,CyberAdoAgg_gold_global_total_latest.xlsx
14,14,julien,mais on t'as meme pas parler a toi,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,bully_support,NAG,,,OTH,DFN,NEU,word,toi,CyberAdoAgg_gold_global_total_latest.xlsx
14,14,julien,mais on t'as meme pas parler a toi,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,bully_support,NAG,,,OTH,DFN,NEU,punctuation,',CyberAdoAgg_gold_global_total_latest.xlsx
15,15,Thibaut,mais frere t insulte Paul,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,victim_support,NAG,,,OTH,OTH,NEU,word,mais,CyberAdoAgg_gold_global_total_latest.xlsx
15,15,Thibaut,mais frere t insulte Paul,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,victim_support,NAG,,,OTH,OTH,NEU,word,frere,CyberAdoAgg_gold_global_total_latest.xlsx
15,15,Thibaut,mais frere t insulte Paul,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,victim_support,NAG,,,OTH,OTH,NEU,word,t,CyberAdoAgg_gold_global_total_latest.xlsx
15,15,Thibaut,mais frere t insulte Paul,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,victim_support,NAG,,,OTH,OTH,NEU,word,insulte,CyberAdoAgg_gold_global_total_latest.xlsx
15,15,Thibaut,mais frere t insulte Paul,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,victim_support,NAG,,,OTH,OTH,NEU,word,paul,CyberAdoAgg_gold_global_total_latest.xlsx
16,16,julien,psq il merite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,bully_support,OAG,victim,OTH,ATK,OTH,NEG,word,psq,CyberAdoAgg_gold_global_total_latest.xlsx
16,16,julien,psq il merite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,bully_support,OAG,victim,OTH,ATK,OTH,NEG,word,il,CyberAdoAgg_gold_global_total_latest.xlsx
16,16,julien,psq il merite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,bully_support,OAG,victim,OTH,ATK,OTH,NEG,word,merite,CyberAdoAgg_gold_global_total_latest.xlsx
17,17,brice,en même temps vu comme il est gros,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,bully,OAG,victim,DNG,AIN,ATK,NEG,word,en,CyberAdoAgg_gold_global_total_latest.xlsx
17,17,brice,en même temps vu comme il est gros,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,bully,OAG,victim,DNG,AIN,ATK,NEG,word,même,CyberAdoAgg_gold_global_total_latest.xlsx
17,17,brice,en même temps vu comme il est gros,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,bully,OAG,victim,DNG,AIN,ATK,NEG,word,temps,CyberAdoAgg_gold_global_total_latest.xlsx
17,17,brice,en même temps vu comme il est gros,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,bully,OAG,victim,DNG,AIN,ATK,NEG,word,vu,CyberAdoAgg_gold_global_total_latest.xlsx
17,17,brice,en même temps vu comme il est gros,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,bully,OAG,victim,DNG,AIN,ATK,NEG,word,comme,CyberAdoAgg_gold_global_total_latest.xlsx
17,17,brice,en même temps vu comme il est gros,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,bully,OAG,victim,DNG,AIN,ATK,NEG,word,il,CyberAdoAgg_gold_global_total_latest.xlsx
17,17,brice,en même temps vu comme il est gros,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,bully,OAG,victim,DNG,AIN,ATK,NEG,word,est,CyberAdoAgg_gold_global_total_latest.xlsx
17,17,brice,en même temps vu comme il est gros,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,bully,OAG,victim,DNG,AIN,ATK,NEG,word,gros,CyberAdoAgg_gold_global_total_latest.xlsx
18,18,julien,mskn il a pas d ami,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,bully_support,OAG,victim,OTH,ATK,DFN,NEG,word,mskn,CyberAdoAgg_gold_global_total_latest.xlsx
18,18,julien,mskn il a pas d ami,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,bully_support,OAG,victim,OTH,ATK,DFN,NEG,word,il,CyberAdoAgg_gold_global_total_latest.xlsx
18,18,julien,mskn il a pas d ami,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,bully_support,OAG,victim,OTH,ATK,DFN,NEG,word,a,CyberAdoAgg_gold_global_total_latest.xlsx
18,18,julien,mskn il a pas d ami,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,bully_support,OAG,victim,OTH,ATK,DFN,NEG,word,pas,CyberAdoAgg_gold_global_total_latest.xlsx
18,18,julien,mskn il a pas d ami,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,bully_support,OAG,victim,OTH,ATK,DFN,NEG,word,d,CyberAdoAgg_gold_global_total_latest.xlsx
18,18,julien,mskn il a pas d ami,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,bully_support,OAG,victim,OTH,ATK,DFN,NEG,word,ami,CyberAdoAgg_gold_global_total_latest.xlsx
19,19,Thibaut,Ah pk Si il ma moi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,victim_support,NAG,,,CNS,ATK,NEU,word,ah,CyberAdoAgg_gold_global_total_latest.xlsx
19,19,Thibaut,Ah pk Si il ma moi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,victim_support,NAG,,,CNS,ATK,NEU,word,pk,CyberAdoAgg_gold_global_total_latest.xlsx
19,19,Thibaut,Ah pk Si il ma moi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,victim_support,NAG,,,CNS,ATK,NEU,word,si,CyberAdoAgg_gold_global_total_latest.xlsx
19,19,Thibaut,Ah pk Si il ma moi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,victim_support,NAG,,,CNS,ATK,NEU,word,il,CyberAdoAgg_gold_global_total_latest.xlsx
19,19,Thibaut,Ah pk Si il ma moi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,victim_support,NAG,,,CNS,ATK,NEU,word,ma,CyberAdoAgg_gold_global_total_latest.xlsx
19,19,Thibaut,Ah pk Si il ma moi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,victim_support,NAG,,,CNS,ATK,NEU,word,moi,CyberAdoAgg_gold_global_total_latest.xlsx
20,21,julien,t payé combien ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,bully_support,CAG,victim_support,OTH,ATK,CNS,NEG,word,t,CyberAdoAgg_gold_global_total_latest.xlsx
20,21,julien,t payé combien ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,bully_support,CAG,victim_support,OTH,ATK,CNS,NEG,word,payé,CyberAdoAgg_gold_global_total_latest.xlsx
20,21,julien,t payé combien ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,bully_support,CAG,victim_support,OTH,ATK,CNS,NEG,word,combien,CyberAdoAgg_gold_global_total_latest.xlsx
20,21,julien,t payé combien ?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,bully_support,CAG,victim_support,OTH,ATK,CNS,NEG,punctuation,?,CyberAdoAgg_gold_global_total_latest.xlsx
21,25,Thibaut,c ta mere que je paye julien,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,victim_support,CAG,bully_support,OTH,DFN,ATK,NEG,word,c,CyberAdoAgg_gold_global_total_latest.xlsx
21,25,Thibaut,c ta mere que je paye julien,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,victim_support,CAG,bully_support,OTH,DFN,ATK,NEG,word,ta,CyberAdoAgg_gold_global_total_latest.xlsx
21,25,Thibaut,c ta mere que je paye julien,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,victim_support,CAG,bully_support,OTH,DFN,ATK,NEG,word,mere,CyberAdoAgg_gold_global_total_latest.xlsx
21,25,Thibaut,c ta mere que je paye julien,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,victim_support,CAG,bully_support,OTH,DFN,ATK,NEG,word,que,CyberAdoAgg_gold_global_total_latest.xlsx
21,25,Thibaut,c ta mere que je paye julien,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,victim_support,CAG,bully_support,OTH,DFN,ATK,NEG,word,je,CyberAdoAgg_gold_global_total_latest.xlsx
21,25,Thibaut,c ta mere que je paye julien,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,victim_support,CAG,bully_support,OTH,DFN,ATK,NEG,word,paye,CyberAdoAgg_gold_global_total_latest.xlsx
21,25,Thibaut,c ta mere que je paye julien,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,victim_support,CAG,bully_support,OTH,DFN,ATK,NEG,word,julien,CyberAdoAgg_gold_global_total_latest.xlsx
22,26,pierre83,vous voulez pas arreter au pire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,conciliator,NAG,,,CR,,NEU,word,vous,CyberAdoAgg_gold_global_total_latest.xlsx
22,26,pierre83,vous voulez pas arreter au pire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,conciliator,NAG,,,CR,,NEU,word,voulez,CyberAdoAgg_gold_global_total_latest.xlsx
22,26,pierre83,vous voulez pas arreter au pire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,conciliator,NAG,,,CR,,NEU,word,pas,CyberAdoAgg_gold_global_total_latest.xlsx
22,26,pierre83,vous voulez pas arreter au pire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,conciliator,NAG,,,CR,,NEU,word,arreter,CyberAdoAgg_gold_global_total_latest.xlsx
22,26,pierre83,vous voulez pas arreter au pire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,conciliator,NAG,,,CR,,NEU,word,au,CyberAdoAgg_gold_global_total_latest.xlsx
