marker_value,marker_type,Comportementale,Désignée,Montrée,Suggérée,total_count,P(Comportementale),P(Désignée),P(Montrée),P(Suggérée),entropy,normalized_entropy
nom,word,1,1,3,1,6,0.17,0.17,0.50,0.17,1.79,0.90
-,punctuation,34,22,39,91,186,0.18,0.12,0.21,0.49,1.79,0.89
yeux,word,4,2,1,5,12,0.33,0.17,0.08,0.42,1.78,0.89
frère,lemma,2,2,1,5,10,0.20,0.20,0.10,0.50,1.76,0.88
juifs,word,2,2,1,5,10,0.20,0.20,0.10,0.50,1.76,0.88
frère,word,2,2,1,5,10,0.20,0.20,0.10,0.50,1.76,0.88
vraiment,word,1,8,8,9,26,0.04,0.31,0.31,0.35,1.76,0.88
vraiment,lemma,1,8,8,9,26,0.04,0.31,0.31,0.35,1.76,0.88
chien,word,1,1,4,2,8,0.12,0.12,0.50,0.25,1.75,0.88
décider,lemma,2,1,1,4,8,0.25,0.12,0.12,0.50,1.75,0.88
filles,word,2,1,1,4,8,0.25,0.12,0.12,0.50,1.75,0.88
»,punctuation,22,12,3,23,60,0.37,0.20,0.05,0.38,1.74,0.87
«,punctuation,22,12,3,23,60,0.37,0.20,0.05,0.38,1.74,0.87
petit,word,7,5,2,13,27,0.26,0.19,0.07,0.48,1.74,0.87
grand,lemma,20,17,4,34,75,0.27,0.23,0.05,0.45,1.74,0.87
oeil,lemma,5,2,1,6,14,0.36,0.14,0.07,0.43,1.73,0.86
chien,lemma,1,1,4,4,10,0.10,0.10,0.40,0.40,1.72,0.86
arrêter,lemma,11,1,6,7,25,0.44,0.04,0.24,0.28,1.72,0.86
mettre,word,8,1,3,4,16,0.50,0.06,0.19,0.25,1.70,0.85
gros,word,6,4,21,8,39,0.15,0.10,0.54,0.21,1.70,0.85
',punctuation,29,21,114,104,268,0.11,0.08,0.43,0.39,1.69,0.84
air,word,5,1,1,3,10,0.50,0.10,0.10,0.30,1.69,0.84
gens,word,4,3,4,14,25,0.16,0.12,0.16,0.56,1.68,0.84
gens,lemma,4,3,4,14,25,0.16,0.12,0.16,0.56,1.68,0.84
nom,lemma,1,1,4,1,7,0.14,0.14,0.57,0.14,1.66,0.83
tête,word,4,3,1,9,17,0.24,0.18,0.06,0.53,1.66,0.83
jeunes,word,2,1,1,5,9,0.22,0.11,0.11,0.56,1.66,0.83
quelqu,word,2,1,1,5,9,0.22,0.11,0.11,0.56,1.66,0.83
",",punctuation,83,42,76,261,462,0.18,0.09,0.16,0.56,1.65,0.83
laisser,word,1,1,5,5,12,0.08,0.08,0.42,0.42,1.65,0.83
beaucoup,word,15,18,1,25,59,0.25,0.31,0.02,0.42,1.65,0.82
beaucoup,lemma,15,18,1,25,59,0.25,0.31,0.02,0.42,1.65,0.82
enfants,word,3,2,3,11,19,0.16,0.11,0.16,0.58,1.64,0.82
tête,lemma,5,3,1,10,19,0.26,0.16,0.05,0.53,1.64,0.82
enfant,lemma,3,4,3,14,24,0.12,0.17,0.12,0.58,1.63,0.82
laisser,lemma,2,1,8,7,18,0.11,0.06,0.44,0.39,1.63,0.82
vie,word,6,8,10,34,58,0.10,0.14,0.17,0.59,1.62,0.81
vie,lemma,6,8,10,34,58,0.10,0.14,0.17,0.59,1.62,0.81
pays,word,41,16,2,38,97,0.42,0.16,0.02,0.39,1.60,0.80
fois,lemma,3,2,3,12,20,0.15,0.10,0.15,0.60,1.60,0.80
fois,word,3,2,3,12,20,0.15,0.10,0.15,0.60,1.60,0.80
porter,lemma,9,2,1,4,16,0.56,0.12,0.06,0.25,1.59,0.80
service,lemma,0,1,1,1,3,0.00,0.33,0.33,0.33,1.58,0.79
"""",punctuation,2,2,2,0,6,0.33,0.33,0.33,0.00,1.58,0.79
électrique,word,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
indigner,lemma,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
égard,word,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
électrique,lemma,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
opposé,word,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
ouvert,word,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
égard,lemma,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
film,word,0,1,1,1,3,0.00,0.33,0.33,0.33,1.58,0.79
gronde,word,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
afin,lemma,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
gilets,word,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
froid,lemma,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
service,word,0,1,1,1,3,0.00,0.33,0.33,0.33,1.58,0.79
afin,word,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
présenter,lemma,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
ventre,lemma,1,1,1,0,3,0.33,0.33,0.33,0.00,1.58,0.79
troupeau,lemma,0,1,1,1,3,0.00,0.33,0.33,0.33,1.58,0.79
billy,word,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
billy,lemma,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
besoin,word,0,1,1,1,3,0.00,0.33,0.33,0.33,1.58,0.79
force,lemma,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
ventre,word,1,1,1,0,3,0.33,0.33,0.33,0.00,1.58,0.79
sauter,lemma,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
voter,lemma,2,2,0,2,6,0.33,0.33,0.00,0.33,1.58,0.79
voie,lemma,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
isoler,lemma,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
iran,word,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
fasse,word,1,1,1,0,3,0.33,0.33,0.33,0.00,1.58,0.79
engager,lemma,2,2,0,2,6,0.33,0.33,0.00,0.33,1.58,0.79
dommage,word,0,1,1,1,3,0.00,0.33,0.33,0.33,1.58,0.79
système,word,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
libertés,word,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
centrale,lemma,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
racont,lemma,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
animer,lemma,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
jaunes,word,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
noël,word,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
noël,lemma,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
royal,lemma,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
raconte,word,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
endroit,lemma,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
endroit,word,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
loups,word,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
utilisation,lemma,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
enfer,lemma,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
sévèrement,word,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
ressembler,lemma,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
sévèrement,lemma,1,0,1,1,3,0.33,0.00,0.33,0.33,1.58,0.79
profiter,word,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
profiter,lemma,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
utiliser,lemma,2,2,0,2,6,0.33,0.33,0.00,0.33,1.58,0.79
:,punctuation,3,0,3,3,9,0.33,0.00,0.33,0.33,1.58,0.79
utilisation,word,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
plaisanterie,word,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
plaît,word,0,1,1,1,3,0.00,0.33,0.33,0.33,1.58,0.79
plaisanterie,lemma,1,1,0,1,3,0.33,0.33,0.00,0.33,1.58,0.79
noir,lemma,8,2,2,14,26,0.31,0.08,0.08,0.54,1.57,0.79
choses,word,7,5,1,16,29,0.24,0.17,0.03,0.55,1.57,0.79
problème,lemma,4,2,2,12,20,0.20,0.10,0.10,0.60,1.57,0.79
fortement,word,4,3,0,3,10,0.40,0.30,0.00,0.30,1.57,0.79
fortement,lemma,4,3,0,3,10,0.40,0.30,0.00,0.30,1.57,0.79
ministre,lemma,4,3,0,3,10,0.40,0.30,0.00,0.30,1.57,0.79
trouver,lemma,7,1,3,13,24,0.29,0.04,0.12,0.54,1.56,0.78
religion,lemma,2,0,3,3,8,0.25,0.00,0.38,0.38,1.56,0.78
point,lemma,3,0,3,2,8,0.38,0.00,0.38,0.25,1.56,0.78
citoyen,lemma,3,3,0,2,8,0.38,0.38,0.00,0.25,1.56,0.78
soient,word,2,3,0,3,8,0.25,0.38,0.00,0.38,1.56,0.78
peu,word,9,34,3,12,58,0.16,0.59,0.05,0.21,1.56,0.78
peu,lemma,9,34,3,12,58,0.16,0.59,0.05,0.21,1.56,0.78
luire,lemma,28,3,6,30,67,0.42,0.04,0.09,0.45,1.56,0.78
livre,word,2,0,2,3,7,0.29,0.00,0.29,0.43,1.56,0.78
religion,word,2,0,2,3,7,0.29,0.00,0.29,0.43,1.56,0.78
s'est,word,3,0,2,2,7,0.43,0.00,0.29,0.29,1.56,0.78
citoyens,word,2,3,0,2,7,0.29,0.43,0.00,0.29,1.56,0.78
trump,word,4,4,0,6,14,0.29,0.29,0.00,0.43,1.56,0.78
trump,lemma,4,4,0,6,14,0.29,0.29,0.00,0.43,1.56,0.78
idée,lemma,1,2,3,9,15,0.07,0.13,0.20,0.60,1.55,0.78
pays,lemma,41,16,1,38,96,0.43,0.17,0.01,0.40,1.55,0.78
réduire,lemma,1,1,1,5,8,0.12,0.12,0.12,0.62,1.55,0.77
certain,lemma,4,2,1,10,17,0.24,0.12,0.06,0.59,1.55,0.77
.,punctuation,16,2,24,50,92,0.17,0.02,0.26,0.54,1.54,0.77
),punctuation,10,4,1,17,32,0.31,0.12,0.03,0.53,1.54,0.77
air,lemma,8,1,1,6,16,0.50,0.06,0.06,0.38,1.53,0.77
europe,word,3,2,0,4,9,0.33,0.22,0.00,0.44,1.53,0.77
vite,word,3,0,2,4,9,0.33,0.00,0.22,0.44,1.53,0.77
loup,lemma,3,2,0,4,9,0.33,0.22,0.00,0.44,1.53,0.77
europe,lemma,3,2,0,4,9,0.33,0.22,0.00,0.44,1.53,0.77
obliger,lemma,2,3,0,4,9,0.22,0.33,0.00,0.44,1.53,0.77
vite,lemma,3,0,2,4,9,0.33,0.00,0.22,0.44,1.53,0.77
arrêter,word,3,0,4,2,9,0.33,0.00,0.44,0.22,1.53,0.77
femmes,word,4,3,0,6,13,0.31,0.23,0.00,0.46,1.53,0.76
climatique,lemma,2,2,0,1,5,0.40,0.40,0.00,0.20,1.52,0.76
pardon,word,0,1,2,2,5,0.00,0.20,0.40,0.40,1.52,0.76
obligés,word,1,2,0,2,5,0.20,0.40,0.00,0.40,1.52,0.76
insulter,word,4,4,2,0,10,0.40,0.40,0.20,0.00,1.52,0.76
vidéo,lemma,1,0,2,2,5,0.20,0.00,0.40,0.40,1.52,0.76
d'être,word,1,0,2,2,5,0.20,0.00,0.40,0.40,1.52,0.76
féliciter,lemma,1,2,0,2,5,0.20,0.40,0.00,0.40,1.52,0.76
agir,word,2,1,0,2,5,0.40,0.20,0.00,0.40,1.52,0.76
question,word,1,0,2,2,5,0.20,0.00,0.40,0.40,1.52,0.76
question,lemma,1,0,2,2,5,0.20,0.00,0.40,0.40,1.52,0.76
santé,word,3,6,0,6,15,0.20,0.40,0.00,0.40,1.52,0.76
santé,lemma,3,6,0,6,15,0.20,0.40,0.00,0.40,1.52,0.76
incroyable,word,0,2,1,2,5,0.00,0.40,0.20,0.40,1.52,0.76
pardon,lemma,0,1,2,2,5,0.00,0.20,0.40,0.40,1.52,0.76
supprimer,lemma,2,0,1,2,5,0.40,0.00,0.20,0.40,1.52,0.76
dernier,lemma,4,2,0,4,10,0.40,0.20,0.00,0.40,1.52,0.76
exister,lemma,1,2,0,2,5,0.20,0.40,0.00,0.40,1.52,0.76
là-bas,word,2,1,0,2,5,0.40,0.20,0.00,0.40,1.52,0.76
rapporter,lemma,0,2,1,2,5,0.00,0.40,0.20,0.40,1.52,0.76
puissent,word,1,2,0,2,5,0.20,0.40,0.00,0.40,1.52,0.76
insécurité,word,2,1,0,2,5,0.40,0.20,0.00,0.40,1.52,0.76
sujet,word,2,1,0,2,5,0.40,0.20,0.00,0.40,1.52,0.76
plaire,lemma,0,2,1,2,5,0.00,0.40,0.20,0.40,1.52,0.76
misère,word,2,2,0,1,5,0.40,0.40,0.00,0.20,1.52,0.76
célébré,word,2,1,0,2,5,0.40,0.20,0.00,0.40,1.52,0.76
résultats,word,2,1,0,2,5,0.40,0.20,0.00,0.40,1.52,0.76
sujet,lemma,2,1,0,2,5,0.40,0.20,0.00,0.40,1.52,0.76
dieu,lemma,1,2,2,0,5,0.20,0.40,0.40,0.00,1.52,0.76
montre,word,0,2,2,1,5,0.00,0.40,0.40,0.20,1.52,0.76
jolie,lemma,0,2,1,2,5,0.00,0.40,0.20,0.40,1.52,0.76
insécurité,lemma,2,1,0,2,5,0.40,0.20,0.00,0.40,1.52,0.76
dû,word,7,1,1,8,17,0.41,0.06,0.06,0.47,1.52,0.76
taire,lemma,3,1,14,6,24,0.12,0.04,0.58,0.25,1.52,0.76
encore,word,1,3,6,14,24,0.04,0.12,0.25,0.58,1.52,0.76
encore,lemma,1,3,6,14,24,0.04,0.12,0.25,0.58,1.52,0.76
voir,word,0,8,7,14,29,0.00,0.28,0.24,0.48,1.51,0.76
super,lemma,0,5,3,7,15,0.00,0.33,0.20,0.47,1.51,0.75
super,word,0,5,3,7,15,0.00,0.33,0.20,0.47,1.51,0.75
croire,lemma,0,3,5,7,15,0.00,0.20,0.33,0.47,1.51,0.75
venir,lemma,6,3,2,18,29,0.21,0.10,0.07,0.62,1.50,0.75
passer,lemma,3,2,5,17,27,0.11,0.07,0.19,0.63,1.50,0.75
employés,word,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
ennuis,word,1,2,0,1,4,0.25,0.50,0.00,0.25,1.50,0.75
chambre,word,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
pourrait,word,0,2,2,4,8,0.00,0.25,0.25,0.50,1.50,0.75
effet,lemma,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
comporter,lemma,1,0,2,1,4,0.25,0.00,0.50,0.25,1.50,0.75
continue,word,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
ue,lemma,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
employé,lemma,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
retenir,lemma,2,1,0,1,4,0.50,0.25,0.00,0.25,1.50,0.75
message,lemma,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
remette,word,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
mains,word,2,0,1,1,4,0.50,0.00,0.25,0.25,1.50,0.75
ministres,word,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
île,lemma,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
vague,lemma,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
poisson,lemma,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
polémique,lemma,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
polémique,word,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
loin,word,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
jaune,lemma,2,0,1,1,4,0.50,0.00,0.25,0.25,1.50,0.75
finisse,word,0,1,1,2,4,0.00,0.25,0.25,0.50,1.50,0.75
derrière,lemma,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
derrière,word,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
amusant,word,2,4,2,0,8,0.25,0.50,0.25,0.00,1.50,0.75
parce,lemma,0,2,1,1,4,0.00,0.50,0.25,0.25,1.50,0.75
iran,lemma,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
faisant,word,2,2,0,4,8,0.25,0.25,0.00,0.50,1.50,0.75
donald,word,3,3,0,6,12,0.25,0.25,0.00,0.50,1.50,0.75
viennent,word,2,1,0,1,4,0.50,0.25,0.00,0.25,1.50,0.75
diriger,lemma,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
dieu,word,1,1,2,0,4,0.25,0.25,0.50,0.00,1.50,0.75
existent,word,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
liberté,lemma,2,2,0,4,8,0.25,0.25,0.00,0.50,1.50,0.75
ennui,lemma,1,2,0,1,4,0.25,0.50,0.00,0.25,1.50,0.75
lieu,word,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
athlètes,word,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
monstre,lemma,1,0,2,1,4,0.25,0.00,0.50,0.25,1.50,0.75
montre,lemma,0,1,2,1,4,0.00,0.25,0.50,0.25,1.50,0.75
chocolat,lemma,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
chine,word,3,3,0,6,12,0.25,0.25,0.00,0.50,1.50,0.75
chocolat,word,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
donald,lemma,3,3,0,6,12,0.25,0.25,0.00,0.50,1.50,0.75
athlète,lemma,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
chine,lemma,3,3,0,6,12,0.25,0.25,0.00,0.50,1.50,0.75
environnement,lemma,2,2,0,4,8,0.25,0.25,0.00,0.50,1.50,0.75
entraîne,word,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
système,lemma,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
environnement,word,2,2,0,4,8,0.25,0.25,0.00,0.50,1.50,0.75
loin,lemma,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
parce,word,0,2,1,1,4,0.00,0.50,0.25,0.25,1.50,0.75
totalement,word,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
totalement,lemma,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
homosexualité,lemma,2,2,0,4,8,0.25,0.25,0.00,0.50,1.50,0.75
besoin,lemma,0,2,1,1,4,0.00,0.50,0.25,0.25,1.50,0.75
seraient,word,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
sortir,word,0,1,1,2,4,0.00,0.25,0.25,0.50,1.50,0.75
salles,word,1,2,0,1,4,0.25,0.50,0.00,0.25,1.50,0.75
élevé,lemma,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
humanitaire,word,0,1,1,2,4,0.00,0.25,0.25,0.50,1.50,0.75
hôtel,lemma,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
homosexualité,word,2,2,0,4,8,0.25,0.25,0.00,0.50,1.50,0.75
informatique,lemma,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
impatient,lemma,1,2,0,1,4,0.25,0.50,0.00,0.25,1.50,0.75
rôle,word,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
rôle,lemma,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
sort,word,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
sort,lemma,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
homophobes,word,1,2,0,1,4,0.25,0.50,0.00,0.25,1.50,0.75
proposer,lemma,2,1,0,1,4,0.50,0.25,0.00,0.25,1.50,0.75
poissons,word,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
célébré,lemma,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
cœur,lemma,2,0,1,1,4,0.50,0.00,0.25,0.25,1.50,0.75
payer,word,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
payer,lemma,6,0,3,3,12,0.50,0.00,0.25,0.25,1.50,0.75
cœur,word,2,0,1,1,4,0.50,0.00,0.25,0.25,1.50,0.75
parvenir,lemma,2,1,0,1,4,0.50,0.25,0.00,0.25,1.50,0.75
truc,lemma,0,1,2,1,4,0.00,0.25,0.50,0.25,1.50,0.75
cours,lemma,1,2,0,1,4,0.25,0.50,0.00,0.25,1.50,0.75
cours,word,1,2,0,1,4,0.25,0.50,0.00,0.25,1.50,0.75
gilet,lemma,2,0,1,1,4,0.50,0.00,0.25,0.25,1.50,0.75
genre,word,0,1,1,2,4,0.00,0.25,0.25,0.50,1.50,0.75
genre,lemma,0,1,1,2,4,0.00,0.25,0.25,0.50,1.50,0.75
poste,word,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
ue,word,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
grande,word,8,9,0,17,34,0.24,0.26,0.00,0.50,1.50,0.75
véritable,word,0,5,2,4,11,0.00,0.45,0.18,0.36,1.49,0.75
peine,lemma,0,4,2,5,11,0.00,0.36,0.18,0.45,1.49,0.75
demander,lemma,4,0,2,5,11,0.36,0.00,0.18,0.45,1.49,0.75
gros,lemma,6,5,36,9,56,0.11,0.09,0.64,0.16,1.49,0.75
déjà,word,2,2,18,15,37,0.05,0.05,0.49,0.41,1.49,0.74
déjà,lemma,2,2,18,15,37,0.05,0.05,0.49,0.41,1.49,0.74
peine,word,0,3,2,5,10,0.00,0.30,0.20,0.50,1.49,0.74
militaire,lemma,3,2,0,5,10,0.30,0.20,0.00,0.50,1.49,0.74
militaires,word,3,2,0,5,10,0.30,0.20,0.00,0.50,1.49,0.74
livre,lemma,2,0,3,5,10,0.20,0.00,0.30,0.50,1.49,0.74
venir,word,3,2,0,5,10,0.30,0.20,0.00,0.50,1.49,0.74
violence,word,2,1,2,9,14,0.14,0.07,0.14,0.64,1.48,0.74
loi,lemma,10,4,0,10,24,0.42,0.17,0.00,0.42,1.48,0.74
président,lemma,20,8,0,11,39,0.51,0.21,0.00,0.28,1.48,0.74
loi,word,8,3,0,5,16,0.50,0.19,0.00,0.31,1.48,0.74
entrer,lemma,8,5,1,21,35,0.23,0.14,0.03,0.60,1.48,0.74
homme,word,4,1,1,9,15,0.27,0.07,0.07,0.60,1.47,0.74
tendre,lemma,2,5,0,6,13,0.15,0.38,0.00,0.46,1.46,0.73
homme,lemma,6,3,1,16,26,0.23,0.12,0.04,0.62,1.46,0.73
senti,word,2,3,0,1,6,0.33,0.50,0.00,0.17,1.46,0.73
préoccuper,lemma,2,1,0,3,6,0.33,0.17,0.00,0.50,1.46,0.73
peuple,word,2,1,0,3,6,0.33,0.17,0.00,0.50,1.46,0.73
photos,word,2,0,3,1,6,0.33,0.00,0.50,0.17,1.46,0.73
agression,word,1,2,0,3,6,0.17,0.33,0.00,0.50,1.46,0.73
provoquer,lemma,1,2,0,3,6,0.17,0.33,0.00,0.50,1.46,0.73
droits,word,2,1,0,3,6,0.33,0.17,0.00,0.50,1.46,0.73
mot,word,2,0,1,3,6,0.33,0.00,0.17,0.50,1.46,0.73
ministre,word,3,2,0,1,6,0.50,0.33,0.00,0.17,1.46,0.73
embête,lemma,2,3,0,1,6,0.33,0.50,0.00,0.17,1.46,0.73
fous,word,1,0,2,3,6,0.17,0.00,0.33,0.50,1.46,0.73
gronder,lemma,2,1,0,3,6,0.33,0.17,0.00,0.50,1.46,0.73
lui-même,word,2,1,0,3,6,0.33,0.17,0.00,0.50,1.46,0.73
religieux,lemma,2,0,1,3,6,0.33,0.00,0.17,0.50,1.46,0.73
quotidien,lemma,2,1,0,3,6,0.33,0.17,0.00,0.50,1.46,0.73
village,word,2,1,0,3,6,0.33,0.17,0.00,0.50,1.46,0.73
vieux,lemma,2,0,1,3,6,0.33,0.00,0.17,0.50,1.46,0.73
salle,lemma,3,2,0,1,6,0.50,0.33,0.00,0.17,1.46,0.73
servir,lemma,0,1,2,3,6,0.00,0.17,0.33,0.50,1.46,0.73
sortir,lemma,0,1,2,3,6,0.00,0.17,0.33,0.50,1.46,0.73
vaccin,lemma,2,1,0,3,6,0.33,0.17,0.00,0.50,1.46,0.73
régime,word,2,0,1,3,6,0.33,0.00,0.17,0.50,1.46,0.73
répondre,lemma,2,1,0,3,6,0.33,0.17,0.00,0.50,1.46,0.73
régime,lemma,2,0,1,3,6,0.33,0.00,0.17,0.50,1.46,0.73
familles,word,2,0,1,3,6,0.33,0.00,0.17,0.50,1.46,0.73
laisse,word,0,1,2,3,6,0.00,0.17,0.33,0.50,1.46,0.73
