marker_value,spacy_count,stanza_count,total_count,candidate_rank,lexicon_term_candidate,lexicon_category,repair_type,confidence,score,levenshtein_distance_norm_noaccent,shared_prefix_len_norm_noaccent,sequence_ratio_norm_noaccent
alarmante,2,4,6,1,alarmant,peur,inflected_or_extended_marker,high,0.9412,1,8,0.9412
amusé,2,4,6,1,amuser,joie,truncated_prefix_marker,high,0.9091,1,5,0.9091
amusé,2,4,6,2,amusement,joie,truncated_prefix_marker,medium,0.7143,4,5,0.7143
embêté,2,4,6,1,embêter,deplaisir,truncated_prefix_marker,high,0.9231,1,6,0.9231
embêté,2,4,6,2,embêtement,deplaisir,truncated_prefix_marker,medium,0.75,4,6,0.75
excitée,2,4,6,1,excité,comportement,inflected_or_extended_marker,high,0.9231,1,6,0.9231
excitée,2,4,6,2,exciter,comportement,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
fières,3,3,6,1,fierté,fierte,same_prefix_fuzzy,medium,0.8333,2,4,0.8333
humiliante,2,4,6,1,humiliant,embarras,inflected_or_extended_marker,high,0.9474,1,9,0.9474
inquiétantes,3,3,6,1,inquiétant,peur,inflected_or_extended_marker,high,0.9091,2,10,0.9091
inquiétantes,3,3,6,2,inquiet,peur,inflected_or_extended_marker,medium,0.7368,5,7,0.7368
marrantes,3,3,6,1,marrant,joie,inflected_or_extended_marker,high,0.875,2,7,0.875
menacée,3,3,6,1,menace,peur,inflected_or_extended_marker,high,0.9231,1,6,0.9231
menacée,3,3,6,2,menacé,peur,inflected_or_extended_marker,high,0.9231,1,6,0.9231
menacée,3,3,6,3,menacer,peur,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
menaçait,3,3,6,1,menaçant,peur,shared_long_stem_edit_distance,high,0.875,1,6,0.875
mécontentements,3,3,6,1,mécontentement,colere,inflected_or_extended_marker,high,0.9655,1,14,0.9655
mécontentements,3,3,6,2,mécontent,colere,inflected_or_extended_marker,medium,0.75,6,9,0.75
préoccupations,3,3,6,1,préoccupation,peur,inflected_or_extended_marker,high,0.963,1,13,0.963
redoutent,2,4,6,1,redouter,peur,shared_long_stem_edit_distance,high,0.8235,2,7,0.8235
scandalisé,2,4,6,1,scandaliser,colere,truncated_prefix_marker,high,0.9524,1,10,0.9524
scandalisé,2,4,6,2,scandale,colere,shared_long_stem_edit_distance,high,0.8889,2,7,0.8889
senti,3,3,6,1,sentiment,non_specifiee,truncated_prefix_marker,medium,0.7143,4,5,0.7143
senti,3,3,6,2,sentimental,amour,truncated_prefix_marker,medium,0.625,6,5,0.625
senti,3,3,6,3,sentimentalisé,amour,truncated_prefix_marker,medium,0.5263,9,5,0.5263
senti,3,3,6,4,sentimentalité,non_specifiee,truncated_prefix_marker,medium,0.5263,9,5,0.5263
senti,3,3,6,5,sentimentaliser,amour,truncated_prefix_marker,medium,0.5,10,5,0.5
jalou,0,5,5,1,jaloux,jalousie,truncated_prefix_marker,high,0.9091,1,5,0.9091
jalou,0,5,5,2,jalouser,jalousie,truncated_prefix_marker,medium,0.7692,3,5,0.7692
jalou,0,5,5,3,jalousie,jalousie,truncated_prefix_marker,medium,0.7692,3,5,0.7692
jalou,0,5,5,4,jalousement,jalousie,truncated_prefix_marker,medium,0.625,6,5,0.625
étonn,5,0,5,1,étonné,surprise,truncated_prefix_marker,high,0.9091,1,5,0.9091
étonn,5,0,5,2,étonner,surprise,truncated_prefix_marker,high,0.8333,2,5,0.8333
étonn,5,0,5,3,étonnant,surprise,truncated_prefix_marker,medium,0.7692,3,5,0.7692
étonn,5,0,5,4,étonnement,surprise,truncated_prefix_marker,medium,0.6667,5,5,0.6667
étonn,5,0,5,5,étonnamment,surprise,truncated_prefix_marker,medium,0.625,6,5,0.625
abattus,2,2,4,1,abattu,tristesse,inflected_or_extended_marker,high,0.9231,1,6,0.9231
abattus,2,2,4,2,abattre,tristesse,shared_long_stem_edit_distance,medium,0.7143,2,5,0.7143
accablés,2,2,4,1,accabler,tristesse,shared_long_stem_edit_distance,high,0.875,1,7,0.875
amusantes,2,2,4,1,amusant,joie,inflected_or_extended_marker,high,0.875,2,7,0.875
angoisses,2,2,4,1,angoisse,peur,inflected_or_extended_marker,high,0.9412,1,8,0.9412
angoisses,2,2,4,2,angoissé,peur,inflected_or_extended_marker,high,0.9412,1,8,0.9412
angoisses,2,2,4,3,angoisser,peur,shared_long_stem_edit_distance,high,0.8889,1,8,0.8889
consternée,2,2,4,1,consterner,tristesse,shared_long_stem_edit_distance,high,0.9,1,9,0.9
contentes,2,2,4,1,contenter,joie,shared_long_stem_edit_distance,high,0.8889,1,8,0.8889
contentes,2,2,4,2,content,joie,inflected_or_extended_marker,high,0.875,2,7,0.875
dangers,2,2,4,1,danger,peur,inflected_or_extended_marker,high,0.9231,1,6,0.9231
drôles,2,2,4,1,drôle,joie,inflected_or_extended_marker,high,0.9091,1,5,0.9091
désespérés,2,2,4,1,désespéré,tristesse,inflected_or_extended_marker,high,0.9474,1,9,0.9474
désespérés,2,2,4,2,désespérer,tristesse,shared_long_stem_edit_distance,high,0.9,1,9,0.9
effrayée,2,2,4,1,effrayer,peur,shared_long_stem_edit_distance,high,0.875,1,7,0.875
effrayés,2,2,4,1,effrayer,peur,shared_long_stem_edit_distance,high,0.875,1,7,0.875
endeuillée,2,2,4,1,endeuiller,tristesse,shared_long_stem_edit_distance,high,0.9,1,9,0.9
ennuis,2,2,4,1,ennui,tristesse,inflected_or_extended_marker,high,0.9091,1,5,0.9091
enthousiasmante,2,2,4,1,enthousiasmant,joie,inflected_or_extended_marker,high,0.9655,1,14,0.9655
fiere,2,2,4,1,fierté,fierte,same_prefix_fuzzy,medium,0.9091,1,4,0.9091
fiere,2,2,4,2,fier,fierte,same_prefix_fuzzy,medium,0.8889,1,4,0.8889
fiere,2,2,4,3,fièrement,fierte,truncated_prefix_marker,medium,0.7143,4,5,0.7143
fiers,2,2,4,1,fier,fierte,same_prefix_fuzzy,medium,0.8889,1,4,0.8889
féliciter,2,2,4,1,félicité,joie,inflected_or_extended_marker,high,0.9412,1,8,0.9412
horribles,2,2,4,1,horrible,peur,inflected_or_extended_marker,high,0.9412,1,8,0.9412
humiliations,2,2,4,1,humiliation,embarras,inflected_or_extended_marker,high,0.9565,1,11,0.9565
inquiété,2,2,4,1,inquiéter,peur,truncated_prefix_marker,high,0.9412,1,8,0.9412
inquiété,2,2,4,2,inquiet,peur,inflected_or_extended_marker,high,0.9333,1,7,0.9333
inquiété,2,2,4,3,inquiétude,peur,shared_long_stem_edit_distance,high,0.8889,2,7,0.8889
jalouse,2,2,4,1,jalouser,jalousie,truncated_prefix_marker,high,0.9333,1,7,0.9333
jalouse,2,2,4,2,jalousie,jalousie,shared_long_stem_edit_distance,high,0.9333,1,6,0.9333
jalouse,2,2,4,3,jalousement,jalousie,truncated_prefix_marker,medium,0.7778,4,7,0.7778
jalouse,2,2,4,4,jaloux,jalousie,shared_long_stem_edit_distance,medium,0.7692,2,5,0.7692
jubile,2,2,4,1,jubiler,joie,truncated_prefix_marker,high,0.9231,1,6,0.9231
jubiles,2,2,4,1,jubiler,joie,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
plaisanterie,2,2,4,1,plaisant,amour,inflected_or_extended_marker,medium,0.8,4,8,0.8
pleurer,2,2,4,1,pleureur,comportement,shared_long_stem_edit_distance,high,0.9333,1,6,0.9333
pleurer,2,2,4,2,pleutre,peur,same_prefix_fuzzy,medium,0.8571,2,4,0.8571
pleurer,2,2,4,3,pleurard,comportement,shared_long_stem_edit_distance,medium,0.8,2,5,0.8
pleurer,2,2,4,4,pleurer de rire,joie,truncated_prefix_marker,medium,0.6364,8,7,0.6364
ravis,2,2,4,1,ravi,joie,same_prefix_fuzzy,medium,0.8889,1,4,0.8889
ravis,2,2,4,2,ravissement,joie,truncated_prefix_marker,medium,0.625,6,5,0.625
regrettaient,2,2,4,1,regret,culpabilite,inflected_or_extended_marker,medium,0.6667,6,6,0.6667
réjouit,2,2,4,1,réjouir,joie,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
terribles,2,2,4,1,terrible,peur,inflected_or_extended_marker,high,0.9412,1,8,0.9412
terroristes,2,2,4,1,terroriser,peur,shared_long_stem_edit_distance,high,0.8571,2,8,0.8571
vénère,2,2,4,1,vénérer,amour,truncated_prefix_marker,high,0.9231,1,6,0.9231
ébahie,2,2,4,1,ébahi,surprise,inflected_or_extended_marker,high,0.9091,1,5,0.9091
ébahie,2,2,4,2,ébahir,surprise,shared_long_stem_edit_distance,high,0.8333,1,5,0.8333
admire,2,1,3,1,admirer,admiration,truncated_prefix_marker,high,0.9231,1,6,0.9231
admirent,2,1,3,1,admirer,admiration,shared_long_stem_edit_distance,medium,0.8,2,6,0.8
admiré,2,1,3,1,admirer,admiration,truncated_prefix_marker,high,0.9231,1,6,0.9231
admirée,1,2,3,1,admirer,admiration,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
amusée,1,2,3,1,amuser,joie,shared_long_stem_edit_distance,high,0.8333,1,5,0.8333
attristé,1,2,3,1,attrister,tristesse,truncated_prefix_marker,high,0.9412,1,8,0.9412
boudeuse,1,2,3,1,boudeur,colere,shared_long_stem_edit_distance,medium,0.8,2,6,0.8
culpabilisé,1,2,3,1,culpabiliser,culpabilite,truncated_prefix_marker,high,0.9565,1,11,0.9565
culpabilisé,1,2,3,2,culpabilité,culpabilite,shared_long_stem_edit_distance,high,0.9091,1,9,0.9091
curieuse,1,2,3,1,curieux,desir,shared_long_stem_edit_distance,medium,0.8,2,6,0.8
curieuse,1,2,3,2,curieusement,desir,truncated_prefix_marker,medium,0.8,4,8,0.8
degoutez,1,2,3,1,dégoûté,degout,inflected_or_extended_marker,high,0.9333,1,7,0.9333
degoutez,1,2,3,2,dégoûter,degout,shared_long_stem_edit_distance,high,0.875,1,7,0.875
degoutez,1,2,3,3,dégoût,degout,inflected_or_extended_marker,high,0.8571,2,6,0.8571
degoutée,1,2,3,1,dégoûté,degout,inflected_or_extended_marker,high,0.9333,1,7,0.9333
degoutée,1,2,3,2,dégoûter,degout,shared_long_stem_edit_distance,high,0.875,1,7,0.875
degoutée,1,2,3,3,dégoût,degout,inflected_or_extended_marker,high,0.8571,2,6,0.8571
dégouteeee,1,2,3,1,dégoûté,degout,inflected_or_extended_marker,high,0.8235,3,7,0.8235
dégouteeee,1,2,3,2,dégoût,degout,inflected_or_extended_marker,medium,0.75,4,6,0.75
dégoûtée,1,2,3,1,dégoûté,degout,inflected_or_extended_marker,high,0.9333,1,7,0.9333
dégoûtée,1,2,3,2,dégoûter,degout,shared_long_stem_edit_distance,high,0.875,1,7,0.875
dégoûtée,1,2,3,3,dégoût,degout,inflected_or_extended_marker,high,0.8571,2,6,0.8571
désespérément,1,2,3,1,désespéré,tristesse,inflected_or_extended_marker,medium,0.8182,4,9,0.8182
effraie,1,2,3,1,effrayer,peur,shared_long_stem_edit_distance,medium,0.8,2,5,0.8
effrayante,1,2,3,1,effrayant,peur,inflected_or_extended_marker,high,0.9474,1,9,0.9474
enthousiasm,3,0,3,1,enthousiasme,joie,truncated_prefix_marker,high,0.9565,1,11,0.9565
enthousiasm,3,0,3,2,enthousiasmer,joie,truncated_prefix_marker,high,0.9167,2,11,0.9167
enthousiasm,3,0,3,3,enthousiasmant,joie,truncated_prefix_marker,high,0.88,3,11,0.88
enthousiasm,3,0,3,4,enthousiaste,joie,shared_long_stem_edit_distance,high,0.8696,2,10,0.8696
frustrée,1,2,3,1,frustrer,deplaisir,shared_long_stem_edit_distance,high,0.875,1,7,0.875
fâchée,1,2,3,1,fâché,colere,inflected_or_extended_marker,high,0.9091,1,5,0.9091
fâchée,1,2,3,2,fâcherie,colere,shared_long_stem_edit_distance,high,0.8571,2,5,0.8571
fâchée,1,2,3,3,fâcher,colere,shared_long_stem_edit_distance,high,0.8333,1,5,0.8333
fâchée,1,2,3,4,fâcheux,colere,shared_long_stem_edit_distance,medium,0.7692,2,5,0.7692
félicitée,1,2,3,1,félicité,joie,inflected_or_extended_marker,high,0.9412,1,8,0.9412
heureur,0,3,3,1,heureux,joie,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
inquiétée,1,2,3,1,inquiéter,peur,shared_long_stem_edit_distance,high,0.8889,1,8,0.8889
inquiétée,1,2,3,2,inquiet,peur,inflected_or_extended_marker,high,0.875,2,7,0.875
inquiétée,1,2,3,3,inquiétude,peur,shared_long_stem_edit_distance,high,0.8421,2,7,0.8421
malheureuse,1,2,3,1,malheureux,tristesse,shared_long_stem_edit_distance,high,0.8571,2,9,0.8571
malheureuse,1,2,3,2,malheureusement,tristesse,truncated_prefix_marker,high,0.8462,4,11,0.8462
malheureuse,1,2,3,3,malheur,tristesse,inflected_or_extended_marker,medium,0.7778,4,7,0.7778
marrante,0,3,3,1,marrant,joie,inflected_or_extended_marker,high,0.9333,1,7,0.9333
marrante,0,3,3,2,marrade,joie,shared_long_stem_edit_distance,medium,0.8,2,5,0.8
menaçaient,1,2,3,1,menaçant,peur,shared_long_stem_edit_distance,high,0.8889,2,6,0.8889
mécontente,1,2,3,1,mécontenter,colere,truncated_prefix_marker,high,0.9524,1,10,0.9524
mécontente,1,2,3,2,mécontent,colere,inflected_or_extended_marker,high,0.9474,1,9,0.9474
mécontente,1,2,3,3,mécontentement,colere,truncated_prefix_marker,high,0.8333,4,10,0.8333
mécontentent,1,2,3,1,mécontentement,colere,shared_long_stem_edit_distance,high,0.9231,2,10,0.9231
mécontentent,1,2,3,2,mécontenter,colere,shared_long_stem_edit_distance,high,0.8696,2,10,0.8696
mécontentent,1,2,3,3,mécontent,colere,inflected_or_extended_marker,high,0.8571,3,9,0.8571
plaisent,1,2,3,1,plaisant,amour,same_prefix_fuzzy,medium,0.875,1,5,0.875
redoutables,2,1,3,1,redoutable,peur,inflected_or_extended_marker,high,0.9524,1,10,0.9524
rigolote,1,2,3,1,rigolo,joie,inflected_or_extended_marker,high,0.8571,2,6,0.8571
révoltée,1,2,3,1,révolte,colere,inflected_or_extended_marker,high,0.9333,1,7,0.9333
révoltée,1,2,3,2,révolté,colere,inflected_or_extended_marker,high,0.9333,1,7,0.9333
révoltée,1,2,3,3,révolter,colere,shared_long_stem_edit_distance,high,0.875,1,7,0.875
stressée,1,2,3,1,stressé,peur,inflected_or_extended_marker,high,0.9333,1,7,0.9333
stressée,1,2,3,2,stresser,peur,shared_long_stem_edit_distance,high,0.875,1,7,0.875
stressée,1,2,3,3,stress,peur,inflected_or_extended_marker,high,0.8571,2,6,0.8571
troublée,2,1,3,1,trouble,surprise,inflected_or_extended_marker,high,0.9333,1,7,0.9333
troublée,2,1,3,2,troubler,surprise,shared_long_stem_edit_distance,high,0.875,1,7,0.875
émerveillés,1,2,3,1,émerveillé,admiration,inflected_or_extended_marker,high,0.9524,1,10,0.9524
émerveillés,1,2,3,2,émerveiller,admiration,shared_long_stem_edit_distance,high,0.9091,1,10,0.9091
énerv,3,0,3,1,énervé,colere,truncated_prefix_marker,high,0.9091,1,5,0.9091
énerv,3,0,3,2,énerver,colere,truncated_prefix_marker,high,0.8333,2,5,0.8333
énerv,3,0,3,3,énervant,colere,truncated_prefix_marker,medium,0.7692,3,5,0.7692
énerv,3,0,3,4,énervement,colere,truncated_prefix_marker,medium,0.6667,5,5,0.6667
énervait,1,2,3,1,énervant,colere,shared_long_stem_edit_distance,high,0.875,1,6,0.875
étonnerait,1,2,3,1,étonner,surprise,inflected_or_extended_marker,high,0.8235,3,7,0.8235
étonnerait,1,2,3,2,étonné,surprise,inflected_or_extended_marker,medium,0.75,4,6,0.75
étonnée,2,1,3,1,étonné,surprise,inflected_or_extended_marker,high,0.9231,1,6,0.9231
étonnée,2,1,3,2,étonner,surprise,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
accablé,0,2,2,1,accabler,tristesse,truncated_prefix_marker,high,0.9333,1,7,0.9333
accablé,0,2,2,2,accablement,tristesse,truncated_prefix_marker,medium,0.7778,4,7,0.7778
admiratif,1,1,2,1,admiration,admiration,shared_long_stem_edit_distance,high,0.8421,2,8,0.8421
admiratifs,1,1,2,1,admiration,admiration,shared_long_stem_edit_distance,medium,0.8,2,8,0.8
affligés,1,1,2,1,affliger,tristesse,shared_long_stem_edit_distance,high,0.875,1,7,0.875
alarmantes,1,1,2,1,alarmant,peur,inflected_or_extended_marker,high,0.8889,2,8,0.8889
alarmants,1,1,2,1,alarmant,peur,inflected_or_extended_marker,high,0.9412,1,8,0.9412
angoissantes,1,1,2,1,angoissant,peur,inflected_or_extended_marker,high,0.9091,2,10,0.9091
angoissés,1,1,2,1,angoisse,peur,inflected_or_extended_marker,high,0.9412,1,8,0.9412
angoissés,1,1,2,2,angoissé,peur,inflected_or_extended_marker,high,0.9412,1,8,0.9412
angoissés,1,1,2,3,angoisser,peur,shared_long_stem_edit_distance,high,0.8889,1,8,0.8889
cauchemars,1,1,2,1,cauchemar,peur,inflected_or_extended_marker,high,0.9474,1,9,0.9474
