marker_value,spacy_count,stanza_count,total_count,match_key,lexicon_match_status,exact_lexicon_term,exact_lexicon_category,in_lexique_emotionnel,best_candidate_term,best_candidate_category,best_candidate_confidence,best_candidate_repair_type
dangereuse,18,13,31,dangereuse,repaired_high,,,False,dangereux,peur,high,shared_long_stem_edit_distance
impressionner,23,8,31,impressionner,no_match,,,False,,,,
surprendre,13,18,31,surprendre,exact,surprendre,surprise,True,,,,
étonner,13,18,31,etonner,exact,étonner,surprise,True,,,,
marrant,16,14,30,marrant,exact,marrant,joie,True,,,,
surpris,19,11,30,surpris,exact,surpris,surprise,True,,,,
choquantes,14,14,28,choquantes,no_match,,,False,,,,
inquiets,14,14,28,inquiets,repaired_high,,,False,inquiet,peur,high,inflected_or_extended_marker
inquiètent,14,14,28,inquietent,repaired_high,,,False,inquiéter,peur,high,shared_long_stem_edit_distance
insultes,14,14,28,insultes,no_match,,,False,,,,
spectaculaire,14,14,28,spectaculaire,no_match,,,False,,,,
subir,13,15,28,subir,no_match,,,False,,,,
dépression,13,13,26,depression,no_match,,,False,,,,
fierté,12,14,26,fierte,exact,fierté,fierte,True,,,,
président,14,12,26,president,no_match,,,False,,,,
surprenant,13,13,26,surprenant,exact,surprenant,surprise,True,,,,
insulter,15,10,25,insulter,no_match,,,False,,,,
aise,12,12,24,aise,no_match,,,False,,,,
contente,12,12,24,contente,repaired_high,,,False,contenter,joie,high,truncated_prefix_marker
cool,12,12,24,cool,no_match,,,False,,,,
décevoir,7,17,24,decevoir,exact,décevoir,deplaisir,True,,,,
malheureusement,12,12,24,malheureusement,exact,malheureusement,tristesse,True,,,,
santé,12,12,24,sante,no_match,,,False,,,,
tellement,12,12,24,tellement,no_match,,,False,,,,
«,12,12,24,«,no_match,,,False,,,,
»,12,12,24,»,no_match,,,False,,,,
ravi,8,15,23,ravi,exact,ravi,joie,True,,,,
dangereuses,11,11,22,dangereuses,no_match,,,False,danger,peur,medium,inflected_or_extended_marker
fière,11,11,22,fiere,no_match,,,False,fierté,fierte,medium,same_prefix_fuzzy
petit,11,11,22,petit,no_match,,,False,petit ami,amour,medium,truncated_prefix_marker
étrange,11,11,22,etrange,no_match,,,False,,,,
amusant,13,8,21,amusant,exact,amusant,joie,True,,,,
enthousiasme,9,12,21,enthousiasme,exact,enthousiasme,joie,True,,,,
inquiétant,10,11,21,inquietant,exact,inquiétant,peur,True,,,,
plaisante,14,7,21,plaisante,repaired_high,,,False,plaisant,amour,high,inflected_or_extended_marker
avant,10,10,20,avant,no_match,,,False,,,,
effrayant,9,11,20,effrayant,exact,effrayant,peur,True,,,,
guerre,10,10,20,guerre,no_match,,,False,,,,
incroyable,10,10,20,incroyable,no_match,,,False,,,,
insolite,10,10,20,insolite,no_match,,,False,,,,
marre,10,10,20,marre,repaired_high,,,False,marrer,joie,high,truncated_prefix_marker
merveilleux,10,10,20,merveilleux,exact,merveilleux,joie,True,,,,
méfiance,10,10,20,mefiance,exact,méfiance,peur,True,,,,
satisfaire,11,9,20,satisfaire,exact,satisfaire,joie,True,,,,
scandale,10,10,20,scandale,exact,scandale,colere,True,,,,
soi,0,20,20,soi,no_match,,,False,,,,
super,10,10,20,super,no_match,,,False,,,,
véritable,10,10,20,veritable,no_match,,,False,,,,
étonnante,10,10,20,etonnante,repaired_high,,,False,étonnant,surprise,high,inflected_or_extended_marker
effrayer,11,8,19,effrayer,exact,effrayer,peur,True,,,,
jaloux,12,7,19,jaloux,exact,jaloux,jalousie,True,,,,
mécontent,10,9,19,mecontent,exact,mécontent,colere,True,,,,
admirer,9,9,18,admirer,exact,admirer,admiration,True,,,,
angoisse,9,9,18,angoisse,exact,angoisse,peur,True,,,,
grande,9,9,18,grande,no_match,,,False,,,,
grave,9,9,18,grave,no_match,,,False,,,,
gros,9,9,18,gros,no_match,,,False,,,,
parler,9,9,18,parler,no_match,,,False,,,,
redoute,12,6,18,redoute,repaired_high,,,False,redouter,peur,high,truncated_prefix_marker
craint,9,8,17,craint,repaired_high,,,False,crainte,peur,high,truncated_prefix_marker
redouter,7,10,17,redouter,exact,redouter,peur,True,,,,
choc,8,8,16,choc,no_match,,,False,,,,
corée,8,8,16,coree,no_match,,,False,,,,
déçu,11,5,16,decu,exact,déçu,deplaisir,True,,,,
déçue,10,6,16,decue,no_match,,,False,déçu,deplaisir,medium,same_prefix_fuzzy
embêtant,8,8,16,embetant,exact,embêtant,deplaisir,True,,,,
honneur,8,8,16,honneur,exact,honneur,fierte,True,,,,
minable,8,8,16,minable,no_match,,,False,,,,
mort,8,8,16,mort,no_match,,,False,,,,
mécontents,8,8,16,mecontents,repaired_high,,,False,mécontent,colere,high,inflected_or_extended_marker
père,8,8,16,pere,no_match,,,False,,,,
regrette,8,8,16,regrette,repaired_high,,,False,regretter,culpabilite,high,truncated_prefix_marker
regretter,8,8,16,regretter,exact,regretter,culpabilite,True,,,,
terroriste,8,8,16,terroriste,repaired_high,,,False,terroriser,peur,high,shared_long_stem_edit_distance
travail,8,8,16,travail,no_match,,,False,,,,
tristes,8,8,16,tristes,repaired_high,,,False,triste,tristesse,high,inflected_or_extended_marker
trump,8,8,16,trump,no_match,,,False,,,,
étonnement,8,8,16,etonnement,exact,étonnement,surprise,True,,,,
amuse,5,10,15,amuse,repaired_high,,,False,amuser,joie,high,truncated_prefix_marker
exceptionnel,6,9,15,exceptionnel,no_match,,,False,,,,
insulté,5,10,15,insulte,no_match,,,False,,,,
traité,5,10,15,traite,no_match,,,False,,,,
bon,7,7,14,bon,no_match,,,False,,,,
cauchemar,7,7,14,cauchemar,exact,cauchemar,peur,True,,,,
choquant,6,8,14,choquant,no_match,,,False,,,,
joyeux,7,7,14,joyeux,exact,joyeux,joie,True,,,,
loi,7,7,14,loi,no_match,,,False,,,,
magique,7,7,14,magique,no_match,,,False,,,,
menacent,7,7,14,menacent,repaired_high,,,False,menace,peur,high,inflected_or_extended_marker
menacé,7,7,14,menace,exact,menace,peur,True,,,,
peine,7,7,14,peine,exact,peine,tristesse,True,,,,
prestigieux,7,7,14,prestigieux,no_match,,,False,,,,
sympa,7,7,14,sympa,exact,sympa,amour,True,,,,
furieux,7,6,13,furieux,exact,furieux,colere,True,,,,
fâché,6,7,13,fache,exact,fâché,colere,True,,,,
agréable,6,6,12,agreable,no_match,,,False,,,,
autant,6,6,12,autant,no_match,,,False,,,,
carburant,6,6,12,carburant,no_match,,,False,,,,
chine,6,6,12,chine,no_match,,,False,,,,
colèr,12,0,12,coler,repaired_high,,,False,colère,colere,high,truncated_prefix_marker
coupable,6,6,12,coupable,exact,coupable,culpabilite,True,,,,
donald,6,6,12,donald,no_match,,,False,,,,
drole,6,6,12,drole,exact,drôle,joie,True,,,,
décourage,6,6,12,decourage,repaired_high,,,False,décourager,tristesse,high,truncated_prefix_marker
détresse,6,6,12,detresse,exact,détresse,tristesse,True,,,,
détruire,6,6,12,detruire,no_match,,,False,,,,
embête,6,6,12,embete,repaired_high,,,False,embêter,deplaisir,high,truncated_prefix_marker
encore,6,6,12,encore,no_match,,,False,,,,
enfant,6,6,12,enfant,no_match,,,False,,,,
exploit,6,6,12,exploit,no_match,,,False,,,,
fan,6,6,12,fan,no_match,,,False,,,,
faute,6,6,12,faute,exact,faute,culpabilite,True,,,,
formidable,6,6,12,formidable,no_match,,,False,,,,
fortement,6,6,12,fortement,no_match,,,False,,,,
forêt,6,6,12,foret,no_match,,,False,,,,
france,6,6,12,france,no_match,,,False,,,,
gagner,6,6,12,gagner,no_match,,,False,,,,
gens,6,6,12,gens,no_match,,,False,,,,
impressionné,4,8,12,impressionne,no_match,,,False,,,,
incroyables,6,6,12,incroyables,no_match,,,False,,,,
inquiétudes,6,6,12,inquietudes,repaired_high,,,False,inquiétude,peur,high,inflected_or_extended_marker
mauvais,6,6,12,mauvais,repaired_high,,,False,mauvaiseté,inhumanite,high,truncated_prefix_marker
menaces,6,6,12,menaces,repaired_high,,,False,menace,peur,high,inflected_or_extended_marker
menacés,6,6,12,menaces,repaired_high,,,False,menace,peur,high,inflected_or_extended_marker
monde,6,6,12,monde,no_match,,,False,,,,
mourir,6,6,12,mourir,no_match,,,False,,,,
nord,6,6,12,nord,no_match,,,False,,,,
particulièrement,6,6,12,particulierement,no_match,,,False,,,,
planète,6,6,12,planete,no_match,,,False,,,,
plutôt,6,6,12,plutot,no_match,,,False,,,,
prix,6,6,12,prix,no_match,,,False,,,,
pénible,6,6,12,penible,no_match,,,False,,,,
rigolo,7,5,12,rigolo,exact,rigolo,joie,True,,,,
risques,6,6,12,risques,no_match,,,False,,,,
soit,6,6,12,soit,no_match,,,False,,,,
tête,6,6,12,tete,no_match,,,False,,,,
vexe,4,8,12,vexe,exact,vexé,embarras,True,,,,
vexé,6,6,12,vexe,exact,vexé,embarras,True,,,,
victime,6,6,12,victime,no_match,,,False,,,,
vraie,8,4,12,vraie,no_match,,,False,,,,
école,6,6,12,ecole,no_match,,,False,,,,
émerveiller,6,6,12,emerveiller,exact,émerveiller,admiration,True,,,,
amusante,3,8,11,amusante,repaired_high,,,False,amusant,joie,high,inflected_or_extended_marker
amuser,7,4,11,amuser,exact,amuser,joie,True,,,,
menaçant,4,7,11,menacant,exact,menaçant,peur,True,,,,
menaçante,7,4,11,menacante,repaired_high,,,False,menaçant,peur,high,inflected_or_extended_marker
ravir,9,2,11,ravir,exact,ravir,joie,True,,,,
venir,5,6,11,venir,no_match,,,False,,,,
animal,5,5,10,animal,no_match,,,False,,,,
attentat,5,5,10,attentat,no_match,,,False,,,,
choqués,5,5,10,choques,no_match,,,False,,,,
chose,5,5,10,chose,no_match,,,False,,,,
choses,5,5,10,choses,no_match,,,False,,,,
degouter,6,4,10,degouter,exact,dégoûter,degout,True,,,,
effondrer,5,5,10,effondrer,no_match,,,False,,,,
effrayants,5,5,10,effrayants,repaired_high,,,False,effrayant,peur,high,inflected_or_extended_marker
effrayé,5,5,10,effraye,repaired_high,,,False,effrayer,peur,high,truncated_prefix_marker
extraordinaire,5,5,10,extraordinaire,no_match,,,False,,,,
femme,5,5,10,femme,no_match,,,False,,,,
fâchés,5,5,10,faches,repaired_high,,,False,fâché,colere,high,inflected_or_extended_marker
heureuse,5,5,10,heureuse,no_match,,,False,heureux,joie,medium,shared_long_stem_edit_distance
mauvaise,5,5,10,mauvaise,repaired_high,,,False,mauvaiseté,inhumanite,high,truncated_prefix_marker
ministre,5,5,10,ministre,no_match,,,False,,,,
nombreux,5,5,10,nombreux,no_match,,,False,,,,
paniqué,4,6,10,panique,exact,panique,peur,True,,,,
particulier,5,5,10,particulier,no_match,,,False,,,,
perdre,5,5,10,perdre,no_match,,,False,,,,
plaisant,1,9,10,plaisant,exact,plaisant,amour,True,,,,
plein,4,6,10,plein,no_match,,,False,plein de soi,orgueil,medium,truncated_prefix_marker
préoccupation,5,5,10,preoccupation,exact,préoccupation,peur,True,,,,
ravie,5,5,10,ravie,no_match,,,False,ravi,joie,medium,same_prefix_fuzzy
rire,4,6,10,rire,exact,rire,joie,True,,,,
souci,5,5,10,souci,exact,souci,peur,True,,,,
stupéfait,4,6,10,stupefait,no_match,,,False,,,,
surprises,5,5,10,surprises,repaired_high,,,False,surprise,surprise,high,inflected_or_extended_marker
tension,5,5,10,tension,exact,tension,deplaisir,True,,,,
tensions,5,5,10,tensions,repaired_high,,,False,tension,deplaisir,high,inflected_or_extended_marker
traiter,7,3,10,traiter,no_match,,,False,,,,
violence,5,5,10,violence,no_match,,,False,,,,
étonne,5,5,10,etonne,exact,étonné,surprise,True,,,,
étonné,5,5,10,etonne,exact,étonné,surprise,True,,,,
étonnés,5,5,10,etonnes,repaired_high,,,False,étonné,surprise,high,inflected_or_extended_marker
alarmant,5,4,9,alarmant,exact,alarmant,peur,True,,,,
angoisser,5,4,9,angoisser,exact,angoisser,peur,True,,,,
craignaient,6,3,9,craignaient,no_match,,,False,,,,
embêter,7,2,9,embeter,exact,embêter,deplaisir,True,,,,
exceptionnelle,6,3,9,exceptionnelle,no_match,,,False,,,,
français,5,4,9,francais,no_match,,,False,,,,
potentielle,6,3,9,potentielle,no_match,,,False,,,,
stressé,3,6,9,stresse,exact,stressé,peur,True,,,,
élu,6,3,9,elu,no_match,,,False,,,,
émue,3,6,9,emue,no_match,,,False,,,,
énerve,3,6,9,enerve,exact,énervé,colere,True,,,,
(,4,4,8,(,no_match,,,False,,,,
),4,4,8,),no_match,,,False,,,,
admirable,4,4,8,admirable,exact,admirable,admiration,True,,,,
admiration,4,4,8,admiration,exact,admiration,admiration,True,,,,
adulte,4,4,8,adulte,no_match,,,False,aduler,admiration,medium,same_prefix_fuzzy
agression,4,4,8,agression,no_match,,,False,,,,
akhenaton,4,4,8,akhenaton,no_match,,,False,,,,
amusent,4,4,8,amusent,repaired_high,,,False,amusement,joie,high,shared_long_stem_edit_distance
an,4,4,8,an,no_match,,,False,,,,
ans,4,4,8,ans,no_match,,,False,,,,
argent,4,4,8,argent,no_match,,,False,,,,
armstrong,4,4,8,armstrong,no_match,,,False,,,,
arrivée,4,4,8,arrivee,no_match,,,False,,,,
augmentation,4,4,8,augmentation,no_match,,,False,,,,
blague,4,4,8,blague,no_match,,,False,,,,
blagues,4,4,8,blagues,no_match,,,False,,,,
bonne,4,4,8,bonne,no_match,,,False,bonne humeur,joie,medium,truncated_prefix_marker
campagne,4,4,8,campagne,no_match,,,False,,,,
cancer,4,4,8,cancer,no_match,,,False,,,,
cause,4,4,8,cause,no_match,,,False,,,,
chagrin,4,4,8,chagrin,exact,chagrin,tristesse,True,,,,
chinois,4,4,8,chinois,no_match,,,False,,,,
choquée,3,5,8,choquee,no_match,,,False,,,,
climatique,4,4,8,climatique,no_match,,,False,,,,
complètement,4,4,8,completement,no_match,,,False,,,,
comprendre,4,4,8,comprendre,no_match,,,False,,,,
conflit,4,4,8,conflit,no_match,,,False,,,,
corps,4,4,8,corps,no_match,,,False,,,,
cours,4,4,8,cours,no_match,,,False,,,,
crise,4,4,8,crise,no_match,,,False,,,,
degeulasse,4,4,8,degeulasse,no_match,,,False,,,,
degoute,4,4,8,degoute,exact,dégoûté,degout,True,,,,
drame,4,4,8,drame,exact,drame,tristesse,True,,,,
dégager,4,4,8,degager,no_match,,,False,,,,
déjà,4,4,8,deja,no_match,,,False,,,,
désagréable,4,4,8,desagreable,exact,désagréable,deplaisir,True,,,,
déçus,4,4,8,decus,no_match,,,False,déçu,deplaisir,medium,same_prefix_fuzzy
emmanuel,4,4,8,emmanuel,no_match,,,False,,,,
engouement,4,4,8,engouement,exact,engouement,amour,True,,,,
environnement,4,4,8,environnement,no_match,,,False,,,,
europe,4,4,8,europe,no_match,,,False,,,,
extrêmement,4,4,8,extremement,no_match,,,False,,,,
fabuleux,4,4,8,fabuleux,no_match,,,False,,,,
façon,4,4,8,facon,no_match,,,False,,,,
fois,4,4,8,fois,no_match,,,False,,,,
folâtre,4,4,8,folatre,exact,folâtre,joie,True,,,,
frimer,4,4,8,frimer,no_match,,,False,,,,
frère,4,4,8,frere,no_match,,,False,,,,
fun,4,4,8,fun,no_match,,,False,,,,
gêne,4,4,8,gene,no_match,,,False,,,,
homme,4,4,8,homme,no_match,,,False,,,,
homophobe,4,4,8,homophobe,no_match,,,False,,,,
homosexualité,4,4,8,homosexualite,no_match,,,False,,,,
hont,8,0,8,hont,no_match,,,False,honte,embarras,medium,same_prefix_fuzzy
hors,4,4,8,hors,no_match,,,False,,,,
humeur,4,4,8,humeur,exact,humeur,non_specifiee,True,,,,
immonde,4,4,8,immonde,exact,immonde,degout,True,,,,
impressionnantes,4,4,8,impressionnantes,no_match,,,False,,,,
indignation,4,4,8,indignation,exact,indignation,colere,True,,,,
installer,4,4,8,installer,no_match,,,False,,,,
jour,4,4,8,jour,no_match,,,False,,,,
kim,4,4,8,kim,no_match,,,False,,,,
macron,4,4,8,macron,no_match,,,False,,,,
maladie,4,4,8,maladie,no_match,,,False,,,,
malaise,4,4,8,malaise,no_match,,,False,,,,
mieux,4,4,8,mieux,no_match,,,False,,,,
misère,4,4,8,misere,exact,misère,tristesse,True,,,,
montagne,4,4,8,montagne,no_match,,,False,,,,
mordre,4,4,8,mordre,no_match,,,False,,,,
nature,4,4,8,nature,no_match,,,False,,,,
nouveau,4,4,8,nouveau,no_match,,,False,,,,
parce,4,4,8,parce,no_match,,,False,,,,
part,4,4,8,part,no_match,,,False,,,,
parti,4,4,8,parti,no_match,,,False,,,,
pendant,4,4,8,pendant,no_match,,,False,,,,
politique,4,4,8,politique,no_match,,,False,,,,
pollution,4,4,8,pollution,no_match,,,False,,,,
prestige,4,4,8,prestige,no_match,,,False,,,,
protéger,4,4,8,proteger,no_match,,,False,,,,
réchauffement,4,4,8,rechauffement,no_match,,,False,,,,
satisfaction,4,4,8,satisfaction,exact,satisfaction,joie,True,,,,
satisfait,3,5,8,satisfait,exact,satisfait,joie,True,,,,
souffraient,4,4,8,souffraient,no_match,,,False,,,,
souffrance,4,4,8,souffrance,no_match,,,False,,,,
stress,4,4,8,stress,exact,stress,peur,True,,,,
stressant,4,4,8,stressant,exact,stressant,peur,True,,,,
subissent,4,4,8,subissent,no_match,,,False,,,,
surprenante,4,4,8,surprenante,repaired_high,,,False,surprenant,surprise,high,inflected_or_extended_marker
tendue,4,4,8,tendue,repaired_high,,,False,tendu,deplaisir,high,inflected_or_extended_marker
timidement,4,4,8,timidement,exact,timidement,peur,True,,,,
timidité,4,4,8,timidite,exact,timidité,peur,True,,,,
traumatisme,4,4,8,traumatisme,no_match,,,False,,,,
travailler,4,4,8,travailler,no_match,,,False,,,,
virus,4,4,8,virus,no_match,,,False,,,,
voter,4,4,8,voter,no_match,,,False,,,,
ébahi,4,4,8,ebahi,exact,ébahi,surprise,True,,,,
émerveillée,4,4,8,emerveillee,repaired_high,,,False,émerveillé,admiration,high,inflected_or_extended_marker
certain,3,4,7,certain,no_match,,,False,,,,
croire,4,3,7,croire,no_match,,,False,,,,
désespérer,4,3,7,desesperer,exact,désespérer,tristesse,True,,,,
embêtée,2,5,7,embetee,repaired_high,,,False,embêter,deplaisir,high,shared_long_stem_edit_distance
gêner,5,2,7,gener,no_match,,,False,,,,
gêné,3,4,7,gene,no_match,,,False,,,,
inquiétante,5,2,7,inquietante,repaired_high,,,False,inquiétant,peur,high,inflected_or_extended_marker
lassée,3,4,7,lassee,repaired_high,,,False,lasser,comportement,high,shared_long_stem_edit_distance
malheureux,4,3,7,malheureux,exact,malheureux,tristesse,True,,,,
risquer,4,3,7,risquer,no_match,,,False,,,,
soient,4,3,7,soient,no_match,,,False,,,,
tendu,1,6,7,tendu,exact,tendu,deplaisir,True,,,,
terrorisé,3,4,7,terrorise,repaired_high,,,False,terroriser,peur,high,truncated_prefix_marker
admirait,2,4,6,admirait,no_match,,,False,,,,
affolée,2,4,6,affolee,repaired_high,,,False,affolé,peur,high,inflected_or_extended_marker
affreuse,2,4,6,affreuse,repaired_high,,,False,affres,peur,high,shared_long_stem_edit_distance
alarmante,2,4,6,alarmante,repaired_high,,,False,alarmant,peur,high,inflected_or_extended_marker
amazonienne,2,4,6,amazonienne,no_match,,,False,,,,
amour,3,3,6,amour,exact,amour,amour,True,,,,
amusé,2,4,6,amuse,repaired_high,,,False,amuser,joie,high,truncated_prefix_marker
animaux,3,3,6,animaux,no_match,,,False,,,,
artiste,3,3,6,artiste,no_match,,,False,,,,
besoin,3,3,6,besoin,no_match,,,False,,,,
blessent,2,4,6,blessent,no_match,,,False,,,,
choquait,2,4,6,choquait,no_match,,,False,,,,
citoyen,3,3,6,citoyen,no_match,,,False,,,,
citoyens,3,3,6,citoyens,no_match,,,False,,,,
dieu,3,3,6,dieu,no_match,,,False,,,,
dirigeant,3,3,6,dirigeant,no_match,,,False,,,,
dramatique,3,3,6,dramatique,exact,dramatique,tristesse,True,,,,
dégoûtant,2,4,6,degoutant,exact,dégoûtant,degout,True,,,,
embêté,2,4,6,embete,repaired_high,,,False,embêter,deplaisir,high,truncated_prefix_marker
engager,3,3,6,engager,no_match,,,False,,,,
enrager,3,3,6,enrager,exact,enrager,colere,True,,,,
excitée,2,4,6,excitee,repaired_high,,,False,excité,comportement,high,inflected_or_extended_marker
fascinée,2,4,6,fascinee,no_match,,,False,,,,
femmes,3,3,6,femmes,no_match,,,False,,,,
fières,3,3,6,fieres,no_match,,,False,fierté,fierte,medium,same_prefix_fuzzy
frustrant,2,4,6,frustrant,exact,frustrant,deplaisir,True,,,,
fâcher,4,2,6,facher,exact,fâcher,colere,True,,,,
gênant,2,4,6,genant,no_match,,,False,,,,
heureuses,3,3,6,heureuses,no_match,,,False,,,,
histoire,3,3,6,histoire,no_match,,,False,,,,
humain,3,3,6,humain,no_match,,,False,,,,
humiliante,2,4,6,humiliante,repaired_high,,,False,humiliant,embarras,high,inflected_or_extended_marker
immense,3,3,6,immense,no_match,,,False,,,,
impatiente,2,4,6,impatiente,no_match,,,False,,,,
impressionnants,3,3,6,impressionnants,no_match,,,False,,,,
inattendu,3,3,6,inattendu,no_match,,,False,,,,
inquiétantes,3,3,6,inquietantes,repaired_high,,,False,inquiétant,peur,high,inflected_or_extended_marker
jolie,4,2,6,jolie,no_match,,,False,,,,
liberté,3,3,6,liberte,no_match,,,False,,,,
loup,3,3,6,loup,no_match,,,False,,,,
magnifique,3,3,6,magnifique,no_match,,,False,,,,
marrantes,3,3,6,marrantes,repaired_high,,,False,marrant,joie,high,inflected_or_extended_marker
menacée,3,3,6,menacee,repaired_high,,,False,menace,peur,high,inflected_or_extended_marker
menaçait,3,3,6,menacait,repaired_high,,,False,menaçant,peur,high,shared_long_stem_edit_distance
mettre,3,3,6,mettre,no_match,,,False,,,,
montrer,2,4,6,montrer,no_match,,,False,,,,
mécontentements,3,3,6,mecontentements,repaired_high,,,False,mécontentement,colere,high,inflected_or_extended_marker
nombreuses,3,3,6,nombreuses,no_match,,,False,,,,
nucléaire,3,3,6,nucleaire,no_match,,,False,,,,
paniquer,4,2,6,paniquer,exact,paniquer,peur,True,,,,
passer,3,3,6,passer,no_match,,,False,,,,
personnes,3,3,6,personnes,no_match,,,False,,,,
persécution,3,3,6,persecution,no_match,,,False,,,,
persécutions,3,3,6,persecutions,no_match,,,False,,,,
peuple,3,3,6,peuple,no_match,,,False,,,,
pleine,4,2,6,pleine,no_match,,,False,,,,
premier,3,3,6,premier,no_match,,,False,,,,
première,3,3,6,premiere,no_match,,,False,,,,
problème,3,3,6,probleme,no_match,,,False,,,,
préoccupant,3,3,6,preoccupant,exact,préoccupant,peur,True,,,,
préoccupations,3,3,6,preoccupations,repaired_high,,,False,préoccupation,peur,high,inflected_or_extended_marker
présidente,2,4,6,presidente,no_match,,,False,,,,
qu'on,3,3,6,qu'on,no_match,,,False,,,,
recevoir,3,3,6,recevoir,no_match,,,False,,,,
redoutent,2,4,6,redoutent,repaired_high,,,False,redouter,peur,high,shared_long_stem_edit_distance
remords,4,2,6,remords,exact,remords,culpabilite,True,,,,
revit,4,2,6,revit,no_match,,,False,,,,
ridicule,3,3,6,ridicule,no_match,,,False,,,,
réjouir,3,3,6,rejouir,exact,réjouir,joie,True,,,,
scandalisé,2,4,6,scandalise,repaired_high,,,False,scandaliser,colere,high,truncated_prefix_marker
senti,3,3,6,senti,no_match,,,False,sentiment,non_specifiee,medium,truncated_prefix_marker
sentir,3,3,6,sentir,no_match,,,False,,,,
souffert,2,4,6,souffert,no_match,,,False,,,,
souffrent,3,3,6,souffrent,no_match,,,False,,,,
subit,4,2,6,subit,no_match,,,False,,,,
timide,3,3,6,timide,exact,timide,peur,True,,,,
utiliser,3,3,6,utiliser,no_match,,,False,,,,
vexer,4,2,6,vexer,exact,vexer,embarras,True,,,,
violences,3,3,6,violences,no_match,,,False,,,,
voulaient,3,3,6,voulaient,no_match,,,False,,,,
énervé,2,4,6,enerve,exact,énervé,colere,True,,,,
amus,5,0,5,amus,no_match,,,False,,,,
angoissé,2,3,5,angoisse,exact,angoisse,peur,True,,,,
covid,2,3,5,covid,no_match,,,False,,,,
désespéré,2,3,5,desespere,exact,désespéré,tristesse,True,,,,
désolé,2,3,5,desole,no_match,,,False,,,,
entrer,5,0,5,entrer,no_match,,,False,,,,
jalou,0,5,5,jalou,repaired_high,,,False,jaloux,jalousie,high,truncated_prefix_marker
laisser,2,3,5,laisser,no_match,,,False,,,,
montre,3,2,5,montre,no_match,,,False,,,,
