marker_value,spacy_count,stanza_count,total_count,candidate_rank,lexicon_term_candidate,lexicon_category,match_type,score,levenshtein_distance_norm_noaccent,sequence_ratio_norm_noaccent
contente,12,12,24,4,contentement,joie,marker_prefix_of_lexicon_term,0.6667,4,0.8
contente,12,12,24,5,mécontentement,colere,marker_substring_of_lexicon_term,0.5714,6,0.7273
santé,12,12,24,1,suant,comportement,fuzzy_levenshtein_or_sequence,0.8,2,0.8
santé,12,12,24,2,vanité,orgueil,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
santé,12,12,24,3,honte,embarras,fuzzy_levenshtein_or_sequence,0.6,2,0.6
santé,12,12,24,4,gaîté,joie,fuzzy_levenshtein_or_sequence,0.6,2,0.6
santé,12,12,24,5,faute,culpabilite,fuzzy_levenshtein_or_sequence,0.6,2,0.6
dangereuses,11,11,22,1,danger,peur,lexicon_prefix_of_marker,0.5455,5,0.7059
fière,11,11,22,1,fierté,fierte,fuzzy_levenshtein_or_sequence,0.9091,1,0.9091
fière,11,11,22,2,fier,fierte,fuzzy_levenshtein_or_sequence,0.8889,1,0.8889
fière,11,11,22,3,piètre,mepris,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
fière,11,11,22,4,misère,tristesse,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
fière,11,11,22,5,rire,joie,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
petit,11,11,22,1,appétit,desir,marker_substring_of_lexicon_term,0.7143,2,0.8333
petit,11,11,22,2,état,non_specifiee,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
petit,11,11,22,3,péril,peur,fuzzy_levenshtein_or_sequence,0.6,2,0.6
petit,11,11,22,4,pitié,empathie,fuzzy_levenshtein_or_sequence,0.6,2,0.6
petit,11,11,22,5,pitie,empathie,fuzzy_levenshtein_or_sequence,0.6,2,0.6
étrange,11,11,22,1,enragé,colere,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
plaisante,14,7,21,1,plaisant,amour,lexicon_prefix_of_marker,0.8889,1,0.9412
plaisante,14,7,21,2,malplaisante,deplaisir,marker_substring_of_lexicon_term,0.75,3,0.8571
avant,10,10,20,1,navrant,tristesse,fuzzy_levenshtein_or_sequence,0.8333,2,0.8333
avant,10,10,20,2,amant,amour,fuzzy_levenshtein_or_sequence,0.8,1,0.8
avant,10,10,20,3,suant,comportement,fuzzy_levenshtein_or_sequence,0.6,2,0.6
marre,10,10,20,1,marrer,joie,marker_prefix_of_lexicon_term,0.8333,1,0.9091
marre,10,10,20,2,marrade,joie,fuzzy_levenshtein_or_sequence,0.8333,2,0.8333
marre,10,10,20,3,morne,tristesse,fuzzy_levenshtein_or_sequence,0.6,2,0.6
super,10,10,20,1,suer,comportement,fuzzy_levenshtein_or_sequence,0.8889,1,0.8889
super,10,10,20,2,sueur,comportement,fuzzy_levenshtein_or_sequence,0.8,2,0.8
super,10,10,20,3,suée,comportement,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
super,10,10,20,4,complexe de supériorité,orgueil,marker_substring_of_lexicon_term,0.2174,18,0.3571
super,10,10,20,5,sentiment de supériorité,orgueil,marker_substring_of_lexicon_term,0.2083,19,0.3448
véritable,10,10,20,1,irritable,deplaisir,fuzzy_levenshtein_or_sequence,0.7778,2,0.7778
étonnante,10,10,20,1,étonnant,surprise,lexicon_prefix_of_marker,0.8889,1,0.9412
grave,9,9,18,1,braver,audace,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
grave,9,9,18,2,ravi,joie,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
grave,9,9,18,3,rage,colere,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
grave,9,9,18,4,drame,tristesse,fuzzy_levenshtein_or_sequence,0.6,2,0.6
grave,9,9,18,5,bravo,admiration,fuzzy_levenshtein_or_sequence,0.6,2,0.6
parler,9,9,18,1,pâleur,comportement,fuzzy_levenshtein_or_sequence,0.8333,2,0.8333
parler,9,9,18,2,pâle,comportement,fuzzy_levenshtein_or_sequence,0.8,2,0.8
parler,9,9,18,3,pâmer,comportement,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
parler,9,9,18,4,marrer,joie,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
parler,9,9,18,5,hurler,comportement,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
redoute,12,6,18,1,redouter,peur,marker_prefix_of_lexicon_term,0.875,1,0.9333
redoute,12,6,18,2,révolté,colere,fuzzy_levenshtein_or_sequence,0.7143,2,0.7143
redoute,12,6,18,3,révolte,colere,fuzzy_levenshtein_or_sequence,0.7143,2,0.7143
redoute,12,6,18,4,dégoûté,degout,fuzzy_levenshtein_or_sequence,0.7143,2,0.7143
craint,9,8,17,1,crainte,peur,marker_prefix_of_lexicon_term,0.8571,1,0.9231
craint,9,8,17,2,craintif,peur,marker_prefix_of_lexicon_term,0.75,2,0.8571
corée,8,8,16,1,colère,colere,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
corée,8,8,16,2,morne,tristesse,fuzzy_levenshtein_or_sequence,0.6,2,0.6
déçue,10,6,16,1,déçu,deplaisir,fuzzy_levenshtein_or_sequence,0.8889,1,0.8889
minable,8,8,16,1,aimable,amour,fuzzy_levenshtein_or_sequence,0.7143,2,0.7143
minable,8,8,16,2,abominable,peur,marker_substring_of_lexicon_term,0.7,3,0.8235
mort,8,8,16,1,morne,tristesse,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
mécontents,8,8,16,1,mécontent,colere,lexicon_prefix_of_marker,0.9,1,0.9474
mécontents,8,8,16,2,mécontenter,colere,fuzzy_levenshtein_or_sequence,0.8571,2,0.8571
mécontents,8,8,16,3,content,joie,lexicon_substring_of_marker,0.7,3,0.8235
père,8,8,16,1,pépère,apaisement,fuzzy_levenshtein_or_sequence,0.8,2,0.8
père,8,8,16,2,piètre,mepris,fuzzy_levenshtein_or_sequence,0.8,2,0.8
père,8,8,16,3,apeuré,peur,fuzzy_levenshtein_or_sequence,0.8,2,0.8
père,8,8,16,4,péril,peur,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
père,8,8,16,5,peine,tristesse,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
regrette,8,8,16,1,regretter,culpabilite,marker_prefix_of_lexicon_term,0.8889,1,0.9412
regrette,8,8,16,2,regret,culpabilite,lexicon_prefix_of_marker,0.75,2,0.8571
terroriste,8,8,16,1,terroriser,peur,fuzzy_levenshtein_or_sequence,0.9,2,0.9
tristes,8,8,16,1,triste,tristesse,lexicon_prefix_of_marker,0.8571,1,0.9231
tristes,8,8,16,2,tristesse,tristesse,marker_prefix_of_lexicon_term,0.7778,2,0.875
amuse,5,10,15,1,amuser,joie,marker_prefix_of_lexicon_term,0.8333,1,0.9091
amuse,5,10,15,2,amusement,joie,marker_prefix_of_lexicon_term,0.5556,4,0.7143
traité,5,10,15,1,triste,tristesse,fuzzy_levenshtein_or_sequence,0.8333,2,0.8333
traité,5,10,15,2,crainte,peur,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
traité,5,10,15,3,gaîté,joie,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
traité,5,10,15,4,irrité,deplaisir,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
magique,7,7,14,1,panique,peur,fuzzy_levenshtein_or_sequence,0.7143,2,0.7143
menacent,7,7,14,1,menaçant,peur,fuzzy_levenshtein_or_sequence,0.875,1,0.875
menacent,7,7,14,2,menacer,peur,fuzzy_levenshtein_or_sequence,0.8,2,0.8
menacent,7,7,14,3,menacé,peur,lexicon_prefix_of_marker,0.75,2,0.8571
menacent,7,7,14,4,menace,peur,lexicon_prefix_of_marker,0.75,2,0.8571
agréable,6,6,12,1,désagréable,deplaisir,marker_substring_of_lexicon_term,0.7273,3,0.8421
autant,6,6,12,1,amusant,joie,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
autant,6,6,12,2,suant,comportement,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
autant,6,6,12,3,amant,amour,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
autant,6,6,12,4,tressautant,comportement,marker_substring_of_lexicon_term,0.5455,5,0.7059
chine,6,6,12,1,haine,ressentiment,fuzzy_levenshtein_or_sequence,0.8,2,0.8
chine,6,6,12,2,peine,tristesse,fuzzy_levenshtein_or_sequence,0.6,2,0.6
colèr,12,0,12,1,colère,colere,marker_prefix_of_lexicon_term,0.8333,1,0.9091
colèr,12,0,12,2,cajoler,amour,fuzzy_levenshtein_or_sequence,0.8333,2,0.8333
colèr,12,0,12,3,isoler,tristesse,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
colèr,12,0,12,4,calmer,apaisement,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
colèr,12,0,12,5,coléreux,colere,marker_prefix_of_lexicon_term,0.625,3,0.7692
drole,6,6,12,1,drôle,joie,fuzzy_levenshtein_or_sequence,1.0,0,1.0
drole,6,6,12,2,isolé,tristesse,fuzzy_levenshtein_or_sequence,0.6,2,0.6
drole,6,6,12,3,drame,tristesse,fuzzy_levenshtein_or_sequence,0.6,2,0.6
drole,6,6,12,4,drôlement,joie,marker_prefix_of_lexicon_term,0.5556,4,0.7143
décourage,6,6,12,1,décourager,tristesse,marker_prefix_of_lexicon_term,0.9,1,0.9474
décourage,6,6,12,2,courage,audace,lexicon_substring_of_marker,0.7778,2,0.875
décourage,6,6,12,3,décourageant,tristesse,marker_prefix_of_lexicon_term,0.75,3,0.8571
décourage,6,6,12,4,découragement,tristesse,marker_prefix_of_lexicon_term,0.6923,4,0.8182
embête,6,6,12,1,embêter,deplaisir,marker_prefix_of_lexicon_term,0.8571,1,0.9231
embête,6,6,12,2,embêtement,deplaisir,marker_prefix_of_lexicon_term,0.6,4,0.75
encore,6,6,12,1,enjoué,joie,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
enfant,6,6,12,1,tentant,desir,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
fortement,6,6,12,1,réconfortement,apaisement,marker_substring_of_lexicon_term,0.6429,5,0.7826
france,6,6,12,1,fiancé,amour,fuzzy_levenshtein_or_sequence,0.8333,1,0.8333
gagner,6,6,12,1,grogner,comportement,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
gagner,6,6,12,2,rager,colere,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
inquiétudes,6,6,12,1,inquiétude,peur,lexicon_prefix_of_marker,0.9091,1,0.9524
inquiétudes,6,6,12,2,quiétude,apaisement,lexicon_substring_of_marker,0.7273,3,0.8421
inquiétudes,6,6,12,3,inquiet,peur,lexicon_prefix_of_marker,0.6364,4,0.7778
inquiétudes,6,6,12,4,quiet,apaisement,lexicon_substring_of_marker,0.4545,6,0.625
mauvais,6,6,12,1,mauvaiseté,inhumanite,marker_prefix_of_lexicon_term,0.7,3,0.8235
mauvais,6,6,12,2,être mauvais,inhumanite,marker_substring_of_lexicon_term,0.5833,5,0.7368
mauvais,6,6,12,3,mauvaisement,inhumanite,marker_prefix_of_lexicon_term,0.5833,5,0.7368
mauvais,6,6,12,4,mauvaise humeur,colere,marker_prefix_of_lexicon_term,0.4667,8,0.6364
mauvais,6,6,12,5,en mauvaise intelligence,ressentiment,marker_substring_of_lexicon_term,0.2917,17,0.4516
menaces,6,6,12,1,menacer,peur,fuzzy_levenshtein_or_sequence,0.8571,1,0.8571
menaces,6,6,12,2,menacé,peur,lexicon_prefix_of_marker,0.8571,1,0.9231
menaces,6,6,12,3,menace,peur,lexicon_prefix_of_marker,0.8571,1,0.9231
menacés,6,6,12,1,menacer,peur,fuzzy_levenshtein_or_sequence,0.8571,1,0.8571
menacés,6,6,12,2,menacé,peur,lexicon_prefix_of_marker,0.8571,1,0.9231
menacés,6,6,12,3,menace,peur,lexicon_prefix_of_marker,0.8571,1,0.9231
monde,6,6,12,1,morne,tristesse,fuzzy_levenshtein_or_sequence,0.8,2,0.8
monde,6,6,12,2,immonde,degout,marker_substring_of_lexicon_term,0.7143,2,0.8333
monde,6,6,12,3,honte,embarras,fuzzy_levenshtein_or_sequence,0.6,2,0.6
monde,6,6,12,4,bonté,empathie,fuzzy_levenshtein_or_sequence,0.6,2,0.6
mourir,6,6,12,1,sourire,comportement,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
mourir,6,6,12,2,jouir,joie,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
mourir,6,6,12,3,rougir,comportement,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
mourir,6,6,12,4,ahurir,surprise,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
prix,6,6,12,1,péril,peur,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
pénible,6,6,12,1,sensible,non_specifiee,fuzzy_levenshtein_or_sequence,0.8,2,0.8
risques,6,6,12,1,bisque,colere,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
risques,6,6,12,2,bisquer,colere,fuzzy_levenshtein_or_sequence,0.7143,2,0.7143
tête,6,6,12,1,tenter,desir,fuzzy_levenshtein_or_sequence,0.8,2,0.8
vexe,4,8,12,1,vexer,embarras,fuzzy_levenshtein_or_sequence,0.8889,1,0.8889
vraie,8,4,12,1,vain,orgueil,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
vraie,8,4,12,2,rage,colere,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
vraie,8,4,12,3,drame,tristesse,fuzzy_levenshtein_or_sequence,0.6,2,0.6
école,6,6,12,1,isolé,tristesse,fuzzy_levenshtein_or_sequence,0.6,2,0.6
école,6,6,12,2,drôle,joie,fuzzy_levenshtein_or_sequence,0.6,2,0.6
amusante,3,8,11,1,amusant,joie,lexicon_prefix_of_marker,0.875,1,0.9333
menaçante,7,4,11,1,menaçant,peur,lexicon_prefix_of_marker,0.8889,1,0.9412
venir,5,6,11,1,vexer,embarras,fuzzy_levenshtein_or_sequence,0.6,2,0.6
venir,5,6,11,2,gémir,tristesse,fuzzy_levenshtein_or_sequence,0.6,2,0.6
venir,5,6,11,3,désir,desir,fuzzy_levenshtein_or_sequence,0.6,2,0.6
animal,5,5,10,1,amical,amour,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
degouter,6,4,10,1,dégoûter,degout,fuzzy_levenshtein_or_sequence,1.0,0,1.0
degouter,6,4,10,2,dégoûté,degout,lexicon_prefix_of_marker,0.875,1,0.9333
degouter,6,4,10,3,dégoût,degout,lexicon_prefix_of_marker,0.75,2,0.8571
degouter,6,4,10,4,redouter,peur,fuzzy_levenshtein_or_sequence,0.75,2,0.75
effrayants,5,5,10,1,effrayant,peur,lexicon_prefix_of_marker,0.9,1,0.9474
effrayé,5,5,10,1,effrayer,peur,marker_prefix_of_lexicon_term,0.875,1,0.9333
effrayé,5,5,10,2,effarade,surprise,fuzzy_levenshtein_or_sequence,0.8,2,0.8
effrayé,5,5,10,3,effaré,surprise,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
femme,5,5,10,1,flegme,apaisement,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
fâchés,5,5,10,1,fâché,colere,lexicon_prefix_of_marker,0.8333,1,0.9091
fâchés,5,5,10,2,fâcher,colere,fuzzy_levenshtein_or_sequence,0.8333,1,0.8333
fâchés,5,5,10,3,fâcheux,colere,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
fâchés,5,5,10,4,lâche,peur,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
heureuse,5,5,10,1,heureux,joie,fuzzy_levenshtein_or_sequence,0.8,2,0.8
heureuse,5,5,10,2,heureusement,joie,marker_prefix_of_lexicon_term,0.6667,4,0.8
heureuse,5,5,10,3,malheureusement,tristesse,marker_substring_of_lexicon_term,0.5333,7,0.6957
mauvaise,5,5,10,1,mauvaiseté,inhumanite,marker_prefix_of_lexicon_term,0.8,2,0.8889
mauvaise,5,5,10,2,mauvaisement,inhumanite,marker_prefix_of_lexicon_term,0.6667,4,0.8
mauvaise,5,5,10,3,mauvaise humeur,colere,marker_prefix_of_lexicon_term,0.5333,7,0.6957
mauvaise,5,5,10,4,en mauvaise intelligence,ressentiment,marker_substring_of_lexicon_term,0.3333,16,0.5
ministre,5,5,10,1,sinistre,peur,fuzzy_levenshtein_or_sequence,0.875,1,0.875
ministre,5,5,10,2,monstre,peur,fuzzy_levenshtein_or_sequence,0.8,2,0.8
paniqué,4,6,10,1,panique,peur,fuzzy_levenshtein_or_sequence,1.0,0,1.0
paniqué,4,6,10,2,paniquer,peur,marker_prefix_of_lexicon_term,0.875,1,0.9333
paniqué,4,6,10,3,pudique,embarras,fuzzy_levenshtein_or_sequence,0.7143,2,0.7143
perdre,5,5,10,1,tendre,amour,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
perdre,5,5,10,2,pépère,apaisement,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
plein,4,6,10,1,peine,tristesse,fuzzy_levenshtein_or_sequence,0.8,2,0.8
plein,4,6,10,2,spleen,tristesse,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
plein,4,6,10,3,plein de soi,orgueil,marker_prefix_of_lexicon_term,0.4167,7,0.5882
plein,4,6,10,4,plein de soi-même,orgueil,marker_prefix_of_lexicon_term,0.2941,12,0.4545
plein,4,6,10,5,plein de son importance,orgueil,marker_prefix_of_lexicon_term,0.2174,18,0.3571
ravie,5,5,10,1,ravi,joie,fuzzy_levenshtein_or_sequence,0.8889,1,0.8889
ravie,5,5,10,2,ravir,joie,fuzzy_levenshtein_or_sequence,0.8,1,0.8
ravie,5,5,10,3,rage,colere,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
ravie,5,5,10,4,envie,desir,fuzzy_levenshtein_or_sequence,0.6,2,0.6
surprises,5,5,10,1,surprise,surprise,lexicon_prefix_of_marker,0.8889,1,0.9412
surprises,5,5,10,2,surpris,surprise,lexicon_prefix_of_marker,0.7778,2,0.875
tensions,5,5,10,1,tension,deplaisir,lexicon_prefix_of_marker,0.875,1,0.9333
traiter,7,3,10,1,irriter,deplaisir,fuzzy_levenshtein_or_sequence,0.7143,2,0.7143
violence,5,5,10,1,vilenie,degout,fuzzy_levenshtein_or_sequence,0.8,2,0.8
étonne,5,5,10,1,étonné,surprise,fuzzy_levenshtein_or_sequence,1.0,0,1.0
étonne,5,5,10,2,étonner,surprise,marker_prefix_of_lexicon_term,0.8571,1,0.9231
étonne,5,5,10,3,étonnement,surprise,marker_prefix_of_lexicon_term,0.6,4,0.75
étonnés,5,5,10,1,étonner,surprise,fuzzy_levenshtein_or_sequence,0.8571,1,0.8571
étonnés,5,5,10,2,étonné,surprise,lexicon_prefix_of_marker,0.8571,1,0.9231
énerve,3,6,9,1,énervé,colere,fuzzy_levenshtein_or_sequence,1.0,0,1.0
énerve,3,6,9,2,énerver,colere,marker_prefix_of_lexicon_term,0.8571,1,0.9231
énerve,3,6,9,3,énervement,colere,marker_prefix_of_lexicon_term,0.6,4,0.75
énerve,3,6,9,4,désénerver,apaisement,marker_substring_of_lexicon_term,0.6,4,0.75
énerve,3,6,9,5,désénervement,apaisement,marker_substring_of_lexicon_term,0.4615,7,0.6316
adulte,4,4,8,1,aduler,admiration,fuzzy_levenshtein_or_sequence,0.8333,2,0.8333
amusent,4,4,8,1,amusement,joie,fuzzy_levenshtein_or_sequence,0.875,2,0.875
amusent,4,4,8,2,amusant,joie,fuzzy_levenshtein_or_sequence,0.8571,1,0.8571
amusent,4,4,8,3,amuser,joie,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
augmentation,4,4,8,1,lamentation,tristesse,fuzzy_levenshtein_or_sequence,0.8696,3,0.8696
blague,4,4,8,1,blâmé,culpabilite,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
blague,4,4,8,2,blâme,mepris,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
blague,4,4,8,3,blasé,degout,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
bonne,4,4,8,1,bonté,empathie,fuzzy_levenshtein_or_sequence,0.8,1,0.8
bonne,4,4,8,2,étonné,surprise,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
bonne,4,4,8,3,rogne,colere,fuzzy_levenshtein_or_sequence,0.6,2,0.6
bonne,4,4,8,4,morne,tristesse,fuzzy_levenshtein_or_sequence,0.6,2,0.6
bonne,4,4,8,5,honte,embarras,fuzzy_levenshtein_or_sequence,0.6,2,0.6
cancer,4,4,8,1,tancer,mepris,fuzzy_levenshtein_or_sequence,0.8333,1,0.8333
cancer,4,4,8,2,danger,peur,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
cancer,4,4,8,3,calmer,apaisement,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
cause,4,4,8,1,faute,culpabilite,fuzzy_levenshtein_or_sequence,0.6,2,0.6
cause,4,4,8,2,calme,apaisement,fuzzy_levenshtein_or_sequence,0.6,2,0.6
conflit,4,4,8,1,contrit,culpabilite,fuzzy_levenshtein_or_sequence,0.7143,2,0.7143
cours,4,4,8,1,couard,peur,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
crise,4,4,8,1,risée,mepris,fuzzy_levenshtein_or_sequence,0.8,2,0.8
crise,4,4,8,2,crier,comportement,fuzzy_levenshtein_or_sequence,0.8,2,0.8
crise,4,4,8,3,triste,tristesse,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
crise,4,4,8,4,rire,joie,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
degeulasse,4,4,8,1,dégueulasse,degout,fuzzy_levenshtein_or_sequence,0.9524,1,0.9524
degoute,4,4,8,1,dégoûté,degout,fuzzy_levenshtein_or_sequence,1.0,0,1.0
degoute,4,4,8,2,dégoûter,degout,marker_prefix_of_lexicon_term,0.875,1,0.9333
degoute,4,4,8,3,dégoût,degout,lexicon_prefix_of_marker,0.8571,1,0.9231
dégager,4,4,8,1,égayer,joie,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
dégager,4,4,8,2,régaler,joie,fuzzy_levenshtein_or_sequence,0.7143,2,0.7143
déçus,4,4,8,1,déçu,deplaisir,fuzzy_levenshtein_or_sequence,0.8889,1,0.8889
façon,4,4,8,1,fâché,colere,fuzzy_levenshtein_or_sequence,0.6,2,0.6
frimer,4,4,8,1,fier,fierte,fuzzy_levenshtein_or_sequence,0.8,2,0.8
frimer,4,4,8,2,crier,comportement,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
frimer,4,4,8,3,aimer,amour,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
frimer,4,4,8,4,frémir,comportement,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
frère,4,4,8,1,fierté,fierte,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
frère,4,4,8,2,fier,fierte,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
frère,4,4,8,3,rire,joie,fuzzy_levenshtein_or_sequence,0.6,2,0.4444
gêne,4,4,8,1,peine,tristesse,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
homme,4,4,8,1,honte,embarras,fuzzy_levenshtein_or_sequence,0.6,2,0.6
hont,8,0,8,1,honte,embarras,fuzzy_levenshtein_or_sequence,0.8889,1,0.8889
hont,8,0,8,2,honni,mepris,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
hont,8,0,8,3,bonté,empathie,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
jour,4,4,8,1,jouir,joie,fuzzy_levenshtein_or_sequence,0.8889,1,0.8889
