marker_value,marker_type,Colère,Dégoût,Joie,Peur,Surprise,Tristesse,Admiration,Culpabilité,Embarras,Fierté,Jalousie,total_count,P(Colère),P(Dégoût),P(Joie),P(Peur),P(Surprise),P(Tristesse),P(Admiration),P(Culpabilité),P(Embarras),P(Fierté),P(Jalousie),entropy,normalized_entropy
normal,lemma,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,9.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,2.725480556997868,0.7878405638413689
tête,word,1.0,0.0,2.0,4.0,2.0,3.0,0.0,0.0,3.0,2.0,0.0,17.0,0.058823529411764705,0.0,0.11764705882352941,0.23529411764705882,0.11764705882352941,0.17647058823529413,0.0,0.0,0.17647058823529413,0.11764705882352941,0.0,2.7045348998193433,0.7817859110869447
ans,word,4.0,0.0,2.0,4.0,9.0,5.0,6.0,0.0,1.0,1.0,0.0,32.0,0.125,0.0,0.0625,0.125,0.28125,0.15625,0.1875,0.0,0.03125,0.03125,0.0,2.6984768596329824,0.7800347447526476
an,lemma,4.0,0.0,2.0,4.0,9.0,5.0,6.0,0.0,1.0,1.0,0.0,32.0,0.125,0.0,0.0625,0.125,0.28125,0.15625,0.1875,0.0,0.03125,0.03125,0.0,2.6984768596329824,0.7800347447526476
peu,word,6.0,2.0,4.0,15.0,10.0,16.0,0.0,1.0,2.0,2.0,0.0,58.0,0.10344827586206896,0.034482758620689655,0.06896551724137931,0.25862068965517243,0.1724137931034483,0.27586206896551724,0.0,0.017241379310344827,0.034482758620689655,0.034482758620689655,0.0,2.6625945315529456,0.7696624258183102
peu,lemma,6.0,2.0,4.0,15.0,10.0,16.0,0.0,1.0,2.0,2.0,0.0,58.0,0.10344827586206896,0.034482758620689655,0.06896551724137931,0.25862068965517243,0.1724137931034483,0.27586206896551724,0.0,0.017241379310344827,0.034482758620689655,0.034482758620689655,0.0,2.6625945315529456,0.7696624258183102
sentir,lemma,3.0,0.0,8.0,4.0,1.0,5.0,0.0,1.0,3.0,0.0,1.0,26.0,0.11538461538461539,0.0,0.3076923076923077,0.15384615384615385,0.038461538461538464,0.19230769230769232,0.0,0.038461538461538464,0.11538461538461539,0.0,0.038461538461538464,2.657385276650179,0.7681566134545963
réussi,word,0.0,0.0,4.0,0.0,1.0,2.0,1.0,2.0,2.0,3.0,0.0,15.0,0.0,0.0,0.26666666666666666,0.0,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.2,0.0,2.6565647621309543,0.7679194315676053
gagner,word,1.0,0.0,3.0,3.0,2.0,0.0,2.0,1.0,0.0,4.0,0.0,16.0,0.0625,0.0,0.1875,0.1875,0.125,0.0,0.125,0.0625,0.0,0.25,0.0,2.6556390622295662,0.7676518442863881
',punctuation,95.0,8.0,24.0,40.0,32.0,49.0,4.0,5.0,4.0,7.0,0.0,268.0,0.35447761194029853,0.029850746268656716,0.08955223880597014,0.14925373134328357,0.11940298507462686,0.1828358208955224,0.014925373134328358,0.018656716417910446,0.014925373134328358,0.026119402985074626,0.0,2.64282645204461,0.763948169348595
voir,word,8.0,2.0,8.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,29.0,0.27586206896551724,0.06896551724137931,0.27586206896551724,0.10344827586206896,0.034482758620689655,0.10344827586206896,0.034482758620689655,0.0,0.0,0.10344827586206896,0.0,2.641958150076179,0.763697173790899
seul,word,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,9.0,0.3333333333333333,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,2.6416041678685933,0.7635948499855436
chose,word,6.0,0.0,4.0,4.0,1.0,6.0,0.0,0.0,3.0,2.0,0.0,26.0,0.23076923076923078,0.0,0.15384615384615385,0.15384615384615385,0.038461538461538464,0.23076923076923078,0.0,0.0,0.11538461538461539,0.07692307692307693,0.0,2.6321921215711948,0.7608741584572901
petit,lemma,4.0,0.0,15.0,7.0,4.0,8.0,0.0,1.0,2.0,3.0,0.0,44.0,0.09090909090909091,0.0,0.3409090909090909,0.1590909090909091,0.09090909090909091,0.18181818181818182,0.0,0.022727272727272728,0.045454545454545456,0.06818181818181818,0.0,2.6183013711215137,0.756858831091128
tête,lemma,1.0,0.0,2.0,6.0,2.0,3.0,0.0,0.0,3.0,2.0,0.0,19.0,0.05263157894736842,0.0,0.10526315789473684,0.3157894736842105,0.10526315789473684,0.15789473684210525,0.0,0.0,0.15789473684210525,0.10526315789473684,0.0,2.615319618251277,0.7559969112155701
fou,lemma,9.0,1.0,5.0,4.0,7.0,1.0,1.0,0.0,3.0,0.0,0.0,31.0,0.2903225806451613,0.03225806451612903,0.16129032258064516,0.12903225806451613,0.22580645161290322,0.03225806451612903,0.03225806451612903,0.0,0.0967741935483871,0.0,0.0,2.6140241347744775,0.7556224325093515
grand,lemma,12.0,0.0,22.0,8.0,13.0,3.0,6.0,0.0,0.0,11.0,0.0,75.0,0.16,0.0,0.29333333333333333,0.10666666666666667,0.17333333333333334,0.04,0.08,0.0,0.0,0.14666666666666667,0.0,2.6081363936157573,0.7539204936339012
vraiment,word,1.0,2.0,3.0,8.0,2.0,7.0,2.0,0.0,0.0,1.0,0.0,26.0,0.038461538461538464,0.07692307692307693,0.11538461538461539,0.3076923076923077,0.07692307692307693,0.2692307692307692,0.07692307692307693,0.0,0.0,0.038461538461538464,0.0,2.6078869505808346,0.7538483884263352
vraiment,lemma,1.0,2.0,3.0,8.0,2.0,7.0,2.0,0.0,0.0,1.0,0.0,26.0,0.038461538461538464,0.07692307692307693,0.11538461538461539,0.3076923076923077,0.07692307692307693,0.2692307692307692,0.07692307692307693,0.0,0.0,0.038461538461538464,0.0,2.6078869505808346,0.7538483884263352
petit,word,4.0,0.0,10.0,3.0,2.0,4.0,0.0,1.0,2.0,1.0,0.0,27.0,0.14814814814814814,0.0,0.37037037037037035,0.1111111111111111,0.07407407407407407,0.14814814814814814,0.0,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.0,2.6076960780509832,0.7537932138916448
grand,word,2.0,0.0,5.0,4.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,20.0,0.1,0.0,0.25,0.2,0.2,0.05,0.15,0.0,0.0,0.05,0.0,2.6037016960573482,0.7526385785544074
premier,lemma,2.0,0.0,9.0,2.0,8.0,3.0,5.0,0.0,0.0,5.0,0.0,34.0,0.058823529411764705,0.0,0.2647058823529412,0.058823529411764705,0.23529411764705882,0.08823529411764706,0.14705882352941177,0.0,0.0,0.14705882352941177,0.0,2.6020659746615777,0.7521657490332345
jo,word,3.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,11.0,0.2727272727272727,0.0,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,2.59490661824394,0.7500962309138223
jo,lemma,3.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,11.0,0.2727272727272727,0.0,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,2.59490661824394,0.7500962309138223
monde,lemma,4.0,1.0,18.0,5.0,6.0,2.0,2.0,0.0,1.0,12.0,0.0,51.0,0.0784313725490196,0.0196078431372549,0.35294117647058826,0.09803921568627451,0.11764705882352941,0.0392156862745098,0.0392156862745098,0.0,0.0196078431372549,0.23529411764705882,0.0,2.590119155434648,0.7487123438083508
monde,word,4.0,1.0,18.0,5.0,6.0,2.0,2.0,0.0,1.0,12.0,0.0,51.0,0.0784313725490196,0.0196078431372549,0.35294117647058826,0.09803921568627451,0.11764705882352941,0.0392156862745098,0.0392156862745098,0.0,0.0196078431372549,0.23529411764705882,0.0,2.590119155434648,0.7487123438083508
français,lemma,5.0,0.0,3.0,5.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,21.0,0.23809523809523808,0.0,0.14285714285714285,0.23809523809523808,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.0,0.0,0.19047619047619047,0.0,2.5840236870150894,0.746950358288325
air,lemma,4.0,1.0,4.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,16.0,0.25,0.0625,0.25,0.125,0.1875,0.0625,0.0,0.0,0.0625,0.0,0.0,2.577819531114783,0.7451569550405539
venir,lemma,7.0,0.0,7.0,6.0,2.0,3.0,0.0,0.0,1.0,3.0,0.0,29.0,0.2413793103448276,0.0,0.2413793103448276,0.20689655172413793,0.06896551724137931,0.10344827586206896,0.0,0.0,0.034482758620689655,0.10344827586206896,0.0,2.570997584180664,0.7431849701348929
seul,lemma,3.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,13.0,0.23076923076923078,0.0,0.0,0.15384615384615385,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.0,2.5654483718208256,0.7415808880278951
devenir,lemma,4.0,0.0,3.0,6.0,3.0,6.0,0.0,0.0,1.0,1.0,0.0,24.0,0.16666666666666666,0.0,0.125,0.25,0.125,0.25,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,2.5629072918469555,0.7408463511865885
-,punctuation,59.0,2.0,20.0,54.0,16.0,19.0,5.0,2.0,7.0,2.0,0.0,186.0,0.3172043010752688,0.010752688172043012,0.10752688172043011,0.2903225806451613,0.08602150537634409,0.10215053763440861,0.026881720430107527,0.010752688172043012,0.03763440860215054,0.010752688172043012,0.0,2.5593191626607656,0.7398091492465764
avant,word,3.0,1.0,2.0,7.0,5.0,7.0,2.0,0.0,0.0,0.0,0.0,27.0,0.1111111111111111,0.037037037037037035,0.07407407407407407,0.25925925925925924,0.18518518518518517,0.25925925925925924,0.07407407407407407,0.0,0.0,0.0,0.0,2.544980210111367,0.7356642624183041
avant,lemma,3.0,1.0,2.0,7.0,5.0,7.0,2.0,0.0,0.0,0.0,0.0,27.0,0.1111111111111111,0.037037037037037035,0.07407407407407407,0.25925925925925924,0.18518518518518517,0.25925925925925924,0.07407407407407407,0.0,0.0,0.0,0.0,2.544980210111367,0.7356642624183041
fou,word,8.0,1.0,2.0,1.0,5.0,1.0,1.0,0.0,3.0,0.0,0.0,22.0,0.36363636363636365,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.22727272727272727,0.045454545454545456,0.045454545454545456,0.0,0.13636363636363635,0.0,0.0,2.5337712560645573,0.7324241480635578
),punctuation,10.0,1.0,4.0,9.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,32.0,0.3125,0.03125,0.125,0.28125,0.09375,0.09375,0.03125,0.0,0.0,0.03125,0.0,2.523175594806832,0.7293613150823702
corps,word,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,2.5216406363433186,0.7289176125807096
récupérer,word,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,2.5216406363433186,0.7289176125807096
récupérer,lemma,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,2.5216406363433186,0.7289176125807096
corps,lemma,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,2.5216406363433186,0.7289176125807096
vrai,lemma,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,2.5216406363433186,0.7289176125807096
vache,lemma,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,2.5216406363433186,0.7289176125807096
trois,word,2.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,14.0,0.14285714285714285,0.0,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.0,0.2857142857142857,0.0,2.521640636343318,0.7289176125807094
avance,word,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.0,2.521640636343318,0.7289176125807094
trois,lemma,2.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,14.0,0.14285714285714285,0.0,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.0,0.2857142857142857,0.0,2.521640636343318,0.7289176125807094
déjà,lemma,4.0,0.0,5.0,5.0,13.0,1.0,6.0,0.0,0.0,3.0,0.0,37.0,0.10810810810810811,0.0,0.13513513513513514,0.13513513513513514,0.35135135135135137,0.02702702702702703,0.16216216216216217,0.0,0.0,0.08108108108108109,0.0,2.517840938839809,0.7278192536817971
déjà,word,4.0,0.0,5.0,5.0,13.0,1.0,6.0,0.0,0.0,3.0,0.0,37.0,0.10810810810810811,0.0,0.13513513513513514,0.13513513513513514,0.35135135135135137,0.02702702702702703,0.16216216216216217,0.0,0.0,0.08108108108108109,0.0,2.517840938839809,0.7278192536817971
beaucoup,lemma,19.0,0.0,11.0,14.0,3.0,6.0,2.0,0.0,1.0,3.0,0.0,59.0,0.3220338983050847,0.0,0.1864406779661017,0.23728813559322035,0.05084745762711865,0.1016949152542373,0.03389830508474576,0.0,0.01694915254237288,0.05084745762711865,0.0,2.508288990414405,0.7250581213692102
beaucoup,word,19.0,0.0,11.0,14.0,3.0,6.0,2.0,0.0,1.0,3.0,0.0,59.0,0.3220338983050847,0.0,0.1864406779661017,0.23728813559322035,0.05084745762711865,0.1016949152542373,0.03389830508474576,0.0,0.01694915254237288,0.05084745762711865,0.0,2.508288990414405,0.7250581213692102
deux,word,5.0,0.0,6.0,5.0,2.0,5.0,0.0,0.0,0.0,3.0,0.0,26.0,0.19230769230769232,0.0,0.23076923076923078,0.19230769230769232,0.07692307692307693,0.19230769230769232,0.0,0.0,0.0,0.11538461538461539,0.0,2.504532643917983,0.7239722937216323
deux,lemma,5.0,0.0,6.0,5.0,2.0,5.0,0.0,0.0,0.0,3.0,0.0,26.0,0.19230769230769232,0.0,0.23076923076923078,0.19230769230769232,0.07692307692307693,0.19230769230769232,0.0,0.0,0.0,0.11538461538461539,0.0,2.504532643917983,0.7239722937216323
dix,lemma,2.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,2.503258334775646,0.7236039357707273
dix,word,2.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,2.503258334775646,0.7236039357707273
vite,word,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,9.0,0.1111111111111111,0.0,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0,2.503258334775646,0.7236039357707273
vite,lemma,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,9.0,0.1111111111111111,0.0,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0,2.503258334775646,0.7236039357707273
premier,word,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,9.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,2.503258334775646,0.7236039357707273
plein,word,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.125,0.0,0.125,0.25,0.25,0.125,0.125,0.0,0.0,0.0,0.0,2.5,0.7226620657947196
plein,lemma,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.125,0.0,0.125,0.25,0.25,0.125,0.125,0.0,0.0,0.0,0.0,2.5,0.7226620657947196
encore,word,3.0,0.0,3.0,9.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,24.0,0.125,0.0,0.125,0.375,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.041666666666666664,0.0,0.0,2.5,0.7226620657947196
encore,lemma,3.0,0.0,3.0,9.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,24.0,0.125,0.0,0.125,0.375,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.041666666666666664,0.0,0.0,2.5,0.7226620657947196
voit,word,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,8.0,0.125,0.125,0.25,0.125,0.0,0.125,0.0,0.0,0.0,0.25,0.0,2.5,0.7226620657947196
penser,lemma,5.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,14.0,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.0,0.0,0.0,0.07142857142857142,0.0,2.495602923729013,0.7213910257061403
voler,lemma,5.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,14.0,0.35714285714285715,0.0,0.07142857142857142,0.21428571428571427,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0,2.495602923729013,0.7213910257061403
nouveau,lemma,8.0,0.0,13.0,3.0,2.0,4.0,3.0,0.0,0.0,3.0,0.0,36.0,0.2222222222222222,0.0,0.3611111111111111,0.08333333333333333,0.05555555555555555,0.1111111111111111,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,2.492970033599962,0.7206299497782721
jour,lemma,1.0,1.0,7.0,5.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,21.0,0.047619047619047616,0.047619047619047616,0.3333333333333333,0.23809523809523808,0.09523809523809523,0.14285714285714285,0.0,0.0,0.0,0.09523809523809523,0.0,2.486793021302403,0.7188443927913147
sœur,lemma,2.0,0.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,11.0,0.18181818181818182,0.0,0.2727272727272727,0.18181818181818182,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,2.481714572986073,0.7173763920107904
nombreux,word,2.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,11.0,0.18181818181818182,0.0,0.18181818181818182,0.2727272727272727,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0,2.481714572986073,0.7173763920107904
grande,word,3.0,0.0,11.0,2.0,7.0,1.0,3.0,0.0,0.0,7.0,0.0,34.0,0.08823529411764706,0.0,0.3235294117647059,0.058823529411764705,0.20588235294117646,0.029411764705882353,0.08823529411764706,0.0,0.0,0.20588235294117646,0.0,2.473742496599055,0.715071945134584
coup,lemma,6.0,0.0,4.0,9.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,28.0,0.21428571428571427,0.0,0.14285714285714285,0.32142857142857145,0.07142857142857142,0.17857142857142858,0.03571428571428571,0.0,0.0,0.03571428571428571,0.0,2.462757047352441,0.7118964381560876
vivre,lemma,6.0,0.0,3.0,3.0,2.0,10.0,0.0,0.0,1.0,2.0,0.0,27.0,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.07407407407407407,0.37037037037037035,0.0,0.0,0.037037037037037035,0.07407407407407407,0.0,2.4497456148476355,0.7081352906789392
jouer,lemma,3.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,13.0,0.23076923076923078,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.0,0.23076923076923078,0.0,0.0,0.0,0.23076923076923078,0.0,2.449311833026446,0.7080098996121371
tellement,word,1.0,0.0,3.0,1.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,14.0,0.07142857142857142,0.0,0.21428571428571427,0.07142857142857142,0.0,0.21428571428571427,0.21428571428571427,0.0,0.21428571428571427,0.0,0.0,2.4488156357251847,0.7078664664254286
tellement,lemma,1.0,0.0,3.0,1.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,14.0,0.07142857142857142,0.0,0.21428571428571427,0.07142857142857142,0.0,0.21428571428571427,0.21428571428571427,0.0,0.21428571428571427,0.0,0.0,2.4488156357251847,0.7078664664254286
trouver,lemma,2.0,0.0,4.0,9.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,24.0,0.08333333333333333,0.0,0.16666666666666666,0.375,0.125,0.16666666666666666,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,2.4481203125901447,0.7076654729641635
parle,word,3.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,10.0,0.3,0.1,0.0,0.1,0.0,0.2,0.2,0.0,0.0,0.1,0.0,2.4464393446710155,0.7071795642645745
livre,lemma,1.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,10.0,0.1,0.0,0.2,0.1,0.3,0.2,0.0,0.0,0.0,0.1,0.0,2.4464393446710155,0.7071795642645745
image,lemma,0.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,10.0,0.0,0.1,0.2,0.0,0.1,0.3,0.0,0.0,0.2,0.1,0.0,2.4464393446710155,0.7071795642645745
noir,lemma,11.0,0.0,3.0,3.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,26.0,0.4230769230769231,0.0,0.11538461538461539,0.11538461538461539,0.038461538461538464,0.11538461538461539,0.07692307692307693,0.0,0.0,0.11538461538461539,0.0,2.4283898022309325,0.7019620764140145
homme,word,6.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,15.0,0.4,0.0,0.06666666666666667,0.2,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,2.422579761842491,0.7002825980982298
jeune,lemma,6.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,15.0,0.4,0.0,0.2,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,2.422579761842491,0.7002825980982298
sent,word,1.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,9.0,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,2.4193819456463714,0.6993582219149019
crié,word,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,2.4193819456463714,0.6993582219149019
rare,lemma,1.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,9.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,2.4193819456463714,0.6993582219149019
huit,word,0.0,0.0,2.0,1.0,4.0,1.0,2.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,2.418295834054489,0.6990442652562326
