marker_value,marker_type,Colere,Degout,Joie,Peur,Surprise,Tristesse,Admiration,Culpabilite,Embarras,Fierte,Jalousie,total_count,P(Colere),P(Degout),P(Joie),P(Peur),P(Surprise),P(Tristesse),P(Admiration),P(Culpabilite),P(Embarras),P(Fierte),P(Jalousie),entropy,normalized_entropy
tout,word,3.0,0.0,0.0,1.0,0.0,3.0,0,0.0,0.0,1.0,0.0,8.0,0.375,0.0,0.0,0.125,0.0,0.375,0.0,0.0,0.0,0.125,0.0,1.811278124459133,0.523576796460169
qu'elle,word,3.0,1.0,3.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,8.0,0.375,0.125,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,1.811278124459133,0.523576796460169
laisse,word,8.0,2.0,1.0,0.0,0.0,2.0,0,0.0,0.0,0.0,1.0,14.0,0.5714285714285714,0.14285714285714285,0.07142857142857142,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.07142857142857142,1.807354922057604,0.522442736639361
comme,word,12.0,5.0,4.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,23.0,0.5217391304347826,0.21739130434782608,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,1.8005536741835049,0.5204767351038897
comme,lemma,12.0,5.0,4.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,23.0,0.5217391304347826,0.21739130434782608,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,1.8005536741835049,0.5204767351038897
son,lemma,121.0,46.0,18.0,1.0,3.0,5.0,0,1.0,6.0,3.0,0.0,204.0,0.5931372549019608,0.22549019607843138,0.08823529411764706,0.004901960784313725,0.014705882352941176,0.024509803921568627,0.0,0.004901960784313725,0.029411764705882353,0.014705882352941176,0.0,1.7755913115896287,0.5132609940962067
mec,word,5.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,10.0,0.5,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.7609640474436812,0.5090327665263525
mec,lemma,5.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,10.0,0.5,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.7609640474436812,0.5090327665263525
t,word,19.0,5.0,3.0,1.0,0.0,0.0,0,0.0,1.0,0.0,2.0,31.0,0.6129032258064516,0.16129032258064516,0.0967741935483871,0.03225806451612903,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.06451612903225806,1.7582237061278942,0.5082406302398529
t,lemma,19.0,5.0,3.0,1.0,0.0,0.0,0,0.0,1.0,0.0,2.0,31.0,0.6129032258064516,0.16129032258064516,0.0967741935483871,0.03225806451612903,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.06451612903225806,1.7582237061278942,0.5082406302398529
parce,word,4.0,1.0,0.0,0.0,0.0,2.0,0,0.0,0.0,1.0,0.0,8.0,0.5,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.125,0.0,1.75,0.5058634460563037
parce,lemma,4.0,1.0,0.0,0.0,0.0,2.0,0,0.0,0.0,1.0,0.0,8.0,0.5,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.125,0.0,1.75,0.5058634460563037
mériter,lemma,8.0,2.0,2.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0,16.0,0.5,0.125,0.125,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.75,0.5058634460563037
une,word,15.0,3.0,1.0,1.0,0.0,1.0,0,0.0,0.0,3.0,0.0,24.0,0.625,0.125,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.0,0.125,0.0,1.7469152532855432,0.5049717542830546
paul,lemma,16.0,13.0,2.0,0.0,0.0,3.0,0,0.0,0.0,0.0,1.0,35.0,0.45714285714285713,0.37142857142857144,0.05714285714285714,0.0,0.0,0.08571428571428572,0.0,0.0,0.0,0.0,0.02857142857142857,1.7332657644307474,0.5010261671579151
paul,word,16.0,13.0,2.0,0.0,0.0,3.0,0,0.0,0.0,0.0,1.0,35.0,0.45714285714285713,0.37142857142857144,0.05714285714285714,0.0,0.0,0.08571428571428572,0.0,0.0,0.0,0.0,0.02857142857142857,1.7332657644307474,0.5010261671579151
soi,lemma,8.0,2.0,2.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,15.0,0.5333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.7232314287976207,0.49812559367090997
se,word,8.0,2.0,2.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,15.0,0.5333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.7232314287976207,0.49812559367090997
',punctuation,134.0,33.0,20.0,2.0,2.0,17.0,0,1.0,0.0,4.0,0.0,213.0,0.6291079812206573,0.15492957746478872,0.09389671361502347,0.009389671361502348,0.009389671361502348,0.07981220657276995,0.0,0.004694835680751174,0.0,0.018779342723004695,0.0,1.7194683636100003,0.4970378238860276
vous,word,61.0,14.0,5.0,3.0,0.0,9.0,0,0.0,0.0,4.0,0.0,96.0,0.6354166666666666,0.14583333333333334,0.052083333333333336,0.03125,0.0,0.09375,0.0,0.0,0.0,0.041666666666666664,0.0,1.7102562560365353,0.49437492761028223
vous,lemma,61.0,14.0,5.0,3.0,0.0,9.0,0,0.0,0.0,4.0,0.0,96.0,0.6354166666666666,0.14583333333333334,0.052083333333333336,0.03125,0.0,0.09375,0.0,0.0,0.0,0.041666666666666664,0.0,1.7102562560365353,0.49437492761028223
mais,lemma,57.0,26.0,5.0,0.0,2.0,4.0,0,0.0,3.0,0.0,1.0,98.0,0.5816326530612245,0.2653061224489796,0.05102040816326531,0.0,0.02040816326530612,0.04081632653061224,0.0,0.0,0.030612244897959183,0.0,0.01020408163265306,1.7060293190574638,0.4931530688065703
mais,word,57.0,26.0,5.0,0.0,2.0,4.0,0,0.0,3.0,0.0,1.0,98.0,0.5816326530612245,0.2653061224489796,0.05102040816326531,0.0,0.02040816326530612,0.04081632653061224,0.0,0.0,0.030612244897959183,0.0,0.01020408163265306,1.7060293190574638,0.4931530688065703
personne,lemma,5.0,0.0,0.0,1.0,0.0,3.0,0,0.0,0.0,1.0,0.0,10.0,0.5,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.1,0.0,1.6854752972273344,0.4872116240561098
personne,word,5.0,0.0,0.0,1.0,0.0,3.0,0,0.0,0.0,1.0,0.0,10.0,0.5,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.1,0.0,1.6854752972273344,0.4872116240561098
aller,lemma,48.0,8.0,2.0,4.0,0.0,4.0,0,1.0,4.0,0.0,0.0,71.0,0.676056338028169,0.11267605633802817,0.028169014084507043,0.056338028169014086,0.0,0.056338028169014086,0.0,0.014084507042253521,0.056338028169014086,0.0,0.0,1.6697724711298159,0.48267248935753065
de,lemma,106.0,54.0,6.0,3.0,0.0,6.0,0,0.0,0.0,5.0,4.0,184.0,0.5760869565217391,0.29347826086956524,0.03260869565217391,0.016304347826086956,0.0,0.03260869565217391,0.0,0.0,0.0,0.02717391304347826,0.021739130434782608,1.6577599381995096,0.47920008861239377
me,word,11.0,6.0,0.0,2.0,0.0,2.0,0,0.0,0.0,0.0,0.0,21.0,0.5238095238095238,0.2857142857142857,0.0,0.09523809523809523,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,1.6511972890007982,0.47730305756158303
lui,lemma,54.0,15.0,8.0,0.0,2.0,2.0,0,0.0,1.0,2.0,0.0,84.0,0.6428571428571429,0.17857142857142858,0.09523809523809523,0.0,0.023809523809523808,0.023809523809523808,0.0,0.0,0.011904761904761904,0.023809523809523808,0.0,1.637944993600724,0.4734722850934472
c'est,word,19.0,6.0,7.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,34.0,0.5588235294117647,0.17647058823529413,0.20588235294117646,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,1.6206427761280366,0.4684708226047905
ce,word,11.0,4.0,4.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,20.0,0.55,0.2,0.2,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1.6192407046368487,0.468065533052705
bon,word,13.0,2.0,1.0,0.0,0.0,2.0,0,2.0,0.0,0.0,0.0,20.0,0.65,0.1,0.05,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,1.6166422780956526,0.46731441933587436
bon,lemma,13.0,2.0,1.0,0.0,0.0,2.0,0,2.0,0.0,0.0,0.0,20.0,0.65,0.1,0.05,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,1.6166422780956526,0.46731441933587436
allez,word,7.0,0.0,0.0,2.0,0.0,2.0,0,1.0,0.0,0.0,0.0,12.0,0.5833333333333334,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,1.6140054628542204,0.46655220879607745
de,word,92.0,47.0,5.0,3.0,0.0,2.0,0,0.0,0.0,5.0,4.0,158.0,0.5822784810126582,0.2974683544303797,0.03164556962025317,0.0189873417721519,0.0,0.012658227848101266,0.0,0.0,0.0,0.03164556962025317,0.02531645569620253,1.6125937580686776,0.46614413459743237
avoir,lemma,84.0,20.0,9.0,4.0,1.0,8.0,0,0.0,0.0,1.0,0.0,127.0,0.6614173228346457,0.15748031496062992,0.07086614173228346,0.031496062992125984,0.007874015748031496,0.06299212598425197,0.0,0.0,0.0,0.007874015748031496,0.0,1.6034677542985916,0.46350612790265605
",",punctuation,26.0,3.0,2.0,2.0,0.0,4.0,0,0.0,0.0,1.0,0.0,38.0,0.6842105263157895,0.07894736842105263,0.05263157894736842,0.05263157894736842,0.0,0.10526315789473684,0.0,0.0,0.0,0.02631578947368421,0.0,1.590919087816431,0.4598787498054692
pas,word,74.0,18.0,7.0,2.0,2.0,10.0,0,0.0,0.0,0.0,0.0,113.0,0.6548672566371682,0.1592920353982301,0.061946902654867256,0.017699115044247787,0.017699115044247787,0.08849557522123894,0.0,0.0,0.0,0.0,0.0,1.586294320948101,0.4585418923739147
pas,lemma,74.0,18.0,7.0,2.0,2.0,10.0,0,0.0,0.0,0.0,0.0,113.0,0.6548672566371682,0.1592920353982301,0.061946902654867256,0.017699115044247787,0.017699115044247787,0.08849557522123894,0.0,0.0,0.0,0.0,0.0,1.586294320948101,0.4585418923739147
suicider,word,2.0,0.0,0.0,2.0,0.0,2.0,0,0.0,0.0,0.0,0.0,6.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.4581569099913262
croyais,word,2.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.4581569099913262
sort,word,2.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.4581569099913262
channgé,word,2.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.4581569099913262
channgé,lemma,2.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.4581569099913262
toiausssi,word,2.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.4581569099913262
croyais,lemma,2.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.4581569099913262
suicider,lemma,2.0,0.0,0.0,2.0,0.0,2.0,0,0.0,0.0,0.0,0.0,6.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.4581569099913262
thai,lemma,2.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.4581569099913262
tai,word,2.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.4581569099913262
toiausssi,lemma,2.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.4581569099913262
jvais,lemma,2.0,0.0,0.0,2.0,0.0,2.0,0,0.0,0.0,0.0,0.0,6.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.4581569099913262
voile,word,2.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.4581569099913262
voile,lemma,2.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.4581569099913262
jvais,word,2.0,0.0,0.0,2.0,0.0,2.0,0,0.0,0.0,0.0,0.0,6.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.4581569099913262
grvvv,lemma,2.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.4581569099913262
grvvv,word,2.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.4581569099913262
ptdrrr,lemma,2.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.4581569099913262
ptdrrr,word,2.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.4581569099913262
ce,lemma,12.0,4.0,4.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,21.0,0.5714285714285714,0.19047619047619047,0.19047619047619047,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,1.581862660461909,0.45726085520517373
son,word,5.0,4.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13.0,0.38461538461538464,0.3076923076923077,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5766212201074912,0.45574573915946837
grave,lemma,4.0,7.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,13.0,0.3076923076923077,0.5384615384615384,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,1.573402452417767,0.4548153066362806
est,word,12.0,5.0,1.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,21.0,0.5714285714285714,0.23809523809523808,0.047619047619047616,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,1.5645041853857053,0.45224313062212756
jte,word,3.0,3.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.0,0.375,0.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.561278124459133,0.45131058988069694
jte,lemma,3.0,3.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.0,0.375,0.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.561278124459133,0.45131058988069694
même,lemma,16.0,10.0,0.0,0.0,0.0,4.0,0,0.0,0.0,0.0,1.0,31.0,0.5161290322580645,0.3225806451612903,0.0,0.0,0.0,0.12903225806451613,0.0,0.0,0.0,0.0,0.03225806451612903,1.5600259571974036,0.4509486323686642
juive,word,7.0,3.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,12.0,0.5833333333333334,0.25,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,1.5510981710072647,0.44836792340420845
moi,lemma,53.0,11.0,0.0,4.0,0.0,8.0,0,1.0,0.0,2.0,0.0,79.0,0.6708860759493671,0.13924050632911392,0.0,0.05063291139240506,0.0,0.10126582278481013,0.0,0.012658227848101266,0.0,0.02531645569620253,0.0,1.548925914039637,0.44774000032114336
êtes,word,8.0,2.0,0.0,1.0,0.0,2.0,0,0.0,0.0,0.0,0.0,13.0,0.6153846153846154,0.15384615384615385,0.0,0.07692307692307693,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,1.5465935642949382,0.4470658000472794
un,lemma,53.0,21.0,4.0,1.0,0.0,2.0,0,0.0,0.0,4.0,0.0,85.0,0.6235294117647059,0.24705882352941178,0.047058823529411764,0.011764705882352941,0.0,0.023529411764705882,0.0,0.0,0.0,0.047058823529411764,0.0,1.5409385835470721,0.4454311440195665
a,word,49.0,14.0,6.0,1.0,0.0,4.0,0,0.0,0.0,1.0,0.0,75.0,0.6533333333333333,0.18666666666666668,0.08,0.013333333333333334,0.0,0.05333333333333334,0.0,0.0,0.0,0.013333333333333334,0.0,1.5363716734988329,0.4441110109596628
sont,word,2.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,1.0,5.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,1.5219280948873621,0.43993588041692927
que,lemma,34.0,11.0,3.0,0.0,0.0,2.0,0,0.0,0.0,1.0,1.0,52.0,0.6538461538461539,0.21153846153846154,0.057692307692307696,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.019230769230769232,0.019230769230769232,1.5123171814163756,0.4371577033836823
t'es,word,12.0,6.0,1.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,21.0,0.5714285714285714,0.2857142857142857,0.047619047619047616,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,1.509968612636817,0.4364788147573236
avoir,word,4.0,0.0,0.0,2.0,0.0,2.0,0,0.0,0.0,0.0,0.0,8.0,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.5,0.43359723947683176
seul,lemma,4.0,2.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,8.0,0.5,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.5,0.43359723947683176
pd,lemma,4.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.0,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.43359723947683176
pd,word,4.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.0,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.43359723947683176
tu,word,69.0,22.0,3.0,4.0,0.0,6.0,0,0.0,1.0,0.0,0.0,105.0,0.6571428571428571,0.20952380952380953,0.02857142857142857,0.0380952380952381,0.0,0.05714285714285714,0.0,0.0,0.009523809523809525,0.0,0.0,1.4965279401975073,0.4325935891130589
arthur,word,5.0,4.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11.0,0.45454545454545453,0.36363636363636365,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4949188482339508,0.43212845722408394
arthur,lemma,5.0,4.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11.0,0.45454545454545453,0.36363636363636365,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4949188482339508,0.43212845722408394
sortir,lemma,5.0,4.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11.0,0.45454545454545453,0.36363636363636365,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4949188482339508,0.43212845722408394
juif,lemma,9.0,5.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,16.0,0.5625,0.3125,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,1.4913146570363986,0.43108661232154705
ou,word,7.0,2.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,11.0,0.6363636363636364,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,1.4911148500551858,0.4310288551512257
votre,word,7.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,2.0,0.0,11.0,0.6363636363636364,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.18181818181818182,0.0,1.4911148500551854,0.4310288551512256
du,word,5.0,3.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,10.0,0.5,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.4854752972273344,0.42939865879253225
quoi,lemma,33.0,5.0,4.0,0.0,1.0,1.0,0,0.0,1.0,0.0,1.0,46.0,0.717391304347826,0.10869565217391304,0.08695652173913043,0.0,0.021739130434782608,0.021739130434782608,0.0,0.0,0.021739130434782608,0.0,0.021739130434782608,1.478460947072974,0.4273710568834292
quoi,word,33.0,5.0,4.0,0.0,1.0,1.0,0,0.0,1.0,0.0,1.0,46.0,0.717391304347826,0.10869565217391304,0.08695652173913043,0.0,0.021739130434782608,0.021739130434782608,0.0,0.0,0.021739130434782608,0.0,0.021739130434782608,1.478460947072974,0.4273710568834292
meme,word,11.0,8.0,0.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0,23.0,0.4782608695652174,0.34782608695652173,0.0,0.0,0.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,1.4777468341000446,0.427164631940938
des,word,24.0,9.0,3.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,38.0,0.631578947368421,0.23684210526315788,0.07894736842105263,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.02631578947368421,0.0,1.476261394168532,0.4267352435051297
bande,lemma,10.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,20.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,1.4609640474436811,0.42231331863098615
bande,word,10.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,20.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,1.4609640474436811,0.42231331863098615
sais,word,3.0,2.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.5,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272448,0.42178833920758835
tomber,lemma,3.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,1.0,6.0,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,1.4591479170272448,0.42178833920758835
