corpus,file_id,unit_id,start_idx,end_idx,text_span,remarque
LitteratureJeunesse,Desarthe_Frrrintek,a4_1621372450246,10114,10119,adore,amour
LitteratureJeunesse,Desarthe_Frrrintek,a4_1620758267109,30493,30514,C'est ton amoureuse ?,curiosité
LitteratureJeunesse,Desarthe_Frrrintek,a4_1622746524339,16227,16246,"Et là, c'est quoi ?",curiosité
LitteratureJeunesse,Desarthe_Frrrintek,a4_1620758665996,30847,30872,"Ça me faisait moins peur,",soulagement
LitteratureJeunesse,Friot_francais,a3_1616088766121,5907,5917,Par chance,soulagement
LitteratureJeunesse,Friot_francais,a3_1616088783876,5931,5979,le système auditif de la prof n’avait rien capté,soulagement
LitteratureJeunesse,Friot_francais,a3_1616179157717,4491,4501,surprise !,ironie
LitteratureJeunesse,Friot_francais,a3_1622218070903,15,19,aime,amour
LitteratureJeunesse,Friot_francais,a3_1622218072211,23,30,déteste,haine
LitteratureJeunesse,Friot_francais,a3_1622219690588,1705,1711,désirs,désir
LitteratureJeunesse,Friot_francais,a3_1622221506403,2870,2872,!,détermination
LitteratureJeunesse,Friot_francais,a3_1622222551850,3521,3535,repiqué du nez,ennui
LitteratureJeunesse,Friot_francais,a3_1622296936259,7021,7042,nettement moins épais,soulagement
LitteratureJeunesse,Friot_francais,a4_1616098370813,13201,13255,"C’était super, madame, qu’est-ce que vous lisez bien !",hypocrisie
LitteratureJeunesse,Friot_francais,a4_1616098374077,13257,13288,"Oui, oui, trop génial, madame !",hypocrisie
LitteratureJeunesse,Friot_francais,a4_1616102888372,11008,11023,tombe amoureuse,amour
LitteratureJeunesse,Friot_francais,a4_1616188185661,12489,12530,un FRISSON se répandit sur TOUT son corps,désir
LitteratureJeunesse,Friot_francais,a4_1621726373980,8749,8753,aime,amour
LitteratureJeunesse,Friot_francais,a4_1621778133370,9233,9238,bravo,ironie
LitteratureJeunesse,Friot_francais,a4_1621778138014,9160,9170,Très drôle,ironie
LitteratureJeunesse,Friot_francais,a5_1616099360057,15719,15737,un regard énamouré,amour
LitteratureJeunesse,Friot_francais,a5_1616348497754,15013,15030,Typique des profs,mépris
LitteratureJeunesse,Friot_francais,a5_1616349091933,15454,15470,a éclaté de rire,moquerie
LitteratureJeunesse,Friot_francais,a5_1616349184527,15472,15488,Quelle horreur,ironie
LitteratureJeunesse,Morgenstern_Anna,a5_1618517865532,2810,2819,adorerait,amour
LitteratureJeunesse,Morgenstern_Anna,a5_1618519797258,5086,5093,déteste,haine
LitteratureJeunesse,Morgenstern_Anna,a5_1621363911211,730,796,Mais alors comment font les parents Arthur avec tous ces enfants ?,curiosité
LitteratureJeunesse,Morgenstern_Anna,a5_1621365710037,1488,1512,"n’aime pas se lever tôt,",detester
LitteratureJeunesse,Morgenstern_Anna,a5_1621369078797,2520,2532,Heureusement,soulagement
LitteratureJeunesse,Morgenstern_Anna,a5_1621371318842,3557,3566,encourage,soutien
LitteratureJeunesse,Morgenstern_Anna,a5_1621372170199,4342,4347,adore,amour
LitteratureJeunesse,Morgenstern_Anna,a5_1621372234112,4494,4498,aime,amour
LitteratureJeunesse,Morgenstern_Anna,a5_1618519214182,4258,4301,le stage de radio qu’elles aimeraient faire,envie
LitteratureJeunesse,Morgenstern_Anna,a5_1621441845319,5166,5170,aime,amour
LitteratureJeunesse,Morgenstern_Anna,a5_1621444482294,6083,6105,avec un gentil sourire,empathie
LitteratureJeunesse,Morgenstern_Anna,a5_1621445806720,6903,6911,aimerait,amour
LitteratureJeunesse,Morgenstern_Anna,a5_1621446007343,7008,7030,se dépêcher d’expédier,"empressement, stress"
LitteratureJeunesse,Morgenstern_Anna,a5_1621447687397,8302,8313,l’encourage,soutien
LitteratureJeunesse,Morgenstern_Anna,a5_1621448351606,8823,8830,Alors ?,curiosité
LitteratureJeunesse,Morgenstern_Anna,a5_1621449128006,9158,9164,promis,devoir
LitteratureJeunesse,Morgenstern_Anna,a5_1621449355373,9403,9460,"Si je ne peux pas venir à la fête, la fête viendra à moi.",détermination
LitteratureJeunesse,Morgenstern_Anna,a5_1621449541213,9548,9560,est folle du,amour
LitteratureJeunesse,Morgenstern_Anna,a5_1621450056508,9759,9767,aimerait,amour
LitteratureJeunesse,Morgenstern_Anna,a5_1621450489832,10101,10131,Il voudrait être un grand chef,envie
LitteratureJeunesse,Morgenstern_Anna,a5_1621455592441,12397,12403,n’aime,amour
LitteratureJeunesse,Morgenstern_Anna,a5_1621455617566,12443,12451,aimerait,envie
LitteratureJeunesse,Morgenstern_Anna,a5_1621457205486,12613,12655,un petit bisou tendre au coin de la bouche,affection
LitteratureJeunesse,Morgenstern_Anna,a5_1621457233810,12695,12733,aimerait un jour recevoir un tel bisou,envie
LitteratureJeunesse,Morgenstern_Anna,a5_1621532115420,12135,12148,applaudissent,pitié
LitteratureJeunesse,Morgenstern_Anna,a5_1621532249472,12345,12382,voudrait rester avec eux toute sa vie,envie
LitteratureJeunesse,Morgenstern_Anna,a5_1621442862612,5373,5380,déteste,haine
LitteratureJeunesse,Morgenstern_Anna,a3_1622312717106,9467,9472,adore,amour
LitteratureJeunesse,Morgenstern_Anna,a3_1622312838895,11531,11536,adore,amour
LitteratureJeunesse,Morgenstern_Elisa,a3_1620894388847,930,942,elle aussi !,envie
LitteratureJeunesse,Morgenstern_Elisa,a3_1620894896435,967,1002,elle voudrait danser avec la troupe,envie
LitteratureJeunesse,Morgenstern_Elisa,a3_1620907825753,1126,1194,Elle se demande s’il n’existe pas une pilule pour changer de couleur,espoir
LitteratureJeunesse,Morgenstern_Elisa,a3_1620908105301,1398,1439,aimerait rester jusqu’à la fi n des temps,envie
LitteratureJeunesse,Morgenstern_Elisa,a3_1620908387032,1793,1817,espérant des autographes,"espoir, envie"
LitteratureJeunesse,Morgenstern_Elisa,a3_1620908598191,1949,1957,aimerait,envie
LitteratureJeunesse,Morgenstern_Elisa,a3_1621065554074,2633,2639,adorer,amour
LitteratureJeunesse,Morgenstern_Elisa,a3_1621066158007,4272,4284,Heureusement,soulagement
LitteratureJeunesse,Morgenstern_Elisa,a3_1621071997993,4740,4744,Love,politesse
LitteratureJeunesse,Morgenstern_Elisa,a3_1621360460417,5162,5169,supplie,espoir
LitteratureJeunesse,Morgenstern_Elisa,a3_1621361353940,5475,5488,aimerait bien,envie
LitteratureJeunesse,Morgenstern_Elisa,a3_1621533312517,6170,6176,espère,envie
LitteratureJeunesse,Morgenstern_Elisa,a3_1621534568978,283,288,merci,gratitude
LitteratureJeunesse,Morgenstern_Elisa,a3_1621543705958,4262,4266,Love,politesse
LitteratureJeunesse,Morgenstern_Elisa,a3_1621549455919,6510,6528,ce n’est pas grave,détermination
LitteratureJeunesse,Morgenstern_Elisa,a3_1621549883237,6721,6750,sait ce qui lui reste à faire,détermination
LitteratureJeunesse,Morgenstern_Elisa,a3_1621550810159,7385,7403,toujours confiante,confiante
LitteratureJeunesse,Morgenstern_Elisa,a3_1621551423630,7640,7648,bien sûr,détermination
LitteratureJeunesse,Morgenstern_Elisa,a3_1621551436292,7705,7715,absolument,détermination
LitteratureJeunesse,Morgenstern_Elisa,a3_1621551491110,8016,8053,comment diton « ballet » en anglais ?,curiosité
LitteratureJeunesse,Morgenstern_Elisa,a3_1621551518030,8478,8514,connaît aussi le langage du ballet ?,curiosité
LitteratureJeunesse,Morgenstern_Elisa,a3_1621584890102,9311,9343,aimerais faire un stage de danse,envie
LitteratureJeunesse,Morgenstern_Elisa,a3_1621588451122,5430,5436,promet,devoir
LitteratureJeunesse,Morgenstern_Elisa,a3_1621609693529,8061,8111,aussi oublié de noter les vêtements pour la danse,détermination
LitteratureJeunesse,Morgenstern_Elisa,a3_1621610844250,9266,9278,le remercier,gratitude
LitteratureJeunesse,Morgenstern_Elisa,a3_1621615330239,10743,10750,voulais,envie
LitteratureJeunesse,Morgenstern_Elisa,a3_1621619656339,10819,10845,j’aimerais être un chameau,envie
LitteratureJeunesse,Morgenstern_Elisa,a3_1621620211938,10943,10968,j’aimerais être une fille,envie
LitteratureJeunesse,Morgenstern_Elisa,a3_1621620501792,10996,11004,pourquoi,curiosité
LitteratureJeunesse,Morgenstern_Elisa,a3_1621621054246,11295,11300,Merci,gratitude
LitteratureJeunesse,Morgenstern_Elisa,a3_1621621190146,11341,11346,aimes,amour
LitteratureJeunesse,Morgenstern_Elisa,a3_1621622154517,11459,11469,j’aimerais,amour
LitteratureJeunesse,Morgenstern_Elisa,a3_1621625010288,12453,12471,décide de vérifier,détermination
LitteratureJeunesse,Morgenstern_Elisa,a3_1621626742292,12589,12645,pourquoi tout le vocabulaire de ballet est en français.,curiosité
LitteratureJeunesse,Morgenstern_Elisa,a3_1621626815829,12711,12714,Bon,détermination
LitteratureJeunesse,Morgenstern_Elisa,a3_1621626998166,13043,13076,du mal à garder les yeux ouverts,ennui
LitteratureJeunesse,Morgenstern_Elisa,a3_1621627068420,13090,13105,être passionnée,amour
LitteratureJeunesse,Morgenstern_Elisa,a3_1621627086243,13155,13177,la fait piquer du nez.,ennui
LitteratureJeunesse,Morgenstern_Elisa,a3_1621627567728,13254,13255,!,ennui
LitteratureJeunesse,Morgenstern_Elisa,a3_1621627584983,13267,13290,s’endormir complètement,ennui
LitteratureJeunesse,Morgenstern_Elisa,a3_1621628400423,13567,13572,Ouf !,soulagement
LitteratureJeunesse,Morgenstern_Elisa,a3_1621633090532,14558,14569,se consoler,soulagement
LitteratureJeunesse,Morgenstern_Elisa,a3_1621633866260,14988,15004,sèche ses larmes,détermination
LitteratureJeunesse,Morgenstern_Elisa,a3_1621634616961,9400,9412,persévérante,détermination
LitteratureJeunesse,Morgenstern_Elisa,a3_1621739194329,15678,15682,rêvé,envie
LitteratureJeunesse,Morgenstern_Elisa,a3_1621760092444,13412,13423,excusez-moi,autre
LitteratureJeunesse,Morgenstern_Elisa,a3_1621760093569,13412,13423,excusez-moi,politesse
LitteratureJeunesse,Morgenstern_Elisa,a3_1621760308012,13598,13629,Je n’en pouvais plus non plus !,soulagement
LitteratureJeunesse,Morgenstern_Elisa,a3_1621761495970,14672,14700,penser au fi lm Billy Elliot,nostalgie
LitteratureJeunesse,Morgenstern_Elisa,a3_1621538841299,1351,1391,voudrait que le ballet ne finisse jamais,envie
LitteratureJeunesse,Morgenstern_Flavia,a5_1618562671402,9774,9840,« Vous êtes des incompétents mais vous avez bien joué quand même »,ironie
LitteratureJeunesse,Morgenstern_Flavia,a5_1618563158056,11022,11030,se moque,moquerie
LitteratureJeunesse,Morgenstern_Flavia,a5_1618564189670,14482,14503,se sent toute flagada,amour
LitteratureJeunesse,Morgenstern_Flavia,a5_1620911782528,1013,1019,adorer,amour
LitteratureJeunesse,Morgenstern_Flavia,a5_1620912315583,1513,1523,sa passion,passion
LitteratureJeunesse,Morgenstern_Flavia,a5_1620912337077,1474,1489,donnerait envie,envie
LitteratureJeunesse,Morgenstern_Flavia,a5_1620913641970,2112,2121,pas envie,envie
LitteratureJeunesse,Morgenstern_Flavia,a5_1620915065316,3032,3036,aimé,amour
LitteratureJeunesse,Morgenstern_Flavia,a5_1620915188147,3125,3132,déteste,haine
LitteratureJeunesse,Morgenstern_Flavia,a5_1620915319357,3436,3472,"Qu’est-ce que tu as vu, ma chérie ?",curiosité
LitteratureJeunesse,Morgenstern_Flavia,a5_1621095620460,4245,4261,lui tombe dessus,"exitation, impatience"
LitteratureJeunesse,Morgenstern_Flavia,a5_1621095637408,4264,4290,Qu’est-ce que tu as fait ?,curiosité
LitteratureJeunesse,Morgenstern_Flavia,a5_1621095641424,4294,4304,questionne,curiosité
LitteratureJeunesse,Morgenstern_Flavia,a5_1621095644898,4313,4347,Qu’est-ce qu’il y a dans ton sac ?,curiosité
LitteratureJeunesse,Morgenstern_Flavia,a5_1621095647578,4348,4359,veut savoir,curiosité
LitteratureJeunesse,Morgenstern_Flavia,a5_1621097461433,7220,7242,le garçon de ses rêves,envie
LitteratureJeunesse,Morgenstern_Flavia,a5_1621097473572,7353,7360,d’amour,envie
LitteratureJeunesse,Morgenstern_Flavia,a5_1621097535797,7398,7402,rêve,envie
LitteratureJeunesse,Morgenstern_Flavia,a5_1621097776715,7773,7791,l’aime encore plus,amour
LitteratureJeunesse,Morgenstern_Flavia,a5_1621099350999,9608,9670,"les traiter de « nuls », de « minus » ou de « moins que rien »",mépris
LitteratureJeunesse,Morgenstern_Flavia,a5_1621099387812,9915,9924,remercies,gratitude
LitteratureJeunesse,Morgenstern_Flavia,a5_1621100855492,13166,13174,gentille,gentillesse
LitteratureJeunesse,Morgenstern_Flavia,a5_1621101249444,13507,13524,lui porter chance,envie
LitteratureJeunesse,Morgenstern_Flavia,a5_1621101470573,14368,14391,le champion de son cœur,amour
LitteratureJeunesse,Morgenstern_Flavia,a5_1621101509538,14596,14600,aime,amour
LitteratureJeunesse,Morgenstern_Flavia,a5_1621101692118,14969,14977,félicite,encouragement
LitteratureJeunesse,Morgenstern_Flavia,a5_1621185599496,4923,4940,propose gentiment,compassion
LitteratureJeunesse,Morgenstern_Flavia,a5_1621189507978,7830,7859,ne fait pas dans le sentiment,insensibilité
LitteratureJeunesse,Morgenstern_Flavia,a5_1621189842351,8250,8267,tant bien que mal,difficulté
LitteratureJeunesse,Morgenstern_Flavia,a5_1621276093604,9135,9143,"Hum, hum",gêne
LitteratureJeunesse,Morgenstern_Flavia,a5_1621278357847,10107,10115,aimerais,envie
LitteratureJeunesse,Morgenstern_Flavia,a5_1621280472804,10810,10844,tu veux bien faire une partie avec,envie
LitteratureJeunesse,Morgenstern_Flavia,a5_1621280500668,10850,10863,s’il te plaît,politesse
LitteratureJeunesse,Morgenstern_Flavia,a5_1621282133778,12399,12437,"Celles-là, jamais elle ne les perdra !",détermination
LitteratureJeunesse,Morgenstern_Flavia,a5_1621285353917,14535,14565,ne veut pas manquer l’occasion,envie
LitteratureJeunesse,Morgenstern_Flavia,a5_1621285590833,14832,14844,se concentre,détermination
LitteratureJeunesse,Morgenstern_mariage,a3_1621742327760,2271,2279,Et moi ?,curiosité
LitteratureJeunesse,Morgenstern_mariage,a3_1621744302676,3136,3141,adore,amour
LitteratureJeunesse,Morgenstern_mariage,a3_1621744311014,3077,3117,Qu’est-ce que tu vas porter comme robe ?,curiosité
LitteratureJeunesse,Morgenstern_mariage,a3_1621745458544,3997,4009,rêve le plus,envie
LitteratureJeunesse,Morgenstern_mariage,a3_1621747109146,4979,5025,aimerait bien en profiter pour sécher l’école.,envie
LitteratureJeunesse,Morgenstern_mariage,a3_1621748128238,5454,5462,aimerait,envie
LitteratureJeunesse,Morgenstern_mariage,a3_1621748836051,6258,6269,préférerait,envie
LitteratureJeunesse,Morgenstern_mariage,a3_1621749514150,6972,6980,amoureux,amour
LitteratureJeunesse,Morgenstern_mariage,a3_1621749520347,6993,7000,l’amour,amour
LitteratureJeunesse,Morgenstern_mariage,a3_1621749524877,7016,7023,passion,amour
LitteratureJeunesse,Morgenstern_mariage,a3_1621749778542,7465,7474,remercier,gratitude
LitteratureJeunesse,Morgenstern_mariage,a3_1621766239542,1371,1384,C’est vrai ça,curiosité
LitteratureJeunesse,Morgenstern_mariage,a3_1621766900313,1836,1841,amour,amour
LitteratureJeunesse,Morgenstern_mariage,a3_1621768599599,2832,2838,Promis,devoir
LitteratureJeunesse,Morgenstern_mariage,a3_1621768737130,3024,3032,embrasse,amour
LitteratureJeunesse,Morgenstern_mariage,a3_1621769151137,3186,3210,on s’habillera comment ?,curiosité
LitteratureJeunesse,Morgenstern_mariage,a3_1621769158799,3177,3184,Et nous,curiosité
LitteratureJeunesse,Morgenstern_mariage,a3_1621771860467,10707,10714,rassuré,soulagement
LitteratureJeunesse,Morgenstern_mariage,a3_1621776417685,4511,4532,Avec un peu de chance,espoir
LitteratureJeunesse,Morgenstern_mariage,a3_1621776871959,4740,4747,l’amour,amour
LitteratureJeunesse,Morgenstern_mariage,a3_1621776919966,4884,4912,mille questions à lui poser.,curiosité
LitteratureJeunesse,Morgenstern_mariage,a3_1621780119821,9061,9067,Promis,devoir
LitteratureJeunesse,Morgenstern_mariage,a3_1621782105285,11309,11320,s’intéresse,curiosité
LitteratureJeunesse,Morgenstern_mariage,a3_1621782112725,11263,11282,Qu’est-ce qu’il y a,curiosité
LitteratureJeunesse,Morgenstern_mariage,a3_1621782694823,11706,11713,rassure,soulagement
LitteratureJeunesse,Morgenstern_mariage,a3_1621782732999,11765,11776,l’interroge,curiosité
LitteratureJeunesse,Morgenstern_mariage,a3_1621782753175,11757,11762,alors,curiosité
LitteratureJeunesse,Morgenstern_mariage,a3_1621782833621,11850,11856,promet,devoir
LitteratureJeunesse,Morgenstern_mariage,a3_1621782969375,12024,12030,espère,envie
LitteratureJeunesse,Morgenstern_mariage,a3_1622407732327,12236,12248,se renseigne,curiosité
LitteratureJeunesse,Morgenstern_mariage,a3_1622407826437,12295,12301,J’aime,amour
LitteratureJeunesse,Morgenstern_mariage,a3_1622407942814,12423,12430,demande,curiosité
LitteratureJeunesse,Morgenstern_mariage,a3_1622407959220,12383,12422,montera en haut de la montagne à pied ?,curiosité
LitteratureJeunesse,Morgenstern_mariage,a3_1622408441452,13042,13048,s’aime,amour
LitteratureJeunesse,Morgenstern_mariage,a3_1622408820805,14314,14321,rassure,soulagement
LitteratureJeunesse,Morgenstern_mariage,a3_1622408862472,14420,14428,embrasse,amour
LitteratureJeunesse,Morgenstern_mariage,a3_1622409158245,15130,15136,aimait,amour
LitteratureJeunesse,Morgenstern_mariage,a3_1622409185290,15344,15351,s’aimer,amour
LitteratureJeunesse,Morgenstern_mariage,a3_1622409284385,15530,15536,s’aime,amour
LitteratureJeunesse,Morgenstern_mariage,a3_1622464613945,13108,13115,tralala,ennui
LitteratureJeunesse,Morgenstern_mariage,a3_1622477895115,13342,13351,embrasser,amour
LitteratureJeunesse,Morgenstern_mariage,a3_1622478099620,13418,13435,envie de partager,envie
LitteratureJeunesse,Morgenstern_mariage,a3_1622478136134,13526,13533,au fait,curiosité
LitteratureJeunesse,Morgenstern_mariage,a3_1623172227761,12710,12732,la tempête s’est calmé,soulagement
LitteratureJeunesse,Morgenstern_mariage,a3_1623215381000,15702,15707,amour,amour
LitteratureJeunesse,Morgenstern_mariage,a3_1623215391668,15729,15733,aime,amour
LitteratureJeunesse,Morgenstern_mariage,a3_1623220264156,17722,17757,ils ont tout un mariage à organiser,détermination
LitteratureJeunesse,Morgenstern_mariage,a3_1623228442974,23018,23026,s’aiment,amour
LitteratureJeunesse,Morgenstern_mariage,a1_1639742323182,23112,23119,L’amour,amour
LitteratureJeunesse,Morgenstern_mariage,a1_1639742334130,23181,23218,débordent d’affection et de tendresse,amour
LitteratureJeunesse,Morgenstern_mariage,a1_1639742343410,23274,23281,L’amour,amour
LitteratureJeunesse,Morgenstern_mariage,a1_1639742396329,23370,23377,L’amour,amour
LitteratureJeunesse,Morgenstern_mariage,a1_1639742403949,23450,23461,vous aimons,amour
LitteratureJeunesse,Morgenstern_mariage,a1_1639742413582,23488,23496,très ému,indéterminée
LitteratureJeunesse,Morgenstern_mariage,a1_1639742423135,23508,23517,en larmes,indéterminée
LitteratureJeunesse,Morgenstern_mariage,a3_1621753471367,8421,8434,"Heureusement,",soulagement
LitteratureJeunesse,Morgenstern_mariage,a3_1621753753551,8569,8587,voulait faire rire,envie
LitteratureJeunesse,encyclo_HV23_Elizabeth,a1a6_1620827604253,1794,1811,La grande passion,amour
LitteratureJeunesse,encyclo_HV23_Elizabeth,a1a6_1620827604254,1854,1870,adore les chiens,amour
LitteratureJeunesse,encyclo_HV23_Elizabeth,a1a6_1630249300775,1526,1541,soit très aimée,amour
LitteratureJeunesse,encyclo_SP-Vikidia_Ara-Spix,a1a6_1620827604387,1981,2091,"l'espoir qu'elles rejoignent le mâle et qu'ils s'accouplent, et qu'ils aient de nouveaux petits dans la nature",espoir
LitteratureJeunesse,encyclo_SP-Vikidia_Royaume-de-France,a1a6_1630269819911,206,274,veut étendre son domaine (le domaine royal) au détriment des princes,envie
LitteratureJeunesse,encyclo_SP-Vikidia_Royaume-de-France,a1a6_1630270444835,2320,2327,veulent,envie
LitteratureJeunesse,encyclo_SP-Vikidia_Royaume-de-France,a1a6_1630270445885,2332,2380,que le royaume tombe sous une influence anglaise,envie
LitteratureJeunesse,encyclo_SP-Vikidia_Royaume-de-France,a1a6_1630270467140,485,509,veut regagner ses terres,envie
LitteratureJeunesse,encyclo_Vikidia_Catherine-de-Russie,a1a6_1620827604658,1007,1017,séduisante,désir
LitteratureJeunesse,encyclo_Vikidia_Catherine-de-Russie,a1a6_1620827604664,1593,1645,"l'espoir qu'un jour, elle pourra gouverner la Russie",espoir
LitteratureJeunesse,encyclo_Vikidia_Catherine-de-Russie,a1a6_1630271702515,287,305,espéraient un fils,espoir
LitteratureJeunesse,encyclo_Vikidia_Catherine-de-Russie,a1a6_1630271717495,328,435,souhaitent la fiancer à un prince d'un État voisin pour renforcer la puissance et le prestige de la famille,envie
LitteratureJeunesse,encyclo_Vikidia_Halloween,a1a6_1620827604686,281,290,détestées,haine
LitteratureJeunesse,encyclo_Vikidia_Napoleon,a1a6_1620827604790,735,744,détestent,haine
LitteratureJeunesse,encyclo_Vikidia_Tintin,a1a6_1620827604843,942,951,courageux,courage
LitteratureJeunesse,fiction_Alector_Diable-et-paysan_Rabelais,a1a6_1630854973895,2132,2141,moqueries,mépris
LitteratureJeunesse,fiction_Alector_Diable-et-paysan_Rabelais,a1a6_1630855121022,690,699,veux bien,envie
LitteratureJeunesse,fiction_Alector_Dragonne-de-minuit_Laroche,a1a6_1620827604946,530,575,passionné par l’étude des plantes médicinales,amour
LitteratureJeunesse,fiction_Alector_Dragonne-de-minuit_Laroche,a1a6_1620827604953,762,800,chérissait son fils au plus haut point,amour
LitteratureJeunesse,fiction_Alector_Dragonne-de-minuit_Laroche,a1a6_1630855738738,299,360,bouleverserait définitivement l’existence de l’un d’entre eux,indéterminée
LitteratureJeunesse,fiction_Alector_Dragonne-de-minuit_Laroche,a1a6_1630857000397,2104,2129,s’était nullement apaisée,soulagement
LitteratureJeunesse,fiction_Alector_Emilie-et-le-crayon_Bichonnier,a1a6_1620827604987,565,574,passionne,amour
LitteratureJeunesse,fiction_Alector_Harry_Rowling,a1a6_1620827605013,1325,1335,bon à rien,mépris
LitteratureJeunesse,fiction_Alector_Harry_Rowling,a1a6_1630870223344,890,899,voulaient,envie
LitteratureJeunesse,fiction_Alector_Les-boites-de-peinture_Ayme,a1a6_1620827605076,1250,1258,Bien sûr,détermination
LitteratureJeunesse,fiction_Alector_Les-boites-de-peinture_Ayme,a1a6_1630870659185,356,364,souhaita,envie
LitteratureJeunesse,fiction_Alector_Les-boites-de-peinture_Ayme,a1a6_1630870663402,373,377,veux,envie
