corpus,file_id,unit_id,type,start_idx,end_idx,text_span,source_unit_ids,segments,is_discontinuous,discontinuous_group_id,mode,categorie1,categorie2,nature,declencheur,remarque
Albert_dataset,Albert1-Pikachu,a2_1614612623187,SitEmo,2371,2535,craignent que les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école,"[""a2_1614612623187""]","[[2371, 2535]]",False,,Designee,Peur,Aucune,Proposition,craignent,
Albert_dataset,Albert1-Pikachu,a2_1614612775363,SitEmo,1941,1952,inquiétudes,"[""a2_1614612775363""]","[[1941, 1952]]",False,,Designee,Peur,Aucune,SN,inquiétudes,
Albert_dataset,Albert1-Pikachu,a2_1614787532792,SitEmo,292,301,un danger,"[""a2_1614787532792""]","[[292, 301]]",False,,Suggeree,Peur,Aucune,SN,danger,
Albert_dataset,Albert1-Pikachu,a2_1619001350532,SitEmo,1992,2107,des personnes mal intentionnées s’introduisent sur des sites militaires protégés où les activités sont top secrètes,"[""a2_1619001350532""]","[[1992, 2107]]",False,,Suggeree,Peur,Aucune,Proposition,mal intentionnées,
Albert_dataset,Albert1-Pikachu,a2_1619001578915,SitEmo,2243,2328,certains militaires pourraient finir par devenir dépendants et délaisser leur travail,"[""a2_1619001578915""]","[[2243, 2328]]",False,,Suggeree,Peur,Aucune,Proposition,dépendants,
Albert_dataset,Albert1-Pikachu,a2_1619001648424,SitEmo,2385,2535,les enfants qui possèdent un téléphone portable le sortent pendant les cours pour chercher des Pokémon dans les salles ou dans les couloirs de l’école,"[""a2_1619001648424""]","[[2385, 2535]]",False,,Suggeree,Peur,Aucune,Proposition,les enfants qui possèdent un téléphone portable le sortent pendant les cours,
Albert_dataset,Albert1-agriculture_lait,a2_1614596271826,SitEmo,164,170,colère,"[""a2_1614596271826""]","[[164, 170]]",False,,Designee,Colere,Aucune,SN,colère,
Albert_dataset,Albert1-agriculture_lait,a2_1614596601944,SitEmo,258,302,ne leur achète pas le lait suffisamment cher,"[""a2_1614596601944""]","[[258, 302]]",False,,Suggeree,Colere,Aucune,Proposition,pas suffisamment cher,
Albert_dataset,Albert1-agriculture_lait,a2_1614597168886,SitEmo,1235,1247,de protester,"[""a2_1614597168886""]","[[1235, 1247]]",False,,Comportementale,Colere,Aucune,Proposition,protester,
Albert_dataset,Albert1-agriculture_lait,a2_1614597422615,SitEmo,3153,3167,pas acceptable,"[""a2_1614597422615""]","[[3153, 3167]]",False,,Suggeree,Colere,Aucune,SAdj,pas acceptable,
Albert_dataset,Albert1-agriculture_lait,a1_1614605876026,SitEmo,3253,3300,ne pas être suffisamment impliqué à leurs côtés,"[""a1_1614605876026""]","[[3253, 3300]]",False,,Suggeree,Colere,Aucune,SPrep,ne pas être impliqué,
Albert_dataset,Albert1-agriculture_lait,a1_1614606179374,SitEmo,1301,1334,pour réclamer une hausse des prix,"[""a1_1614606179374""]","[[1301, 1334]]",False,,Comportementale,Colere,Aucune,Proposition,réclamer,
Albert_dataset,Albert1-agriculture_lait,a2_1618998527640,SitEmo,1248,1299,"en bloquant le siège de l’entreprise, situé à Laval","[""a2_1618998527640""]","[[1248, 1299]]",False,,Comportementale,Colere,Aucune,Proposition,bloquant,
Albert_dataset,Albert1-agriculture_lait,a2_1614597551765,SitEmo,3225,3300,reprochaient au ministre de ne pas être suffisamment impliqué à leurs côtés,"[""a2_1614597551765""]","[[3225, 3300]]",False,,Comportementale,Colere,Aucune,Proposition,reprochaient,
Albert_dataset,Albert1-agriculture_lait,discontinuous:a2_1614596824133+a2_1618998351504,SitEmo,67,124,ont bloqué le siège de la société Lactalis,"[""a2_1614596824133"", ""a2_1618998351504""]","[[67, 77], [93, 124]]",True,discontinuous:a2_1614596824133+a2_1618998351504,Comportementale,Colere,Aucune,Proposition,bloqué,
Albert_dataset,Albert1-un_an_sur_Mars,a2_1619002142923,SitEmo,1742,1751,étonnante,"[""a2_1619002142923""]","[[1742, 1751]]",False,,Designee,Surprise,Aucune,SAdj,étonnante,
Albert_dataset,Albert10-EtatsUnis,a2_1615464317521,SitEmo,504,516,ont protesté,"[""a2_1615464317521""]","[[504, 516]]",False,,Comportementale,Colere,Aucune,Proposition,protesté,
Albert_dataset,Albert10-EtatsUnis,a2_1615464433237,SitEmo,540,645,accusée de discriminer les musulmans et de sous-entendre qu’ils sont tous potentiellement des terroristes,"[""a2_1615464433237""]","[[540, 645]]",False,,Suggeree,Colere,Aucune,SAdj,accusée,
Albert_dataset,Albert10-EtatsUnis,a2_1615465680402,SitEmo,779,788,la colère,"[""a2_1615465680402""]","[[779, 788]]",False,,Designee,Colere,Aucune,SN,colère,
Albert_dataset,Albert10-EtatsUnis,a2_1615466169056,SitEmo,810,844,a jugé cette décision « ridicule »,"[""a2_1615466169056""]","[[810, 844]]",False,,Suggeree,Colere,Aucune,Proposition,jugé; ridicule,
Albert_dataset,Albert10-EtatsUnis,a2_1619691123984,SitEmo,551,645,discriminer les musulmans et de sous-entendre qu’ils sont tous potentiellement des terroristes,"[""a2_1619691123984""]","[[551, 645]]",False,,Suggeree,Colere,Aucune,Proposition,discriminer; terroristes,
Albert_dataset,Albert10-Philippines,a2_1615468857481,SitEmo,621,644,dénoncent ces pratiques,"[""a2_1615468857481""]","[[621, 644]]",False,,Comportementale,Colere,Aucune,Proposition,dénoncent,
Albert_dataset,Albert10-Yemen,a2_1615469886825,SitEmo,623,635,s’inquiètent,"[""a2_1615469886825""]","[[623, 635]]",False,,Designee,Peur,Aucune,Proposition,s'inquiètent,
Albert_dataset,Albert10-Yemen,a2_1619173177084,SitEmo,59,76,une guerre civile,"[""a2_1619173177084""]","[[59, 76]]",False,,Comportementale,Colere,Aucune,SN,guerre,
Albert_dataset,Albert10-Yemen,a2_1619173320110,SitEmo,649,702,"les habitants, qui commencent à manquer de nourriture","[""a2_1619173320110""]","[[649, 702]]",False,,Suggeree,Peur,Aucune,Proposition,manquer,
Albert_dataset,Albert10-Yemen,a2_1619692663792,SitEmo,48,76,au coeur d’une guerre civile,"[""a2_1619692663792""]","[[48, 76]]",False,,Suggeree,Peur,Aucune,SN,guerre,
Albert_dataset,Albert10-ca_useules_souliers,a2_1615571317028,SitEmo,126,135,admirable,"[""a2_1615571317028""]","[[126, 135]]",False,,Designee,Admiration,Aucune,SAdj,admirable,
Albert_dataset,Albert10-ca_useules_souliers,a2_1619102350871,SitEmo,435,446,cet exploit,"[""a2_1619102350871""]","[[435, 446]]",False,,Suggeree,Admiration,Aucune,SN,exploit,
Albert_dataset,Albert10-ca_useules_souliers,a2_1619102449764,SitEmo,405,446,la deuxième femme à accomplir cet exploit,"[""a2_1619102449764""]","[[405, 446]]",False,,Suggeree,Joie,Fierte,SN,deuxième; exploit,
Albert_dataset,Albert10-guerre_double_peine_enfants,a2_1615466774397,SitEmo,2190,2201,ont dû fuir,"[""a2_1615466774397""]","[[2190, 2201]]",False,,Comportementale,Peur,Aucune,Proposition,fuir,
Albert_dataset,Albert10-guerre_double_peine_enfants,a2_1615466958684,SitEmo,2377,2381,même,"[""a2_1615466958684""]","[[2377, 2381]]",False,,Montree,Tristesse,Aucune,SAdv,même,
Albert_dataset,Albert10-guerre_double_peine_enfants,a2_1619168510075,SitEmo,517,541,beaucoup plus inquiétant,"[""a2_1619168510075""]","[[517, 541]]",False,,Designee,Peur,Aucune,SAdj,inquiétant,
Albert_dataset,Albert10-guerre_double_peine_enfants,a2_1619171765894,SitEmo,738,774,sont kidnappés par des groupes armés,"[""a2_1619171765894""]","[[738, 774]]",False,,Suggeree,Peur,Aucune,Proposition,kidnappés,
Albert_dataset,Albert10-guerre_double_peine_enfants,a2_1619171852292,SitEmo,2235,2292,trouver refuge dans une autre ville ou dans un autre pays,"[""a2_1619171852292""]","[[2235, 2292]]",False,,Comportementale,Peur,Aucune,Proposition,refuge,
Albert_dataset,Albert10-guerre_double_peine_enfants,a2_1619691510973,SitEmo,1682,1708,les écoles sont bombardées,"[""a2_1619691510973""]","[[1682, 1708]]",False,,Suggeree,Peur,Aucune,Proposition,bombardées,
Albert_dataset,Albert10-guerre_double_peine_enfants,discontinuous:a2_1619691365203+a2_1619691372553,SitEmo,300,339,sont enlevés par des groupes armés,"[""a2_1619691365203"", ""a2_1619691372553""]","[[300, 304], [310, 339]]",True,discontinuous:a2_1619691365203+a2_1619691372553,Suggeree,Peur,Aucune,Proposition,enlevés,
Albert_dataset,Albert10-nouvelle_mascotte,a2_1619172014304,SitEmo,83,105,la nouvelle coqueluche,"[""a2_1619172014304""]","[[83, 105]]",False,,Designee,Admiration,Aucune,SN,coqueluche,
Albert_dataset,Albert10-truc_de_wouf,a2_1615469693462,SitEmo,152,155,...,"[""a2_1615469693462""]","[[152, 155]]",False,,Montree,Surprise,Aucune,Points de suspension,...,
Albert_dataset,Albert10-truc_de_wouf,a2_1615469752982,SitEmo,172,173,!,"[""a2_1615469752982""]","[[172, 173]]",False,,Montree,Surprise,Aucune,Point d'exclamation,!,
Albert_dataset,Albert11_1917_la_Russie_entre_en_revolution,a2_1615471303207,SitEmo,239,250,des ravages,"[""a2_1615471303207""]","[[239, 250]]",False,,Suggeree,Tristesse,Aucune,SN,ravages,
Albert_dataset,Albert11_1917_la_Russie_entre_en_revolution,a2_1615472084077,SitEmo,896,907,manifestent,"[""a2_1615472084077""]","[[896, 907]]",False,,Comportementale,Colere,Aucune,Proposition,manifestent,
Albert_dataset,Albert11_1917_la_Russie_entre_en_revolution,a2_1615472565595,SitEmo,1245,1262,le mécontentement,"[""a2_1615472565595""]","[[1245, 1262]]",False,,Designee,Colere,Aucune,SN,mécontentement,
Albert_dataset,Albert11_1917_la_Russie_entre_en_revolution,a2_1615474388609,SitEmo,1345,1373,le mouvement de contestation,"[""a2_1615474388609""]","[[1345, 1373]]",False,,Suggeree,Colere,Aucune,Proposition,contestation,
Albert_dataset,Albert11_1917_la_Russie_entre_en_revolution,a2_1615572485037,SitEmo,989,1003,les rejoignent,"[""a2_1615572485037""]","[[989, 1003]]",False,,Comportementale,Colere,Aucune,Proposition,rejoignent,
Albert_dataset,Albert11_1917_la_Russie_entre_en_revolution,a2_1619173573356,SitEmo,834,854,de nombreuses grèves,"[""a2_1619173573356""]","[[834, 854]]",False,,Comportementale,Colere,Aucune,SN,grèves,
Albert_dataset,Albert11_1917_la_Russie_entre_en_revolution,a2_1619173604504,SitEmo,929,945,réclamer du pain,"[""a2_1619173604504""]","[[929, 945]]",False,,Comportementale,Colere,Aucune,Proposition,réclamer,
Albert_dataset,Albert11_1917_la_Russie_entre_en_revolution,a2_1619173643198,SitEmo,1017,1025,la grève,"[""a2_1619173643198""]","[[1017, 1025]]",False,,Comportementale,Colere,Aucune,SN,grève,
Albert_dataset,Albert11_Cure_de_jouvence,a2_1619173948243,SitEmo,452,461,la fierté,"[""a2_1619173948243""]","[[452, 461]]",False,,Designee,Fierte,Aucune,SN,fierté,
Albert_dataset,Albert11_Facebook_outil_double_tranchant,a2_1621437691887,SitEmo,2906,2929,victimes de harcèlement,"[""a2_1621437691887""]","[[2906, 2929]]",False,,Suggeree,Peur,Tristesse,SN,victimes; harcèlement,
Albert_dataset,Albert11_Facebook_outil_double_tranchant,a2_1621438048958,SitEmo,4272,4284,a été accusé,"[""a2_1621438048958""]","[[4272, 4284]]",False,,Comportementale,Colere,Aucune,Proposition,accusé,
Albert_dataset,Albert11_Facebook_outil_double_tranchant,a2_1621438054359,SitEmo,4287,4391,avoir influencé l’élection présidentielle américaine en permettant à de fausses informations de circuler,"[""a2_1621438054359""]","[[4287, 4391]]",False,,Suggeree,Colere,Aucune,Proposition,influencé; fausses informations,
Albert_dataset,Albert11_Facebook_outil_double_tranchant,discontinuous:a2_1621437754964+a2_1621437777774,SitEmo,3105,3144,victime de cyberharcèlement,"[""a2_1621437754964"", ""a2_1621437777774""]","[[3105, 3112], [3125, 3144]]",True,discontinuous:a2_1621437754964+a2_1621437777774,Suggeree,Peur,Tristesse,SN,victime; cyberharcèlement,
Albert_dataset,Albert11_Inde,discontinuous:a2_1619699295860+a2_1619699305582,SitEmo,611,711,"les conséquences de cette marée noire s’annoncent catastrophiques, surtout pour l’environnement","[""a2_1619699295860"", ""a2_1619699305582""]","[[611, 660], [666, 711]]",True,discontinuous:a2_1619699295860+a2_1619699305582,Suggeree,Peur,Aucune,Proposition,catastrophiques,
Albert_dataset,Albert11_Jeux_olympiques_Paris_2024,a2_1617097924379,SitEmo,470,490,une grosse déception,"[""a2_1617097924379""]","[[470, 490]]",False,,Designee,Tristesse,Aucune,SN,déception,
Albert_dataset,Albert11_Jeux_olympiques_Paris_2024,a2_1619174515876,SitEmo,1007,1049,ne voulaient pas des JO dans leur capitale,"[""a2_1619174515876""]","[[1007, 1049]]",False,,Suggeree,Colere,Aucune,Proposition,ne voulaient pas,
Albert_dataset,Albert11_Jeux_olympiques_Paris_2024,a2_1619174571736,SitEmo,1069,1097,coûterait trop cher à l’État,"[""a2_1619174571736""]","[[1069, 1097]]",False,,Suggeree,Colere,Aucune,Proposition,trop cher,
Albert_dataset,Albert11_Jeux_olympiques_Paris_2024,a2_1619174680258,SitEmo,429,463,l’échec de la candidature de Paris,"[""a2_1619174680258""]","[[429, 463]]",False,,Suggeree,Tristesse,Aucune,SN,échec,
Albert_dataset,Albert11_Jeux_olympiques_Paris_2024,a2_1619699768946,SitEmo,2008,2023,une grande fête,"[""a2_1619699768946""]","[[2008, 2023]]",False,,Suggeree,Joie,Aucune,SN,fête,
Albert_dataset,Albert11_Le_malade_imaginaire,a2_1615813445127,SitEmo,288,291,...,"[""a2_1615813445127""]","[[288, 291]]",False,,Montree,Surprise,Aucune,Points de suspension,...,
Albert_dataset,Albert11_Le_tombeau_de_Toutankhamon,a2_1619174923758,SitEmo,1957,1972,enthousiasmante,"[""a2_1619174923758""]","[[1957, 1972]]",False,,Designee,Joie,Aucune,SAdj,enthousiasmante,
Albert_dataset,Albert11_Roumanie,a2_1615814629429,SitEmo,87,100,ont manifesté,"[""a2_1615814629429""]","[[87, 100]]",False,,Comportementale,Colere,Aucune,Proposition,manifesté,
Albert_dataset,Albert11_Roumanie,a2_1615814890923,SitEmo,543,553,manifester,"[""a2_1615814890923""]","[[543, 553]]",False,,Comportementale,Colere,Aucune,Proposition,manifester,
Albert_dataset,Albert11_Roumanie,a2_1615814941857,SitEmo,772,810,se rebeller contre son régime très dur,"[""a2_1615814941857""]","[[772, 810]]",False,,Comportementale,Colere,Aucune,Proposition,se rebeller,
Albert_dataset,Albert11_Roumanie,a2_1619175045912,SitEmo,106,143,réclamer la démission du gouvernement,"[""a2_1619175045912""]","[[106, 143]]",False,,Comportementale,Colere,Aucune,Proposition,réclamer,
Albert_dataset,Albert11_Roumanie,a2_1619175248452,SitEmo,784,810,contre son régime très dur,"[""a2_1619175248452""]","[[784, 810]]",False,,Suggeree,Colere,Aucune,SPrep,dur,
Albert_dataset,Albert11_Roumanie,a2_1619604310764,SitEmo,237,376,avoir voté le 31 janvier des lois qui permettent à des hommes politiques d’échapper à la prison s’ils sont reconnus coupables de corruption,"[""a2_1619604310764""]","[[237, 376]]",False,,Suggeree,Colere,Aucune,Proposition,échapper à la prison; corruption,
Albert_dataset,Albert11_Roumanie,discontinuous:a2_1615814724351+a2_1619604294773,SitEmo,158,376,reprochent à leur nouveau gouvernement d’avoir voté le 31 janvier des lois qui permettent à des hommes politiques d’échapper à la prison s’ils sont reconnus coupables de corruption,"[""a2_1615814724351"", ""a2_1619604294773""]","[[158, 196], [235, 376]]",True,discontinuous:a2_1615814724351+a2_1619604294773,Comportementale,Colere,Aucune,Proposition,reprochent,
Albert_dataset,Albert11_Somalie,a2_1615815161913,SitEmo,111,157,fêter la victoire de Mohamed Abdullahi Mohamed,"[""a2_1615815161913""]","[[111, 157]]",False,,Suggeree,Joie,Aucune,Proposition,fêter; victoire,
Albert_dataset,Albert11_Somalie,a2_1615815360777,Autre,268,276,l’espoir,"[""a2_1615815360777""]","[[268, 276]]",False,,,,,,,espoir
Albert_dataset,Albert11_Somalie,a2_1619175340403,SitEmo,77,105,sont descendus dans les rues,"[""a2_1619175340403""]","[[77, 105]]",False,,Comportementale,Joie,Aucune,Proposition,descendues,
Albert_dataset,Albert11_Voleur_du_dimanche,a2_1621943477089,SitEmo,19,68,On pourrait croire qu’il s’agit d’un film comique,"[""a2_1621943477089""]","[[19, 68]]",False,,Montree,Surprise,Aucune,Proposition,On pourrait croire qu'il s'agit d'un film comique,
Albert_dataset,Albert11_Voleur_du_dimanche,a2_1621943561002,SitEmo,303,306,...,"[""a2_1621943561002""]","[[303, 306]]",False,,Montree,Surprise,Aucune,Points de suspension,...,
Albert_dataset,Albert11_Voleur_du_dimanche,a2_1621943585316,SitEmo,366,367,!,"[""a2_1621943585316""]","[[366, 367]]",False,,Montree,Surprise,Aucune,Point d'exclamation,!,
Albert_dataset,Albert11_Voleur_du_dimanche,a2_1621943631790,SitEmo,441,448,effrayé,"[""a2_1621943631790""]","[[441, 448]]",False,,Designee,Peur,Aucune,SAdj,effrayé,
Albert_dataset,Albert11_Voleur_du_dimanche,a2_1621943652960,SitEmo,423,439,prendre la fuite,"[""a2_1621943652960""]","[[423, 439]]",False,,Comportementale,Peur,Aucune,Proposition,prendre la fuite,
Albert_dataset,Albert11_Voleur_du_dimanche,a2_1621943718137,SitEmo,492,511,en ont tellement ri,"[""a2_1621943718137""]","[[492, 511]]",False,,Comportementale,Joie,Aucune,Proposition,ri,
Albert_dataset,Albert12_Accident_de_selfie,a2_1619181325512,SitEmo,521,530,maladroit,"[""a2_1619181325512""]","[[521, 530]]",False,,Suggeree,Embarras,Aucune,SAdj,maladroit,
Albert_dataset,Albert12_Bresil,a2_1615816686460,SitEmo,749,790,n’avait pas remporté le titre depuis 1984,"[""a2_1615816686460""]","[[749, 790]]",False,,Suggeree,Joie,Aucune,Proposition,remporté le titre,
Albert_dataset,Albert12_Bresil,a2_1619182878785,SitEmo,735,742,a gagné,"[""a2_1619182878785""]","[[735, 742]]",False,,Suggeree,Joie,Aucune,Proposition,gagné,
Albert_dataset,Albert12_Bresil,a2_1619183079648,SitEmo,283,346,un char appartenant à une école de samba a percuté les tribunes,"[""a2_1619183079648""]","[[283, 346]]",False,,Suggeree,Peur,Surprise,Proposition,percuté,
Albert_dataset,Albert12_Bresil,a2_1619183171984,SitEmo,452,495,la plateforme d’un char qui s’est effondrée,"[""a2_1619183171984""]","[[452, 495]]",False,,Suggeree,Peur,Surprise,Proposition,effondrée,
Albert_dataset,Albert12_Bresil,a2_1620046772942,SitEmo,73,156,"s’animent au rythme du carnaval, de ses chars gigantesques et des danseurs de samba","[""a2_1620046772942""]","[[73, 156]]",False,,Suggeree,Joie,Aucune,Proposition,s'animent; carnaval,
Albert_dataset,Albert12_Fashion_victim,a2_1615816918712,SitEmo,47,55,insolite,"[""a2_1615816918712""]","[[47, 55]]",False,,Designee,Surprise,Aucune,SAdj,insolite,
Albert_dataset,Albert12_Infos_intox_distinguer_le_vrai_du_faux,a2_1619183824752,SitEmo,2713,2725,a été accusé,"[""a2_1619183824752""]","[[2713, 2725]]",False,,Comportementale,Colere,Aucune,Proposition,accusé,
Albert_dataset,Albert12_Infos_intox_distinguer_le_vrai_du_faux,a2_1619183898336,SitEmo,2726,2823,d’avoir permis à de fausses informations de circuler pendant l’élection présidentielle américaine,"[""a2_1619183898336""]","[[2726, 2823]]",False,,Suggeree,Colere,Aucune,Proposition,fausses informations,
Albert_dataset,Albert12_Infos_intox_distinguer_le_vrai_du_faux,a2_1621512414712,SitEmo,1250,1260,faire rire,"[""a2_1621512414712""]","[[1250, 1260]]",False,,Comportementale,Joie,Aucune,Proposition,rire,
Albert_dataset,Albert12_L_assassinat_de_Cesar,a2_1615818350269,SitEmo,1104,1112,inquiète,"[""a2_1615818350269""]","[[1104, 1112]]",False,,Designee,Peur,Aucune,SAdv,inquiète,
Albert_dataset,Albert12_L_assassinat_de_Cesar,a2_1615818608789,SitEmo,1253,1257,peur,"[""a2_1615818608789""]","[[1253, 1257]]",False,,Designee,Peur,Aucune,Proposition,peur,
Albert_dataset,Albert12_L_assassinat_de_Cesar,a2_1619184183108,SitEmo,1813,1832,reçoit les honneurs,"[""a2_1619184183108""]","[[1813, 1832]]",False,,Comportementale,Admiration,Aucune,SN,honneurs,
Albert_dataset,Albert12_Mayotte,discontinuous:a2_1620743403626+a2_1620743394117,SitEmo,105,199,"fait face à une forte sécheresse, ce qui a entraîné une grave pénurie d’eau","[""a2_1620743403626"", ""a2_1620743394117""]","[[105, 114], [134, 199]]",True,discontinuous:a2_1620743403626+a2_1620743394117,Suggeree,Peur,Aucune,Proposition,fait face; sécheresse; pénurie d'eau,
Albert_dataset,Albert12_Soudan_du_Sud,a2_1615822576100,SitEmo,716,765,"fuir la famine, la guerre civile et la sécheresse","[""a2_1615822576100""]","[[716, 765]]",False,,Comportementale,Peur,Aucune,Proposition,fuir,
Albert_dataset,Albert12_Soudan_du_Sud,a2_1615822707263,SitEmo,668,710,tentent de trouver refuge au Soudan voisin,"[""a2_1615822707263""]","[[668, 710]]",False,,Suggeree,Peur,Aucune,Proposition,trouver refuge,
Albert_dataset,Albert12_Soudan_du_Sud,a2_1616422349510,SitEmo,89,117,en proie à une guerre civile,"[""a2_1616422349510""]","[[89, 117]]",False,,Suggeree,Colere,Tristesse,SPrep,crise,
Albert_dataset,Albert12_Soudan_du_Sud,a2_1619187731510,SitEmo,313,349,risquent de souffrir de malnutrition,"[""a2_1619187731510""]","[[313, 349]]",False,,Suggeree,Peur,Aucune,Proposition,souffrir,
Albert_dataset,Albert12_Soudan_du_Sud,a2_1620743797416,SitEmo,156,184,ont déclaré l’état de famine,"[""a2_1620743797416""]","[[156, 184]]",False,,Suggeree,Peur,Aucune,Proposition,famine,
Albert_dataset,Albert12_Soudan_du_Sud,discontinuous:a2_1619187632924+a2_1619187635382,SitEmo,805,833,auraient quitté le pays,"[""a2_1619187632924"", ""a2_1619187635382""]","[[805, 813], [819, 833]]",True,discontinuous:a2_1619187632924+a2_1619187635382,Comportementale,Peur,Aucune,Proposition,quitté le pays,
Albert_dataset,Albert13_2_avril_la_naissance_de_Charlemagne,a2_1615891083059,SitEmo,1283,1304,l’accuse d’immoralité,"[""a2_1615891083059""]","[[1283, 1304]]",False,,Comportementale,Colere,Aucune,Proposition,accuse,
Albert_dataset,Albert13_2_avril_la_naissance_de_Charlemagne,a2_1619600243019,SitEmo,1294,1304,immoralité,"[""a2_1619600243019""]","[[1294, 1304]]",False,,Suggeree,Colere,Aucune,SN,immoralité,
Albert_dataset,Albert13_2_avril_la_naissance_de_Charlemagne,discontinuous:a2_1615891193003+a2_1619600289217,SitEmo,1818,1864,se disputeront la succession de l’empire,"[""a2_1615891193003"", ""a2_1619600289217""]","[[1818, 1832], [1839, 1864]]",True,discontinuous:a2_1615891193003+a2_1619600289217,Comportementale,Colere,Aucune,Proposition,se disputeront,
Albert_dataset,Albert13_Coree_du_Sud,a2_1616422797696,SitEmo,317,411,avoir forcé des entreprises à donner de l’argent à des fondations qui soutenaient sa politique,"[""a2_1616422797696""]","[[317, 411]]",False,,Suggeree,Colere,Aucune,SPrep,forcé,
Albert_dataset,Albert13_Coree_du_Sud,a2_1615892157054,SitEmo,306,411,l’accuse d’avoir forcé des entreprises à donner de l’argent à des fondations qui soutenaient sa politique,"[""a2_1615892157054""]","[[306, 411]]",False,,Comportementale,Colere,Aucune,Proposition,accuse,
Albert_dataset,Albert13_Diesel_Renault_dans_le_viseur_de_la_justice,a2_1615975942622,SitEmo,405,417,a été accusé,"[""a2_1615975942622""]","[[405, 417]]",False,,Comportementale,Colere,Aucune,Proposition,accusé,
Albert_dataset,Albert13_Diesel_Renault_dans_le_viseur_de_la_justice,a2_1615976114460,SitEmo,933,961,estiment avoir été escroqués,"[""a2_1615976114460""]","[[933, 961]]",False,,Suggeree,Colere,Aucune,Proposition,escroqués,
Albert_dataset,Albert13_Diesel_Renault_dans_le_viseur_de_la_justice,a2_1615976248901,SitEmo,1951,1958,furieux,"[""a2_1615976248901""]","[[1951, 1958]]",False,,Designee,Colere,Aucune,SAdj,furieux,
Albert_dataset,Albert13_Diesel_Renault_dans_le_viseur_de_la_justice,a2_1615978117358,SitEmo,1937,1943,choqué,"[""a2_1615978117358""]","[[1937, 1943]]",False,,Designee,Surprise,Aucune,SAdj,choqué,
Albert_dataset,Albert13_Diesel_Renault_dans_le_viseur_de_la_justice,a2_1616423033292,SitEmo,175,222,avoir truqué les moteurs de ses voitures diesel,"[""a2_1616423033292""]","[[175, 222]]",False,,Suggeree,Colere,Aucune,SPrep,truqué,
Albert_dataset,Albert13_Diesel_Renault_dans_le_viseur_de_la_justice,a2_1616423117010,SitEmo,420,517,avoir installé sur ses voitures diesel des logiciels spécialement conçus pour falsifier les tests,"[""a2_1616423117010""]","[[420, 517]]",False,,Suggeree,Colere,Aucune,SPrep,falsifier,
Albert_dataset,Albert13_Diesel_Renault_dans_le_viseur_de_la_justice,a2_1619188562192,SitEmo,1706,1712,dément,"[""a2_1619188562192""]","[[1706, 1712]]",False,,Comportementale,Colere,Aucune,Proposition,dément,
