marker_value,marker_type,Comportementale,Désignée,Montrée,Suggérée,total_count,P(Comportementale),P(Désignée),P(Montrée),P(Suggérée),entropy,normalized_entropy
génial,word,0,10,4,2,16,0.00,0.62,0.25,0.12,1.30,0.65
d'un,word,2,0,1,5,8,0.25,0.00,0.12,0.62,1.30,0.65
qu'on,word,1,0,5,2,8,0.12,0.00,0.62,0.25,1.30,0.65
énorme,word,0,4,1,1,6,0.00,0.67,0.17,0.17,1.25,0.63
violence,word,2,0,2,8,12,0.17,0.00,0.17,0.67,1.25,0.63
drôle,word,0,14,3,25,42,0.00,0.33,0.07,0.60,1.25,0.62
idée,word,1,0,3,7,11,0.09,0.00,0.27,0.64,1.24,0.62
parler,word,3,0,7,1,11,0.27,0.00,0.64,0.09,1.24,0.62
ferme,word,1,0,6,2,9,0.11,0.00,0.67,0.22,1.22,0.61
temps,word,1,0,2,6,9,0.11,0.00,0.22,0.67,1.22,0.61
fois,word,1,0,3,8,12,0.08,0.00,0.25,0.67,1.19,0.59
assez,word,1,12,0,16,29,0.03,0.41,0.00,0.55,1.17,0.58
bon,word,0,1,9,15,25,0.00,0.04,0.36,0.60,1.16,0.58
menacé,word,2,7,0,1,10,0.20,0.70,0.00,0.10,1.16,0.58
suffit,word,0,1,1,5,7,0.00,0.14,0.14,0.71,1.15,0.57
enfants,word,1,0,1,5,7,0.14,0.00,0.14,0.71,1.15,0.57
",",punctuation,4,0,42,14,60,0.07,0.00,0.70,0.23,1.11,0.56
fête,word,20,0,1,9,30,0.67,0.00,0.03,0.30,1.07,0.54
sourire,word,9,1,0,2,12,0.75,0.08,0.00,0.17,1.04,0.52
horrible,word,0,9,2,1,12,0.00,0.75,0.17,0.08,1.04,0.52
.,punctuation,0,1,9,2,12,0.00,0.08,0.75,0.17,1.04,0.52
gros,word,2,0,21,5,28,0.07,0.00,0.75,0.18,1.03,0.51
voix,word,3,0,0,3,6,0.50,0.00,0.00,0.50,1.00,0.50
humeur,word,0,2,0,2,4,0.00,0.50,0.00,0.50,1.00,0.50
humiliations,word,0,2,0,2,4,0.00,0.50,0.00,0.50,1.00,0.50
voulaient,word,0,2,0,2,4,0.00,0.50,0.00,0.50,1.00,0.50
gagnera,word,2,0,0,2,4,0.50,0.00,0.00,0.50,1.00,0.50
exceptionnel,word,0,2,0,2,4,0.00,0.50,0.00,0.50,1.00,0.50
frustrant,word,0,2,0,2,4,0.00,0.50,0.00,0.50,1.00,0.50
encore,word,0,0,6,6,12,0.00,0.00,0.50,0.50,1.00,0.50
expulser,word,2,0,0,2,4,0.50,0.00,0.00,0.50,1.00,0.50
boum,word,0,0,2,2,4,0.00,0.00,0.50,0.50,1.00,0.50
timidement,word,2,2,0,0,4,0.50,0.50,0.00,0.00,1.00,0.50
persécutions,word,0,2,0,2,4,0.00,0.50,0.00,0.50,1.00,0.50
piles,word,0,0,4,4,8,0.00,0.00,0.50,0.50,1.00,0.50
d'être,word,0,0,2,2,4,0.00,0.00,0.50,0.50,1.00,0.50
proteste,word,2,0,2,0,4,0.50,0.00,0.50,0.00,1.00,0.50
punir,word,3,0,0,3,6,0.50,0.00,0.00,0.50,1.00,0.50
regard,word,2,0,0,2,4,0.50,0.00,0.00,0.50,1.00,0.50
cru,word,0,0,2,2,4,0.00,0.00,0.50,0.50,1.00,0.50
croit,word,0,0,3,3,6,0.00,0.00,0.50,0.50,1.00,0.50
conflits,word,2,0,0,2,4,0.50,0.00,0.00,0.50,1.00,0.50
s'amuse,word,2,2,0,0,4,0.50,0.50,0.00,0.00,1.00,0.50
l'air,word,2,0,0,2,4,0.50,0.00,0.00,0.50,1.00,0.50
bonbons,word,0,0,2,2,4,0.00,0.00,0.50,0.50,1.00,0.50
laisser,word,0,0,4,4,8,0.00,0.00,0.50,0.50,1.00,0.50
énerve,word,2,2,0,0,4,0.50,0.50,0.00,0.00,1.00,0.50
attaqué,word,6,0,0,7,13,0.46,0.00,0.00,0.54,1.00,0.50
protéger,word,11,0,0,13,24,0.46,0.00,0.00,0.54,0.99,0.50
voir,word,0,0,5,6,11,0.00,0.00,0.45,0.55,0.99,0.50
silence,word,5,0,0,4,9,0.56,0.00,0.00,0.44,0.99,0.50
tensions,word,0,5,0,4,9,0.00,0.56,0.00,0.44,0.99,0.50
menacer,word,1,7,0,1,9,0.11,0.78,0.00,0.11,0.99,0.49
pris,word,3,0,0,4,7,0.43,0.00,0.00,0.57,0.99,0.49
insulte,word,4,3,0,0,7,0.57,0.43,0.00,0.00,0.99,0.49
noir,word,2,0,0,3,5,0.40,0.00,0.00,0.60,0.97,0.49
immense,word,2,0,0,3,5,0.40,0.00,0.00,0.60,0.97,0.49
contre,word,9,0,0,6,15,0.60,0.00,0.00,0.40,0.97,0.49
vrai,word,0,0,2,3,5,0.00,0.00,0.40,0.60,0.97,0.49
amuse,word,6,4,0,0,10,0.60,0.40,0.00,0.00,0.97,0.49
battre,word,3,0,0,2,5,0.60,0.00,0.00,0.40,0.97,0.49
avis,word,0,0,3,2,5,0.00,0.00,0.60,0.40,0.97,0.49
fort,word,2,0,0,3,5,0.40,0.00,0.00,0.60,0.97,0.49
enthousiasme,word,2,3,0,0,5,0.40,0.60,0.00,0.00,0.97,0.49
problème,word,0,0,2,3,5,0.00,0.00,0.40,0.60,0.97,0.49
drôles,word,0,2,0,3,5,0.00,0.40,0.00,0.60,0.97,0.49
célébrer,word,3,0,0,2,5,0.60,0.00,0.00,0.40,0.97,0.49
qu'il,word,0,0,4,6,10,0.00,0.00,0.40,0.60,0.97,0.49
explosé,word,0,0,3,2,5,0.00,0.00,0.60,0.40,0.97,0.49
cacher,word,2,0,0,3,5,0.40,0.00,0.00,0.60,0.97,0.49
exploits,word,0,2,0,3,5,0.00,0.40,0.00,0.60,0.97,0.49
quitté,word,3,0,0,2,5,0.60,0.00,0.00,0.40,0.97,0.49
tas,word,0,0,3,2,5,0.00,0.00,0.60,0.40,0.97,0.49
réjouit,word,3,2,0,0,5,0.60,0.40,0.00,0.00,0.97,0.49
moment,word,0,0,2,3,5,0.00,0.00,0.40,0.60,0.97,0.49
feu,word,2,0,0,3,5,0.40,0.00,0.00,0.60,0.97,0.49
pauvre,word,0,0,3,2,5,0.00,0.00,0.60,0.40,0.97,0.49
partir,word,2,0,0,3,5,0.40,0.00,0.00,0.60,0.97,0.49
jouer,word,0,0,3,2,5,0.00,0.00,0.60,0.40,0.97,0.49
laisse,word,0,0,2,3,5,0.00,0.00,0.40,0.60,0.97,0.49
menace,word,4,16,0,1,21,0.19,0.76,0.00,0.05,0.96,0.48
traité,word,3,5,0,0,8,0.38,0.62,0.00,0.00,0.95,0.48
étrange,word,0,5,0,3,8,0.00,0.62,0.00,0.38,0.95,0.48
vu,word,0,0,3,5,8,0.00,0.00,0.38,0.62,0.95,0.48
bonne,word,0,1,2,11,14,0.00,0.07,0.14,0.79,0.95,0.47
faut,word,0,0,7,4,11,0.00,0.00,0.64,0.36,0.95,0.47
rire,word,19,3,0,2,24,0.79,0.12,0.00,0.08,0.94,0.47
juste,word,1,0,23,6,30,0.03,0.00,0.77,0.20,0.92,0.46
sortir,word,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
voulu,word,1,0,0,2,3,0.33,0.00,0.00,0.67,0.92,0.46
accuser,word,2,0,0,1,3,0.67,0.00,0.00,0.33,0.92,0.46
misère,word,0,2,0,1,3,0.00,0.67,0.00,0.33,0.92,0.46
chouette,word,0,1,2,0,3,0.00,0.33,0.67,0.00,0.92,0.46
complètement,word,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
révoltée,word,2,1,0,0,3,0.67,0.33,0.00,0.00,0.92,0.46
s'emporte,word,2,1,0,0,3,0.67,0.33,0.00,0.00,0.92,0.46
consterné,word,1,2,0,0,3,0.33,0.67,0.00,0.00,0.92,0.46
histoire,word,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
guerres,word,1,0,0,2,3,0.33,0.00,0.00,0.67,0.92,0.46
horribles,word,0,2,0,1,3,0.00,0.67,0.00,0.33,0.92,0.46
sacré,word,0,0,2,1,3,0.00,0.00,0.67,0.33,0.92,0.46
senti,word,2,0,0,1,3,0.67,0.00,0.00,0.33,0.92,0.46
avance,word,2,0,1,0,3,0.67,0.00,0.33,0.00,0.92,0.46
alerte,word,2,1,0,0,3,0.67,0.33,0.00,0.00,0.92,0.46
viens,word,0,0,2,1,3,0.00,0.00,0.67,0.33,0.92,0.46
interdits,word,1,0,0,2,3,0.33,0.00,0.00,0.67,0.92,0.46
l'histoire,word,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
interdire,word,2,0,0,1,3,0.67,0.00,0.00,0.33,0.92,0.46
n'est,word,0,0,4,2,6,0.00,0.00,0.67,0.33,0.92,0.46
ntm,word,2,0,1,0,3,0.67,0.00,0.33,0.00,0.92,0.46
couleurs,word,2,0,0,1,3,0.67,0.00,0.00,0.33,0.92,0.46
cu,word,0,0,2,1,3,0.00,0.00,0.67,0.33,0.92,0.46
r,word,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
n'ai,word,0,0,2,1,3,0.00,0.00,0.67,0.33,0.92,0.46
muslim,word,0,0,2,1,3,0.00,0.00,0.67,0.33,0.92,0.46
pure,word,0,0,2,1,3,0.00,0.00,0.67,0.33,0.92,0.46
train,word,1,0,0,2,3,0.33,0.00,0.00,0.67,0.92,0.46
banal,word,0,1,0,2,3,0.00,0.33,0.00,0.67,0.92,0.46
grands,word,1,0,0,2,3,0.33,0.00,0.00,0.67,0.92,0.46
gagne,word,0,0,2,4,6,0.00,0.00,0.33,0.67,0.92,0.46
course,word,1,0,0,2,3,0.33,0.00,0.00,0.67,0.92,0.46
relations,word,2,0,0,1,3,0.67,0.00,0.00,0.33,0.92,0.46
courir,word,1,0,0,2,3,0.33,0.00,0.00,0.67,0.92,0.46
récupérer,word,1,0,0,2,3,0.33,0.00,0.00,0.67,0.92,0.46
gronder,word,1,0,0,2,3,0.33,0.00,0.00,0.67,0.92,0.46
habits,word,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
montre,word,0,0,2,1,3,0.00,0.00,0.67,0.33,0.92,0.46
millions,word,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
brûlés,word,1,0,0,2,3,0.33,0.00,0.00,0.67,0.92,0.46
c'était,word,0,0,2,1,3,0.00,0.00,0.67,0.33,0.92,0.46
entrez,word,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
question,word,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
pire,word,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
pavé,word,0,0,2,1,3,0.00,0.00,0.67,0.33,0.92,0.46
effets,word,0,1,0,2,3,0.00,0.33,0.00,0.67,0.92,0.46
peut-être,word,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
excellent,word,0,0,2,1,3,0.00,0.00,0.67,0.33,0.92,0.46
originale,word,0,1,0,2,3,0.00,0.33,0.00,0.67,0.92,0.46
fabuleux,word,0,2,1,0,3,0.00,0.67,0.33,0.00,0.92,0.46
paris,word,1,0,0,2,3,0.33,0.00,0.00,0.67,0.92,0.46
désolée,word,0,1,2,0,3,0.00,0.33,0.67,0.00,0.92,0.46
d'argent,word,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
danser,word,2,0,0,1,3,0.67,0.00,0.00,0.33,0.92,0.46
quel,word,0,0,2,1,3,0.00,0.00,0.67,0.33,0.92,0.46
pensé,word,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
subir,word,0,2,0,1,3,0.00,0.67,0.00,0.33,0.92,0.46
tendues,word,2,0,0,4,6,0.33,0.00,0.00,0.67,0.92,0.46
tellement,word,0,0,2,1,3,0.00,0.00,0.67,0.33,0.92,0.46
porc,word,0,0,6,3,9,0.00,0.00,0.67,0.33,0.92,0.46
arrête,word,1,0,2,0,3,0.33,0.00,0.67,0.00,0.92,0.46
arrivent,word,1,0,0,2,3,0.33,0.00,0.00,0.67,0.92,0.46
arraché,word,1,0,0,2,3,0.33,0.00,0.00,0.67,0.92,0.46
drame,word,0,2,0,1,3,0.00,0.67,0.00,0.33,0.92,0.46
prestigieuse,word,0,1,0,2,3,0.00,0.33,0.00,0.67,0.92,0.46
prendre,word,2,0,0,4,6,0.33,0.00,0.00,0.67,0.92,0.46
pourrait,word,0,0,2,1,3,0.00,0.00,0.67,0.33,0.92,0.46
insulté,word,2,4,0,0,6,0.33,0.67,0.00,0.00,0.92,0.46
insécurité,word,0,1,0,2,3,0.00,0.33,0.00,0.67,0.92,0.46
trouver,word,2,0,0,4,6,0.33,0.00,0.00,0.67,0.92,0.46
venir,word,2,0,0,4,6,0.33,0.00,0.00,0.67,0.92,0.46
adore,word,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
animaux,word,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
insolites,word,0,2,0,1,3,0.00,0.67,0.00,0.33,0.92,0.46
insultent,word,1,0,0,2,3,0.33,0.00,0.00,0.67,0.92,0.46
amusé,word,1,2,0,0,3,0.33,0.67,0.00,0.00,0.92,0.46
angoissé,word,0,2,1,0,3,0.00,0.67,0.33,0.00,0.92,0.46
main,word,2,0,0,1,3,0.67,0.00,0.00,0.33,0.92,0.46
jolies,word,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
lettre,word,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
impressionnante,word,0,2,0,1,3,0.00,0.67,0.00,0.33,0.92,0.46
affaires,word,0,0,2,1,3,0.00,0.00,0.67,0.33,0.92,0.46
évacuer,word,2,0,0,1,3,0.67,0.00,0.00,0.33,0.92,0.46
première,word,1,0,2,12,15,0.07,0.00,0.13,0.80,0.91,0.45
casse,word,0,0,7,3,10,0.00,0.00,0.70,0.30,0.88,0.44
vraiment,word,0,0,7,3,10,0.00,0.00,0.70,0.30,0.88,0.44
dansé,word,2,0,0,5,7,0.29,0.00,0.00,0.71,0.86,0.43
ca,word,0,0,5,2,7,0.00,0.00,0.71,0.29,0.86,0.43
arrete,word,2,0,5,0,7,0.29,0.00,0.71,0.00,0.86,0.43
demande,word,0,0,2,5,7,0.00,0.00,0.29,0.71,0.86,0.43
malade,word,0,0,2,5,7,0.00,0.00,0.29,0.71,0.86,0.43
étonné,word,2,5,0,0,7,0.29,0.71,0.00,0.00,0.86,0.43
marre,word,0,5,2,0,7,0.00,0.71,0.29,0.00,0.86,0.43
merveilleux,word,0,5,0,2,7,0.00,0.71,0.00,0.29,0.86,0.43
mourir,word,0,0,2,5,7,0.00,0.00,0.29,0.71,0.86,0.43
paul,word,2,0,5,0,7,0.29,0.00,0.71,0.00,0.86,0.43
j'ai,word,0,0,5,2,7,0.00,0.00,0.71,0.29,0.86,0.43
tué,word,3,0,1,18,22,0.14,0.00,0.05,0.82,0.83,0.42
argent,word,1,0,1,10,12,0.08,0.00,0.08,0.83,0.82,0.41
descendus,word,3,0,0,1,4,0.75,0.00,0.00,0.25,0.81,0.41
effondrée,word,0,1,0,3,4,0.00,0.25,0.00,0.75,0.81,0.41
petits,word,1,0,0,3,4,0.25,0.00,0.00,0.75,0.81,0.41
encourager,word,1,0,0,3,4,0.25,0.00,0.00,0.75,0.81,0.41
exceptionnelle,word,0,3,0,1,4,0.00,0.75,0.00,0.25,0.81,0.41
dur,word,0,0,3,9,12,0.00,0.00,0.25,0.75,0.81,0.41
petite,word,1,0,0,3,4,0.25,0.00,0.00,0.75,0.81,0.41
point,word,0,0,3,1,4,0.00,0.00,0.75,0.25,0.81,0.41
tiré,word,1,0,0,3,4,0.25,0.00,0.00,0.75,0.81,0.41
menaçant,word,1,3,0,0,4,0.25,0.75,0.00,0.00,0.81,0.41
contestation,word,6,0,0,2,8,0.75,0.00,0.00,0.25,0.81,0.41
gloire,word,1,0,0,3,4,0.25,0.00,0.00,0.75,0.81,0.41
menaçait,word,0,3,0,1,4,0.00,0.75,0.00,0.25,0.81,0.41
condamné,word,1,0,0,3,4,0.25,0.00,0.00,0.75,0.81,0.41
combats,word,1,0,0,3,4,0.25,0.00,0.00,0.75,0.81,0.41
faudrait,word,0,0,1,3,4,0.00,0.00,0.25,0.75,0.81,0.41
folle,word,0,0,1,3,4,0.00,0.00,0.25,0.75,0.81,0.41
mots,word,1,0,0,3,4,0.25,0.00,0.00,0.75,0.81,0.41
noire,word,0,0,1,3,4,0.00,0.00,0.25,0.75,0.81,0.41
pauvreté,word,1,0,0,3,4,0.25,0.00,0.00,0.75,0.81,0.41
n'en,word,0,1,0,3,4,0.00,0.25,0.00,0.75,0.81,0.41
bah,word,1,0,3,0,4,0.25,0.00,0.75,0.00,0.81,0.41
blessés,word,1,0,0,3,4,0.25,0.00,0.00,0.75,0.81,0.41
tuées,word,1,0,0,3,4,0.25,0.00,0.00,0.75,0.81,0.41
agression,word,1,0,0,3,4,0.25,0.00,0.00,0.75,0.81,0.41
agréable,word,0,3,0,1,4,0.00,0.75,0.00,0.25,0.81,0.41
deuil,word,3,1,0,0,4,0.75,0.25,0.00,0.00,0.81,0.41
pk,word,1,0,3,0,4,0.25,0.00,0.75,0.00,0.81,0.41
détresse,word,0,3,0,1,4,0.00,0.75,0.00,0.25,0.81,0.41
jours,word,0,0,1,3,4,0.00,0.00,0.25,0.75,0.81,0.41
aurait,word,0,0,1,3,4,0.00,0.00,0.25,0.75,0.81,0.41
souffrir,word,0,9,0,3,12,0.00,0.75,0.00,0.25,0.81,0.41
juive,word,0,0,3,1,4,0.00,0.00,0.75,0.25,0.81,0.41
crie,word,3,0,1,0,4,0.75,0.00,0.25,0.00,0.81,0.41
grandes,word,1,0,0,3,4,0.25,0.00,0.00,0.75,0.81,0.41
râler,word,3,0,1,0,4,0.75,0.00,0.25,0.00,0.81,0.41
coupable,word,0,3,0,1,4,0.00,0.75,0.00,0.25,0.81,0.41
tombe,word,0,0,3,1,4,0.00,0.00,0.75,0.25,0.81,0.41
comment,word,0,0,3,1,4,0.00,0.00,0.75,0.25,0.81,0.41
idole,word,0,1,0,3,4,0.00,0.25,0.00,0.75,0.81,0.41
meme,word,0,0,3,1,4,0.00,0.00,0.75,0.25,0.81,0.41
drole,word,0,3,1,0,4,0.00,0.75,0.25,0.00,0.81,0.41
cauchemar,word,0,3,1,0,4,0.00,0.75,0.25,0.00,0.81,0.41
;,punctuation,44,1,35,441,521,0.08,0.00,0.07,0.85,0.78,0.39
crié,word,7,0,0,2,9,0.78,0.00,0.00,0.22,0.76,0.38
quitter,word,7,0,0,2,9,0.78,0.00,0.00,0.22,0.76,0.38
amuser,word,7,2,0,0,9,0.78,0.22,0.00,0.00,0.76,0.38
travail,word,2,0,0,7,9,0.22,0.00,0.00,0.78,0.76,0.38
heureusement,word,0,14,4,0,18,0.00,0.78,0.22,0.00,0.76,0.38
attentats,word,3,0,0,11,14,0.21,0.00,0.00,0.79,0.75,0.37
c'est,word,0,0,37,10,47,0.00,0.00,0.79,0.21,0.75,0.37
plaisir,word,0,22,1,3,26,0.00,0.85,0.04,0.12,0.74,0.37
n'a,word,0,0,4,15,19,0.00,0.00,0.21,0.79,0.74,0.37
cadeaux,word,1,0,0,4,5,0.20,0.00,0.00,0.80,0.72,0.36
brice,word,1,0,4,0,5,0.20,0.00,0.80,0.00,0.72,0.36
maltraités,word,0,1,0,4,5,0.00,0.20,0.00,0.80,0.72,0.36
jour,word,0,0,1,4,5,0.00,0.00,0.20,0.80,0.72,0.36
bravo,word,0,0,4,1,5,0.00,0.00,0.80,0.20,0.72,0.36
empêcher,word,1,0,0,4,5,0.20,0.00,0.00,0.80,0.72,0.36
dû,word,0,0,1,4,5,0.00,0.00,0.20,0.80,0.72,0.36
pd,word,0,0,4,1,5,0.00,0.00,0.80,0.20,0.72,0.36
effrayé,word,1,4,0,0,5,0.20,0.80,0.00,0.00,0.72,0.36
d'accord,word,0,0,2,8,10,0.00,0.00,0.20,0.80,0.72,0.36
terrible,word,0,12,0,3,15,0.00,0.80,0.00,0.20,0.72,0.36
premier,word,0,0,1,4,5,0.00,0.00,0.20,0.80,0.72,0.36
droit,word,0,0,1,4,5,0.00,0.00,0.20,0.80,0.72,0.36
belle,word,0,0,1,4,5,0.00,0.00,0.20,0.80,0.72,0.36
blagues,word,1,4,0,0,5,0.20,0.80,0.00,0.00,0.72,0.36
défendre,word,4,0,0,1,5,0.80,0.00,0.00,0.20,0.72,0.36
honneur,word,1,4,0,0,5,0.20,0.80,0.00,0.00,0.72,0.36
commun,word,0,1,0,4,5,0.00,0.20,0.00,0.80,0.72,0.36
malgré,word,0,0,4,1,5,0.00,0.00,0.80,0.20,0.72,0.36
émerveillée,word,1,4,0,0,5,0.20,0.80,0.00,0.00,0.72,0.36
école,word,0,0,1,4,5,0.00,0.00,0.20,0.80,0.72,0.36
vivre,word,0,0,1,4,5,0.00,0.00,0.20,0.80,0.72,0.36
choquant,word,0,4,0,1,5,0.00,0.80,0.00,0.20,0.72,0.36
york,word,0,0,1,4,5,0.00,0.00,0.20,0.80,0.72,0.36
sais,word,0,0,4,1,5,0.00,0.00,0.80,0.20,0.72,0.36
chien,word,0,0,4,1,5,0.00,0.00,0.80,0.20,0.72,0.36
échapper,word,4,0,0,1,5,0.80,0.00,0.00,0.20,0.72,0.36
»,punctuation,1,0,0,4,5,0.20,0.00,0.00,0.80,0.72,0.36
rage,word,0,1,0,4,5,0.00,0.20,0.00,0.80,0.72,0.36
passe,word,0,0,4,1,5,0.00,0.00,0.80,0.20,0.72,0.36
new,word,0,0,1,4,5,0.00,0.00,0.20,0.80,0.72,0.36
rendre,word,4,0,0,1,5,0.80,0.00,0.00,0.20,0.72,0.36
nouvelle,word,1,0,0,4,5,0.20,0.00,0.00,0.80,0.72,0.36
moquer,word,1,0,0,4,5,0.20,0.00,0.00,0.80,0.72,0.36
rigole,word,4,0,0,1,5,0.80,0.00,0.00,0.20,0.72,0.36
mis,word,4,0,0,1,5,0.80,0.00,0.00,0.20,0.72,0.36
moqueries,word,0,1,0,4,5,0.00,0.20,0.00,0.80,0.72,0.36
rendu,word,1,0,0,4,5,0.20,0.00,0.00,0.80,0.72,0.36
repas,word,0,0,1,4,5,0.00,0.00,0.20,0.80,0.72,0.36
parents,word,0,0,1,4,5,0.00,0.00,0.20,0.80,0.72,0.36
«,punctuation,1,0,0,4,5,0.20,0.00,0.00,0.80,0.72,0.36
insultes,word,3,13,0,0,16,0.19,0.81,0.00,0.00,0.70,0.35
qu'est-ce,word,0,0,9,2,11,0.00,0.00,0.82,0.18,0.68,0.34
impressionnant,word,0,9,2,0,11,0.00,0.82,0.18,0.00,0.68,0.34
sale,word,0,0,9,2,11,0.00,0.00,0.82,0.18,0.68,0.34
panique,word,2,9,0,0,11,0.18,0.82,0.00,0.00,0.68,0.34
pu,word,0,0,2,9,11,0.00,0.00,0.18,0.82,0.68,0.34
joie,word,1,14,0,1,16,0.06,0.88,0.00,0.06,0.67,0.33
souvenir,word,1,0,0,5,6,0.17,0.00,0.00,0.83,0.65,0.33
