marker_value,marker_type,Admiration,Colère,Culpabilité,Dégoût,Embarras,Fierté,Jalousie,Joie,Peur,Surprise,Tristesse,total_count,P(Colère),P(Dégoût),P(Joie),P(Peur),P(Surprise),P(Tristesse),P(Admiration),P(Culpabilité),P(Embarras),P(Fierté),P(Jalousie),entropy,normalized_entropy
faut,word,0,2,0,0,0,0,0,5,1,1,2,11,0.18,0.00,0.45,0.09,0.09,0.18,0.00,0.00,0.00,0.00,0.00,2.04,0.59
bon,word,0,4,0,0,1,2,0,14,1,1,2,25,0.16,0.00,0.56,0.04,0.04,0.08,0.00,0.00,0.04,0.08,0.00,2.03,0.59
grandes,word,0,1,0,0,0,1,0,1,1,0,0,4,0.25,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.25,0.00,2.00,0.58
manger,word,0,1,0,1,0,0,0,0,1,0,1,4,0.25,0.25,0.00,0.25,0.00,0.25,0.00,0.00,0.00,0.00,0.00,2.00,0.58
longtemps,word,0,0,0,0,0,1,0,1,1,0,1,4,0.00,0.00,0.25,0.25,0.00,0.25,0.00,0.00,0.00,0.25,0.00,2.00,0.58
tombe,word,0,0,0,0,1,0,0,1,0,1,1,4,0.00,0.00,0.25,0.00,0.25,0.25,0.00,0.00,0.25,0.00,0.00,2.00,0.58
comment,word,0,1,0,0,1,0,0,0,1,0,1,4,0.25,0.00,0.00,0.25,0.00,0.25,0.00,0.00,0.25,0.00,0.00,2.00,0.58
suivie,word,1,0,0,0,0,1,0,1,0,1,0,4,0.00,0.00,0.25,0.00,0.25,0.00,0.25,0.00,0.00,0.25,0.00,2.00,0.58
carrément,word,0,1,0,0,0,1,0,1,0,0,1,4,0.25,0.00,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.25,0.00,2.00,0.58
aime,word,0,1,0,1,1,0,0,1,0,0,0,4,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,2.00,0.58
bouche,word,1,1,0,0,0,0,0,1,0,1,0,4,0.25,0.00,0.25,0.00,0.25,0.00,0.25,0.00,0.00,0.00,0.00,2.00,0.58
?,punctuation,1,42,0,2,0,1,0,2,13,36,4,101,0.42,0.02,0.02,0.13,0.36,0.04,0.01,0.00,0.00,0.01,0.00,1.98,0.57
record,word,6,0,0,0,0,4,0,4,0,4,0,18,0.00,0.00,0.22,0.00,0.22,0.00,0.33,0.00,0.00,0.22,0.00,1.97,0.57
yeux,word,0,1,0,0,1,0,0,2,1,5,0,10,0.10,0.00,0.20,0.10,0.50,0.00,0.00,0.00,0.10,0.00,0.00,1.96,0.57
cp,word,0,2,0,2,0,1,0,0,2,0,0,7,0.29,0.29,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.14,0.00,1.95,0.56
demande,word,0,2,0,0,0,0,0,1,2,0,2,7,0.29,0.00,0.14,0.29,0.00,0.29,0.00,0.00,0.00,0.00,0.00,1.95,0.56
prix,word,1,6,0,0,0,8,0,8,0,1,0,24,0.25,0.00,0.33,0.00,0.04,0.00,0.04,0.00,0.00,0.33,0.00,1.94,0.56
qu'est-ce,word,0,2,0,0,0,0,0,0,3,4,2,11,0.18,0.00,0.00,0.27,0.36,0.18,0.00,0.00,0.00,0.00,0.00,1.94,0.56
remporté,word,2,0,0,0,0,7,0,11,0,2,2,24,0.00,0.00,0.46,0.00,0.08,0.08,0.08,0.00,0.00,0.29,0.00,1.93,0.56
déjà,word,4,1,0,0,0,2,0,3,0,10,0,20,0.05,0.00,0.15,0.00,0.50,0.00,0.20,0.00,0.00,0.10,0.00,1.92,0.56
mains,word,0,1,0,0,0,1,0,2,1,0,0,5,0.20,0.00,0.40,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.00,1.92,0.56
passer,word,0,0,0,1,0,0,0,2,0,1,1,5,0.00,0.20,0.40,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,1.92,0.56
battre,word,0,2,0,0,1,0,0,1,1,0,0,5,0.40,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.20,0.00,0.00,1.92,0.56
rendu,word,2,0,0,0,0,0,0,1,0,1,1,5,0.00,0.00,0.20,0.00,0.20,0.20,0.40,0.00,0.00,0.00,0.00,1.92,0.56
exploits,word,2,0,0,0,0,1,0,1,0,1,0,5,0.00,0.00,0.20,0.00,0.20,0.00,0.40,0.00,0.00,0.20,0.00,1.92,0.56
pardon,word,0,0,1,0,1,0,0,1,0,0,2,5,0.00,0.00,0.20,0.00,0.00,0.40,0.00,0.20,0.20,0.00,0.00,1.92,0.56
immense,word,1,1,0,0,0,0,0,1,2,0,0,5,0.20,0.00,0.20,0.40,0.00,0.00,0.20,0.00,0.00,0.00,0.00,1.92,0.56
jour,word,0,0,0,1,0,1,0,2,1,0,0,5,0.00,0.20,0.40,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.00,1.92,0.56
l'occasion,word,0,0,0,0,1,1,0,2,0,0,1,5,0.00,0.00,0.40,0.00,0.00,0.20,0.00,0.00,0.20,0.20,0.00,1.92,0.56
fort,word,1,0,0,0,1,1,0,0,2,0,0,5,0.00,0.00,0.00,0.40,0.00,0.00,0.20,0.00,0.20,0.20,0.00,1.92,0.56
premier,word,0,1,0,0,0,2,0,1,0,1,0,5,0.20,0.00,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.40,0.00,1.92,0.56
tas,word,0,1,0,2,0,1,0,1,0,0,0,5,0.20,0.40,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,1.92,0.56
tête,word,0,1,0,0,1,0,0,1,2,0,0,5,0.20,0.00,0.20,0.40,0.00,0.00,0.00,0.00,0.20,0.00,0.00,1.92,0.56
porter,word,0,2,0,0,0,0,0,1,0,1,1,5,0.40,0.00,0.20,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,1.92,0.56
sais,word,0,2,0,1,0,1,0,1,0,0,0,5,0.40,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,1.92,0.56
vivre,word,0,2,0,0,0,1,0,1,0,0,1,5,0.40,0.00,0.20,0.00,0.00,0.20,0.00,0.00,0.00,0.20,0.00,1.92,0.56
école,word,0,1,0,0,0,1,0,1,0,0,2,5,0.20,0.00,0.20,0.00,0.00,0.40,0.00,0.00,0.00,0.20,0.00,1.92,0.56
peu,word,0,3,0,2,0,0,0,0,1,2,0,8,0.38,0.25,0.00,0.12,0.25,0.00,0.00,0.00,0.00,0.00,0.00,1.91,0.55
mauvaises,word,0,3,0,0,1,0,0,0,2,0,2,8,0.38,0.00,0.00,0.25,0.00,0.25,0.00,0.00,0.12,0.00,0.00,1.91,0.55
médailles,word,3,0,0,0,0,7,0,7,0,3,0,20,0.00,0.00,0.35,0.00,0.15,0.00,0.15,0.00,0.00,0.35,0.00,1.88,0.54
remporte,word,2,0,0,0,0,4,0,7,0,4,0,17,0.00,0.00,0.41,0.00,0.24,0.00,0.12,0.00,0.00,0.24,0.00,1.87,0.54
fou,word,1,6,0,1,1,0,0,0,0,5,0,14,0.43,0.07,0.00,0.00,0.36,0.00,0.07,0.00,0.07,0.00,0.00,1.87,0.54
rare,word,2,0,0,0,0,1,0,1,0,3,0,7,0.00,0.00,0.14,0.00,0.43,0.00,0.29,0.00,0.00,0.14,0.00,1.84,0.53
travail,word,0,4,0,0,0,0,0,1,2,0,2,9,0.44,0.00,0.11,0.22,0.00,0.22,0.00,0.00,0.00,0.00,0.00,1.84,0.53
peine,word,0,3,0,0,0,0,0,1,1,0,3,8,0.38,0.00,0.12,0.12,0.00,0.38,0.00,0.00,0.00,0.00,0.00,1.81,0.52
mieux,word,1,0,0,0,0,3,0,3,0,0,1,8,0.00,0.00,0.38,0.00,0.00,0.12,0.12,0.00,0.00,0.38,0.00,1.81,0.52
énorme,word,3,0,0,1,0,0,0,1,0,1,0,6,0.00,0.17,0.17,0.00,0.17,0.00,0.50,0.00,0.00,0.00,0.00,1.79,0.52
voix,word,0,1,0,0,0,0,0,0,3,1,1,6,0.17,0.00,0.00,0.50,0.17,0.17,0.00,0.00,0.00,0.00,0.00,1.79,0.52
n'est,word,0,3,0,0,0,1,0,1,0,1,0,6,0.50,0.00,0.17,0.00,0.17,0.00,0.00,0.00,0.00,0.17,0.00,1.79,0.52
fous,word,0,1,0,0,0,0,0,1,3,1,0,6,0.17,0.00,0.17,0.50,0.17,0.00,0.00,0.00,0.00,0.00,0.00,1.79,0.52
blague,word,0,3,0,1,0,0,0,1,0,1,0,6,0.50,0.17,0.17,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,1.79,0.52
vie,word,0,10,0,0,0,0,0,12,3,0,4,29,0.34,0.00,0.41,0.10,0.00,0.14,0.00,0.00,0.00,0.00,0.00,1.79,0.52
grave,word,0,4,0,1,0,0,0,1,12,0,11,29,0.14,0.03,0.03,0.41,0.00,0.38,0.00,0.00,0.00,0.00,0.00,1.79,0.52
exploit,word,11,0,0,0,0,4,0,4,0,3,0,22,0.00,0.00,0.18,0.00,0.14,0.00,0.50,0.00,0.00,0.18,0.00,1.79,0.52
difficiles,word,0,2,0,1,0,0,0,0,4,0,5,12,0.17,0.08,0.00,0.33,0.00,0.42,0.00,0.00,0.00,0.00,0.00,1.78,0.52
victimes,word,0,6,0,0,1,0,0,0,6,0,8,21,0.29,0.00,0.00,0.29,0.00,0.38,0.00,0.00,0.05,0.00,0.00,1.77,0.51
frrrintek,word,0,0,0,0,0,0,0,5,2,2,1,10,0.00,0.00,0.50,0.20,0.20,0.10,0.00,0.00,0.00,0.00,0.00,1.76,0.51
mauvais,word,0,5,0,0,1,0,0,0,2,0,2,10,0.50,0.00,0.00,0.20,0.00,0.20,0.00,0.00,0.10,0.00,0.00,1.76,0.51
gagner,word,1,0,0,0,0,4,0,3,0,1,0,9,0.00,0.00,0.33,0.00,0.11,0.00,0.11,0.00,0.00,0.44,0.00,1.75,0.51
petit,word,0,0,1,0,0,1,0,4,0,0,2,8,0.00,0.00,0.50,0.00,0.00,0.25,0.00,0.12,0.00,0.12,0.00,1.75,0.51
star,word,4,0,0,0,0,2,0,1,0,1,0,8,0.00,0.00,0.12,0.00,0.12,0.00,0.50,0.00,0.00,0.25,0.00,1.75,0.51
grande,word,0,0,0,0,0,2,0,4,1,0,1,8,0.00,0.00,0.50,0.12,0.00,0.12,0.00,0.00,0.00,0.25,0.00,1.75,0.51
difficile,word,0,0,0,1,3,0,0,0,1,2,10,17,0.00,0.06,0.00,0.06,0.12,0.59,0.00,0.00,0.18,0.00,0.00,1.74,0.50
choqué,word,0,8,0,0,0,0,0,0,4,15,3,30,0.27,0.00,0.00,0.13,0.50,0.10,0.00,0.00,0.00,0.00,0.00,1.73,0.50
reçu,word,1,0,0,0,0,4,0,4,0,1,0,10,0.00,0.00,0.40,0.00,0.10,0.00,0.10,0.00,0.00,0.40,0.00,1.72,0.50
monde,word,1,0,0,0,0,4,0,9,1,1,0,16,0.00,0.00,0.56,0.06,0.06,0.00,0.06,0.00,0.00,0.25,0.00,1.72,0.50
tué,word,0,6,0,0,0,0,0,0,10,1,5,22,0.27,0.00,0.00,0.45,0.05,0.23,0.00,0.00,0.00,0.00,0.00,1.72,0.50
sale,word,0,4,0,5,1,0,0,0,0,0,1,11,0.36,0.45,0.00,0.00,0.00,0.09,0.00,0.00,0.09,0.00,0.00,1.68,0.48
parler,word,0,7,0,0,1,0,0,1,1,1,0,11,0.64,0.00,0.09,0.09,0.09,0.00,0.00,0.00,0.09,0.00,0.00,1.67,0.48
chance,word,2,0,0,0,0,1,0,7,0,0,3,13,0.00,0.00,0.54,0.00,0.00,0.23,0.15,0.00,0.00,0.08,0.00,1.67,0.48
disparu,word,0,1,0,0,0,0,0,0,4,1,1,7,0.14,0.00,0.00,0.57,0.14,0.14,0.00,0.00,0.00,0.00,0.00,1.66,0.48
prend,word,0,4,0,0,1,0,0,0,1,0,1,7,0.57,0.00,0.00,0.14,0.00,0.14,0.00,0.00,0.14,0.00,0.00,1.66,0.48
soupire,word,0,1,0,1,0,0,0,0,1,0,4,7,0.14,0.14,0.00,0.14,0.00,0.57,0.00,0.00,0.00,0.00,0.00,1.66,0.48
juste,word,0,16,0,1,0,0,0,3,0,1,9,30,0.53,0.03,0.10,0.00,0.03,0.30,0.00,0.00,0.00,0.00,0.00,1.66,0.48
fois,word,1,1,0,0,0,0,0,5,0,5,0,12,0.08,0.00,0.42,0.00,0.42,0.00,0.08,0.00,0.00,0.00,0.00,1.65,0.48
impressionnant,word,3,0,0,0,0,1,0,0,1,6,0,11,0.00,0.00,0.00,0.09,0.55,0.00,0.27,0.00,0.00,0.09,0.00,1.62,0.47
.,punctuation,0,7,0,2,0,0,0,2,0,0,1,12,0.58,0.17,0.17,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,1.61,0.47
harcèlement,word,0,1,0,0,2,0,0,0,7,0,9,19,0.05,0.00,0.00,0.37,0.00,0.47,0.00,0.00,0.11,0.00,0.00,1.61,0.46
sévèrement,word,1,1,0,0,0,0,0,0,1,0,0,3,0.33,0.00,0.00,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.00,1.58,0.46
vache,word,0,0,0,1,0,1,0,1,0,0,0,3,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,1.58,0.46
voler,word,0,1,0,0,0,0,0,0,1,0,1,3,0.33,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
voulu,word,0,1,0,0,1,0,0,0,0,0,1,3,0.33,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.33,0.00,0.00,1.58,0.46
nom,word,0,1,0,1,0,0,0,1,0,0,0,3,0.33,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.58,0.46
air,word,0,1,0,1,0,0,0,1,0,0,0,3,0.33,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.58,0.46
pauvres,word,0,2,0,0,0,0,0,0,2,0,2,6,0.33,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
jolies,word,0,1,0,0,0,1,0,1,0,0,0,3,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,1.58,0.46
champs,word,0,1,0,0,0,0,0,0,1,0,1,3,0.33,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
tellement,word,1,1,0,0,0,0,0,1,0,0,0,3,0.33,0.00,0.33,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,1.58,0.46
l'histoire,word,0,0,0,0,0,1,0,1,0,1,0,3,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.33,0.00,1.58,0.46
bée,word,1,0,0,0,0,0,0,1,0,1,0,3,0.00,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,1.58,0.46
avance,word,0,0,0,1,1,0,0,0,1,0,0,3,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.33,0.00,0.00,1.58,0.46
brûlés,word,0,1,0,0,0,0,0,0,1,0,1,3,0.33,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
maîtrise,word,0,1,0,0,0,1,0,0,0,0,1,3,0.33,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.33,0.00,1.58,0.46
aïe,word,0,1,0,0,1,0,0,0,0,0,1,3,0.33,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.33,0.00,0.00,1.58,0.46
mérite,word,1,1,0,0,0,0,0,0,0,0,1,3,0.33,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.00,0.00,0.00,1.58,0.46
n'ai,word,0,1,0,0,0,0,0,1,0,0,1,3,0.33,0.00,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
émotion,word,1,0,0,0,0,0,0,1,0,0,1,3,0.00,0.00,0.33,0.00,0.00,0.33,0.33,0.00,0.00,0.00,0.00,1.58,0.46
voit,word,0,1,0,1,0,0,0,0,0,0,1,3,0.33,0.33,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
tribunal,word,0,1,0,0,1,0,0,0,1,0,0,3,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.33,0.00,0.00,1.58,0.46
trois,word,0,1,0,0,0,1,0,1,0,0,0,3,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,1.58,0.46
enfin,word,0,1,0,0,1,0,0,1,0,0,0,3,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,1.58,0.46
réussir,word,0,1,0,0,0,0,0,0,1,0,1,3,0.33,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
aimer,word,0,0,0,1,1,0,0,0,0,0,1,3,0.00,0.33,0.00,0.00,0.00,0.33,0.00,0.00,0.33,0.00,0.00,1.58,0.46
mondiale,word,0,0,0,0,0,1,0,1,0,0,1,3,0.00,0.00,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.33,0.00,1.58,0.46
minable,word,0,0,1,0,1,0,0,0,0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.00,0.00,1.58,0.46
facilement,word,0,0,0,0,1,0,0,1,0,0,1,3,0.00,0.00,0.33,0.00,0.00,0.33,0.00,0.00,0.33,0.00,0.00,1.58,0.46
drame,word,0,1,0,0,0,0,0,0,1,0,1,3,0.33,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
rêve,word,0,1,0,0,0,0,0,8,1,1,1,12,0.08,0.00,0.67,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,1.58,0.46
récupérer,word,0,0,0,0,0,1,0,1,1,0,0,3,0.00,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.33,0.00,1.58,0.46
forcés,word,0,1,0,0,0,0,0,0,1,0,1,3,0.33,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
rupture,word,0,0,0,0,0,0,0,0,1,1,1,3,0.00,0.00,0.00,0.33,0.33,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
train,word,0,0,0,0,1,0,0,0,1,0,1,3,0.00,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.33,0.00,0.00,1.58,0.46
excellent,word,1,0,0,0,0,1,0,0,0,1,0,3,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.33,0.00,1.58,0.46
envie,word,1,1,0,0,0,0,0,1,0,0,0,3,0.33,0.00,0.33,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,1.58,0.46
discriminer,word,0,1,0,0,1,0,0,0,0,0,1,3,0.33,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.33,0.00,0.00,1.58,0.46
arraché,word,0,1,0,0,0,0,0,0,1,1,0,3,0.33,0.00,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,1.58,0.46
arrête,word,0,1,0,1,0,0,0,0,0,0,1,3,0.33,0.33,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
fabuleux,word,1,0,0,0,0,0,0,1,0,1,0,3,0.00,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,1.58,0.46
réduites,word,0,1,0,0,0,0,0,0,1,0,1,3,0.33,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
faisait,word,0,1,0,1,0,0,0,0,0,1,0,3,0.33,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,1.58,0.46
ouvert,word,0,1,0,0,0,1,0,0,1,0,0,3,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.33,0.00,1.58,0.46
oublier,word,0,0,0,1,0,0,0,1,0,0,1,3,0.00,0.33,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
complètement,word,0,1,0,0,0,0,0,1,0,1,0,3,0.33,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,1.58,0.46
partout,word,0,0,0,0,0,1,0,1,0,0,1,3,0.00,0.00,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.33,0.00,1.58,0.46
cible,word,0,0,0,0,1,0,0,0,1,0,1,3,0.00,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.33,0.00,0.00,1.58,0.46
interdits,word,0,1,0,0,0,0,0,0,1,0,1,3,0.33,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
prestigieuse,word,1,0,0,0,0,1,0,1,0,0,0,3,0.00,0.00,0.33,0.00,0.00,0.00,0.33,0.00,0.00,0.33,0.00,1.58,0.46
grands,word,0,0,0,0,0,1,0,1,0,1,0,3,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.33,0.00,1.58,0.46
difficultés,word,0,1,0,0,0,0,0,0,1,0,1,3,0.33,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
