marker_value,spacy_count,stanza_count,total_count,candidate_rank,lexicon_term_candidate,lexicon_category,repair_type,confidence,score,levenshtein_distance_norm_noaccent,shared_prefix_len_norm_noaccent,sequence_ratio_norm_noaccent
menacent,0,0,7,1,menace,peur,inflected_or_extended_marker,high,0.8571,2,6,0.8571
menacent,0,0,7,2,menacé,peur,inflected_or_extended_marker,high,0.8571,2,6,0.8571
menaçante,0,0,7,1,menaçant,peur,inflected_or_extended_marker,high,0.9412,1,8,0.9412
décourage,0,0,6,1,décourager,tristesse,truncated_prefix_marker,high,0.9474,1,9,0.9474
décourage,0,0,6,2,décourageant,tristesse,truncated_prefix_marker,high,0.8571,3,9,0.8571
embête,0,0,6,1,embêter,deplaisir,truncated_prefix_marker,high,0.9231,1,6,0.9231
inquiétudes,0,0,6,1,inquiétude,peur,inflected_or_extended_marker,high,0.9524,1,10,0.9524
mauvais,0,0,6,1,mauvaiseté,inhumanite,truncated_prefix_marker,high,0.8235,3,7,0.8235
menaces,0,0,6,1,menace,peur,inflected_or_extended_marker,high,0.9231,1,6,0.9231
menaces,0,0,6,2,menacé,peur,inflected_or_extended_marker,high,0.9231,1,6,0.9231
menaces,0,0,6,3,menacer,peur,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
menacés,0,0,6,1,menace,peur,inflected_or_extended_marker,high,0.9231,1,6,0.9231
menacés,0,0,6,2,menacé,peur,inflected_or_extended_marker,high,0.9231,1,6,0.9231
menacés,0,0,6,3,menacer,peur,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
amuse,0,0,5,1,amuser,joie,truncated_prefix_marker,high,0.9091,1,5,0.9091
effrayants,0,0,5,1,effrayant,peur,inflected_or_extended_marker,high,0.9474,1,9,0.9474
effrayé,0,0,5,1,effrayer,peur,truncated_prefix_marker,high,0.9333,1,7,0.9333
fâchés,0,0,5,1,fâché,colere,inflected_or_extended_marker,high,0.9091,1,5,0.9091
fâchés,0,0,5,2,fâcher,colere,shared_long_stem_edit_distance,high,0.8333,1,5,0.8333
inquiétante,0,0,5,1,inquiétant,peur,inflected_or_extended_marker,high,0.9524,1,10,0.9524
mauvaise,0,0,5,1,mauvaiseté,inhumanite,truncated_prefix_marker,high,0.8889,2,8,0.8889
surprises,0,0,5,1,surprise,surprise,inflected_or_extended_marker,high,0.9412,1,8,0.9412
surprises,0,0,5,2,surpris,surprise,inflected_or_extended_marker,high,0.875,2,7,0.875
tensions,0,0,5,1,tension,deplaisir,inflected_or_extended_marker,high,0.9333,1,7,0.9333
étonn,0,0,5,1,étonné,surprise,truncated_prefix_marker,high,0.9091,1,5,0.9091
étonn,0,0,5,2,étonner,surprise,truncated_prefix_marker,high,0.8333,2,5,0.8333
étonnés,0,0,5,1,étonné,surprise,inflected_or_extended_marker,high,0.9231,1,6,0.9231
étonnés,0,0,5,2,étonner,surprise,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
amusent,0,0,4,1,amusement,joie,shared_long_stem_edit_distance,high,0.875,2,5,0.875
surprenante,0,0,4,1,surprenant,surprise,inflected_or_extended_marker,high,0.9524,1,10,0.9524
tendue,0,0,4,1,tendu,deplaisir,inflected_or_extended_marker,high,0.9091,1,5,0.9091
émerveillée,0,0,4,1,émerveillé,admiration,inflected_or_extended_marker,high,0.9524,1,10,0.9524
émerveillée,0,0,4,2,émerveiller,admiration,shared_long_stem_edit_distance,high,0.9091,1,10,0.9091
amusante,0,0,3,1,amusant,joie,inflected_or_extended_marker,high,0.9333,1,7,0.9333
enthousiasm,0,0,3,1,enthousiasme,joie,truncated_prefix_marker,high,0.9565,1,11,0.9565
enthousiasm,0,0,3,2,enthousiasmer,joie,truncated_prefix_marker,high,0.9167,2,11,0.9167
enthousiasm,0,0,3,3,enthousiasmant,joie,truncated_prefix_marker,high,0.88,3,11,0.88
enthousiasm,0,0,3,4,enthousiaste,joie,shared_long_stem_edit_distance,high,0.8696,2,10,0.8696
inquiétantes,0,0,3,1,inquiétant,peur,inflected_or_extended_marker,high,0.9091,2,10,0.9091
lassée,0,0,3,1,lasser,comportement,shared_long_stem_edit_distance,high,0.8333,1,5,0.8333
marrantes,0,0,3,1,marrant,joie,inflected_or_extended_marker,high,0.875,2,7,0.875
menacée,0,0,3,1,menace,peur,inflected_or_extended_marker,high,0.9231,1,6,0.9231
menacée,0,0,3,2,menacé,peur,inflected_or_extended_marker,high,0.9231,1,6,0.9231
menacée,0,0,3,3,menacer,peur,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
menaçait,0,0,3,1,menaçant,peur,shared_long_stem_edit_distance,high,0.875,1,6,0.875
mécontentements,0,0,3,1,mécontentement,colere,inflected_or_extended_marker,high,0.9655,1,14,0.9655
préoccupations,0,0,3,1,préoccupation,peur,inflected_or_extended_marker,high,0.963,1,13,0.963
terrorisé,0,0,3,1,terroriser,peur,truncated_prefix_marker,high,0.9474,1,9,0.9474
énerv,0,0,3,1,énervé,colere,truncated_prefix_marker,high,0.9091,1,5,0.9091
énerv,0,0,3,2,énerver,colere,truncated_prefix_marker,high,0.8333,2,5,0.8333
abattus,0,0,2,1,abattu,tristesse,inflected_or_extended_marker,high,0.9231,1,6,0.9231
accablés,0,0,2,1,accabler,tristesse,shared_long_stem_edit_distance,high,0.875,1,7,0.875
admire,0,0,2,1,admirer,admiration,truncated_prefix_marker,high,0.9231,1,6,0.9231
admiré,0,0,2,1,admirer,admiration,truncated_prefix_marker,high,0.9231,1,6,0.9231
affolée,0,0,2,1,affolé,peur,inflected_or_extended_marker,high,0.9231,1,6,0.9231
affolée,0,0,2,2,affoler,peur,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
affreuse,0,0,2,1,affres,peur,shared_long_stem_edit_distance,high,0.8571,2,5,0.8571
alarmante,0,0,2,1,alarmant,peur,inflected_or_extended_marker,high,0.9412,1,8,0.9412
amusantes,0,0,2,1,amusant,joie,inflected_or_extended_marker,high,0.875,2,7,0.875
amusé,0,0,2,1,amuser,joie,truncated_prefix_marker,high,0.9091,1,5,0.9091
angoisses,0,0,2,1,angoisse,peur,inflected_or_extended_marker,high,0.9412,1,8,0.9412
angoisses,0,0,2,2,angoissé,peur,inflected_or_extended_marker,high,0.9412,1,8,0.9412
angoisses,0,0,2,3,angoisser,peur,shared_long_stem_edit_distance,high,0.8889,1,8,0.8889
consternée,0,0,2,1,consterner,tristesse,shared_long_stem_edit_distance,high,0.9,1,9,0.9
contentes,0,0,2,1,contenter,joie,shared_long_stem_edit_distance,high,0.8889,1,8,0.8889
contentes,0,0,2,2,content,joie,inflected_or_extended_marker,high,0.875,2,7,0.875
dangers,0,0,2,1,danger,peur,inflected_or_extended_marker,high,0.9231,1,6,0.9231
drôles,0,0,2,1,drôle,joie,inflected_or_extended_marker,high,0.9091,1,5,0.9091
désespérés,0,0,2,1,désespéré,tristesse,inflected_or_extended_marker,high,0.9474,1,9,0.9474
désespérés,0,0,2,2,désespérer,tristesse,shared_long_stem_edit_distance,high,0.9,1,9,0.9
effrayée,0,0,2,1,effrayer,peur,shared_long_stem_edit_distance,high,0.875,1,7,0.875
effrayés,0,0,2,1,effrayer,peur,shared_long_stem_edit_distance,high,0.875,1,7,0.875
embêté,0,0,2,1,embêter,deplaisir,truncated_prefix_marker,high,0.9231,1,6,0.9231
embêtée,0,0,2,1,embêter,deplaisir,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
endeuillée,0,0,2,1,endeuiller,tristesse,shared_long_stem_edit_distance,high,0.9,1,9,0.9
ennuis,0,0,2,1,ennui,tristesse,inflected_or_extended_marker,high,0.9091,1,5,0.9091
enthousiasmante,0,0,2,1,enthousiasmant,joie,inflected_or_extended_marker,high,0.9655,1,14,0.9655
excitée,0,0,2,1,excité,comportement,inflected_or_extended_marker,high,0.9231,1,6,0.9231
excitée,0,0,2,2,exciter,comportement,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
fierter,0,0,2,1,fierté,fierte,inflected_or_extended_marker,high,0.9231,1,6,0.9231
féliciter,0,0,2,1,félicité,joie,inflected_or_extended_marker,high,0.9412,1,8,0.9412
horribles,0,0,2,1,horrible,peur,inflected_or_extended_marker,high,0.9412,1,8,0.9412
humiliante,0,0,2,1,humiliant,embarras,inflected_or_extended_marker,high,0.9474,1,9,0.9474
humiliations,0,0,2,1,humiliation,embarras,inflected_or_extended_marker,high,0.9565,1,11,0.9565
inquiétanter,0,0,2,1,inquiétant,peur,inflected_or_extended_marker,high,0.9091,2,10,0.9091
inquiété,0,0,2,1,inquiéter,peur,truncated_prefix_marker,high,0.9412,1,8,0.9412
inquiété,0,0,2,2,inquiet,peur,inflected_or_extended_marker,high,0.9333,1,7,0.9333
inquiété,0,0,2,3,inquiétude,peur,shared_long_stem_edit_distance,high,0.8889,2,7,0.8889
jalouse,0,0,2,1,jalouser,jalousie,truncated_prefix_marker,high,0.9333,1,7,0.9333
jalouse,0,0,2,2,jalousie,jalousie,shared_long_stem_edit_distance,high,0.9333,1,6,0.9333
jubile,0,0,2,1,jubiler,joie,truncated_prefix_marker,high,0.9231,1,6,0.9231
jubiles,0,0,2,1,jubiler,joie,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
pleurer,0,0,2,1,pleureur,comportement,shared_long_stem_edit_distance,high,0.9333,1,6,0.9333
redoutables,0,0,2,1,redoutable,peur,inflected_or_extended_marker,high,0.9524,1,10,0.9524
redoutent,0,0,2,1,redouter,peur,shared_long_stem_edit_distance,high,0.8235,2,7,0.8235
réjouit,0,0,2,1,réjouir,joie,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
scandalisé,0,0,2,1,scandaliser,colere,truncated_prefix_marker,high,0.9524,1,10,0.9524
scandalisé,0,0,2,2,scandale,colere,shared_long_stem_edit_distance,high,0.8889,2,7,0.8889
terribles,0,0,2,1,terrible,peur,inflected_or_extended_marker,high,0.9412,1,8,0.9412
terroristes,0,0,2,1,terroriser,peur,shared_long_stem_edit_distance,high,0.8571,2,8,0.8571
troublée,0,0,2,1,trouble,surprise,inflected_or_extended_marker,high,0.9333,1,7,0.9333
troublée,0,0,2,2,troubler,surprise,shared_long_stem_edit_distance,high,0.875,1,7,0.875
vénère,0,0,2,1,vénérer,amour,truncated_prefix_marker,high,0.9231,1,6,0.9231
ébahie,0,0,2,1,ébahi,surprise,inflected_or_extended_marker,high,0.9091,1,5,0.9091
ébahie,0,0,2,2,ébahir,surprise,shared_long_stem_edit_distance,high,0.8333,1,5,0.8333
étonnée,0,0,2,1,étonné,surprise,inflected_or_extended_marker,high,0.9231,1,6,0.9231
étonnée,0,0,2,2,étonner,surprise,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
admiratif,0,0,1,1,admiration,admiration,shared_long_stem_edit_distance,high,0.8421,2,8,0.8421
admirée,0,0,1,1,admirer,admiration,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
affligés,0,0,1,1,affliger,tristesse,shared_long_stem_edit_distance,high,0.875,1,7,0.875
alarmantes,0,0,1,1,alarmant,peur,inflected_or_extended_marker,high,0.8889,2,8,0.8889
alarmants,0,0,1,1,alarmant,peur,inflected_or_extended_marker,high,0.9412,1,8,0.9412
amusée,0,0,1,1,amuser,joie,shared_long_stem_edit_distance,high,0.8333,1,5,0.8333
angoissante,0,0,1,1,angoissant,peur,inflected_or_extended_marker,high,0.9524,1,10,0.9524
angoissantes,0,0,1,1,angoissant,peur,inflected_or_extended_marker,high,0.9091,2,10,0.9091
angoissés,0,0,1,1,angoisse,peur,inflected_or_extended_marker,high,0.9412,1,8,0.9412
angoissés,0,0,1,2,angoissé,peur,inflected_or_extended_marker,high,0.9412,1,8,0.9412
angoissés,0,0,1,3,angoisser,peur,shared_long_stem_edit_distance,high,0.8889,1,8,0.8889
attristé,0,0,1,1,attrister,tristesse,truncated_prefix_marker,high,0.9412,1,8,0.9412
cauchemars,0,0,1,1,cauchemar,peur,inflected_or_extended_marker,high,0.9474,1,9,0.9474
consterné,0,0,1,1,consterner,tristesse,truncated_prefix_marker,high,0.9474,1,9,0.9474
crain,0,0,1,1,crainte,peur,truncated_prefix_marker,high,0.8333,2,5,0.8333
craintes,0,0,1,1,crainte,peur,inflected_or_extended_marker,high,0.9333,1,7,0.9333
culpabilisé,0,0,1,1,culpabiliser,culpabilite,truncated_prefix_marker,high,0.9565,1,11,0.9565
culpabilisé,0,0,1,2,culpabilité,culpabilite,shared_long_stem_edit_distance,high,0.9091,1,9,0.9091
degoutez,0,0,1,1,dégoûté,degout,inflected_or_extended_marker,high,0.9333,1,7,0.9333
degoutez,0,0,1,2,dégoûter,degout,shared_long_stem_edit_distance,high,0.875,1,7,0.875
degoutez,0,0,1,3,dégoût,degout,inflected_or_extended_marker,high,0.8571,2,6,0.8571
degoutée,0,0,1,1,dégoûté,degout,inflected_or_extended_marker,high,0.9333,1,7,0.9333
degoutée,0,0,1,2,dégoûter,degout,shared_long_stem_edit_distance,high,0.875,1,7,0.875
degoutée,0,0,1,3,dégoût,degout,inflected_or_extended_marker,high,0.8571,2,6,0.8571
dramatiques,0,0,1,1,dramatique,tristesse,inflected_or_extended_marker,high,0.9524,1,10,0.9524
découragés,0,0,1,1,décourager,tristesse,shared_long_stem_edit_distance,high,0.9,1,9,0.9
dégouteee,0,0,1,1,dégoûté,degout,inflected_or_extended_marker,high,0.875,2,7,0.875
dégouteee,0,0,1,2,dégoûter,degout,shared_long_stem_edit_distance,high,0.8235,2,7,0.8235
dégouteeee,0,0,1,1,dégoûté,degout,inflected_or_extended_marker,high,0.8235,3,7,0.8235
dégoutée,0,0,1,1,dégoûté,degout,inflected_or_extended_marker,high,0.9333,1,7,0.9333
dégoutée,0,0,1,2,dégoûter,degout,shared_long_stem_edit_distance,high,0.875,1,7,0.875
dégoutée,0,0,1,3,dégoût,degout,inflected_or_extended_marker,high,0.8571,2,6,0.8571
dégoûtantes,0,0,1,1,dégoûtant,degout,inflected_or_extended_marker,high,0.9,2,9,0.9
dégoûtants,0,0,1,1,dégoûtant,degout,inflected_or_extended_marker,high,0.9474,1,9,0.9474
dégoûtée,0,0,1,1,dégoûté,degout,inflected_or_extended_marker,high,0.9333,1,7,0.9333
dégoûtée,0,0,1,2,dégoûter,degout,shared_long_stem_edit_distance,high,0.875,1,7,0.875
dégoûtée,0,0,1,3,dégoût,degout,inflected_or_extended_marker,high,0.8571,2,6,0.8571
délic,0,0,1,1,délice,joie,truncated_prefix_marker,high,0.9091,1,5,0.9091
démoralisé,0,0,1,1,démoraliser,tristesse,truncated_prefix_marker,high,0.9524,1,10,0.9524
démoralisés,0,0,1,1,démoraliser,tristesse,shared_long_stem_edit_distance,high,0.9091,1,10,0.9091
désespérémer,0,0,1,1,désespérer,tristesse,shared_long_stem_edit_distance,high,0.9091,2,9,0.9091
désespérémer,0,0,1,2,désespéré,tristesse,inflected_or_extended_marker,high,0.8571,3,9,0.8571
effrayante,0,0,1,1,effrayant,peur,inflected_or_extended_marker,high,0.9474,1,9,0.9474
ennuie,0,0,1,1,ennui,tristesse,inflected_or_extended_marker,high,0.9091,1,5,0.9091
entraîne,0,0,1,1,entrain,joie,inflected_or_extended_marker,high,0.9333,1,7,0.9333
entraîner,0,0,1,1,entrain,joie,inflected_or_extended_marker,high,0.875,2,7,0.875
exaspérés,0,0,1,1,exaspérer,colere,shared_long_stem_edit_distance,high,0.8889,1,8,0.8889
frustrée,0,0,1,1,frustrer,deplaisir,shared_long_stem_edit_distance,high,0.875,1,7,0.875
fâchée,0,0,1,1,fâché,colere,inflected_or_extended_marker,high,0.9091,1,5,0.9091
fâchée,0,0,1,2,fâcherie,colere,shared_long_stem_edit_distance,high,0.8571,2,5,0.8571
fâchée,0,0,1,3,fâcher,colere,shared_long_stem_edit_distance,high,0.8333,1,5,0.8333
félicitée,0,0,1,1,félicité,joie,inflected_or_extended_marker,high,0.9412,1,8,0.9412
hilares,0,0,1,1,hilare,joie,inflected_or_extended_marker,high,0.9231,1,6,0.9231
humiliées,0,0,1,1,humilié,embarras,inflected_or_extended_marker,high,0.875,2,7,0.875
humiliées,0,0,1,2,humilier,embarras,shared_long_stem_edit_distance,high,0.8235,2,7,0.8235
humiliés,0,0,1,1,humilié,embarras,inflected_or_extended_marker,high,0.9333,1,7,0.9333
humiliés,0,0,1,2,humilier,embarras,shared_long_stem_edit_distance,high,0.875,1,7,0.875
hurle,0,0,1,1,hurler,comportement,truncated_prefix_marker,high,0.9091,1,5,0.9091
important,0,0,1,1,importun,colere,shared_long_stem_edit_distance,high,0.8235,2,6,0.8235
inquiétée,0,0,1,1,inquiéter,peur,shared_long_stem_edit_distance,high,0.8889,1,8,0.8889
inquiétée,0,0,1,2,inquiet,peur,inflected_or_extended_marker,high,0.875,2,7,0.875
inquiétée,0,0,1,3,inquiétude,peur,shared_long_stem_edit_distance,high,0.8421,2,7,0.8421
isolées,0,0,1,1,isolé,tristesse,inflected_or_extended_marker,high,0.8333,2,5,0.8333
jalousies,0,0,1,1,jalousie,jalousie,inflected_or_extended_marker,high,0.9412,1,8,0.9412
jalousies,0,0,1,2,jalouser,jalousie,shared_long_stem_edit_distance,high,0.8235,2,6,0.8235
joviales,0,0,1,1,jovial,joie,inflected_or_extended_marker,high,0.8571,2,6,0.8571
joyeuse,0,0,1,1,joyeuseté,joie,truncated_prefix_marker,high,0.875,2,7,0.875
malheureuse,0,0,1,1,malheureux,tristesse,shared_long_stem_edit_distance,high,0.8571,2,9,0.8571
malheureuse,0,0,1,2,malheureusement,tristesse,truncated_prefix_marker,high,0.8462,4,11,0.8462
mauvaises,0,0,1,1,mauvaiseté,inhumanite,shared_long_stem_edit_distance,high,0.8421,2,8,0.8421
menacées,0,0,1,1,menace,peur,inflected_or_extended_marker,high,0.8571,2,6,0.8571
menacées,0,0,1,2,menacé,peur,inflected_or_extended_marker,high,0.8571,2,6,0.8571
menaçaient,0,0,1,1,menaçant,peur,shared_long_stem_edit_distance,high,0.8889,2,6,0.8889
menaçants,0,0,1,1,menaçant,peur,inflected_or_extended_marker,high,0.9412,1,8,0.9412
mécontente,0,0,1,1,mécontenter,colere,truncated_prefix_marker,high,0.9524,1,10,0.9524
mécontente,0,0,1,2,mécontent,colere,inflected_or_extended_marker,high,0.9474,1,9,0.9474
mécontente,0,0,1,3,mécontentement,colere,truncated_prefix_marker,high,0.8333,4,10,0.8333
mécontentemer,0,0,1,1,mécontenter,colere,shared_long_stem_edit_distance,high,0.9167,2,10,0.9167
mécontentemer,0,0,1,2,mécontentement,colere,shared_long_stem_edit_distance,high,0.8889,2,12,0.8889
mécontentent,0,0,1,1,mécontentement,colere,shared_long_stem_edit_distance,high,0.9231,2,10,0.9231
mécontentent,0,0,1,2,mécontenter,colere,shared_long_stem_edit_distance,high,0.8696,2,10,0.8696
mécontentent,0,0,1,3,mécontent,colere,inflected_or_extended_marker,high,0.8571,3,9,0.8571
mécontentes,0,0,1,1,mécontenter,colere,shared_long_stem_edit_distance,high,0.9091,1,10,0.9091
mécontentes,0,0,1,2,mécontent,colere,inflected_or_extended_marker,high,0.9,2,9,0.9
méfiantes,0,0,1,1,méfiant,peur,inflected_or_extended_marker,high,0.875,2,7,0.875
méfiantes,0,0,1,2,méfiance,peur,shared_long_stem_edit_distance,high,0.8235,2,6,0.8235
méfiants,0,0,1,1,méfiant,peur,inflected_or_extended_marker,high,0.9333,1,7,0.9333
peines,0,0,1,1,peine,tristesse,inflected_or_extended_marker,high,0.9091,1,5,0.9091
peines,0,0,1,2,peiner,tristesse,shared_long_stem_edit_distance,high,0.8333,1,5,0.8333
provoque,0,0,1,1,provoquer,non_specifiee,truncated_prefix_marker,high,0.9412,1,8,0.9412
préoccupants,0,0,1,1,préoccupant,peur,inflected_or_extended_marker,high,0.9565,1,11,0.9565
redouté,0,0,1,1,redouter,peur,truncated_prefix_marker,high,0.9333,1,7,0.9333
respectent,0,0,1,1,respecter,admiration,shared_long_stem_edit_distance,high,0.8421,2,8,0.8421
respectent,0,0,1,2,respect,admiration,inflected_or_extended_marker,high,0.8235,3,7,0.8235
rigolos,0,0,1,1,rigolo,joie,inflected_or_extended_marker,high,0.9231,1,6,0.9231
rigolote,0,0,1,1,rigolo,joie,inflected_or_extended_marker,high,0.8571,2,6,0.8571
révoltée,0,0,1,1,révolte,colere,inflected_or_extended_marker,high,0.9333,1,7,0.9333
révoltée,0,0,1,2,révolté,colere,inflected_or_extended_marker,high,0.9333,1,7,0.9333
révoltée,0,0,1,3,révolter,colere,shared_long_stem_edit_distance,high,0.875,1,7,0.875
satisfaites,0,0,1,1,satisfait,joie,inflected_or_extended_marker,high,0.9,2,9,0.9
satisfaites,0,0,1,2,satisfaire,joie,shared_long_stem_edit_distance,high,0.8571,2,8,0.8571
satisfaits,0,0,1,1,satisfait,joie,inflected_or_extended_marker,high,0.9474,1,9,0.9474
sensibles,0,0,1,1,sensible,non_specifiee,inflected_or_extended_marker,high,0.9412,1,8,0.9412
sidéré,0,0,1,1,sidérer,surprise,truncated_prefix_marker,high,0.9231,1,6,0.9231
sidérés,0,0,1,1,sidérer,surprise,shared_long_stem_edit_distance,high,0.8571,1,6,0.8571
soucis,0,0,1,1,souci,peur,inflected_or_extended_marker,high,0.9091,1,5,0.9091
stressée,0,0,1,1,stressé,peur,inflected_or_extended_marker,high,0.9333,1,7,0.9333
stressée,0,0,1,2,stresser,peur,shared_long_stem_edit_distance,high,0.875,1,7,0.875
stressée,0,0,1,3,stress,peur,inflected_or_extended_marker,high,0.8571,2,6,0.8571
surprenants,0,0,1,1,surprenant,surprise,inflected_or_extended_marker,high,0.9524,1,10,0.9524
surprend,0,0,1,1,surprendre,surprise,truncated_prefix_marker,high,0.8889,2,8,0.8889
sympas,0,0,1,1,sympa,amour,inflected_or_extended_marker,high,0.9091,1,5,0.9091
terre,0,0,1,1,terreur,peur,truncated_prefix_marker,high,0.8333,2,5,0.8333
terrifiants,0,0,1,1,terrifiant,peur,inflected_or_extended_marker,high,0.9524,1,10,0.9524
timides,0,0,1,1,timide,peur,inflected_or_extended_marker,high,0.9231,1,6,0.9231
émerveillés,0,0,1,1,émerveillé,admiration,inflected_or_extended_marker,high,0.9524,1,10,0.9524
émerveillés,0,0,1,2,émerveiller,admiration,shared_long_stem_edit_distance,high,0.9091,1,10,0.9091
énervait,0,0,1,1,énervant,colere,shared_long_stem_edit_distance,high,0.875,1,6,0.875
épouvant,0,0,1,1,épouvante,peur,truncated_prefix_marker,high,0.9412,1,8,0.9412
épouvant,0,0,1,2,épouvanter,peur,truncated_prefix_marker,high,0.8889,2,8,0.8889
épouvant,0,0,1,3,épouvantail,peur,truncated_prefix_marker,high,0.8421,3,8,0.8421
étonnerait,0,0,1,1,étonner,surprise,inflected_or_extended_marker,high,0.8235,3,7,0.8235
