marker_value,marker_type,Colere,Degout,Joie,Peur,Surprise,Tristesse,Admiration,Culpabilite,Embarras,Fierte,Jalousie,total_count,P(Colere),P(Degout),P(Joie),P(Peur),P(Surprise),P(Tristesse),P(Admiration),P(Culpabilite),P(Embarras),P(Fierte),P(Jalousie),entropy,normalized_entropy
développement,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
chine,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
content,lemma,0.0,0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
contente,word,0.0,0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
craindre,lemma,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
critiqué,word,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
d,word,0.0,0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
dans,lemma,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
dans,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
chine,lemma,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
ce,lemma,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
beaucoup,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
beaucoup,lemma,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
autre,lemma,0.0,0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
autres,word,0.0,0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
apparition,lemma,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
le,word,0.0,0,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
manquer,lemma,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
inquiète,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
inquiéter,lemma,0.0,0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
hors,lemma,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
inquiet,lemma,0.0,0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
hors,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
inaction,lemma,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
inaction,word,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
pour,lemma,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
peur,word,0.0,0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
peur,lemma,0.0,0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
mon,lemma,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
ou,lemma,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
ou,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
panique,lemma,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
panique,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
mes,word,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
ont,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
inquiets,word,0.0,0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
inquiétude,lemma,0.0,0,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
inquiétudes,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
inquiétude,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
pouvoir,lemma,0.0,0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
province,lemma,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
super,word,0.0,0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
super,lemma,0.0,0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
relais,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
révolter,lemma,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
relais,lemma,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
qui,word,0.0,0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
provinces,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
qui,lemma,0.0,0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
pour,word,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
pourraient,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
triste,lemma,0.0,0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
triste,word,0.0,0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
»,punctuation,3.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
«,punctuation,3.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
épidémique,lemma,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
épidémiques,word,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
