source_file,text_span,mode,emotion,marker_type,marker_value,type
CyberAggAdo,t expert en informatique pour savoir j ai combien de moyenne ?,Montrée,Colère,word,expert,SitEmo
CyberAggAdo,t expert en informatique pour savoir j ai combien de moyenne ?,Montrée,Colère,word,informatique,SitEmo
CyberAggAdo,t expert en informatique pour savoir j ai combien de moyenne ?,Montrée,Colère,word,savoir,SitEmo
CyberAggAdo,t expert en informatique pour savoir j ai combien de moyenne ?,Montrée,Colère,word,combien,SitEmo
CyberAggAdo,t expert en informatique pour savoir j ai combien de moyenne ?,Montrée,Colère,word,moyenne,SitEmo
CyberAggAdo,t expert en informatique pour savoir j ai combien de moyenne ?,Montrée,Colère,punctuation,?,SitEmo
CyberAggAdo,raconter de la merde,Montrée,Colère,word,raconter,SitEmo
CyberAggAdo,raconter de la merde,Montrée,Colère,word,merde,SitEmo
CyberAggAdo,tellement t'as r a dire,Suggérée,Colère,word,tellement,SitEmo
CyberAggAdo,tellement t'as r a dire,Suggérée,Colère,word,t'as,SitEmo
CyberAggAdo,tellement t'as r a dire,Suggérée,Colère,word,r,SitEmo
CyberAggAdo,tellement t'as r a dire,Suggérée,Colère,punctuation,',SitEmo
CyberAggAdo,au pire vos gueule,Montrée,Colère,word,pire,SitEmo
CyberAggAdo,au pire vos gueule,Montrée,Colère,word,gueule,SitEmo
CyberAggAdo,tdc,Montrée,Colère,word,tdc,SitEmo
CyberAggAdo,cassez pas la tete,Suggérée,Colère,word,cassez,SitEmo
CyberAggAdo,cassez pas la tete,Suggérée,Colère,word,tete,SitEmo
CyberAggAdo,bande de brut,Montrée,Colère,word,bande,SitEmo
CyberAggAdo,bande de brut,Montrée,Colère,word,brut,SitEmo
CyberAggAdo,faut le brusquer un peu le paul peut être ça lui fera commencer un régime mdr,Montrée,Colère,word,faut,SitEmo
CyberAggAdo,faut le brusquer un peu le paul peut être ça lui fera commencer un régime mdr,Montrée,Colère,word,brusquer,SitEmo
CyberAggAdo,faut le brusquer un peu le paul peut être ça lui fera commencer un régime mdr,Montrée,Colère,word,peu,SitEmo
CyberAggAdo,faut le brusquer un peu le paul peut être ça lui fera commencer un régime mdr,Montrée,Colère,word,paul,SitEmo
CyberAggAdo,faut le brusquer un peu le paul peut être ça lui fera commencer un régime mdr,Montrée,Colère,word,fera,SitEmo
CyberAggAdo,faut le brusquer un peu le paul peut être ça lui fera commencer un régime mdr,Montrée,Colère,word,commencer,SitEmo
CyberAggAdo,faut le brusquer un peu le paul peut être ça lui fera commencer un régime mdr,Montrée,Colère,word,régime,SitEmo
CyberAggAdo,faut le brusquer un peu le paul peut être ça lui fera commencer un régime mdr,Montrée,Colère,word,mdr,SitEmo
CyberAggAdo,on va se battre,Comportementale,Colère,word,battre,SitEmo
CyberAggAdo,pourquoi tu cherche les problème,Montrée,Colère,word,pourquoi,SitEmo
CyberAggAdo,pourquoi tu cherche les problème,Montrée,Colère,word,cherche,SitEmo
CyberAggAdo,pourquoi tu cherche les problème,Montrée,Colère,word,problème,SitEmo
CyberAggAdo,drole,Désignée,Joie,word,drole,SitEmo
CyberAggAdo,sa change quoi a ta vie ????,Montrée,Colère,word,change,SitEmo
CyberAggAdo,sa change quoi a ta vie ????,Montrée,Colère,word,vie,SitEmo
CyberAggAdo,sa change quoi a ta vie ????,Montrée,Colère,punctuation,?,SitEmo
CyberAggAdo,sa change quoi a ta vie ????,Montrée,Colère,punctuation,?,SitEmo
CyberAggAdo,sa change quoi a ta vie ????,Montrée,Colère,punctuation,?,SitEmo
CyberAggAdo,sa change quoi a ta vie ????,Montrée,Colère,punctuation,?,SitEmo
CyberAggAdo,fermé ta gueule,Montrée,Colère,word,fermé,SitEmo
CyberAggAdo,fermé ta gueule,Montrée,Colère,word,gueule,SitEmo
CyberAggAdo,t'inquiète,Désignée,Tristesse,word,t'inquiète,SitEmo
CyberAggAdo,t'inquiète,Désignée,Tristesse,punctuation,',SitEmo
CyberAggAdo,mais ferme la pierre etles autres la,Montrée,Colère,word,ferme,SitEmo
CyberAggAdo,mais ferme la pierre etles autres la,Montrée,Colère,word,pierre,SitEmo
CyberAggAdo,mais ferme la pierre etles autres la,Montrée,Colère,word,etles,SitEmo
CyberAggAdo,vous avez autant pas de vie,Montrée,Colère,word,autant,SitEmo
CyberAggAdo,vous avez autant pas de vie,Montrée,Colère,word,vie,SitEmo
CyberAggAdo,vous melez de la sienne,Suggérée,Colère,word,melez,SitEmo
CyberAggAdo,vous melez de la sienne,Suggérée,Colère,word,sienne,SitEmo
CyberAggAdo,gros con,Montrée,Colère,word,gros,SitEmo
CyberAggAdo,gros con,Montrée,Colère,word,con,SitEmo
CyberAggAdo,sous merde,Montrée,Colère,word,merde,SitEmo
CyberAggAdo,sous merde,Montrée,Dégoût,word,merde,SitEmo
CyberAggAdo,on a besoin de 2 pokeflute pour te réveiller,Montrée,Dégoût,word,besoin,SitEmo
CyberAggAdo,on a besoin de 2 pokeflute pour te réveiller,Montrée,Dégoût,word,pokeflute,SitEmo
CyberAggAdo,on a besoin de 2 pokeflute pour te réveiller,Montrée,Dégoût,word,réveiller,SitEmo
CyberAggAdo,tg,Montrée,Colère,word,tg,SitEmo
CyberAggAdo,mais arrêtetu,Montrée,Colère,word,arrêtetu,SitEmo
CyberAggAdo,mdrrrrrr,Désignée,Joie,word,mdrrrrrr,SitEmo
CyberAggAdo,quand tu ressemble a rien,Montrée,Colère,word,ressemble,SitEmo
CyberAggAdo,arrete d'insulter,Comportementale,Colère,word,arrete,SitEmo
CyberAggAdo,arrete d'insulter,Comportementale,Colère,word,d'insulter,SitEmo
CyberAggAdo,arrete d'insulter,Comportementale,Colère,punctuation,',SitEmo
CyberAggAdo,wsh dosez,Montrée,Colère,word,wsh,SitEmo
CyberAggAdo,wsh dosez,Montrée,Colère,word,dosez,SitEmo
CyberAggAdo,Laisse tomber,Suggérée,Tristesse,word,laisse,SitEmo
CyberAggAdo,Laisse tomber,Suggérée,Tristesse,word,tomber,SitEmo
CyberAggAdo,Ils sont cons ils entendent rien..,Montrée,Colère,word,cons,SitEmo
CyberAggAdo,Ils sont cons ils entendent rien..,Montrée,Colère,word,entendent,SitEmo
CyberAggAdo,Ils sont cons ils entendent rien..,Montrée,Colère,punctuation,.,SitEmo
CyberAggAdo,Ils sont cons ils entendent rien..,Montrée,Colère,punctuation,.,SitEmo
CyberAggAdo,t'aimerais bien qu'on te le fasse?,Montrée,Colère,word,t'aimerais,SitEmo
CyberAggAdo,t'aimerais bien qu'on te le fasse?,Montrée,Colère,word,qu'on,SitEmo
CyberAggAdo,t'aimerais bien qu'on te le fasse?,Montrée,Colère,word,fasse,SitEmo
CyberAggAdo,t'aimerais bien qu'on te le fasse?,Montrée,Colère,punctuation,',SitEmo
CyberAggAdo,t'aimerais bien qu'on te le fasse?,Montrée,Colère,punctuation,',SitEmo
CyberAggAdo,t'aimerais bien qu'on te le fasse?,Montrée,Colère,punctuation,?,SitEmo
CyberAggAdo,t con,Montrée,Colère,word,con,SitEmo
CyberAggAdo,Mais putain,Montrée,Colère,word,putain,SitEmo
CyberAggAdo,c'est quoi ton problème !,Montrée,Colère,word,c'est,SitEmo
CyberAggAdo,c'est quoi ton problème !,Montrée,Colère,word,problème,SitEmo
CyberAggAdo,c'est quoi ton problème !,Montrée,Colère,punctuation,',SitEmo
CyberAggAdo,c'est quoi ton problème !,Montrée,Colère,punctuation,!,SitEmo
CyberAggAdo,gros tat,Montrée,Colère,word,gros,SitEmo
CyberAggAdo,gros tat,Montrée,Dégoût,word,gros,SitEmo
CyberAggAdo,gros tat,Montrée,Colère,word,tat,SitEmo
CyberAggAdo,gros tat,Montrée,Dégoût,word,tat,SitEmo
CyberAggAdo,je veux rayer les sous merde de la carte,Montrée,Colère,word,rayer,SitEmo
CyberAggAdo,je veux rayer les sous merde de la carte,Montrée,Dégoût,word,rayer,SitEmo
CyberAggAdo,je veux rayer les sous merde de la carte,Montrée,Colère,word,merde,SitEmo
CyberAggAdo,je veux rayer les sous merde de la carte,Montrée,Dégoût,word,merde,SitEmo
CyberAggAdo,je veux rayer les sous merde de la carte,Montrée,Colère,word,carte,SitEmo
CyberAggAdo,je veux rayer les sous merde de la carte,Montrée,Dégoût,word,carte,SitEmo
CyberAggAdo,tg,Montrée,Colère,word,tg,SitEmo
CyberAggAdo,ignore leporte pleinte,Suggérée,Colère,word,ignore,SitEmo
CyberAggAdo,ignore leporte pleinte,Suggérée,Colère,word,leporte,SitEmo
CyberAggAdo,ignore leporte pleinte,Suggérée,Colère,word,pleinte,SitEmo
CyberAggAdo,..,Montrée,Colère,punctuation,.,SitEmo
CyberAggAdo,..,Montrée,Colère,punctuation,.,SitEmo
CyberAggAdo,un gros tas de graisse arabe,Montrée,Dégoût,word,gros,SitEmo
CyberAggAdo,un gros tas de graisse arabe,Montrée,Dégoût,word,tas,SitEmo
CyberAggAdo,un gros tas de graisse arabe,Montrée,Dégoût,word,graisse,SitEmo
CyberAggAdo,un gros tas de graisse arabe,Montrée,Dégoût,word,arabe,SitEmo
CyberAggAdo,bah si bah les couilles supprime la vidéo mon con,Montrée,Colère,word,bah,SitEmo
CyberAggAdo,bah si bah les couilles supprime la vidéo mon con,Montrée,Colère,word,bah,SitEmo
CyberAggAdo,bah si bah les couilles supprime la vidéo mon con,Montrée,Colère,word,couilles,SitEmo
CyberAggAdo,bah si bah les couilles supprime la vidéo mon con,Montrée,Colère,word,supprime,SitEmo
CyberAggAdo,bah si bah les couilles supprime la vidéo mon con,Montrée,Colère,word,vidéo,SitEmo
CyberAggAdo,bah si bah les couilles supprime la vidéo mon con,Montrée,Colère,word,con,SitEmo
CyberAggAdo,porter pleinte carremenent ?,Montrée,Surprise,word,porter,SitEmo
CyberAggAdo,porter pleinte carremenent ?,Montrée,Surprise,word,pleinte,SitEmo
CyberAggAdo,porter pleinte carremenent ?,Montrée,Surprise,word,carremenent,SitEmo
CyberAggAdo,porter pleinte carremenent ?,Montrée,Surprise,punctuation,?,SitEmo
CyberAggAdo,j ai tue ta mere ou quoi,Montrée,Colère,word,tue,SitEmo
CyberAggAdo,j ai tue ta mere ou quoi,Montrée,Colère,word,mere,SitEmo
CyberAggAdo,t'inquiète,Désignée,Tristesse,word,t'inquiète,SitEmo
CyberAggAdo,t'inquiète,Désignée,Tristesse,punctuation,',SitEmo
CyberAggAdo,sale bagraa,Montrée,Colère,word,sale,SitEmo
CyberAggAdo,sale bagraa,Montrée,Dégoût,word,sale,SitEmo
CyberAggAdo,sale bagraa,Montrée,Colère,word,bagraa,SitEmo
CyberAggAdo,sale bagraa,Montrée,Dégoût,word,bagraa,SitEmo
CyberAggAdo,arrete Julien avec ton gros crane,Montrée,Colère,word,arrete,SitEmo
CyberAggAdo,arrete Julien avec ton gros crane,Montrée,Colère,word,julien,SitEmo
CyberAggAdo,arrete Julien avec ton gros crane,Montrée,Colère,word,gros,SitEmo
CyberAggAdo,arrete Julien avec ton gros crane,Montrée,Colère,word,crane,SitEmo
CyberAggAdo,je vais vraient porter plainte si ça continue,Comportementale,Colère,word,vraient,SitEmo
CyberAggAdo,je vais vraient porter plainte si ça continue,Comportementale,Colère,word,porter,SitEmo
CyberAggAdo,je vais vraient porter plainte si ça continue,Comportementale,Colère,word,plainte,SitEmo
CyberAggAdo,je vais vraient porter plainte si ça continue,Comportementale,Colère,word,continue,SitEmo
CyberAggAdo,Vous êtes même pas foutu d'arrêter une blague,Montrée,Colère,word,foutu,SitEmo
CyberAggAdo,Vous êtes même pas foutu d'arrêter une blague,Montrée,Colère,word,d'arrêter,SitEmo
CyberAggAdo,Vous êtes même pas foutu d'arrêter une blague,Montrée,Colère,word,blague,SitEmo
CyberAggAdo,Vous êtes même pas foutu d'arrêter une blague,Montrée,Colère,punctuation,',SitEmo
CyberAggAdo,gros porc de service,Montrée,Dégoût,word,gros,SitEmo
CyberAggAdo,gros porc de service,Montrée,Dégoût,word,porc,SitEmo
CyberAggAdo,gros porc de service,Montrée,Dégoût,word,service,SitEmo
CyberAggAdo,appart insulter les gens sur leur poids et sur leur religions vous savez faire quoi les gars,Montrée,Colère,word,appart,SitEmo
CyberAggAdo,appart insulter les gens sur leur poids et sur leur religions vous savez faire quoi les gars,Montrée,Colère,word,insulter,SitEmo
CyberAggAdo,appart insulter les gens sur leur poids et sur leur religions vous savez faire quoi les gars,Montrée,Colère,word,gens,SitEmo
CyberAggAdo,appart insulter les gens sur leur poids et sur leur religions vous savez faire quoi les gars,Montrée,Colère,word,poids,SitEmo
CyberAggAdo,appart insulter les gens sur leur poids et sur leur religions vous savez faire quoi les gars,Montrée,Colère,word,religions,SitEmo
CyberAggAdo,appart insulter les gens sur leur poids et sur leur religions vous savez faire quoi les gars,Montrée,Colère,word,savez,SitEmo
CyberAggAdo,appart insulter les gens sur leur poids et sur leur religions vous savez faire quoi les gars,Montrée,Colère,word,gars,SitEmo
CyberAggAdo,profiter de la vie,Désignée,Joie,word,profiter,SitEmo
CyberAggAdo,profiter de la vie,Désignée,Joie,word,vie,SitEmo
CyberAggAdo,c votre probleme,Montrée,Colère,word,probleme,SitEmo
CyberAggAdo,laisse Selena tranquille,Suggérée,Colère,word,laisse,SitEmo
CyberAggAdo,laisse Selena tranquille,Suggérée,Colère,word,selena,SitEmo
CyberAggAdo,laisse Selena tranquille,Suggérée,Colère,word,tranquille,SitEmo
CyberAggAdo,en quoi c amusant,Montrée,Colère,word,amusant,SitEmo
CyberAggAdo,brice tu te croit marrant,Montrée,Colère,word,brice,SitEmo
CyberAggAdo,brice tu te croit marrant,Montrée,Colère,word,croit,SitEmo
CyberAggAdo,brice tu te croit marrant,Montrée,Colère,word,marrant,SitEmo
CyberAggAdo,Elle se mêle de chose qui la regarde pas,Suggérée,Colère,word,mêle,SitEmo
CyberAggAdo,Elle se mêle de chose qui la regarde pas,Suggérée,Colère,word,chose,SitEmo
CyberAggAdo,Elle se mêle de chose qui la regarde pas,Suggérée,Colère,word,regarde,SitEmo
CyberAggAdo,tu me diras si c amusant,Montrée,Colère,word,diras,SitEmo
CyberAggAdo,tu me diras si c amusant,Montrée,Colère,word,amusant,SitEmo
CyberAggAdo,mon con,Montrée,Colère,word,con,SitEmo
CyberAggAdo,MAis arrete de faire genre brice !,Montrée,Colère,word,arrete,SitEmo
CyberAggAdo,MAis arrete de faire genre brice !,Montrée,Colère,word,genre,SitEmo
CyberAggAdo,MAis arrete de faire genre brice !,Montrée,Colère,word,brice,SitEmo
CyberAggAdo,MAis arrete de faire genre brice !,Montrée,Colère,punctuation,!,SitEmo
CyberAggAdo,t vraiment con,Montrée,Colère,word,vraiment,SitEmo
CyberAggAdo,t vraiment con,Montrée,Colère,word,con,SitEmo
CyberAggAdo,sa m'aurait pas plu,Désignée,Colère,word,m'aurait,SitEmo
CyberAggAdo,sa m'aurait pas plu,Désignée,Colère,word,plu,SitEmo
CyberAggAdo,sa m'aurait pas plu,Désignée,Colère,punctuation,',SitEmo
CyberAggAdo,je te jure je vais te casser la gueule,Comportementale,Colère,word,jure,SitEmo
CyberAggAdo,je te jure je vais te casser la gueule,Comportementale,Colère,word,casser,SitEmo
CyberAggAdo,je te jure je vais te casser la gueule,Comportementale,Colère,word,gueule,SitEmo
CyberAggAdo,casser la gueule,Montrée,Colère,word,casser,SitEmo
CyberAggAdo,casser la gueule,Montrée,Colère,word,gueule,SitEmo
CyberAggAdo,laisser le tranquille,Montrée,Colère,word,laisser,SitEmo
CyberAggAdo,laisser le tranquille,Montrée,Colère,word,tranquille,SitEmo
CyberAggAdo,STOP AU HARCELEMENT,Montrée,Colère,word,stop,SitEmo
CyberAggAdo,STOP AU HARCELEMENT,Montrée,Colère,word,harcelement,SitEmo
CyberAggAdo,vous etes tous inferieur a nous enfaite,Montrée,Colère,word,etes,SitEmo
CyberAggAdo,vous etes tous inferieur a nous enfaite,Montrée,Colère,word,inferieur,SitEmo
CyberAggAdo,vous etes tous inferieur a nous enfaite,Montrée,Colère,word,enfaite,SitEmo
CyberAggAdo,ca va chauffer,Suggérée,Colère,word,ca,SitEmo
CyberAggAdo,ca va chauffer,Suggérée,Colère,word,chauffer,SitEmo
CyberAggAdo,stoppppp,Montrée,Colère,word,stoppppp,SitEmo
CyberAggAdo,ce gros porc de paul,Montrée,Dégoût,word,gros,SitEmo
CyberAggAdo,ce gros porc de paul,Montrée,Colère,word,gros,SitEmo
CyberAggAdo,ce gros porc de paul,Montrée,Dégoût,word,porc,SitEmo
CyberAggAdo,ce gros porc de paul,Montrée,Colère,word,porc,SitEmo
CyberAggAdo,ce gros porc de paul,Montrée,Dégoût,word,paul,SitEmo
CyberAggAdo,ce gros porc de paul,Montrée,Colère,word,paul,SitEmo
CyberAggAdo,gros porc,Montrée,Colère,word,gros,SitEmo
CyberAggAdo,gros porc,Montrée,Dégoût,word,gros,SitEmo
CyberAggAdo,gros porc,Montrée,Colère,word,porc,SitEmo
CyberAggAdo,gros porc,Montrée,Dégoût,word,porc,SitEmo
CyberAggAdo,le mec voit que par sa bouffe,Suggérée,Dégoût,word,mec,SitEmo
CyberAggAdo,le mec voit que par sa bouffe,Suggérée,Dégoût,word,voit,SitEmo
CyberAggAdo,le mec voit que par sa bouffe,Suggérée,Dégoût,word,bouffe,SitEmo
CyberAggAdo,????,Montrée,Surprise,punctuation,?,SitEmo
CyberAggAdo,????,Montrée,Surprise,punctuation,?,SitEmo
CyberAggAdo,????,Montrée,Surprise,punctuation,?,SitEmo
CyberAggAdo,????,Montrée,Surprise,punctuation,?,SitEmo
CyberAggAdo,pierre tu me casse les couilles,Montrée,Colère,word,pierre,SitEmo
CyberAggAdo,pierre tu me casse les couilles,Montrée,Colère,word,casse,SitEmo
CyberAggAdo,pierre tu me casse les couilles,Montrée,Colère,word,couilles,SitEmo
CyberAggAdo,nique t'as mere,Montrée,Colère,word,nique,SitEmo
CyberAggAdo,nique t'as mere,Montrée,Colère,word,t'as,SitEmo
CyberAggAdo,nique t'as mere,Montrée,Colère,word,mere,SitEmo
CyberAggAdo,nique t'as mere,Montrée,Colère,punctuation,',SitEmo
CyberAggAdo,je nique deja la tienne,Montrée,Colère,word,nique,SitEmo
CyberAggAdo,je nique deja la tienne,Montrée,Colère,word,deja,SitEmo
CyberAggAdo,je nique deja la tienne,Montrée,Colère,word,tienne,SitEmo
CyberAggAdo,la vie de ma mere,Montrée,Colère,word,vie,SitEmo
CyberAggAdo,la vie de ma mere,Montrée,Colère,word,mere,SitEmo
CyberAggAdo,juste arrete vous faites chauffer,Comportementale,Colère,word,juste,SitEmo
CyberAggAdo,juste arrete vous faites chauffer,Comportementale,Colère,word,arrete,SitEmo
CyberAggAdo,juste arrete vous faites chauffer,Comportementale,Colère,word,chauffer,SitEmo
CyberAggAdo,en écran sa insulte mais quand sa va devoir khallas sa va bégayer,Comportementale,Colère,word,écran,SitEmo
CyberAggAdo,en écran sa insulte mais quand sa va devoir khallas sa va bégayer,Comportementale,Colère,word,insulte,SitEmo
CyberAggAdo,en écran sa insulte mais quand sa va devoir khallas sa va bégayer,Comportementale,Colère,word,khallas,SitEmo
CyberAggAdo,en écran sa insulte mais quand sa va devoir khallas sa va bégayer,Comportementale,Colère,word,bégayer,SitEmo
CyberAggAdo,bégayer,Désignée,Embarras,word,bégayer,SitEmo
CyberAggAdo,je te hagar,Comportementale,Colère,word,hagar,SitEmo
CyberAggAdo,tu parle t'as la nom de cailloux ca veut faire l arabe mtn,Montrée,Dégoût,word,parle,SitEmo
CyberAggAdo,tu parle t'as la nom de cailloux ca veut faire l arabe mtn,Montrée,Colère,word,parle,SitEmo
CyberAggAdo,tu parle t'as la nom de cailloux ca veut faire l arabe mtn,Montrée,Dégoût,word,t'as,SitEmo
CyberAggAdo,tu parle t'as la nom de cailloux ca veut faire l arabe mtn,Montrée,Colère,word,t'as,SitEmo
CyberAggAdo,tu parle t'as la nom de cailloux ca veut faire l arabe mtn,Montrée,Dégoût,word,nom,SitEmo
CyberAggAdo,tu parle t'as la nom de cailloux ca veut faire l arabe mtn,Montrée,Colère,word,nom,SitEmo
CyberAggAdo,tu parle t'as la nom de cailloux ca veut faire l arabe mtn,Montrée,Dégoût,word,cailloux,SitEmo
CyberAggAdo,tu parle t'as la nom de cailloux ca veut faire l arabe mtn,Montrée,Colère,word,cailloux,SitEmo
CyberAggAdo,tu parle t'as la nom de cailloux ca veut faire l arabe mtn,Montrée,Dégoût,word,ca,SitEmo
CyberAggAdo,tu parle t'as la nom de cailloux ca veut faire l arabe mtn,Montrée,Colère,word,ca,SitEmo
CyberAggAdo,tu parle t'as la nom de cailloux ca veut faire l arabe mtn,Montrée,Dégoût,word,arabe,SitEmo
CyberAggAdo,tu parle t'as la nom de cailloux ca veut faire l arabe mtn,Montrée,Colère,word,arabe,SitEmo
CyberAggAdo,tu parle t'as la nom de cailloux ca veut faire l arabe mtn,Montrée,Dégoût,word,mtn,SitEmo
CyberAggAdo,tu parle t'as la nom de cailloux ca veut faire l arabe mtn,Montrée,Colère,word,mtn,SitEmo
CyberAggAdo,tu parle t'as la nom de cailloux ca veut faire l arabe mtn,Montrée,Dégoût,punctuation,',SitEmo
CyberAggAdo,tu parle t'as la nom de cailloux ca veut faire l arabe mtn,Montrée,Colère,punctuation,',SitEmo
CyberAggAdo,bande d'hypocrytes,Montrée,Colère,word,bande,SitEmo
CyberAggAdo,bande d'hypocrytes,Montrée,Colère,word,d'hypocrytes,SitEmo
CyberAggAdo,bande d'hypocrytes,Montrée,Colère,punctuation,',SitEmo
CyberAggAdo,Continue de jouer brice.,Montrée,Colère,word,continue,SitEmo
CyberAggAdo,Continue de jouer brice.,Montrée,Colère,word,jouer,SitEmo
CyberAggAdo,Continue de jouer brice.,Montrée,Colère,word,brice,SitEmo
CyberAggAdo,Continue de jouer brice.,Montrée,Colère,punctuation,.,SitEmo
CyberAggAdo,tg,Montrée,Colère,word,tg,SitEmo
CyberAggAdo,tas de graisse,Montrée,Dégoût,word,tas,SitEmo
CyberAggAdo,tas de graisse,Montrée,Colère,word,tas,SitEmo
CyberAggAdo,tas de graisse,Montrée,Dégoût,word,graisse,SitEmo
