marker_value,marker_type,Admiration,Colère,Culpabilité,Dégoût,Embarras,Fierté,Jalousie,Joie,Peur,Surprise,Tristesse,total_count,P(Colère),P(Dégoût),P(Joie),P(Peur),P(Surprise),P(Tristesse),P(Admiration),P(Culpabilité),P(Embarras),P(Fierté),P(Jalousie),entropy,normalized_entropy
vivre,lemma,0,3,0,0,1,1,0,2,1,0,5,13,0.23,0.00,0.15,0.08,0.00,0.38,0.00,0.00,0.08,0.08,0.00,2.29,0.66
mort,word,1,2,0,0,1,0,0,1,4,1,8,18,0.11,0.00,0.06,0.22,0.06,0.44,0.06,0.00,0.06,0.00,0.00,2.28,0.66
jour,lemma,0,1,0,1,0,1,0,4,1,0,1,9,0.11,0.11,0.44,0.11,0.00,0.11,0.00,0.00,0.00,0.11,0.00,2.28,0.66
argent,lemma,0,8,0,1,0,1,0,1,1,2,3,17,0.47,0.06,0.06,0.06,0.12,0.18,0.00,0.00,0.00,0.06,0.00,2.28,0.66
crier,lemma,0,5,0,1,1,0,0,2,8,1,1,19,0.26,0.05,0.11,0.42,0.05,0.05,0.00,0.00,0.05,0.00,0.00,2.27,0.66
avant,lemma,1,0,0,1,0,0,0,1,0,2,1,6,0.00,0.17,0.17,0.00,0.33,0.17,0.17,0.00,0.00,0.00,0.00,2.25,0.65
danseur,lemma,1,0,0,0,0,1,0,2,1,0,1,6,0.00,0.00,0.33,0.17,0.00,0.17,0.17,0.00,0.00,0.17,0.00,2.25,0.65
avant,word,1,0,0,1,0,0,0,1,0,2,1,6,0.00,0.17,0.17,0.00,0.33,0.17,0.17,0.00,0.00,0.00,0.00,2.25,0.65
vite,lemma,0,1,0,0,2,0,0,2,2,0,1,8,0.12,0.00,0.25,0.25,0.00,0.12,0.00,0.00,0.25,0.00,0.00,2.25,0.65
vite,word,0,1,0,0,2,0,0,2,2,0,1,8,0.12,0.00,0.25,0.25,0.00,0.12,0.00,0.00,0.25,0.00,0.00,2.25,0.65
vrai,lemma,1,1,0,0,0,2,0,2,0,1,0,7,0.14,0.00,0.29,0.00,0.14,0.00,0.14,0.00,0.00,0.29,0.00,2.24,0.65
confiance,lemma,0,1,0,0,1,0,0,2,1,0,2,7,0.14,0.00,0.29,0.14,0.00,0.29,0.00,0.00,0.14,0.00,0.00,2.24,0.65
confiance,word,0,1,0,0,1,0,0,2,1,0,2,7,0.14,0.00,0.29,0.14,0.00,0.29,0.00,0.00,0.14,0.00,0.00,2.24,0.65
an,lemma,1,2,0,0,1,0,0,0,0,1,2,7,0.29,0.00,0.00,0.00,0.14,0.29,0.14,0.00,0.14,0.00,0.00,2.24,0.65
ans,word,1,2,0,0,1,0,0,0,0,1,2,7,0.29,0.00,0.00,0.00,0.14,0.29,0.14,0.00,0.14,0.00,0.00,2.24,0.65
beaucoup,word,1,2,0,0,0,0,0,2,0,1,1,7,0.29,0.00,0.29,0.00,0.14,0.14,0.14,0.00,0.00,0.00,0.00,2.24,0.65
beaucoup,lemma,1,2,0,0,0,0,0,2,0,1,1,7,0.29,0.00,0.29,0.00,0.14,0.14,0.14,0.00,0.00,0.00,0.00,2.24,0.65
deux,word,0,2,0,0,0,0,0,3,1,2,3,11,0.18,0.00,0.27,0.09,0.18,0.27,0.00,0.00,0.00,0.00,0.00,2.23,0.64
deux,lemma,0,2,0,0,0,0,0,3,1,2,3,11,0.18,0.00,0.27,0.09,0.18,0.27,0.00,0.00,0.00,0.00,0.00,2.23,0.64
parler,lemma,1,11,0,1,1,0,0,1,2,1,2,20,0.55,0.05,0.05,0.10,0.05,0.10,0.05,0.00,0.05,0.00,0.00,2.22,0.64
c'est,word,0,20,0,2,0,2,0,10,1,3,9,47,0.43,0.04,0.21,0.02,0.06,0.19,0.00,0.00,0.00,0.04,0.00,2.22,0.64
première,word,2,0,0,0,0,2,0,5,0,4,2,15,0.00,0.00,0.33,0.00,0.27,0.13,0.13,0.00,0.00,0.13,0.00,2.20,0.64
pays,word,0,2,0,0,0,2,0,1,3,0,1,9,0.22,0.00,0.11,0.33,0.00,0.11,0.00,0.00,0.00,0.22,0.00,2.20,0.64
pays,lemma,0,2,0,0,0,2,0,1,3,0,1,9,0.22,0.00,0.11,0.33,0.00,0.11,0.00,0.00,0.00,0.22,0.00,2.20,0.64
!,punctuation,28,100,0,12,4,23,1,146,13,349,33,709,0.14,0.02,0.21,0.02,0.49,0.05,0.04,0.00,0.01,0.03,0.00,2.18,0.63
qu'il,word,0,1,0,0,0,0,0,1,3,2,3,10,0.10,0.00,0.10,0.30,0.20,0.30,0.00,0.00,0.00,0.00,0.00,2.17,0.63
fort,lemma,1,3,0,0,1,1,0,0,2,0,0,8,0.38,0.00,0.00,0.25,0.00,0.00,0.12,0.00,0.12,0.12,0.00,2.16,0.62
coup,word,0,2,0,0,0,1,0,3,1,1,0,8,0.25,0.00,0.38,0.12,0.12,0.00,0.00,0.00,0.00,0.12,0.00,2.16,0.62
parle,word,1,3,0,1,0,0,0,0,1,0,2,8,0.38,0.12,0.00,0.12,0.00,0.25,0.12,0.00,0.00,0.00,0.00,2.16,0.62
unique,word,1,0,0,0,0,3,0,2,0,1,1,8,0.00,0.00,0.25,0.00,0.12,0.12,0.12,0.00,0.00,0.38,0.00,2.16,0.62
falloir,lemma,0,5,0,0,0,0,0,5,2,1,4,17,0.29,0.00,0.29,0.12,0.06,0.24,0.00,0.00,0.00,0.00,0.00,2.13,0.62
malade,word,0,1,0,0,0,0,0,1,3,1,1,7,0.14,0.00,0.14,0.43,0.14,0.14,0.00,0.00,0.00,0.00,0.00,2.13,0.62
prendre,lemma,0,7,0,1,1,0,0,0,8,2,2,21,0.33,0.05,0.00,0.38,0.10,0.10,0.00,0.00,0.05,0.00,0.00,2.12,0.61
sentir,lemma,0,0,0,0,1,0,0,4,2,1,2,10,0.00,0.00,0.40,0.20,0.10,0.20,0.00,0.00,0.10,0.00,0.00,2.12,0.61
imposer,lemma,0,2,0,0,0,1,0,1,4,0,2,10,0.20,0.00,0.10,0.40,0.00,0.20,0.00,0.00,0.00,0.10,0.00,2.12,0.61
voir,word,0,4,0,1,0,2,0,3,1,0,0,11,0.36,0.09,0.27,0.09,0.00,0.00,0.00,0.00,0.00,0.18,0.00,2.12,0.61
temps,lemma,0,1,0,0,0,0,0,3,1,1,3,9,0.11,0.00,0.33,0.11,0.11,0.33,0.00,0.00,0.00,0.00,0.00,2.11,0.61
temps,word,0,1,0,0,0,0,0,3,1,1,3,9,0.11,0.00,0.33,0.11,0.11,0.33,0.00,0.00,0.00,0.00,0.00,2.11,0.61
école,lemma,0,1,0,0,0,1,0,1,3,0,3,9,0.11,0.00,0.11,0.33,0.00,0.33,0.00,0.00,0.00,0.11,0.00,2.11,0.61
mort,lemma,1,4,0,0,1,0,0,1,7,1,14,29,0.14,0.00,0.03,0.24,0.03,0.48,0.03,0.00,0.03,0.00,0.00,2.07,0.60
silence,lemma,0,1,0,0,1,0,0,0,1,2,4,9,0.11,0.00,0.00,0.11,0.22,0.44,0.00,0.00,0.11,0.00,0.00,2.06,0.60
silence,word,0,1,0,0,1,0,0,0,1,2,4,9,0.11,0.00,0.00,0.11,0.22,0.44,0.00,0.00,0.11,0.00,0.00,2.06,0.60
mot,lemma,1,0,0,0,0,1,0,4,0,1,2,9,0.00,0.00,0.44,0.00,0.11,0.22,0.11,0.00,0.00,0.11,0.00,2.06,0.60
arriver,lemma,1,1,0,0,0,0,0,0,1,4,3,10,0.10,0.00,0.00,0.10,0.40,0.30,0.10,0.00,0.00,0.00,0.00,2.05,0.59
faut,word,0,2,0,0,0,0,0,5,1,1,2,11,0.18,0.00,0.45,0.09,0.09,0.18,0.00,0.00,0.00,0.00,0.00,2.04,0.59
bon,word,0,4,0,0,1,2,0,14,1,1,2,25,0.16,0.00,0.56,0.04,0.04,0.08,0.00,0.00,0.04,0.08,0.00,2.03,0.59
difficile,lemma,0,2,0,1,3,0,0,0,5,2,14,27,0.07,0.04,0.00,0.19,0.07,0.52,0.00,0.00,0.11,0.00,0.00,2.03,0.59
passer,lemma,0,0,0,1,0,0,0,3,6,3,1,14,0.00,0.07,0.21,0.43,0.21,0.07,0.00,0.00,0.00,0.00,0.00,2.02,0.58
avance,lemma,0,0,0,1,1,0,0,1,1,0,0,4,0.00,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.25,0.00,0.00,2.00,0.58
manger,word,0,1,0,1,0,0,0,0,1,0,1,4,0.25,0.25,0.00,0.25,0.00,0.25,0.00,0.00,0.00,0.00,0.00,2.00,0.58
longtemps,lemma,0,0,0,0,0,1,0,1,1,0,1,4,0.00,0.00,0.25,0.25,0.00,0.25,0.00,0.00,0.00,0.25,0.00,2.00,0.58
longtemps,word,0,0,0,0,0,1,0,1,1,0,1,4,0.00,0.00,0.25,0.25,0.00,0.25,0.00,0.00,0.00,0.25,0.00,2.00,0.58
arracher,lemma,0,1,0,0,0,0,0,0,1,1,1,4,0.25,0.00,0.00,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.00,2.00,0.58
grandes,word,0,1,0,0,0,1,0,1,1,0,0,4,0.25,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.25,0.00,2.00,0.58
tombe,word,0,0,0,0,1,0,0,1,0,1,1,4,0.00,0.00,0.25,0.00,0.25,0.25,0.00,0.00,0.25,0.00,0.00,2.00,0.58
tomber,lemma,0,0,0,0,1,0,0,1,1,1,4,8,0.00,0.00,0.12,0.12,0.12,0.50,0.00,0.00,0.12,0.00,0.00,2.00,0.58
sauter,lemma,0,0,0,0,0,0,0,1,1,1,1,4,0.00,0.00,0.25,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.00,2.00,0.58
essayer,lemma,0,0,0,0,0,1,0,1,1,0,1,4,0.00,0.00,0.25,0.25,0.00,0.25,0.00,0.00,0.00,0.25,0.00,2.00,0.58
entendre,lemma,0,4,0,0,1,0,0,0,1,1,1,8,0.50,0.00,0.00,0.12,0.12,0.12,0.00,0.00,0.12,0.00,0.00,2.00,0.58
aime,word,0,1,0,1,1,0,0,1,0,0,0,4,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,2.00,0.58
carrément,word,0,1,0,0,0,1,0,1,0,0,1,4,0.25,0.00,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.25,0.00,2.00,0.58
carrément,lemma,0,1,0,0,0,1,0,1,0,0,1,4,0.25,0.00,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.25,0.00,2.00,0.58
bouche,word,1,1,0,0,0,0,0,1,0,1,0,4,0.25,0.00,0.25,0.00,0.25,0.00,0.25,0.00,0.00,0.00,0.00,2.00,0.58
comment,word,0,1,0,0,1,0,0,0,1,0,1,4,0.25,0.00,0.00,0.25,0.00,0.25,0.00,0.00,0.25,0.00,0.00,2.00,0.58
bouche,lemma,1,1,0,0,0,0,0,1,0,1,0,4,0.25,0.00,0.25,0.00,0.25,0.00,0.25,0.00,0.00,0.00,0.00,2.00,0.58
suivie,word,1,0,0,0,0,1,0,1,0,1,0,4,0.00,0.00,0.25,0.00,0.25,0.00,0.25,0.00,0.00,0.25,0.00,2.00,0.58
comment,lemma,0,1,0,0,1,0,0,0,1,0,1,4,0.25,0.00,0.00,0.25,0.00,0.25,0.00,0.00,0.25,0.00,0.00,2.00,0.58
record,lemma,6,0,0,0,0,6,0,6,0,5,0,23,0.00,0.00,0.26,0.00,0.22,0.00,0.26,0.00,0.00,0.26,0.00,2.00,0.58
prix,lemma,1,6,0,0,0,6,0,6,0,1,0,20,0.30,0.00,0.30,0.00,0.05,0.00,0.05,0.00,0.00,0.30,0.00,2.00,0.58
?,punctuation,1,42,0,2,0,1,0,2,13,36,4,101,0.42,0.02,0.02,0.13,0.36,0.04,0.01,0.00,0.00,0.01,0.00,1.98,0.57
jouer,lemma,0,2,0,0,0,2,0,3,0,0,2,9,0.22,0.00,0.33,0.00,0.00,0.22,0.00,0.00,0.00,0.22,0.00,1.97,0.57
record,word,6,0,0,0,0,4,0,4,0,4,0,18,0.00,0.00,0.22,0.00,0.22,0.00,0.33,0.00,0.00,0.22,0.00,1.97,0.57
chose,lemma,0,5,0,0,1,0,0,1,0,1,3,11,0.45,0.00,0.09,0.00,0.09,0.27,0.00,0.00,0.09,0.00,0.00,1.97,0.57
yeux,word,0,1,0,0,1,0,0,2,1,5,0,10,0.10,0.00,0.20,0.10,0.50,0.00,0.00,0.00,0.10,0.00,0.00,1.96,0.57
malade,lemma,0,1,0,0,0,0,0,1,5,1,2,10,0.10,0.00,0.10,0.50,0.10,0.20,0.00,0.00,0.00,0.00,0.00,1.96,0.57
cp,word,0,2,0,2,0,1,0,0,2,0,0,7,0.29,0.29,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.14,0.00,1.95,0.56
tenir,lemma,0,2,0,0,1,0,0,2,0,2,0,7,0.29,0.00,0.29,0.00,0.29,0.00,0.00,0.00,0.14,0.00,0.00,1.95,0.56
savoir,lemma,0,8,0,1,1,1,0,2,1,0,0,14,0.57,0.07,0.14,0.07,0.00,0.00,0.00,0.00,0.07,0.07,0.00,1.95,0.56
cp,lemma,0,2,0,2,0,1,0,0,2,0,0,7,0.29,0.29,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.14,0.00,1.95,0.56
impressionner,lemma,2,0,0,0,0,2,0,1,0,2,0,7,0.00,0.00,0.14,0.00,0.29,0.00,0.29,0.00,0.00,0.29,0.00,1.95,0.56
demande,word,0,2,0,0,0,0,0,1,2,0,2,7,0.29,0.00,0.14,0.29,0.00,0.29,0.00,0.00,0.00,0.00,0.00,1.95,0.56
histoire,lemma,0,1,0,0,0,2,0,2,0,2,0,7,0.14,0.00,0.29,0.00,0.29,0.00,0.00,0.00,0.00,0.29,0.00,1.95,0.56
prix,word,1,6,0,0,0,8,0,8,0,1,0,24,0.25,0.00,0.33,0.00,0.04,0.00,0.04,0.00,0.00,0.33,0.00,1.94,0.56
qu'est-ce,word,0,2,0,0,0,0,0,0,3,4,2,11,0.18,0.00,0.00,0.27,0.36,0.18,0.00,0.00,0.00,0.00,0.00,1.94,0.56
remporté,word,2,0,0,0,0,7,0,11,0,2,2,24,0.00,0.00,0.46,0.00,0.08,0.08,0.08,0.00,0.00,0.29,0.00,1.93,0.56
déjà,word,4,1,0,0,0,2,0,3,0,10,0,20,0.05,0.00,0.15,0.00,0.50,0.00,0.20,0.00,0.00,0.10,0.00,1.92,0.56
déjà,lemma,4,1,0,0,0,2,0,3,0,10,0,20,0.05,0.00,0.15,0.00,0.50,0.00,0.20,0.00,0.00,0.10,0.00,1.92,0.56
important,lemma,1,0,0,0,0,2,0,1,1,0,0,5,0.00,0.00,0.20,0.20,0.00,0.00,0.20,0.00,0.00,0.40,0.00,1.92,0.56
feu,lemma,0,1,0,0,0,1,0,1,2,0,0,5,0.20,0.00,0.20,0.40,0.00,0.00,0.00,0.00,0.00,0.20,0.00,1.92,0.56
tête,word,0,1,0,0,1,0,0,1,2,0,0,5,0.20,0.00,0.20,0.40,0.00,0.00,0.00,0.00,0.20,0.00,0.00,1.92,0.56
exploits,word,2,0,0,0,0,1,0,1,0,1,0,5,0.00,0.00,0.20,0.00,0.20,0.00,0.40,0.00,0.00,0.20,0.00,1.92,0.56
fort,word,1,0,0,0,1,1,0,0,2,0,0,5,0.00,0.00,0.00,0.40,0.00,0.00,0.20,0.00,0.20,0.20,0.00,1.92,0.56
premier,word,0,1,0,0,0,2,0,1,0,1,0,5,0.20,0.00,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.40,0.00,1.92,0.56
pardon,lemma,0,0,1,0,1,0,0,1,0,0,2,5,0.00,0.00,0.20,0.00,0.00,0.40,0.00,0.20,0.20,0.00,0.00,1.92,0.56
vivre,word,0,2,0,0,0,1,0,1,0,0,1,5,0.40,0.00,0.20,0.00,0.00,0.20,0.00,0.00,0.00,0.20,0.00,1.92,0.56
tas,word,0,1,0,2,0,1,0,1,0,0,0,5,0.20,0.40,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,1.92,0.56
unique,lemma,1,0,0,0,0,2,0,1,0,1,0,5,0.00,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.00,0.40,0.00,1.92,0.56
école,word,0,1,0,0,0,1,0,1,0,0,2,5,0.20,0.00,0.20,0.00,0.00,0.40,0.00,0.00,0.00,0.20,0.00,1.92,0.56
porter,word,0,2,0,0,0,0,0,1,0,1,1,5,0.40,0.00,0.20,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,1.92,0.56
l'occasion,word,0,0,0,0,1,1,0,2,0,0,1,5,0.00,0.00,0.40,0.00,0.00,0.20,0.00,0.00,0.20,0.20,0.00,1.92,0.56
immense,word,1,1,0,0,0,0,0,1,2,0,0,5,0.20,0.00,0.20,0.40,0.00,0.00,0.20,0.00,0.00,0.00,0.00,1.92,0.56
sais,word,0,2,0,1,0,1,0,1,0,0,0,5,0.40,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,1.92,0.56
immense,lemma,1,1,0,0,0,0,0,1,2,0,0,5,0.20,0.00,0.20,0.40,0.00,0.00,0.20,0.00,0.00,0.00,0.00,1.92,0.56
jour,word,0,0,0,1,0,1,0,2,1,0,0,5,0.00,0.20,0.40,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.00,1.92,0.56
mains,word,0,1,0,0,0,1,0,2,1,0,0,5,0.20,0.00,0.40,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.00,1.92,0.56
manger,lemma,0,1,0,1,0,0,0,0,1,0,2,5,0.20,0.20,0.00,0.20,0.00,0.40,0.00,0.00,0.00,0.00,0.00,1.92,0.56
tas,lemma,0,1,0,2,0,1,0,1,0,0,0,5,0.20,0.40,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,1.92,0.56
battre,word,0,2,0,0,1,0,0,1,1,0,0,5,0.40,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.20,0.00,0.00,1.92,0.56
pardon,word,0,0,1,0,1,0,0,1,0,0,2,5,0.00,0.00,0.20,0.00,0.00,0.40,0.00,0.20,0.20,0.00,0.00,1.92,0.56
passer,word,0,0,0,1,0,0,0,2,0,1,1,5,0.00,0.20,0.40,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,1.92,0.56
rare,lemma,1,0,0,0,0,1,0,1,0,2,0,5,0.00,0.00,0.20,0.00,0.40,0.00,0.20,0.00,0.00,0.20,0.00,1.92,0.56
rendu,word,2,0,0,0,0,0,0,1,0,1,1,5,0.00,0.00,0.20,0.00,0.20,0.20,0.40,0.00,0.00,0.00,0.00,1.92,0.56
montrer,lemma,0,1,0,2,0,2,0,1,0,0,0,6,0.17,0.33,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,1.92,0.55
continuer,lemma,0,2,0,1,0,0,0,0,2,0,1,6,0.33,0.17,0.00,0.33,0.00,0.17,0.00,0.00,0.00,0.00,0.00,1.92,0.55
rester,lemma,0,2,0,0,0,0,0,2,1,0,1,6,0.33,0.00,0.33,0.17,0.00,0.17,0.00,0.00,0.00,0.00,0.00,1.92,0.55
devenir,lemma,0,0,0,0,0,0,0,2,2,1,1,6,0.00,0.00,0.33,0.33,0.17,0.17,0.00,0.00,0.00,0.00,0.00,1.92,0.55
empêcher,lemma,0,1,0,0,0,0,0,2,3,0,2,8,0.12,0.00,0.25,0.38,0.00,0.25,0.00,0.00,0.00,0.00,0.00,1.91,0.55
peu,lemma,0,3,0,2,0,0,0,0,1,2,0,8,0.38,0.25,0.00,0.12,0.25,0.00,0.00,0.00,0.00,0.00,0.00,1.91,0.55
mauvaises,word,0,3,0,0,1,0,0,0,2,0,2,8,0.38,0.00,0.00,0.25,0.00,0.25,0.00,0.00,0.12,0.00,0.00,1.91,0.55
peu,word,0,3,0,2,0,0,0,0,1,2,0,8,0.38,0.25,0.00,0.12,0.25,0.00,0.00,0.00,0.00,0.00,0.00,1.91,0.55
rendre,lemma,4,1,0,0,0,0,0,1,0,1,6,13,0.08,0.00,0.08,0.00,0.08,0.46,0.31,0.00,0.00,0.00,0.00,1.89,0.55
demander,lemma,0,5,0,0,0,0,0,2,4,0,2,13,0.38,0.00,0.15,0.31,0.00,0.15,0.00,0.00,0.00,0.00,0.00,1.88,0.54
médailles,word,3,0,0,0,0,7,0,7,0,3,0,20,0.00,0.00,0.35,0.00,0.15,0.00,0.15,0.00,0.00,0.35,0.00,1.88,0.54
remporte,word,2,0,0,0,0,4,0,7,0,4,0,17,0.00,0.00,0.41,0.00,0.24,0.00,0.12,0.00,0.00,0.24,0.00,1.87,0.54
fou,word,1,6,0,1,1,0,0,0,0,5,0,14,0.43,0.07,0.00,0.00,0.36,0.00,0.07,0.00,0.07,0.00,0.00,1.87,0.54
travail,lemma,0,4,0,0,0,0,0,1,2,0,3,10,0.40,0.00,0.10,0.20,0.00,0.30,0.00,0.00,0.00,0.00,0.00,1.85,0.53
chasser,lemma,0,2,0,0,1,0,0,0,4,0,3,10,0.20,0.00,0.00,0.40,0.00,0.30,0.00,0.00,0.10,0.00,0.00,1.85,0.53
