marker_value,marker_type,Comportementale,Désignée,Montrée,Suggérée,total_count,P(Comportementale),P(Désignée),P(Montrée),P(Suggérée),entropy,normalized_entropy
amusant,word,2,4,2,0,8,0.25,0.50,0.25,0.00,1.50,0.75
place,word,2,0,1,1,4,0.50,0.00,0.25,0.25,1.50,0.75
changer,lemma,1,0,2,1,4,0.25,0.00,0.50,0.25,1.50,0.75
polémique,word,1,1,0,2,4,0.25,0.25,0.00,0.50,1.50,0.75
homme,lemma,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
soeur,word,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
continue,word,1,0,1,2,4,0.25,0.00,0.25,0.50,1.50,0.75
tendu,lemma,2,5,0,5,12,0.17,0.42,0.00,0.42,1.48,0.74
fous,word,1,0,2,3,6,0.17,0.00,0.33,0.50,1.46,0.73
plaire,lemma,0,1,2,3,6,0.00,0.17,0.33,0.50,1.46,0.73
regarder,lemma,1,0,3,2,6,0.17,0.00,0.50,0.33,1.46,0.73
faute,lemma,0,3,1,2,6,0.00,0.50,0.17,0.33,1.46,0.73
air,lemma,3,0,1,3,7,0.43,0.00,0.14,0.43,1.45,0.72
tête,lemma,3,1,0,3,7,0.43,0.14,0.00,0.43,1.45,0.72
mettre,lemma,9,0,3,5,17,0.53,0.00,0.18,0.29,1.45,0.72
grand,word,2,0,3,6,11,0.18,0.00,0.27,0.55,1.44,0.72
trouver,lemma,3,0,3,8,14,0.21,0.00,0.21,0.57,1.41,0.71
mieux,lemma,0,1,3,4,8,0.00,0.12,0.38,0.50,1.41,0.70
honneur,lemma,3,4,0,1,8,0.38,0.50,0.00,0.12,1.41,0.70
main,lemma,4,0,1,3,8,0.50,0.00,0.12,0.38,1.41,0.70
parle,word,1,0,4,3,8,0.12,0.00,0.50,0.38,1.41,0.70
mieux,word,0,1,3,4,8,0.00,0.12,0.38,0.50,1.41,0.70
arrêter,word,3,0,4,1,8,0.38,0.00,0.50,0.12,1.41,0.70
croire,lemma,0,2,8,8,18,0.00,0.11,0.44,0.44,1.39,0.70
-,punctuation,4,1,31,24,60,0.07,0.02,0.52,0.40,1.38,0.69
énorme,lemma,0,4,1,2,7,0.00,0.57,0.14,0.29,1.38,0.69
juif,lemma,1,0,4,2,7,0.14,0.00,0.57,0.29,1.38,0.69
prend,word,2,0,1,4,7,0.29,0.00,0.14,0.57,1.38,0.69
incroyable,word,0,4,1,2,7,0.00,0.57,0.14,0.29,1.38,0.69
regarde,word,1,0,3,1,5,0.20,0.00,0.60,0.20,1.37,0.69
photos,word,1,0,3,1,5,0.20,0.00,0.60,0.20,1.37,0.69
croire,word,0,1,1,3,5,0.00,0.20,0.20,0.60,1.37,0.69
porter,word,3,0,1,1,5,0.60,0.00,0.20,0.20,1.37,0.69
conflit,word,6,2,0,2,10,0.60,0.20,0.00,0.20,1.37,0.69
langue,word,1,0,1,3,5,0.20,0.00,0.20,0.60,1.37,0.69
parler,lemma,4,0,12,4,20,0.20,0.00,0.60,0.20,1.37,0.69
trouvé,word,1,0,1,3,5,0.20,0.00,0.20,0.60,1.37,0.69
langue,lemma,1,0,1,3,5,0.20,0.00,0.20,0.60,1.37,0.69
réveiller,lemma,1,0,1,3,5,0.20,0.00,0.20,0.60,1.37,0.69
soeur,lemma,1,0,1,3,5,0.20,0.00,0.20,0.60,1.37,0.69
faute,word,0,3,1,1,5,0.00,0.60,0.20,0.20,1.37,0.69
embête,word,1,3,0,1,5,0.20,0.60,0.00,0.20,1.37,0.69
super,lemma,0,5,1,4,10,0.00,0.50,0.10,0.40,1.36,0.68
célébrer,lemma,5,1,0,4,10,0.50,0.10,0.00,0.40,1.36,0.68
super,word,0,5,1,4,10,0.00,0.50,0.10,0.40,1.36,0.68
pourquoi,word,1,0,5,3,9,0.11,0.00,0.56,0.33,1.35,0.68
mot,lemma,3,0,1,5,9,0.33,0.00,0.11,0.56,1.35,0.68
pourquoi,lemma,1,0,5,3,9,0.11,0.00,0.56,0.33,1.35,0.68
vie,lemma,1,1,10,16,28,0.04,0.04,0.36,0.57,1.34,0.67
conflit,lemma,8,2,0,3,13,0.62,0.15,0.00,0.23,1.33,0.67
vie,word,1,1,10,17,29,0.03,0.03,0.34,0.59,1.32,0.66
d'un,word,2,0,1,5,8,0.25,0.00,0.12,0.62,1.30,0.65
génial,lemma,0,10,4,2,16,0.00,0.62,0.25,0.12,1.30,0.65
génial,word,0,10,4,2,16,0.00,0.62,0.25,0.12,1.30,0.65
qu'on,word,1,0,5,2,8,0.12,0.00,0.62,0.25,1.30,0.65
battre,lemma,7,0,1,6,14,0.50,0.00,0.07,0.43,1.30,0.65
rendre,lemma,7,0,1,5,13,0.54,0.00,0.08,0.38,1.30,0.65
penser,lemma,1,0,3,6,10,0.10,0.00,0.30,0.60,1.30,0.65
aimer,lemma,1,0,9,8,18,0.06,0.00,0.50,0.44,1.25,0.63
énorme,word,0,4,1,1,6,0.00,0.67,0.17,0.17,1.25,0.63
rester,lemma,1,0,1,4,6,0.17,0.00,0.17,0.67,1.25,0.63
blessé,lemma,1,1,0,4,6,0.17,0.17,0.00,0.67,1.25,0.63
violence,word,2,0,2,8,12,0.17,0.00,0.17,0.67,1.25,0.63
photo,lemma,1,0,4,1,6,0.17,0.00,0.67,0.17,1.25,0.63
drôle,word,0,14,3,25,42,0.00,0.33,0.07,0.60,1.25,0.62
parler,word,3,0,7,1,11,0.27,0.00,0.64,0.09,1.24,0.62
idée,word,1,0,3,7,11,0.09,0.00,0.27,0.64,1.24,0.62
demander,lemma,1,0,4,8,13,0.08,0.00,0.31,0.62,1.24,0.62
laisser,lemma,1,0,10,7,18,0.06,0.00,0.56,0.39,1.23,0.62
drôle,lemma,0,16,3,28,47,0.00,0.34,0.06,0.60,1.23,0.61
temps,word,1,0,2,6,9,0.11,0.00,0.22,0.67,1.22,0.61
temps,lemma,1,0,2,6,9,0.11,0.00,0.22,0.67,1.22,0.61
ferme,lemma,1,0,6,2,9,0.11,0.00,0.67,0.22,1.22,0.61
ferme,word,1,0,6,2,9,0.11,0.00,0.67,0.22,1.22,0.61
soi,lemma,118,6,6,45,175,0.67,0.03,0.03,0.26,1.22,0.61
assez,lemma,1,12,0,13,26,0.04,0.46,0.00,0.50,1.20,0.60
fois,word,1,0,3,8,12,0.08,0.00,0.25,0.67,1.19,0.59
fois,lemma,1,0,3,8,12,0.08,0.00,0.25,0.67,1.19,0.59
grand,lemma,5,0,3,18,26,0.19,0.00,0.12,0.69,1.18,0.59
assez,word,1,12,0,16,29,0.03,0.41,0.00,0.55,1.17,0.58
prendre,lemma,7,0,1,13,21,0.33,0.00,0.05,0.62,1.17,0.58
bon,word,0,1,9,15,25,0.00,0.04,0.36,0.60,1.16,0.58
porter,lemma,7,0,1,2,10,0.70,0.00,0.10,0.20,1.16,0.58
arriver,lemma,1,0,2,7,10,0.10,0.00,0.20,0.70,1.16,0.58
sentir,lemma,2,0,1,7,10,0.20,0.00,0.10,0.70,1.16,0.58
menacé,word,2,7,0,1,10,0.20,0.70,0.00,0.10,1.16,0.58
incroyable,lemma,0,7,1,2,10,0.00,0.70,0.10,0.20,1.16,0.58
venir,lemma,2,0,1,7,10,0.20,0.00,0.10,0.70,1.16,0.58
suffire,lemma,0,1,1,5,7,0.00,0.14,0.14,0.71,1.15,0.57
enfants,word,1,0,1,5,7,0.14,0.00,0.14,0.71,1.15,0.57
suffit,word,0,1,1,5,7,0.00,0.14,0.14,0.71,1.15,0.57
",",punctuation,4,0,42,14,60,0.07,0.00,0.70,0.23,1.11,0.56
horrible,lemma,0,11,2,2,15,0.00,0.73,0.13,0.13,1.10,0.55
fête,word,20,0,1,9,30,0.67,0.00,0.03,0.30,1.07,0.54
bon,lemma,0,2,11,30,43,0.00,0.05,0.26,0.70,1.07,0.54
dormir,lemma,1,0,1,6,8,0.12,0.00,0.12,0.75,1.06,0.53
fête,lemma,22,0,1,9,32,0.69,0.00,0.03,0.28,1.04,0.52
.,punctuation,0,1,9,2,12,0.00,0.08,0.75,0.17,1.04,0.52
horrible,word,0,9,2,1,12,0.00,0.75,0.17,0.08,1.04,0.52
sourire,word,9,1,0,2,12,0.75,0.08,0.00,0.17,1.04,0.52
gros,word,2,0,21,5,28,0.07,0.00,0.75,0.18,1.03,0.51
crier,lemma,14,0,1,4,19,0.74,0.00,0.05,0.21,1.02,0.51
regard,word,2,0,0,2,4,0.50,0.00,0.00,0.50,1.00,0.50
expulser,word,2,0,0,2,4,0.50,0.00,0.00,0.50,1.00,0.50
expulser,lemma,2,0,0,2,4,0.50,0.00,0.00,0.50,1.00,0.50
exceptionnel,word,0,2,0,2,4,0.00,0.50,0.00,0.50,1.00,0.50
amusé,lemma,2,2,0,0,4,0.50,0.50,0.00,0.00,1.00,0.50
excellent,lemma,0,0,2,2,4,0.00,0.00,0.50,0.50,1.00,0.50
oreille,lemma,2,0,0,2,4,0.50,0.00,0.00,0.50,1.00,0.50
conflits,word,2,0,0,2,4,0.50,0.00,0.00,0.50,1.00,0.50
timidement,word,2,2,0,0,4,0.50,0.50,0.00,0.00,1.00,0.50
laisser,word,0,0,4,4,8,0.00,0.00,0.50,0.50,1.00,0.50
l'air,word,2,0,0,2,4,0.50,0.00,0.00,0.50,1.00,0.50
timidement,lemma,2,2,0,0,4,0.50,0.50,0.00,0.00,1.00,0.50
persécutions,word,0,2,0,2,4,0.00,0.50,0.00,0.50,1.00,0.50
pile,lemma,0,0,5,5,10,0.00,0.00,0.50,0.50,1.00,0.50
piles,word,0,0,4,4,8,0.00,0.00,0.50,0.50,1.00,0.50
persécution,lemma,0,2,0,2,4,0.00,0.50,0.00,0.50,1.00,0.50
boum,word,0,0,2,2,4,0.00,0.00,0.50,0.50,1.00,0.50
punir,word,3,0,0,3,6,0.50,0.00,0.00,0.50,1.00,0.50
gagnera,lemma,2,0,0,2,4,0.50,0.00,0.00,0.50,1.00,0.50
arracher,lemma,2,0,0,2,4,0.50,0.00,0.00,0.50,1.00,0.50
voix,lemma,3,0,0,3,6,0.50,0.00,0.00,0.50,1.00,0.50
voix,word,3,0,0,3,6,0.50,0.00,0.00,0.50,1.00,0.50
enfermer,lemma,3,0,0,3,6,0.50,0.00,0.00,0.50,1.00,0.50
voulaient,word,0,2,0,2,4,0.00,0.50,0.00,0.50,1.00,0.50
gagnera,word,2,0,0,2,4,0.50,0.00,0.00,0.50,1.00,0.50
s'amuse,word,2,2,0,0,4,0.50,0.50,0.00,0.00,1.00,0.50
frustrant,word,0,2,0,2,4,0.00,0.50,0.00,0.50,1.00,0.50
frustrant,lemma,0,2,0,2,4,0.00,0.50,0.00,0.50,1.00,0.50
énerve,word,2,2,0,0,4,0.50,0.50,0.00,0.00,1.00,0.50
encore,lemma,0,0,6,6,12,0.00,0.00,0.50,0.50,1.00,0.50
encore,word,0,0,6,6,12,0.00,0.00,0.50,0.50,1.00,0.50
gêné,lemma,0,2,0,2,4,0.00,0.50,0.00,0.50,1.00,0.50
cru,word,0,0,2,2,4,0.00,0.00,0.50,0.50,1.00,0.50
croit,word,0,0,3,3,6,0.00,0.00,0.50,0.50,1.00,0.50
humiliation,lemma,0,2,0,2,4,0.00,0.50,0.00,0.50,1.00,0.50
humeur,word,0,2,0,2,4,0.00,0.50,0.00,0.50,1.00,0.50
proteste,word,2,0,2,0,4,0.50,0.00,0.50,0.00,1.00,0.50
humiliations,word,0,2,0,2,4,0.00,0.50,0.00,0.50,1.00,0.50
interdire,lemma,2,0,0,2,4,0.50,0.00,0.00,0.50,1.00,0.50
jeter,lemma,2,0,0,2,4,0.50,0.00,0.00,0.50,1.00,0.50
bonbons,word,0,0,2,2,4,0.00,0.00,0.50,0.50,1.00,0.50
humeur,lemma,0,2,0,2,4,0.00,0.50,0.00,0.50,1.00,0.50
d'être,word,0,0,2,2,4,0.00,0.00,0.50,0.50,1.00,0.50
danser,lemma,2,0,0,2,4,0.50,0.00,0.00,0.50,1.00,0.50
falloir,lemma,0,0,9,8,17,0.00,0.00,0.53,0.47,1.00,0.50
attaqué,word,6,0,0,7,13,0.46,0.00,0.00,0.54,1.00,0.50
amuse,lemma,7,6,0,0,13,0.54,0.46,0.00,0.00,1.00,0.50
protéger,word,11,0,0,13,24,0.46,0.00,0.00,0.54,0.99,0.50
voir,word,0,0,5,6,11,0.00,0.00,0.45,0.55,0.99,0.50
tension,lemma,0,5,0,4,9,0.00,0.56,0.00,0.44,0.99,0.50
silence,lemma,5,0,0,4,9,0.56,0.00,0.00,0.44,0.99,0.50
tensions,word,0,5,0,4,9,0.00,0.56,0.00,0.44,0.99,0.50
silence,word,5,0,0,4,9,0.56,0.00,0.00,0.44,0.99,0.50
menacer,word,1,7,0,1,9,0.11,0.78,0.00,0.11,0.99,0.49
histoire,lemma,0,0,3,4,7,0.00,0.00,0.43,0.57,0.99,0.49
tirer,lemma,3,0,0,4,7,0.43,0.00,0.00,0.57,0.99,0.49
pris,word,3,0,0,4,7,0.43,0.00,0.00,0.57,0.99,0.49
occuper,lemma,3,0,0,4,7,0.43,0.00,0.00,0.57,0.99,0.49
réjouir,lemma,4,3,0,0,7,0.57,0.43,0.00,0.00,0.99,0.49
avis,lemma,0,0,4,3,7,0.00,0.00,0.57,0.43,0.99,0.49
tenir,lemma,0,0,4,3,7,0.00,0.00,0.57,0.43,0.99,0.49
insulte,word,4,3,0,0,7,0.57,0.43,0.00,0.00,0.99,0.49
condamner,lemma,3,0,0,4,7,0.43,0.00,0.00,0.57,0.99,0.49
protéger,lemma,11,0,0,15,26,0.42,0.00,0.00,0.58,0.98,0.49
réjouit,word,3,2,0,0,5,0.60,0.40,0.00,0.00,0.97,0.49
battre,word,3,0,0,2,5,0.60,0.00,0.00,0.40,0.97,0.49
fort,word,2,0,0,3,5,0.40,0.00,0.00,0.60,0.97,0.49
avis,word,0,0,3,2,5,0.00,0.00,0.60,0.40,0.97,0.49
drôles,word,0,2,0,3,5,0.00,0.40,0.00,0.60,0.97,0.49
feu,lemma,2,0,0,3,5,0.40,0.00,0.00,0.60,0.97,0.49
feu,word,2,0,0,3,5,0.40,0.00,0.00,0.60,0.97,0.49
fille,lemma,0,0,2,3,5,0.00,0.00,0.40,0.60,0.97,0.49
tas,lemma,0,0,3,2,5,0.00,0.00,0.60,0.40,0.97,0.49
tas,word,0,0,3,2,5,0.00,0.00,0.60,0.40,0.97,0.49
quitté,word,3,0,0,2,5,0.60,0.00,0.00,0.40,0.97,0.49
immense,lemma,2,0,0,3,5,0.40,0.00,0.00,0.60,0.97,0.49
problème,word,0,0,2,3,5,0.00,0.00,0.40,0.60,0.97,0.49
immense,word,2,0,0,3,5,0.40,0.00,0.00,0.60,0.97,0.49
punir,lemma,3,0,0,2,5,0.60,0.00,0.00,0.40,0.97,0.49
qu'il,word,0,0,4,6,10,0.00,0.00,0.40,0.60,0.97,0.49
jouer,word,0,0,3,2,5,0.00,0.00,0.60,0.40,0.97,0.49
cacher,word,2,0,0,3,5,0.40,0.00,0.00,0.60,0.97,0.49
célébrer,word,3,0,0,2,5,0.60,0.00,0.00,0.40,0.97,0.49
laisse,word,0,0,2,3,5,0.00,0.00,0.40,0.60,0.97,0.49
pauvre,word,0,0,3,2,5,0.00,0.00,0.60,0.40,0.97,0.49
partir,word,2,0,0,3,5,0.40,0.00,0.00,0.60,0.97,0.49
amuse,word,6,4,0,0,10,0.60,0.40,0.00,0.00,0.97,0.49
noir,word,2,0,0,3,5,0.40,0.00,0.00,0.60,0.97,0.49
moment,word,0,0,2,3,5,0.00,0.00,0.40,0.60,0.97,0.49
étrange,lemma,0,6,0,4,10,0.00,0.60,0.00,0.40,0.97,0.49
contre,word,9,0,0,6,15,0.60,0.00,0.00,0.40,0.97,0.49
énerve,lemma,2,3,0,0,5,0.40,0.60,0.00,0.00,0.97,0.49
explosé,word,0,0,3,2,5,0.00,0.00,0.60,0.40,0.97,0.49
exploits,word,0,2,0,3,5,0.00,0.40,0.00,0.60,0.97,0.49
enthousiasme,word,2,3,0,0,5,0.40,0.60,0.00,0.00,0.97,0.49
vrai,word,0,0,2,3,5,0.00,0.00,0.40,0.60,0.97,0.49
menace,word,4,16,0,1,21,0.19,0.76,0.00,0.05,0.96,0.48
contre,lemma,8,0,0,5,13,0.62,0.00,0.00,0.38,0.96,0.48
vu,word,0,0,3,5,8,0.00,0.00,0.38,0.62,0.95,0.48
exploser,lemma,0,0,3,5,8,0.00,0.00,0.38,0.62,0.95,0.48
traité,word,3,5,0,0,8,0.38,0.62,0.00,0.00,0.95,0.48
étrange,word,0,5,0,3,8,0.00,0.62,0.00,0.38,0.95,0.48
tomber,lemma,0,0,3,5,8,0.00,0.00,0.38,0.62,0.95,0.48
servir,lemma,0,0,5,3,8,0.00,0.00,0.62,0.38,0.95,0.48
attaquer,lemma,9,0,0,15,24,0.38,0.00,0.00,0.62,0.95,0.48
cacher,lemma,5,0,0,3,8,0.62,0.00,0.00,0.38,0.95,0.48
traité,lemma,3,5,0,0,8,0.38,0.62,0.00,0.00,0.95,0.48
sourire,lemma,11,1,0,2,14,0.79,0.07,0.00,0.14,0.95,0.47
bonne,word,0,1,2,11,14,0.00,0.07,0.14,0.79,0.95,0.47
faut,word,0,0,7,4,11,0.00,0.00,0.64,0.36,0.95,0.47
insulte,lemma,9,16,0,0,25,0.36,0.64,0.00,0.00,0.94,0.47
rire,word,19,3,0,2,24,0.79,0.12,0.00,0.08,0.94,0.47
passer,lemma,0,0,5,9,14,0.00,0.00,0.36,0.64,0.94,0.47
juste,word,1,0,23,6,30,0.03,0.00,0.77,0.20,0.92,0.46
menacer,lemma,4,36,0,5,45,0.09,0.80,0.00,0.11,0.92,0.46
adorer,lemma,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
continuer,lemma,2,0,0,4,6,0.33,0.00,0.00,0.67,0.92,0.46
consterné,word,1,2,0,0,3,0.33,0.67,0.00,0.00,0.92,0.46
consterner,lemma,1,2,0,0,3,0.33,0.67,0.00,0.00,0.92,0.46
mordre,lemma,0,2,0,1,3,0.00,0.67,0.00,0.33,0.92,0.46
montre,word,0,0,2,1,3,0.00,0.00,0.67,0.33,0.92,0.46
affaire,lemma,0,0,2,1,3,0.00,0.00,0.67,0.33,0.92,0.46
affaires,word,0,0,2,1,3,0.00,0.00,0.67,0.33,0.92,0.46
agir,lemma,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
entrer,lemma,1,0,0,2,3,0.33,0.00,0.00,0.67,0.92,0.46
entrez,lemma,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
entrez,word,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
désolée,word,0,1,2,0,3,0.00,0.33,0.67,0.00,0.92,0.46
esprit,lemma,2,0,0,1,3,0.67,0.00,0.00,0.33,0.92,0.46
adore,word,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
admiration,lemma,1,2,0,0,3,0.33,0.67,0.00,0.00,0.92,0.46
voulu,word,1,0,0,2,3,0.33,0.00,0.00,0.67,0.92,0.46
n'ai,word,0,0,2,1,3,0.00,0.00,0.67,0.33,0.92,0.46
n'est,word,0,0,4,2,6,0.00,0.00,0.67,0.33,0.92,0.46
complètement,lemma,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
complètement,word,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
mesure,lemma,1,0,0,2,3,0.33,0.00,0.00,0.67,0.92,0.46
muslim,lemma,0,0,2,1,3,0.00,0.00,0.67,0.33,0.92,0.46
mériter,lemma,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
muslim,word,0,0,2,1,3,0.00,0.00,0.67,0.33,0.92,0.46
mec,lemma,0,0,2,1,3,0.00,0.00,0.67,0.33,0.92,0.46
maison,lemma,3,0,0,6,9,0.33,0.00,0.00,0.67,0.92,0.46
venir,word,2,0,0,4,6,0.33,0.00,0.00,0.67,0.92,0.46
trouver,word,2,0,0,4,6,0.33,0.00,0.00,0.67,0.92,0.46
alerte,word,2,1,0,0,3,0.67,0.33,0.00,0.00,0.92,0.46
alerte,lemma,2,1,0,0,3,0.67,0.33,0.00,0.00,0.92,0.46
couleur,lemma,2,0,0,1,3,0.67,0.00,0.00,0.33,0.92,0.46
couleurs,word,2,0,0,1,3,0.67,0.00,0.00,0.33,0.92,0.46
aise,lemma,0,6,0,3,9,0.00,0.67,0.00,0.33,0.92,0.46
alarme,lemma,2,0,0,1,3,0.67,0.00,0.00,0.33,0.92,0.46
magnifique,lemma,0,2,0,1,3,0.00,0.67,0.00,0.33,0.92,0.46
main,word,2,0,0,1,3,0.67,0.00,0.00,0.33,0.92,0.46
lutter,lemma,2,0,0,1,3,0.67,0.00,0.00,0.33,0.92,0.46
monstre,lemma,0,0,2,1,3,0.00,0.00,0.67,0.33,0.92,0.46
misère,word,0,2,0,1,3,0.00,0.67,0.00,0.33,0.92,0.46
misère,lemma,0,2,0,1,3,0.00,0.67,0.00,0.33,0.92,0.46
millions,word,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
million,lemma,0,0,1,2,3,0.00,0.00,0.33,0.67,0.92,0.46
ntm,word,2,0,1,0,3,0.67,0.00,0.33,0.00,0.92,0.46
ntm,lemma,2,0,1,0,3,0.67,0.00,0.33,0.00,0.92,0.46
excellent,word,0,0,2,1,3,0.00,0.00,0.67,0.33,0.92,0.46
fabuleux,lemma,0,2,1,0,3,0.00,0.67,0.33,0.00,0.92,0.46
effet,lemma,0,1,0,2,3,0.00,0.33,0.00,0.67,0.92,0.46
effets,word,0,1,0,2,3,0.00,0.33,0.00,0.67,0.92,0.46
amusé,word,1,2,0,0,3,0.33,0.67,0.00,0.00,0.92,0.46
original,lemma,0,1,0,2,3,0.00,0.33,0.00,0.67,0.92,0.46
originale,word,0,1,0,2,3,0.00,0.33,0.00,0.67,0.92,0.46
chouette,lemma,0,1,2,0,3,0.00,0.33,0.67,0.00,0.92,0.46
chouette,word,0,1,2,0,3,0.00,0.33,0.67,0.00,0.92,0.46
combat,lemma,1,0,0,2,3,0.33,0.00,0.00,0.67,0.92,0.46
paris,lemma,1,0,0,2,3,0.33,0.00,0.00,0.67,0.92,0.46
