backend,surface_lower,lemma,surface_lemma_count,dominant_mode,surface_count,surface_dominant_emotion,surface_entropy,surface_normalized_entropy,lemma_count,lemma_dominant_emotion,lemma_entropy,lemma_normalized_entropy,delta_entropy,dominant_emotion_changed,surface_share_in_lemma,granularity_class,review_priority
spacy,news,new,2,Suggérée,3,Colère,-0.0,0.0,7,Joie,1.3788,0.8699,1.3788,True,0.2857,lemma_dilutes_surface,high
stanza,lancé,lancer,3,Comportementale,3,Colère,-0.0,0.0,5,Colère,1.371,0.865,1.371,False,0.6,lemma_dilutes_surface,high
spacy,savoir,savoir,5,Montrée,5,Colère,-0.0,0.0,10,Colère,1.3568,0.6784,1.3568,False,0.5,lemma_dilutes_surface,high
stanza,crient,crier,3,Comportementale,3,Peur,0.9183,0.9183,22,Peur,2.2713,0.8091,1.353,False,0.1364,lemma_dilutes_surface,high
spacy,imposer,imposer,3,Suggérée,3,Peur,0.9183,0.9183,6,Peur,2.2516,0.9697,1.3333,False,0.5,lemma_dilutes_surface,high
stanza,sert,servir,3,Montrée,3,Colère,-0.0,0.0,8,Colère,1.2988,0.8194,1.2988,False,0.375,lemma_dilutes_surface,high
spacy,prestigieux,prestigieux,3,Désignée,3,Admiration,-0.0,0.0,6,Admiration,1.2516,0.7897,1.2516,False,0.5,lemma_dilutes_surface,high
stanza,trouver,trouver,6,Suggérée,6,Peur,1.2516,0.7897,14,Peur,2.4956,0.889,1.244,False,0.4286,lemma_dilutes_surface,high
spacy,trouver,trouver,6,Suggérée,6,Peur,1.2516,0.7897,14,Peur,2.4956,0.889,1.244,False,0.4286,lemma_dilutes_surface,high
stanza,croire,croire,5,Suggérée,5,Surprise,0.7219,0.7219,19,Colère,1.9291,0.8308,1.2072,True,0.2632,lemma_dilutes_surface,high
stanza,imposer,imposer,3,Suggérée,3,Peur,0.9183,0.9183,11,Peur,2.1181,0.9122,1.1998,False,0.2727,lemma_dilutes_surface,high
spacy,attaquent,attaquer,3,Suggérée,3,Peur,-0.0,0.0,24,Peur,1.1964,0.7549,1.1964,False,0.125,lemma_dilutes_surface,high
stanza,attaquent,attaquer,3,Suggérée,3,Peur,-0.0,0.0,24,Peur,1.1964,0.7549,1.1964,False,0.125,lemma_dilutes_surface,high
spacy,croire,croire,5,Suggérée,5,Surprise,0.7219,0.7219,13,Surprise,1.892,0.8148,1.1701,False,0.3846,lemma_dilutes_surface,high
stanza,beaux,beau,3,Suggérée,3,Joie,-0.0,0.0,24,Joie,1.1582,0.7308,1.1582,False,0.125,lemma_dilutes_surface,high
stanza,effondrer,effondrer,3,Suggérée,3,Peur,-0.0,0.0,10,Peur,1.1568,0.7298,1.1568,False,0.3,lemma_dilutes_surface,high
stanza,prestigieux,prestigieux,3,Désignée,3,Admiration,-0.0,0.0,7,Admiration,1.1488,0.7248,1.1488,False,0.4286,lemma_dilutes_surface,high
stanza,révoltée,révolter,3,Comportementale,3,Colère,-0.0,0.0,7,Colère,1.1488,0.7248,1.1488,False,0.4286,lemma_dilutes_surface,high
stanza,interdire,interdire,3,Comportementale,3,Colère,-0.0,0.0,7,Colère,1.1488,0.7248,1.1488,False,0.4286,lemma_dilutes_surface,high
spacy,arrivent,arriver,3,Suggérée,3,Tristesse,0.9183,0.9183,10,Surprise,2.0464,0.8814,1.1281,True,0.3,lemma_dilutes_surface,high
stanza,arrivent,arriver,3,Suggérée,3,Tristesse,0.9183,0.9183,10,Surprise,2.0464,0.8814,1.1281,True,0.3,lemma_dilutes_surface,high
stanza,trouvé,trouver,5,Suggérée,5,Joie,1.371,0.865,14,Peur,2.4956,0.889,1.1246,True,0.3571,lemma_dilutes_surface,high
spacy,trouvé,trouver,5,Suggérée,5,Joie,1.371,0.865,14,Peur,2.4956,0.889,1.1246,True,0.3571,lemma_dilutes_surface,high
spacy,pleure,pleurer,5,Comportementale,5,Tristesse,-0.0,0.0,45,Tristesse,1.1245,0.7095,1.1245,False,0.1111,lemma_dilutes_surface,high
stanza,pleure,pleurer,5,Comportementale,5,Tristesse,-0.0,0.0,45,Tristesse,1.1245,0.7095,1.1245,False,0.1111,lemma_dilutes_surface,high
spacy,voit,voir,3,Suggérée,3,Colère,1.585,1.0,29,Colère,2.7091,0.8546,1.1241,False,0.1034,lemma_dilutes_surface,high
spacy,continue,continuer,3,Suggérée,4,Colère,0.8113,0.8113,6,Colère,1.9183,0.9591,1.107,False,0.5,lemma_dilutes_surface,high
spacy,mortes,mort,4,Suggérée,4,Peur,1.0,1.0,28,Tristesse,2.1017,0.7487,1.1017,True,0.1429,lemma_dilutes_surface,high
stanza,mortes,mort,4,Suggérée,4,Peur,1.0,1.0,28,Tristesse,2.1017,0.7487,1.1017,True,0.1429,lemma_dilutes_surface,high
stanza,réussir,réussir,3,Suggérée,3,Colère,1.585,1.0,19,Joie,2.6498,0.9439,1.0648,True,0.1579,lemma_dilutes_surface,high
spacy,réussir,réussir,3,Suggérée,3,Colère,1.585,1.0,19,Joie,2.6498,0.9439,1.0648,True,0.1579,lemma_dilutes_surface,high
spacy,révoltée,révolter,3,Comportementale,3,Colère,-0.0,0.0,8,Colère,1.0613,0.6696,1.0613,False,0.375,lemma_dilutes_surface,high
stanza,joué,jouer,3,Suggérée,3,Joie,0.9183,0.9183,9,Joie,1.9749,0.9875,1.0566,False,0.3333,lemma_dilutes_surface,high
spacy,joué,jouer,3,Suggérée,3,Joie,0.9183,0.9183,9,Joie,1.9749,0.9875,1.0566,False,0.3333,lemma_dilutes_surface,high
stanza,voit,voir,3,Suggérée,3,Colère,1.585,1.0,32,Colère,2.637,0.8319,1.052,False,0.0938,lemma_dilutes_surface,high
spacy,passe,passer,5,Montrée,5,Peur,0.971,0.971,14,Peur,2.0202,0.8701,1.0492,False,0.3571,lemma_dilutes_surface,high
stanza,passe,passer,5,Montrée,5,Peur,0.971,0.971,14,Peur,2.0202,0.8701,1.0492,False,0.3571,lemma_dilutes_surface,high
stanza,malades,malade,3,Suggérée,3,Peur,0.9183,0.9183,10,Peur,1.961,0.8445,1.0427,False,0.3,lemma_dilutes_surface,high
spacy,malades,malade,3,Suggérée,3,Peur,0.9183,0.9183,10,Peur,1.961,0.8445,1.0427,False,0.3,lemma_dilutes_surface,high
stanza,continue,continuer,4,Suggérée,4,Colère,0.8113,0.8113,7,Colère,1.8424,0.9212,1.0311,False,0.5714,lemma_dilutes_surface,high
spacy,noire,noir,3,Suggérée,4,Joie,1.5,0.9464,10,Colère,2.5219,0.9756,1.0219,True,0.3,lemma_dilutes_surface,high
stanza,montre,montrer,2,Montrée,3,Dégoût,0.9183,0.9183,5,Fierté,1.9219,0.961,1.0036,True,0.4,lemma_dilutes_surface,high
spacy,noir,noir,5,Suggérée,5,Colère,1.5219,0.9602,10,Colère,2.5219,0.9756,1.0,False,0.5,lemma_dilutes_surface,high
stanza,tiré,tirer,3,Suggérée,3,Peur,-0.0,0.0,6,Joie,1.0,1.0,1.0,True,0.5,lemma_dilutes_surface,high
spacy,violents,violent,3,Suggérée,3,Peur,-0.0,0.0,13,Peur,0.9913,0.6254,0.9913,False,0.2308,lemma_dilutes_surface,high
stanza,danse,danser,1,Suggérée,6,Joie,-0.0,0.0,13,Joie,0.9913,0.6254,0.9913,False,0.0769,lemma_dilutes_surface,high
spacy,petite,petit,4,Suggérée,4,Joie,0.8113,0.8113,16,Joie,1.7947,0.773,0.9834,False,0.25,lemma_dilutes_surface,high
stanza,petite,petit,4,Suggérée,4,Joie,0.8113,0.8113,16,Joie,1.7947,0.773,0.9834,False,0.25,lemma_dilutes_surface,high
stanza,noire,noir,4,Suggérée,4,Joie,1.5,0.9464,11,Tristesse,2.4817,0.9601,0.9817,True,0.3636,lemma_dilutes_surface,high
stanza,demander,demander,3,Suggérée,3,Colère,0.9183,0.9183,13,Colère,1.8843,0.9422,0.966,False,0.2308,lemma_dilutes_surface,high
stanza,noir,noir,5,Suggérée,5,Colère,1.5219,0.9602,11,Tristesse,2.4817,0.9601,0.9598,True,0.4545,lemma_dilutes_surface,high
stanza,volé,voler,4,Suggérée,4,Colère,0.8113,0.8113,8,Colère,1.75,0.875,0.9387,False,0.5,lemma_dilutes_surface,high
stanza,partir,partir,5,Suggérée,5,Tristesse,0.7219,0.7219,9,Tristesse,1.6577,0.8289,0.9358,False,0.5556,lemma_dilutes_surface,high
spacy,grands,grand,3,Suggérée,3,Fierté,1.585,1.0,25,Joie,2.5125,0.895,0.9275,True,0.12,lemma_dilutes_surface,high
stanza,grands,grand,3,Suggérée,3,Fierté,1.585,1.0,25,Joie,2.5125,0.895,0.9275,True,0.12,lemma_dilutes_surface,high
stanza,rendre,rendre,5,Comportementale,5,Tristesse,0.971,0.971,13,Tristesse,1.892,0.8148,0.921,False,0.3846,lemma_dilutes_surface,high
spacy,folle,fou,3,Suggérée,4,Joie,1.5,0.9464,23,Colère,2.4013,0.8553,0.9013,True,0.1304,lemma_dilutes_surface,high
stanza,violents,violent,3,Suggérée,3,Peur,-0.0,0.0,21,Peur,0.8929,0.5634,0.8929,False,0.1429,lemma_dilutes_surface,high
spacy,arrêté,arrêter,5,Comportementale,5,Colère,0.7219,0.7219,21,Colère,1.6005,0.8002,0.8786,False,0.2381,lemma_dilutes_surface,high
stanza,folle,fou,4,Suggérée,4,Joie,1.5,0.9464,24,Colère,2.3699,0.8442,0.8699,True,0.1667,lemma_dilutes_surface,high
spacy,effondrer,effondrer,3,Suggérée,3,Peur,-0.0,0.0,7,Peur,0.8631,0.8631,0.8631,False,0.4286,lemma_dilutes_surface,high
stanza,pensé,penser,3,Suggérée,3,Dégoût,1.585,1.0,10,Colère,2.4464,0.9464,0.8614,True,0.3,lemma_dilutes_surface,high
stanza,tomber,tomber,4,Suggérée,4,Tristesse,0.8113,0.8113,7,Tristesse,1.6645,0.8322,0.8532,False,0.5714,lemma_dilutes_surface,high
stanza,arrêté,arrêter,5,Comportementale,5,Colère,0.7219,0.7219,22,Colère,1.5633,0.7816,0.8414,False,0.2273,lemma_dilutes_surface,high
spacy,pensé,penser,3,Suggérée,3,Dégoût,1.585,1.0,9,Colère,2.4194,0.9359,0.8344,True,0.3333,lemma_dilutes_surface,high
spacy,main,main,3,Comportementale,3,Joie,0.9183,0.9183,8,Joie,1.75,0.875,0.8317,False,0.375,lemma_dilutes_surface,high
stanza,main,main,3,Comportementale,3,Joie,0.9183,0.9183,8,Joie,1.75,0.875,0.8317,False,0.375,lemma_dilutes_surface,high
spacy,perdu,perdu,5,Suggérée,12,Tristesse,1.5511,0.7755,5,Tristesse,0.7219,0.7219,-0.8292,False,1.0,lemma_reveals_family,high
spacy,voler,voler,3,Suggérée,3,Colère,1.585,1.0,8,Colère,2.4056,0.9306,0.8206,False,0.375,lemma_dilutes_surface,high
stanza,battu,battre,4,Suggérée,4,Joie,1.5,0.9464,13,Colère,2.3158,0.8959,0.8158,True,0.3077,lemma_dilutes_surface,high
spacy,crie,crier,1,Montrée,4,Colère,1.5,0.9464,19,Peur,2.3135,0.8241,0.8135,True,0.0526,lemma_dilutes_surface,high
stanza,dommage,dommage,3,Suggérée,3,Tristesse,-0.0,0.0,4,Tristesse,0.8113,0.8113,0.8113,False,0.75,lemma_dilutes_surface,high
stanza,amusant,amuser,2,Comportementale,8,Joie,0.8113,0.8113,37,Joie,-0.0,0.0,-0.8113,False,0.0541,lemma_reveals_family,high
stanza,animaux,animal,3,Suggérée,3,Peur,-0.0,0.0,4,Peur,0.8113,0.8113,0.8113,False,0.75,lemma_dilutes_surface,high
stanza,accident,accident,3,Suggérée,3,Peur,-0.0,0.0,4,Peur,0.8113,0.8113,0.8113,False,0.75,lemma_dilutes_surface,high
stanza,reçu,recevoir,6,Suggérée,6,Fierté,1.0,1.0,8,Fierté,1.8113,0.9056,0.8113,False,0.75,lemma_dilutes_surface,high
spacy,dommage,dommage,3,Suggérée,3,Tristesse,-0.0,0.0,4,Tristesse,0.8113,0.8113,0.8113,False,0.75,lemma_dilutes_surface,high
spacy,accident,accident,3,Suggérée,3,Peur,-0.0,0.0,4,Peur,0.8113,0.8113,0.8113,False,0.75,lemma_dilutes_surface,high
spacy,tiré,tirer,3,Suggérée,3,Peur,-0.0,0.0,4,Peur,0.8113,0.8113,0.8113,False,0.75,lemma_dilutes_surface,high
spacy,reçu,recevoir,6,Suggérée,6,Fierté,1.0,1.0,8,Fierté,1.8113,0.9056,0.8113,False,0.75,lemma_dilutes_surface,high
spacy,animaux,animal,3,Suggérée,3,Peur,-0.0,0.0,4,Peur,0.8113,0.8113,0.8113,False,0.75,lemma_dilutes_surface,high
spacy,drole,drole,3,Désignée,4,Joie,0.8113,0.8113,3,Joie,-0.0,0.0,-0.8113,False,1.0,lemma_reveals_family,high
spacy,mis,mettre,5,Comportementale,5,Tristesse,0.971,0.971,16,Colère,1.7806,0.8903,0.8096,True,0.3125,lemma_dilutes_surface,high
stanza,morts,mort,7,Suggérée,8,Tristesse,1.2988,0.8194,28,Tristesse,2.1017,0.7487,0.8029,False,0.25,lemma_dilutes_surface,high
spacy,morts,mort,7,Suggérée,8,Tristesse,1.2988,0.8194,28,Tristesse,2.1017,0.7487,0.8029,False,0.25,lemma_dilutes_surface,high
stanza,mis,mettre,5,Comportementale,5,Tristesse,0.971,0.971,18,Colère,1.7652,0.8826,0.7942,True,0.2778,lemma_dilutes_surface,high
stanza,vécue,vivre,4,Suggérée,4,Tristesse,1.5,0.9464,13,Tristesse,2.2878,0.885,0.7878,False,0.3077,lemma_dilutes_surface,high
stanza,vivent,vivre,4,Suggérée,4,Tristesse,1.5,0.9464,13,Tristesse,2.2878,0.885,0.7878,False,0.3077,lemma_dilutes_surface,high
stanza,sent,sentir,4,Suggérée,4,Joie,1.5,0.9464,12,Joie,2.2842,0.8836,0.7842,False,0.3333,lemma_dilutes_surface,high
spacy,vécue,vivre,4,Suggérée,4,Tristesse,1.5,0.9464,12,Tristesse,2.2842,0.8836,0.7842,False,0.3333,lemma_dilutes_surface,high
spacy,vivent,vivre,4,Suggérée,4,Tristesse,1.5,0.9464,12,Tristesse,2.2842,0.8836,0.7842,False,0.3333,lemma_dilutes_surface,high
spacy,bonne,bon,14,Suggérée,14,Joie,0.9464,0.5971,43,Joie,1.7293,0.616,0.7829,False,0.3256,lemma_dilutes_surface,high
stanza,bonne,bon,14,Suggérée,14,Joie,0.9464,0.5971,43,Joie,1.7293,0.616,0.7829,False,0.3256,lemma_dilutes_surface,high
stanza,coups,coup,11,Suggérée,11,Peur,1.5726,0.9922,19,Colère,2.3546,0.9109,0.782,True,0.5789,lemma_dilutes_surface,high
spacy,coups,coup,11,Suggérée,11,Peur,1.5726,0.9922,19,Colère,2.3546,0.9109,0.782,True,0.5789,lemma_dilutes_surface,high
spacy,jours,jour,4,Suggérée,4,Joie,1.5,0.9464,9,Joie,2.281,0.8824,0.781,False,0.4444,lemma_dilutes_surface,high
stanza,jours,jour,4,Suggérée,4,Joie,1.5,0.9464,9,Joie,2.281,0.8824,0.781,False,0.4444,lemma_dilutes_surface,high
spacy,tendues,tendre,6,Suggérée,6,Colère,-0.0,0.0,13,Colère,0.7732,0.4879,0.7732,False,0.4615,lemma_dilutes_surface,high
stanza,crie,crier,4,Comportementale,4,Colère,1.5,0.9464,22,Peur,2.2713,0.8091,0.7713,True,0.1818,lemma_dilutes_surface,high
spacy,attendre,attendre,3,Suggérée,3,Joie,0.9183,0.9183,10,Surprise,1.6855,0.8427,0.7672,True,0.3,lemma_dilutes_surface,high
stanza,choquée,choquer,3,Désignée,3,Surprise,0.9183,0.9183,45,Surprise,1.6815,0.8407,0.7632,False,0.0667,lemma_dilutes_surface,high
spacy,grande,grand,8,Suggérée,8,Joie,1.75,0.875,25,Joie,2.5125,0.895,0.7625,False,0.32,lemma_dilutes_surface,high
stanza,grande,grand,8,Suggérée,8,Joie,1.75,0.875,25,Joie,2.5125,0.895,0.7625,False,0.32,lemma_dilutes_surface,high
stanza,quel,quel,3,Montrée,3,Joie,0.9183,0.9183,7,Joie,1.6645,0.8322,0.7462,False,0.4286,lemma_dilutes_surface,high
spacy,choquée,choquer,3,Désignée,3,Surprise,0.9183,0.9183,50,Surprise,1.6617,0.8309,0.7434,False,0.06,lemma_dilutes_surface,high
spacy,rigole,rigol,4,Comportementale,5,Joie,0.7219,0.7219,4,Joie,-0.0,0.0,-0.7219,False,1.0,lemma_reveals_family,high
spacy,effondrée,effondrer,1,Désignée,3,Peur,1.585,1.0,7,Peur,0.8631,0.8631,-0.7219,False,0.1429,lemma_reveals_family,high
stanza,pauvre,pauvre,5,Montrée,5,Tristesse,0.7219,0.7219,11,Tristesse,1.4354,0.9056,0.7135,False,0.4545,lemma_dilutes_surface,high
spacy,pauvre,pauvre,5,Montrée,5,Tristesse,0.7219,0.7219,11,Tristesse,1.4354,0.9056,0.7135,False,0.4545,lemma_dilutes_surface,high
stanza,choqués,choquer,5,Désignée,5,Surprise,0.971,0.971,45,Surprise,1.6815,0.8407,0.7105,False,0.1111,lemma_dilutes_surface,high
spacy,pris,prendre,7,Suggérée,7,Peur,1.3788,0.8699,22,Peur,2.0876,0.8076,0.7088,False,0.3182,lemma_dilutes_surface,high
stanza,pris,prendre,7,Suggérée,7,Peur,1.3788,0.8699,22,Peur,2.0876,0.8076,0.7088,False,0.3182,lemma_dilutes_surface,high
stanza,senti,sentir,3,Comportementale,3,Peur,1.585,1.0,12,Joie,2.2842,0.8836,0.6992,True,0.25,lemma_dilutes_surface,high
spacy,choqués,choquer,5,Désignée,5,Surprise,0.971,0.971,50,Surprise,1.6617,0.8309,0.6907,False,0.1,lemma_dilutes_surface,high
spacy,choquant,choquer,5,Désignée,5,Colère,0.971,0.971,50,Surprise,1.6617,0.8309,0.6907,True,0.1,lemma_dilutes_surface,high
spacy,quelle,quel,1,Montrée,4,Joie,1.5,0.9464,4,Joie,0.8113,0.8113,-0.6887,False,0.25,lemma_reveals_family,high
stanza,moquer,moquer,5,Suggérée,5,Embarras,1.371,0.865,9,Embarras,2.0588,0.8867,0.6878,False,0.5556,lemma_dilutes_surface,high
spacy,oeil,oeil,6,Suggérée,6,Colère,1.7925,0.8962,16,Surprise,2.4772,0.8824,0.6847,True,0.375,lemma_dilutes_surface,high
stanza,amusante,amusant,3,Désignée,3,Joie,-0.0,0.0,11,Joie,0.684,0.684,0.684,False,0.2727,lemma_dilutes_surface,high
stanza,new,new,5,Suggérée,5,Joie,0.7219,0.7219,8,Joie,1.4056,0.8869,0.6837,False,0.625,lemma_dilutes_surface,high
stanza,harcelé,harceler,4,Suggérée,4,Tristesse,0.8113,0.8113,14,Tristesse,1.4838,0.7419,0.6725,False,0.2857,lemma_dilutes_surface,high
stanza,raconte,raconter,2,Montrée,3,Colère,1.585,1.0,3,Colère,0.9183,0.9183,-0.6667,False,0.6667,lemma_reveals_family,high
stanza,danseurs,danseur,3,Suggérée,3,Admiration,1.585,1.0,6,Joie,2.2516,0.9697,0.6666,True,0.5,lemma_dilutes_surface,high
stanza,danseur,danseur,3,Suggérée,3,Joie,1.585,1.0,6,Joie,2.2516,0.9697,0.6666,False,0.5,lemma_dilutes_surface,high
spacy,new,new,5,Suggérée,5,Joie,0.7219,0.7219,7,Joie,1.3788,0.8699,0.6569,False,0.7143,lemma_dilutes_surface,high
spacy,perdrait,perdre,3,Suggérée,3,Tristesse,0.9183,0.9183,14,Tristesse,1.5744,0.7872,0.6561,False,0.2143,lemma_dilutes_surface,high
spacy,perdre,perdre,3,Suggérée,3,Peur,0.9183,0.9183,14,Tristesse,1.5744,0.7872,0.6561,True,0.2143,lemma_dilutes_surface,high
stanza,devenir,devenir,4,Suggérée,4,Joie,1.5,0.9464,8,Joie,2.1556,0.9284,0.6556,False,0.5,lemma_dilutes_surface,high
spacy,rendre,rendre,5,Comportementale,5,Tristesse,0.971,0.971,12,Tristesse,1.6258,0.8129,0.6548,False,0.4167,lemma_dilutes_surface,high
stanza,encourager,encourager,4,Suggérée,4,Joie,-0.0,0.0,6,Joie,0.65,0.65,0.65,False,0.6667,lemma_dilutes_surface,high
spacy,déçus,décevoir,4,Désignée,4,Tristesse,-0.0,0.0,6,Tristesse,0.65,0.65,0.65,False,0.6667,lemma_dilutes_surface,high
spacy,oppose,opposer,1,Comportementale,3,Colère,-0.0,0.0,6,Colère,0.65,0.65,0.65,False,0.1667,lemma_dilutes_surface,high
spacy,encourager,encourager,4,Suggérée,4,Joie,-0.0,0.0,6,Joie,0.65,0.65,0.65,False,0.6667,lemma_dilutes_surface,high
stanza,arrete,arreter,5,Montrée,7,Colère,-0.0,0.0,6,Colère,0.65,0.65,0.65,False,0.8333,lemma_dilutes_surface,high
stanza,revendique,revendiquer,3,Comportementale,3,Colère,-0.0,0.0,6,Colère,0.65,0.65,0.65,False,0.5,lemma_dilutes_surface,high
stanza,oeil,œil,6,Suggérée,6,Colère,1.7925,0.8962,17,Colère,2.4419,0.8698,0.6494,False,0.3529,lemma_dilutes_surface,high
spacy,regarde,regarder,4,Montrée,5,Colère,0.7219,0.7219,5,Colère,1.371,0.865,0.6491,False,0.8,lemma_dilutes_surface,high
spacy,embête,embêter,1,Montrée,6,Tristesse,1.4591,0.9206,4,Tristesse,0.8113,0.8113,-0.6478,False,0.25,lemma_reveals_family,high
stanza,agression,agression,3,Suggérée,3,Tristesse,0.9183,0.9183,8,Peur,1.5613,0.9851,0.643,True,0.375,lemma_dilutes_surface,high
spacy,agression,agression,3,Suggérée,3,Tristesse,0.9183,0.9183,8,Peur,1.5613,0.9851,0.643,True,0.375,lemma_dilutes_surface,high
spacy,remporter,remporter,8,Suggérée,8,Joie,0.8113,0.8113,29,Joie,1.4542,0.7271,0.6429,False,0.2759,lemma_dilutes_surface,high
stanza,fières,fier,3,Désignée,3,Fierté,0.9183,0.9183,21,Fierté,0.2762,0.2762,-0.6421,False,0.1429,lemma_reveals_family,high
spacy,souriant,sourire,4,Comportementale,4,Joie,-0.0,0.0,17,Joie,0.6402,0.4039,0.6402,False,0.2353,lemma_dilutes_surface,high
stanza,pleurer,pleurer,19,Comportementale,19,Tristesse,0.4855,0.4855,45,Tristesse,1.1245,0.7095,0.639,False,0.4222,lemma_dilutes_surface,high
spacy,pleurer,pleurer,19,Comportementale,19,Tristesse,0.4855,0.4855,45,Tristesse,1.1245,0.7095,0.639,False,0.4222,lemma_dilutes_surface,high
spacy,enfermés,enfermer,3,Suggérée,3,Peur,0.9183,0.9183,7,Tristesse,1.5567,0.9821,0.6384,True,0.4286,lemma_dilutes_surface,high
spacy,enfermer,enfermer,3,Comportementale,3,Tristesse,0.9183,0.9183,7,Tristesse,1.5567,0.9821,0.6384,False,0.4286,lemma_dilutes_surface,high
stanza,enfermés,enfermer,3,Suggérée,3,Peur,0.9183,0.9183,7,Tristesse,1.5567,0.9821,0.6384,True,0.4286,lemma_dilutes_surface,high
stanza,enfermer,enfermer,3,Comportementale,3,Tristesse,0.9183,0.9183,7,Tristesse,1.5567,0.9821,0.6384,False,0.4286,lemma_dilutes_surface,high
stanza,remporter,remporter,8,Suggérée,8,Joie,0.8113,0.8113,31,Joie,1.4474,0.7237,0.6361,False,0.2581,lemma_dilutes_surface,high
spacy,faudrait,falloir,4,Suggérée,4,Tristesse,1.5,0.9464,17,Colère,2.1334,0.9188,0.6334,True,0.2353,lemma_dilutes_surface,high
stanza,faudrait,falloir,4,Suggérée,4,Tristesse,1.5,0.9464,17,Colère,2.1334,0.9188,0.6334,True,0.2353,lemma_dilutes_surface,high
stanza,attendre,attendre,3,Suggérée,3,Joie,0.9183,0.9183,12,Surprise,1.5511,0.7755,0.6328,True,0.25,lemma_dilutes_surface,high
spacy,prendre,prendre,6,Suggérée,6,Colère,1.4591,0.9206,22,Peur,2.0876,0.8076,0.6285,True,0.2727,lemma_dilutes_surface,high
stanza,prendre,prendre,6,Suggérée,6,Colère,1.4591,0.9206,22,Peur,2.0876,0.8076,0.6285,True,0.2727,lemma_dilutes_surface,high
spacy,amusante,amusant,3,Désignée,3,Joie,-0.0,0.0,13,Joie,0.6194,0.6194,0.6194,False,0.2308,lemma_dilutes_surface,high
spacy,arrêter,arrêter,9,Montrée,9,Colère,0.9864,0.6224,21,Colère,1.6005,0.8002,0.6141,False,0.4286,lemma_dilutes_surface,high
spacy,fous,fou,6,Suggérée,6,Peur,1.7925,0.8962,23,Colère,2.4013,0.8553,0.6088,True,0.2609,lemma_dilutes_surface,high
spacy,filles,fille,3,Suggérée,3,Tristesse,0.9183,0.9183,5,Surprise,1.5219,0.9602,0.6036,True,0.6,lemma_dilutes_surface,high
stanza,filles,fille,3,Suggérée,3,Tristesse,0.9183,0.9183,5,Surprise,1.5219,0.9602,0.6036,True,0.6,lemma_dilutes_surface,high
spacy,entrez,entrer,2,Suggérée,3,Joie,0.9183,0.9183,5,Colère,1.5219,0.9602,0.6036,True,0.4,lemma_dilutes_surface,high
stanza,impose,imposer,5,Suggérée,5,Colère,1.5219,0.9602,11,Peur,2.1181,0.9122,0.5962,True,0.4545,lemma_dilutes_surface,high
