backend,surface_lower,lemma,surface_lemma_count,dominant_mode,surface_count,surface_dominant_emotion,surface_entropy,surface_normalized_entropy,lemma_count,lemma_dominant_emotion,lemma_entropy,lemma_normalized_entropy,delta_entropy,dominant_emotion_changed,surface_share_in_lemma,granularity_class
spacy,pauvre,pauvre,5,Montrée,5,Tristesse,0.7219,0.7219,11,Tristesse,1.4354,0.9056,0.7135,False,0.4545,lemma_dilutes_surface
spacy,pris,prendre,7,Suggérée,7,Peur,1.3788,0.8699,22,Peur,2.0876,0.8076,0.7088,False,0.3182,lemma_dilutes_surface
spacy,choqués,choquer,5,Désignée,5,Surprise,0.971,0.971,50,Surprise,1.6617,0.8309,0.6907,False,0.1,lemma_dilutes_surface
spacy,choquant,choquer,5,Désignée,5,Colère,0.971,0.971,50,Surprise,1.6617,0.8309,0.6907,True,0.1,lemma_dilutes_surface
spacy,quelle,quel,1,Montrée,4,Joie,1.5,0.9464,4,Joie,0.8113,0.8113,-0.6887,False,0.25,lemma_reveals_family
spacy,oeil,oeil,6,Suggérée,6,Colère,1.7925,0.8962,16,Surprise,2.4772,0.8824,0.6847,True,0.375,lemma_dilutes_surface
spacy,new,new,5,Suggérée,5,Joie,0.7219,0.7219,7,Joie,1.3788,0.8699,0.6569,False,0.7143,lemma_dilutes_surface
spacy,perdre,perdre,3,Suggérée,3,Peur,0.9183,0.9183,14,Tristesse,1.5744,0.7872,0.6561,True,0.2143,lemma_dilutes_surface
spacy,perdrait,perdre,3,Suggérée,3,Tristesse,0.9183,0.9183,14,Tristesse,1.5744,0.7872,0.6561,False,0.2143,lemma_dilutes_surface
spacy,rendre,rendre,5,Comportementale,5,Tristesse,0.971,0.971,12,Tristesse,1.6258,0.8129,0.6548,False,0.4167,lemma_dilutes_surface
spacy,encourager,encourager,4,Suggérée,4,Joie,-0.0,0.0,6,Joie,0.65,0.65,0.65,False,0.6667,lemma_dilutes_surface
spacy,déçus,décevoir,4,Désignée,4,Tristesse,-0.0,0.0,6,Tristesse,0.65,0.65,0.65,False,0.6667,lemma_dilutes_surface
spacy,oppose,opposer,1,Comportementale,3,Colère,-0.0,0.0,6,Colère,0.65,0.65,0.65,False,0.1667,lemma_dilutes_surface
spacy,regarde,regarder,4,Montrée,5,Colère,0.7219,0.7219,5,Colère,1.371,0.865,0.6491,False,0.8,lemma_dilutes_surface
spacy,embête,embêter,1,Montrée,6,Tristesse,1.4591,0.9206,4,Tristesse,0.8113,0.8113,-0.6478,False,0.25,lemma_reveals_family
spacy,agression,agression,3,Suggérée,3,Tristesse,0.9183,0.9183,8,Peur,1.5613,0.9851,0.643,True,0.375,lemma_dilutes_surface
spacy,remporter,remporter,8,Suggérée,8,Joie,0.8113,0.8113,29,Joie,1.4542,0.7271,0.6429,False,0.2759,lemma_dilutes_surface
spacy,souriant,sourire,4,Comportementale,4,Joie,-0.0,0.0,17,Joie,0.6402,0.4039,0.6402,False,0.2353,lemma_dilutes_surface
spacy,pleurer,pleurer,19,Comportementale,19,Tristesse,0.4855,0.4855,45,Tristesse,1.1245,0.7095,0.639,False,0.4222,lemma_dilutes_surface
spacy,enfermés,enfermer,3,Suggérée,3,Peur,0.9183,0.9183,7,Tristesse,1.5567,0.9821,0.6384,True,0.4286,lemma_dilutes_surface
spacy,enfermer,enfermer,3,Comportementale,3,Tristesse,0.9183,0.9183,7,Tristesse,1.5567,0.9821,0.6384,False,0.4286,lemma_dilutes_surface
spacy,faudrait,falloir,4,Suggérée,4,Tristesse,1.5,0.9464,17,Colère,2.1334,0.9188,0.6334,True,0.2353,lemma_dilutes_surface
spacy,prendre,prendre,6,Suggérée,6,Colère,1.4591,0.9206,22,Peur,2.0876,0.8076,0.6285,True,0.2727,lemma_dilutes_surface
spacy,amusante,amusant,3,Désignée,3,Joie,-0.0,0.0,13,Joie,0.6194,0.6194,0.6194,False,0.2308,lemma_dilutes_surface
spacy,arrêter,arrêter,9,Montrée,9,Colère,0.9864,0.6224,21,Colère,1.6005,0.8002,0.6141,False,0.4286,lemma_dilutes_surface
spacy,fous,fou,6,Suggérée,6,Peur,1.7925,0.8962,23,Colère,2.4013,0.8553,0.6088,True,0.2609,lemma_dilutes_surface
spacy,entrez,entrer,2,Suggérée,3,Joie,0.9183,0.9183,5,Colère,1.5219,0.9602,0.6036,True,0.4,lemma_dilutes_surface
spacy,filles,fille,3,Suggérée,3,Tristesse,0.9183,0.9183,5,Surprise,1.5219,0.9602,0.6036,True,0.6,lemma_dilutes_surface
spacy,subissent,subir,3,Désignée,3,Tristesse,-0.0,0.0,7,Tristesse,0.5917,0.5917,0.5917,False,0.4286,lemma_dilutes_surface
spacy,critique,critique,8,Comportementale,8,Colère,-0.0,0.0,14,Colère,0.5917,0.5917,0.5917,False,0.5714,lemma_dilutes_surface
spacy,voir,voir,11,Suggérée,11,Colère,2.1181,0.9122,29,Colère,2.7091,0.8546,0.591,False,0.3793,lemma_dilutes_surface
spacy,danseuse,danseur,4,Suggérée,5,Joie,1.371,0.865,10,Joie,1.961,0.8445,0.59,False,0.4,lemma_dilutes_surface
spacy,point,point,4,Montrée,4,Surprise,1.0,1.0,6,Colère,1.585,1.0,0.585,True,0.6667,lemma_dilutes_surface
spacy,baissant,baisser,3,Comportementale,3,Peur,0.9183,0.9183,4,Peur,1.5,0.9464,0.5817,False,0.75,lemma_dilutes_surface
spacy,rate,rat,3,Suggérée,3,Tristesse,0.9183,0.9183,4,Tristesse,1.5,0.9464,0.5817,False,0.75,lemma_dilutes_surface
spacy,torturés,torturer,3,Suggérée,3,Peur,0.9183,0.9183,4,Peur,1.5,0.9464,0.5817,False,0.75,lemma_dilutes_surface
spacy,ose,ose,3,Suggérée,4,Embarras,1.5,0.9464,3,Embarras,0.9183,0.9183,-0.5817,False,1.0,lemma_reveals_family
spacy,sais,savoir,1,Suggérée,5,Colère,1.9219,0.961,10,Colère,1.3568,0.6784,-0.5651,False,0.1,lemma_reveals_family
spacy,quitté,quitter,4,Comportementale,5,Peur,1.371,0.865,16,Peur,0.8113,0.8113,-0.5597,False,0.25,lemma_reveals_family
spacy,place,place,4,Comportementale,4,Colère,0.8113,0.8113,5,Colère,1.371,0.865,0.5597,False,0.8,lemma_dilutes_surface
spacy,mots,mot,4,Suggérée,4,Joie,1.5,0.9464,9,Joie,2.0588,0.8867,0.5588,False,0.4444,lemma_dilutes_surface
spacy,sent,sentir,3,Suggérée,4,Joie,1.5,0.9464,9,Joie,2.0588,0.8867,0.5588,False,0.3333,lemma_dilutes_surface
spacy,battre,battre,2,Suggérée,5,Colère,1.9219,0.961,5,Colère,1.371,0.865,-0.5509,False,0.4,lemma_reveals_family
spacy,arrive,arriver,4,Montrée,4,Surprise,1.5,0.9464,10,Surprise,2.0464,0.8814,0.5464,False,0.4,lemma_dilutes_surface
spacy,tranquille,tranquille,7,Montrée,7,Colère,-0.0,0.0,8,Colère,0.5436,0.5436,0.5436,False,0.875,lemma_dilutes_surface
spacy,enfuir,enfuir,3,Comportementale,3,Peur,-0.0,0.0,8,Peur,0.5436,0.5436,0.5436,False,0.375,lemma_dilutes_surface
spacy,mauvais,mauvais,7,Suggérée,7,Colère,1.1488,0.7248,21,Colère,1.6909,0.8455,0.5421,False,0.3333,lemma_dilutes_surface
spacy,demander,demander,3,Suggérée,3,Colère,0.9183,0.9183,6,Colère,1.4591,0.9206,0.5408,False,0.5,lemma_dilutes_surface
spacy,mot,mot,5,Comportementale,5,Joie,1.5219,0.9602,9,Joie,2.0588,0.8867,0.5369,False,0.5556,lemma_dilutes_surface
spacy,remportée,remporter,3,Suggérée,3,Joie,0.9183,0.9183,29,Joie,1.4542,0.7271,0.5359,False,0.1034,lemma_dilutes_surface
spacy,fou,fou,14,Montrée,14,Colère,1.8703,0.8055,23,Colère,2.4013,0.8553,0.531,False,0.6087,lemma_dilutes_surface
spacy,menacent,menacer,7,Désignée,7,Peur,-0.0,0.0,67,Peur,0.5276,0.5276,0.5276,False,0.1045,lemma_dilutes_surface
spacy,menaçait,menacer,4,Désignée,4,Peur,-0.0,0.0,67,Peur,0.5276,0.5276,0.5276,False,0.0597,lemma_dilutes_surface
spacy,menacée,menacer,3,Désignée,3,Peur,-0.0,0.0,67,Peur,0.5276,0.5276,0.5276,False,0.0448,lemma_dilutes_surface
spacy,menacés,menacer,6,Désignée,6,Peur,-0.0,0.0,67,Peur,0.5276,0.5276,0.5276,False,0.0896,lemma_dilutes_surface
spacy,heure,heure,4,Suggérée,4,Joie,1.0,1.0,5,Joie,1.5219,0.9602,0.5219,False,0.8,lemma_dilutes_surface
spacy,aucune,aucun,4,Suggérée,4,Colère,1.0,1.0,5,Colère,1.5219,0.9602,0.5219,False,0.8,lemma_dilutes_surface
spacy,piles,pile,8,Montrée,8,Peur,1.0,1.0,10,Peur,1.5219,0.9602,0.5219,False,0.8,lemma_dilutes_surface
spacy,yeux,oeil,10,Comportementale,10,Surprise,1.961,0.8445,16,Surprise,2.4772,0.8824,0.5162,False,0.625,lemma_dilutes_surface
spacy,grandes,grand,4,Suggérée,4,Colère,2.0,1.0,25,Joie,2.5125,0.895,0.5125,True,0.16,lemma_dilutes_surface
spacy,difficiles,difficile,10,Suggérée,10,Peur,1.5219,0.9602,27,Tristesse,2.0265,0.7839,0.5046,True,0.3704,lemma_dilutes_surface
spacy,gueule,gueul,5,Montrée,9,Colère,0.5033,0.5033,5,Colère,-0.0,0.0,-0.5033,False,1.0,lemma_reveals_family
spacy,laissez,laisser,2,Suggérée,3,Colère,0.9183,0.9183,12,Colère,1.4183,0.7091,0.5,False,0.1667,lemma_dilutes_surface
spacy,violent,violent,1,Suggérée,9,Peur,0.5033,0.5033,13,Peur,0.9913,0.6254,0.488,False,0.0769,lemma_dilutes_surface
spacy,violent,violer,8,Suggérée,9,Peur,0.5033,0.5033,9,Peur,0.9864,0.6224,0.4831,False,0.8889,lemma_dilutes_surface
spacy,senti,sentir,3,Comportementale,3,Peur,1.585,1.0,9,Joie,2.0588,0.8867,0.4738,True,0.3333,lemma_dilutes_surface
spacy,affrontés,affronter,3,Comportementale,3,Colère,-0.0,0.0,10,Colère,0.469,0.469,0.469,False,0.3,lemma_dilutes_surface
spacy,vs,v,9,Montrée,9,Colère,-0.0,0.0,10,Colère,0.469,0.469,0.469,False,0.9,backend_artifact
spacy,incroyable,incroyable,7,Désignée,7,Surprise,-0.0,0.0,10,Surprise,0.469,0.469,0.469,False,0.7,lemma_dilutes_surface
spacy,affrontent,affronter,3,Comportementale,3,Colère,-0.0,0.0,10,Colère,0.469,0.469,0.469,False,0.3,lemma_dilutes_surface
spacy,records,record,5,Suggérée,5,Fierté,1.5219,0.9602,21,Fierté,1.9814,0.9907,0.4595,False,0.2381,lemma_dilutes_surface
spacy,jouer,jouer,5,Montrée,5,Colère,1.5219,0.9602,9,Joie,1.9749,0.9875,0.453,True,0.5556,lemma_dilutes_surface
spacy,gronder,gronder,3,Suggérée,3,Colère,0.9183,0.9183,5,Colère,1.371,0.865,0.4527,False,0.6,lemma_dilutes_surface
spacy,mariés,marier,1,Suggérée,3,Tristesse,0.9183,0.9183,5,Joie,1.371,0.865,0.4527,True,0.2,lemma_dilutes_surface
spacy,harceler,harceler,3,Suggérée,3,Colère,0.9183,0.9183,10,Tristesse,1.371,0.865,0.4527,True,0.3,lemma_dilutes_surface
spacy,graves,grave,7,Suggérée,7,Colère,1.3788,0.8699,36,Peur,1.8307,0.7884,0.4519,True,0.1944,lemma_dilutes_surface
spacy,affronter,affronter,3,Comportementale,3,Colère,0.9183,0.9183,10,Colère,0.469,0.469,-0.4493,False,0.3,lemma_reveals_family
spacy,incroyables,incroyable,3,Désignée,3,Surprise,0.9183,0.9183,10,Surprise,0.469,0.469,-0.4493,False,0.3,lemma_reveals_family
spacy,impressionné,impressionner,4,Désignée,4,Admiration,1.5,0.9464,23,Surprise,1.946,0.8381,0.446,True,0.1739,lemma_dilutes_surface
spacy,marrantes,marrant,3,Désignée,3,Joie,-0.0,0.0,11,Joie,0.4395,0.4395,0.4395,False,0.2727,lemma_dilutes_surface
spacy,aimerais,aimer,4,Montrée,5,Colère,1.9219,0.961,19,Tristesse,2.3598,0.9129,0.4379,True,0.2105,lemma_dilutes_surface
spacy,respecter,respecter,5,Suggérée,5,Colère,0.7219,0.7219,10,Colère,1.1568,0.7298,0.4349,False,0.5,lemma_dilutes_surface
spacy,renvoyé,renvoyer,5,Suggérée,5,Tristesse,0.971,0.971,8,Peur,1.4056,0.8869,0.4346,True,0.625,lemma_dilutes_surface
spacy,croit,croire,1,Montrée,6,Colère,1.4591,0.9206,13,Surprise,1.892,0.8148,0.4329,True,0.0769,lemma_dilutes_surface
spacy,protestent,protester,4,Comportementale,4,Colère,-0.0,0.0,29,Colère,0.431,0.2719,0.431,False,0.1379,lemma_dilutes_surface
spacy,protester,protester,18,Comportementale,18,Colère,-0.0,0.0,29,Colère,0.431,0.2719,0.431,False,0.6207,lemma_dilutes_surface
spacy,partir,partir,5,Suggérée,5,Tristesse,0.7219,0.7219,7,Tristesse,1.1488,0.7248,0.4269,False,0.7143,lemma_dilutes_surface
spacy,belle,bel,5,Suggérée,5,Joie,0.7219,0.7219,7,Joie,1.1488,0.7248,0.4269,False,0.7143,lemma_dilutes_surface
spacy,prend,prendre,7,Suggérée,7,Colère,1.6645,0.8322,22,Peur,2.0876,0.8076,0.4231,True,0.3182,lemma_dilutes_surface
spacy,important,important,4,Suggérée,4,Fierté,1.5,0.9464,5,Fierté,1.9219,0.961,0.4219,False,0.8,lemma_dilutes_surface
spacy,battu,battu,4,Suggérée,4,Joie,1.5,0.9464,5,Joie,1.9219,0.961,0.4219,False,0.8,lemma_dilutes_surface
spacy,blague,blagu,5,Montrée,6,Colère,1.7925,0.8962,5,Colère,1.371,0.865,-0.4215,False,1.0,lemma_reveals_family
spacy,conflits,conflit,4,Suggérée,4,Colère,0.8113,0.8113,13,Colère,0.3912,0.3912,-0.4201,False,0.3077,lemma_reveals_family
spacy,devenir,devenir,4,Suggérée,4,Joie,1.5,0.9464,6,Joie,1.9183,0.9591,0.4183,False,0.6667,lemma_dilutes_surface
spacy,travailler,travailler,10,Comportementale,10,Colère,0.469,0.469,11,Colère,0.8659,0.5463,0.3969,False,0.9091,lemma_dilutes_surface
spacy,dur,dur,10,Suggérée,10,Tristesse,1.1568,0.7298,12,Tristesse,1.5511,0.7755,0.3943,False,0.8333,lemma_dilutes_surface
spacy,réussi,réussir,13,Suggérée,13,Joie,2.2578,0.9724,19,Joie,2.6498,0.9439,0.392,False,0.6842,lemma_dilutes_surface
spacy,cru,croire,4,Suggérée,4,Colère,1.5,0.9464,13,Surprise,1.892,0.8148,0.392,True,0.3077,lemma_dilutes_surface
spacy,conflit,conflit,9,Comportementale,9,Colère,-0.0,0.0,13,Colère,0.3912,0.3912,0.3912,False,0.6923,lemma_dilutes_surface
spacy,mere,mere,11,Montrée,11,Colère,-0.0,0.0,13,Colère,0.3912,0.3912,0.3912,False,0.8462,lemma_dilutes_surface
spacy,empêcher,empêcher,5,Suggérée,5,Joie,1.5219,0.9602,8,Peur,1.9056,0.9528,0.3837,True,0.625,lemma_dilutes_surface
spacy,danseurs,danseur,3,Suggérée,3,Admiration,1.585,1.0,10,Joie,1.961,0.8445,0.376,True,0.3,lemma_dilutes_surface
spacy,danseur,danseur,3,Suggérée,3,Joie,1.585,1.0,10,Joie,1.961,0.8445,0.376,False,0.3,lemma_dilutes_surface
spacy,riant,rire,3,Comportementale,3,Joie,-0.0,0.0,14,Joie,0.3712,0.3712,0.3712,False,0.2143,lemma_dilutes_surface
spacy,rit,rire,4,Comportementale,4,Joie,-0.0,0.0,14,Joie,0.3712,0.3712,0.3712,False,0.2857,lemma_dilutes_surface
spacy,insultent,insulter,3,Suggérée,3,Colère,1.585,1.0,23,Colère,1.2145,0.7663,-0.3705,False,0.1304,lemma_reveals_family
spacy,histoire,histoire,6,Suggérée,6,Fierté,1.585,1.0,7,Fierté,1.9502,0.9751,0.3652,False,0.8571,lemma_dilutes_surface
spacy,parle,parle,5,Montrée,8,Colère,2.1556,0.9284,6,Colère,1.7925,0.8962,-0.3631,False,0.8333,lemma_reveals_family
spacy,vivre,vivre,4,Suggérée,5,Colère,1.9219,0.961,12,Tristesse,2.2842,0.8836,0.3623,True,0.3333,lemma_dilutes_surface
spacy,premier,premier,4,Suggérée,4,Colère,2.0,1.0,19,Joie,2.3598,0.9129,0.3598,True,0.2105,lemma_dilutes_surface
spacy,aime,aimer,4,Suggérée,4,Colère,2.0,1.0,19,Tristesse,2.3598,0.9129,0.3598,True,0.2105,lemma_dilutes_surface
spacy,aimer,aimer,4,Suggérée,4,Colère,2.0,1.0,19,Tristesse,2.3598,0.9129,0.3598,True,0.2105,lemma_dilutes_surface
spacy,jour,jour,5,Suggérée,5,Joie,1.9219,0.961,9,Joie,2.281,0.8824,0.3591,False,0.5556,lemma_dilutes_surface
spacy,laisser,laisser,8,Suggérée,8,Colère,1.0613,0.6696,12,Colère,1.4183,0.7091,0.357,False,0.6667,lemma_dilutes_surface
spacy,tuer,tuer,7,Suggérée,7,Colère,1.3788,0.8699,30,Peur,1.7311,0.8656,0.3523,True,0.2333,lemma_dilutes_surface
spacy,grosse,gros,16,Montrée,16,Colère,1.1982,0.756,44,Colère,1.5492,0.6672,0.351,False,0.3636,lemma_dilutes_surface
spacy,porter,porter,5,Comportementale,5,Colère,1.9219,0.961,10,Colère,1.571,0.7855,-0.3509,False,0.5,lemma_reveals_family
spacy,drôles,drôle,5,Suggérée,5,Surprise,0.971,0.971,47,Surprise,1.3148,0.6574,0.3438,False,0.1064,lemma_dilutes_surface
spacy,suffit,suffire,6,Suggérée,7,Colère,1.1488,0.7248,8,Colère,0.8113,0.8113,-0.3375,False,0.75,lemma_reveals_family
spacy,refuse,refuser,9,Comportementale,9,Colère,-0.0,0.0,16,Colère,0.3373,0.3373,0.3373,False,0.5625,lemma_dilutes_surface
spacy,refusé,refuser,3,Comportementale,3,Colère,-0.0,0.0,16,Colère,0.3373,0.3373,0.3373,False,0.1875,lemma_dilutes_surface
spacy,battre,battr,3,Comportementale,5,Colère,1.9219,0.961,3,Embarras,1.585,1.0,-0.3369,True,1.0,lemma_reveals_family
spacy,prestigieuse,prestigieux,3,Suggérée,3,Admiration,1.585,1.0,6,Admiration,1.2516,0.7897,-0.3334,False,0.5,lemma_reveals_family
spacy,arraché,arracher,3,Suggérée,3,Colère,1.585,1.0,6,Colère,1.9183,0.9591,0.3333,False,0.5,lemma_dilutes_surface
spacy,mettre,mettre,7,Comportementale,7,Colère,1.4488,0.9141,16,Colère,1.7806,0.8903,0.3318,False,0.4375,lemma_dilutes_surface
spacy,réfugier,réfugier,7,Comportementale,7,Peur,0.5917,0.5917,10,Peur,0.9219,0.5817,0.3302,False,0.7,lemma_dilutes_surface
spacy,impressionnant,impressionner,11,Désignée,11,Surprise,1.6172,0.8086,23,Surprise,1.946,0.8381,0.3288,False,0.4783,lemma_dilutes_surface
