corpus,file_id,unit_id,type,start_idx,end_idx,text_span,mode,categorie1,categorie2,remarque
Albert_dataset,Albert1-agriculture_lait,a2_1614596271826,SitEmo,164,170,colère,Designee,Colere,Aucune,
Albert_dataset,Albert1-agriculture_lait,a2_1614596601944,SitEmo,258,302,ne leur achète pas le lait suffisamment cher,Suggeree,Colere,Aucune,
Albert_dataset,Albert1-agriculture_lait,a2_1614596824133,SitEmo,67,77,ont bloqué,Comportementale,Colere,Aucune,
Albert_dataset,Albert1-agriculture_lait,a2_1614597168886,SitEmo,1235,1247,de protester,Comportementale,Colere,Aucune,
Albert_dataset,Albert1-agriculture_lait,a2_1614597422615,SitEmo,3153,3167,pas acceptable,Suggeree,Colere,Aucune,
Albert_dataset,Albert1-agriculture_lait,a1_1614605876026,SitEmo,3253,3300,ne pas être suffisamment impliqué à leurs côtés,Suggeree,Colere,Aucune,
Albert_dataset,Albert1-agriculture_lait,a1_1614606179374,SitEmo,1301,1334,pour réclamer une hausse des prix,Comportementale,Colere,Aucune,
Albert_dataset,Albert1-agriculture_lait,a2_1618998351504,SitEmo,93,124,le siège de la société Lactalis,,,,
Albert_dataset,Albert1-agriculture_lait,a2_1618998527640,SitEmo,1248,1299,"en bloquant le siège de l’entreprise, situé à Laval",Comportementale,Colere,Aucune,
Albert_dataset,Albert1-agriculture_lait,a2_1614597551765,SitEmo,3225,3300,reprochaient au ministre de ne pas être suffisamment impliqué à leurs côtés,Comportementale,Colere,Aucune,
Albert_dataset,Albert1-un_an_sur_Mars,a2_1619002142923,SitEmo,1742,1751,étonnante,Designee,Surprise,Aucune,
Albert_dataset,Albert10-EtatsUnis,a2_1615464317521,SitEmo,504,516,ont protesté,Comportementale,Colere,Aucune,
Albert_dataset,Albert10-EtatsUnis,a2_1615464433237,SitEmo,540,645,accusée de discriminer les musulmans et de sous-entendre qu’ils sont tous potentiellement des terroristes,Suggeree,Colere,Aucune,
Albert_dataset,Albert10-EtatsUnis,a2_1615465680402,SitEmo,779,788,la colère,Designee,Colere,Aucune,
Albert_dataset,Albert10-EtatsUnis,a2_1615466169056,SitEmo,810,844,a jugé cette décision « ridicule »,Suggeree,Colere,Aucune,
Albert_dataset,Albert10-EtatsUnis,a2_1619691123984,SitEmo,551,645,discriminer les musulmans et de sous-entendre qu’ils sont tous potentiellement des terroristes,Suggeree,Colere,Aucune,
Albert_dataset,Albert10-Philippines,a2_1615468857481,SitEmo,621,644,dénoncent ces pratiques,Comportementale,Colere,Aucune,
Albert_dataset,Albert10-Yemen,a2_1615469886825,SitEmo,623,635,s’inquiètent,Designee,Peur,Aucune,
Albert_dataset,Albert10-Yemen,a2_1619173177084,SitEmo,59,76,une guerre civile,Comportementale,Colere,Aucune,
Albert_dataset,Albert10-Yemen,a2_1619173320110,SitEmo,649,702,"les habitants, qui commencent à manquer de nourriture",Suggeree,Peur,Aucune,
Albert_dataset,Albert10-Yemen,a2_1619692663792,SitEmo,48,76,au coeur d’une guerre civile,Suggeree,Peur,Aucune,
Albert_dataset,Albert10-ca_useules_souliers,a2_1615571317028,SitEmo,126,135,admirable,Designee,Admiration,Aucune,
Albert_dataset,Albert10-ca_useules_souliers,a2_1619102350871,SitEmo,435,446,cet exploit,Suggeree,Admiration,Aucune,
Albert_dataset,Albert10-ca_useules_souliers,a2_1619102449764,SitEmo,405,446,la deuxième femme à accomplir cet exploit,Suggeree,Joie,Fierte,
Albert_dataset,Albert10-guerre_double_peine_enfants,a2_1615466774397,SitEmo,2190,2201,ont dû fuir,Comportementale,Peur,Aucune,
Albert_dataset,Albert10-guerre_double_peine_enfants,a2_1615466958684,SitEmo,2377,2381,même,Montree,Tristesse,Aucune,
Albert_dataset,Albert10-guerre_double_peine_enfants,a2_1619168510075,SitEmo,517,541,beaucoup plus inquiétant,Designee,Peur,Aucune,
Albert_dataset,Albert10-guerre_double_peine_enfants,a2_1619171765894,SitEmo,738,774,sont kidnappés par des groupes armés,Suggeree,Peur,Aucune,
Albert_dataset,Albert10-guerre_double_peine_enfants,a2_1619171852292,SitEmo,2235,2292,trouver refuge dans une autre ville ou dans un autre pays,Comportementale,Peur,Aucune,
Albert_dataset,Albert10-guerre_double_peine_enfants,a2_1619691365203,SitEmo,300,304,sont,Suggeree,Peur,Aucune,
Albert_dataset,Albert10-guerre_double_peine_enfants,a2_1619691372553,SitEmo,310,339,enlevés par des groupes armés,,,,
Albert_dataset,Albert10-guerre_double_peine_enfants,a2_1619691510973,SitEmo,1682,1708,les écoles sont bombardées,Suggeree,Peur,Aucune,
Albert_dataset,Albert10-nouvelle_mascotte,a2_1619172014304,SitEmo,83,105,la nouvelle coqueluche,Designee,Admiration,Aucune,
Albert_dataset,Albert10-truc_de_wouf,a2_1615469693462,SitEmo,152,155,...,Montree,Surprise,Aucune,
Albert_dataset,Albert10-truc_de_wouf,a2_1615469752982,SitEmo,172,173,!,Montree,Surprise,Aucune,
Albert_dataset,Albert11_1917_la_Russie_entre_en_revolution,a2_1615471303207,SitEmo,239,250,des ravages,Suggeree,Tristesse,Aucune,
Albert_dataset,Albert11_1917_la_Russie_entre_en_revolution,a2_1615472084077,SitEmo,896,907,manifestent,Comportementale,Colere,Aucune,
Albert_dataset,Albert11_1917_la_Russie_entre_en_revolution,a2_1615472565595,SitEmo,1245,1262,le mécontentement,Designee,Colere,Aucune,
Albert_dataset,Albert11_1917_la_Russie_entre_en_revolution,a2_1615474388609,SitEmo,1345,1373,le mouvement de contestation,Suggeree,Colere,Aucune,
Albert_dataset,Albert11_1917_la_Russie_entre_en_revolution,a2_1615572485037,SitEmo,989,1003,les rejoignent,Comportementale,Colere,Aucune,
Albert_dataset,Albert11_1917_la_Russie_entre_en_revolution,a2_1619173573356,SitEmo,834,854,de nombreuses grèves,Comportementale,Colere,Aucune,
Albert_dataset,Albert11_1917_la_Russie_entre_en_revolution,a2_1619173604504,SitEmo,929,945,réclamer du pain,Comportementale,Colere,Aucune,
Albert_dataset,Albert11_1917_la_Russie_entre_en_revolution,a2_1619173643198,SitEmo,1017,1025,la grève,Comportementale,Colere,Aucune,
Albert_dataset,Albert11_Cure_de_jouvence,a2_1619173948243,SitEmo,452,461,la fierté,Designee,Fierte,Aucune,
Albert_dataset,Albert11_Facebook_outil_double_tranchant,a2_1621437691887,SitEmo,2906,2929,victimes de harcèlement,Suggeree,Peur,Tristesse,
Albert_dataset,Albert11_Facebook_outil_double_tranchant,a2_1621437754964,SitEmo,3105,3112,victime,Suggeree,Peur,Tristesse,
Albert_dataset,Albert11_Facebook_outil_double_tranchant,a2_1621437777774,SitEmo,3125,3144,de cyberharcèlement,,,,
Albert_dataset,Albert11_Facebook_outil_double_tranchant,a2_1621438048958,SitEmo,4272,4284,a été accusé,Comportementale,Colere,Aucune,
Albert_dataset,Albert11_Facebook_outil_double_tranchant,a2_1621438054359,SitEmo,4287,4391,avoir influencé l’élection présidentielle américaine en permettant à de fausses informations de circuler,Suggeree,Colere,Aucune,
Albert_dataset,Albert11_Inde,a2_1619699295860,SitEmo,611,660,les conséquences de cette marée noire s’annoncent,Suggeree,Peur,Aucune,
Albert_dataset,Albert11_Inde,a2_1619699305582,SitEmo,666,711,"catastrophiques, surtout pour l’environnement",,,,
Albert_dataset,Albert11_Jeux_olympiques_Paris_2024,a2_1617097924379,SitEmo,470,490,une grosse déception,Designee,Tristesse,Aucune,
Albert_dataset,Albert11_Jeux_olympiques_Paris_2024,a2_1619174515876,SitEmo,1007,1049,ne voulaient pas des JO dans leur capitale,Suggeree,Colere,Aucune,
Albert_dataset,Albert11_Jeux_olympiques_Paris_2024,a2_1619174571736,SitEmo,1069,1097,coûterait trop cher à l’État,Suggeree,Colere,Aucune,
Albert_dataset,Albert11_Jeux_olympiques_Paris_2024,a2_1619174680258,SitEmo,429,463,l’échec de la candidature de Paris,Suggeree,Tristesse,Aucune,
Albert_dataset,Albert11_Jeux_olympiques_Paris_2024,a2_1619699768946,SitEmo,2008,2023,une grande fête,Suggeree,Joie,Aucune,
Albert_dataset,Albert11_Le_malade_imaginaire,a2_1615813445127,SitEmo,288,291,...,Montree,Surprise,Aucune,
Albert_dataset,Albert11_Le_tombeau_de_Toutankhamon,a2_1619174923758,SitEmo,1957,1972,enthousiasmante,Designee,Joie,Aucune,
Albert_dataset,Albert11_Roumanie,a2_1615814629429,SitEmo,87,100,ont manifesté,Comportementale,Colere,Aucune,
Albert_dataset,Albert11_Roumanie,a2_1615814724351,SitEmo,158,196,reprochent à leur nouveau gouvernement,Comportementale,Colere,Aucune,
Albert_dataset,Albert11_Roumanie,a2_1615814890923,SitEmo,543,553,manifester,Comportementale,Colere,Aucune,
Albert_dataset,Albert11_Roumanie,a2_1615814941857,SitEmo,772,810,se rebeller contre son régime très dur,Comportementale,Colere,Aucune,
Albert_dataset,Albert11_Roumanie,a2_1619175045912,SitEmo,106,143,réclamer la démission du gouvernement,Comportementale,Colere,Aucune,
Albert_dataset,Albert11_Roumanie,a2_1619175248452,SitEmo,784,810,contre son régime très dur,Suggeree,Colere,Aucune,
Albert_dataset,Albert11_Roumanie,a2_1619604294773,SitEmo,235,376,d’avoir voté le 31 janvier des lois qui permettent à des hommes politiques d’échapper à la prison s’ils sont reconnus coupables de corruption,,,,
Albert_dataset,Albert11_Roumanie,a2_1619604310764,SitEmo,237,376,avoir voté le 31 janvier des lois qui permettent à des hommes politiques d’échapper à la prison s’ils sont reconnus coupables de corruption,Suggeree,Colere,Aucune,
Albert_dataset,Albert11_Somalie,a2_1615815161913,SitEmo,111,157,fêter la victoire de Mohamed Abdullahi Mohamed,Suggeree,Joie,Aucune,
Albert_dataset,Albert11_Somalie,a2_1615815360777,Autre,268,276,l’espoir,,,,
Albert_dataset,Albert11_Somalie,a2_1619175340403,SitEmo,77,105,sont descendus dans les rues,Comportementale,Joie,Aucune,
Albert_dataset,Albert11_Voleur_du_dimanche,a2_1621943477089,SitEmo,19,68,On pourrait croire qu’il s’agit d’un film comique,Montree,Surprise,Aucune,
Albert_dataset,Albert11_Voleur_du_dimanche,a2_1621943561002,SitEmo,303,306,...,Montree,Surprise,Aucune,
Albert_dataset,Albert11_Voleur_du_dimanche,a2_1621943585316,SitEmo,366,367,!,Montree,Surprise,Aucune,
Albert_dataset,Albert11_Voleur_du_dimanche,a2_1621943631790,SitEmo,441,448,effrayé,Designee,Peur,Aucune,
Albert_dataset,Albert11_Voleur_du_dimanche,a2_1621943652960,SitEmo,423,439,prendre la fuite,Comportementale,Peur,Aucune,
Albert_dataset,Albert11_Voleur_du_dimanche,a2_1621943718137,SitEmo,492,511,en ont tellement ri,Comportementale,Joie,Aucune,
Albert_dataset,Albert12_Accident_de_selfie,a2_1619181325512,SitEmo,521,530,maladroit,Suggeree,Embarras,Aucune,
Albert_dataset,Albert12_Bresil,a2_1615816686460,SitEmo,749,790,n’avait pas remporté le titre depuis 1984,Suggeree,Joie,Aucune,
Albert_dataset,Albert12_Bresil,a2_1619182878785,SitEmo,735,742,a gagné,Suggeree,Joie,Aucune,
Albert_dataset,Albert12_Bresil,a2_1619183079648,SitEmo,283,346,un char appartenant à une école de samba a percuté les tribunes,Suggeree,Peur,Surprise,
Albert_dataset,Albert12_Bresil,a2_1619183171984,SitEmo,452,495,la plateforme d’un char qui s’est effondrée,Suggeree,Peur,Surprise,
Albert_dataset,Albert12_Bresil,a2_1620046772942,SitEmo,73,156,"s’animent au rythme du carnaval, de ses chars gigantesques et des danseurs de samba",Suggeree,Joie,Aucune,
Albert_dataset,Albert12_Fashion_victim,a2_1615816918712,SitEmo,47,55,insolite,Designee,Surprise,Aucune,
Albert_dataset,Albert12_Infos_intox_distinguer_le_vrai_du_faux,a2_1619183824752,SitEmo,2713,2725,a été accusé,Comportementale,Colere,Aucune,
Albert_dataset,Albert12_Infos_intox_distinguer_le_vrai_du_faux,a2_1619183898336,SitEmo,2726,2823,d’avoir permis à de fausses informations de circuler pendant l’élection présidentielle américaine,Suggeree,Colere,Aucune,
Albert_dataset,Albert12_Infos_intox_distinguer_le_vrai_du_faux,a2_1621512414712,SitEmo,1250,1260,faire rire,Comportementale,Joie,Aucune,
Albert_dataset,Albert12_L_assassinat_de_Cesar,a2_1615818350269,SitEmo,1104,1112,inquiète,Designee,Peur,Aucune,
Albert_dataset,Albert12_L_assassinat_de_Cesar,a2_1615818608789,SitEmo,1253,1257,peur,Designee,Peur,Aucune,
Albert_dataset,Albert12_L_assassinat_de_Cesar,a2_1619184183108,SitEmo,1813,1832,reçoit les honneurs,Comportementale,Admiration,Aucune,
Albert_dataset,Albert12_Mayotte,a2_1620743394117,SitEmo,134,199,"à une forte sécheresse, ce qui a entraîné une grave pénurie d’eau",,,,
Albert_dataset,Albert12_Mayotte,a2_1620743403626,SitEmo,105,114,fait face,Suggeree,Peur,Aucune,
Albert_dataset,Albert12_Soudan_du_Sud,a2_1615822576100,SitEmo,716,765,"fuir la famine, la guerre civile et la sécheresse",Comportementale,Peur,Aucune,
Albert_dataset,Albert12_Soudan_du_Sud,a2_1615822707263,SitEmo,668,710,tentent de trouver refuge au Soudan voisin,Suggeree,Peur,Aucune,
Albert_dataset,Albert12_Soudan_du_Sud,a2_1616422349510,SitEmo,89,117,en proie à une guerre civile,Suggeree,Colere,Tristesse,
Albert_dataset,Albert12_Soudan_du_Sud,a2_1619187632924,SitEmo,805,813,auraient,Comportementale,Peur,Aucune,
Albert_dataset,Albert12_Soudan_du_Sud,a2_1619187635382,SitEmo,819,833,quitté le pays,,,,
Albert_dataset,Albert12_Soudan_du_Sud,a2_1619187731510,SitEmo,313,349,risquent de souffrir de malnutrition,Suggeree,Peur,Aucune,
Albert_dataset,Albert12_Soudan_du_Sud,a2_1620743797416,SitEmo,156,184,ont déclaré l’état de famine,Suggeree,Peur,Aucune,
Albert_dataset,Albert13_2_avril_la_naissance_de_Charlemagne,a2_1615891083059,SitEmo,1283,1304,l’accuse d’immoralité,Comportementale,Colere,Aucune,
Albert_dataset,Albert13_2_avril_la_naissance_de_Charlemagne,a2_1615891193003,SitEmo,1818,1832,se disputeront,Comportementale,Colere,Aucune,
Albert_dataset,Albert13_2_avril_la_naissance_de_Charlemagne,a2_1619600243019,SitEmo,1294,1304,immoralité,Suggeree,Colere,Aucune,
Albert_dataset,Albert13_2_avril_la_naissance_de_Charlemagne,a2_1619600289217,SitEmo,1839,1864,la succession de l’empire,,,,
Albert_dataset,Albert13_Coree_du_Sud,a2_1616422797696,SitEmo,317,411,avoir forcé des entreprises à donner de l’argent à des fondations qui soutenaient sa politique,Suggeree,Colere,Aucune,
Albert_dataset,Albert13_Coree_du_Sud,a2_1615892157054,SitEmo,306,411,l’accuse d’avoir forcé des entreprises à donner de l’argent à des fondations qui soutenaient sa politique,Comportementale,Colere,Aucune,
Albert_dataset,Albert13_Diesel_Renault_dans_le_viseur_de_la_justice,a2_1615975942622,SitEmo,405,417,a été accusé,Comportementale,Colere,Aucune,
Albert_dataset,Albert13_Diesel_Renault_dans_le_viseur_de_la_justice,a2_1615976114460,SitEmo,933,961,estiment avoir été escroqués,Suggeree,Colere,Aucune,
Albert_dataset,Albert13_Diesel_Renault_dans_le_viseur_de_la_justice,a2_1615976248901,SitEmo,1951,1958,furieux,Designee,Colere,Aucune,
Albert_dataset,Albert13_Diesel_Renault_dans_le_viseur_de_la_justice,a2_1615978117358,SitEmo,1937,1943,choqué,Designee,Surprise,Aucune,
Albert_dataset,Albert13_Diesel_Renault_dans_le_viseur_de_la_justice,a2_1616423033292,SitEmo,175,222,avoir truqué les moteurs de ses voitures diesel,Suggeree,Colere,Aucune,
Albert_dataset,Albert13_Diesel_Renault_dans_le_viseur_de_la_justice,a2_1616423117010,SitEmo,420,517,avoir installé sur ses voitures diesel des logiciels spécialement conçus pour falsifier les tests,Suggeree,Colere,Aucune,
Albert_dataset,Albert13_Diesel_Renault_dans_le_viseur_de_la_justice,a2_1619188562192,SitEmo,1706,1712,dément,Comportementale,Colere,Aucune,
Albert_dataset,Albert13_Diesel_Renault_dans_le_viseur_de_la_justice,a2_1615975736826,SitEmo,160,222,lui reproche d’avoir truqué les moteurs de ses voitures diesel,Comportementale,Colere,Aucune,
Albert_dataset,Albert13_Impression_3D_quand_la_science_rejoint_l_art,a2_1615978249712,SitEmo,139,157,très particulières,Designee,Surprise,Aucune,
Albert_dataset,Albert13_Italie,a2_1619704232006,SitEmo,350,369,une explosion s’est,Suggeree,Peur,Surprise,
Albert_dataset,Albert13_Italie,a2_1619704234948,SitEmo,380,388,produite,,,,
Albert_dataset,Albert13_Poule-over,a2_1615893509697,SitEmo,126,129,...,Montree,Surprise,Aucune,
Albert_dataset,Albert13_Poule-over,a2_1615893600936,SitEmo,177,178,!,Montree,Surprise,Aucune,
Albert_dataset,Albert13_Vertige_interdit,a2_1615894028160,SitEmo,73,87,la performance,Suggeree,Admiration,Aucune,
Albert_dataset,Albert13_Vertige_interdit,a2_1619189099128,SitEmo,281,293,s’est imposé,Suggeree,Fierte,Joie,
Albert_dataset,Albert13_Vertige_interdit,a2_1619189155724,SitEmo,303,337,n’a pas réussi à battre son record,Suggeree,Tristesse,Aucune,
Albert_dataset,Albert14_A_bicyblette,a2_1615903962342,SitEmo,213,216,...,Montree,Surprise,Aucune,
Albert_dataset,Albert14_A_bicyblette,a2_1615904037984,SitEmo,561,564,...,Montree,Surprise,Aucune,
Albert_dataset,Albert14_D_ou_viennent_la_gauche_et_la_droite,a2_1615904582901,SitEmo,497,507,se révolte,Comportementale,Colere,Aucune,
Albert_dataset,Albert14_D_ou_viennent_la_gauche_et_la_droite,a2_1619189806690,SitEmo,711,725,revendications,Comportementale,Colere,Aucune,
Albert_dataset,Albert14_Etats-Unis,a2_1616081215910,SitEmo,841,852,la surprise,Designee,Surprise,Aucune,
Albert_dataset,Albert14_Etats-Unis,a2_1619189952113,SitEmo,810,821,la victoire,Suggeree,Joie,Aucune,
Albert_dataset,Albert14_Etats-Unis,a2_1619190003416,SitEmo,610,622,une victoire,Suggeree,Joie,Aucune,
Albert_dataset,Albert14_Grande-Bretagne,a2_1615905172091,SitEmo,174,182,s’étonne,Designee,Surprise,Aucune,
Albert_dataset,Albert14_Russie,a2_1619190616453,SitEmo,509,535,les relations sont tendues,Suggeree,Colere,Aucune,
Albert_dataset,Albert14_Une_campagne_noyee_sous_les_affaires,a2_1616081445871,SitEmo,196,211,ont été accusés,Comportementale,Colere,Aucune,
Albert_dataset,Albert14_Une_campagne_noyee_sous_les_affaires,a2_1619190759602,SitEmo,229,265,avoir détourné de l’argent de l’État,Suggeree,Colere,Aucune,
Albert_dataset,Albert14_Une_campagne_noyee_sous_les_affaires,a2_1619190888344,SitEmo,412,483,être malhonnêtes et d’avoir volé de l’argent dans les caisses de l’État,Suggeree,Colere,Aucune,
Albert_dataset,Albert14_Une_campagne_noyee_sous_les_affaires,a2_1619191279638,SitEmo,2005,2075,avoir commandé les enquêtes à la justice pour nuire à leur candidature,Suggeree,Colere,Aucune,
Albert_dataset,Albert14_Une_campagne_noyee_sous_les_affaires,a2_1619191318034,SitEmo,2231,2246,aux accusations,Comportementale,Colere,Aucune,
Albert_dataset,Albert14_Une_campagne_noyee_sous_les_affaires,a2_1619190876530,SitEmo,397,409,sont accusés,Comportementale,Colere,Aucune,
Albert_dataset,Albert14_Une_campagne_noyee_sous_les_affaires,a2_1619601561332,SitEmo,2405,2457,avoir déclaré moins d’argent qu’il n’en a réellement,Suggeree,Colere,Aucune,
Albert_dataset,Albert14_Une_campagne_noyee_sous_les_affaires,a2_1616081630829,SitEmo,2372,2457,ont reproché à Emmanuel Macron d’avoir déclaré moins d’argent qu’il n’en a réellement,Comportementale,Colere,Aucune,
Albert_dataset,Albert14_Une_campagne_noyee_sous_les_affaires,a2_1619191235906,SitEmo,1963,2075,accusent le président François Hollande d’avoir commandé les enquêtes à la justice pour nuire à leur candidature,Comportementale,Colere,Aucune,
Albert_dataset,Albert14_Yes_we_can,a2_1615907028866,SitEmo,55,75,de drôles d’affiches,Suggeree,Surprise,Aucune,
Albert_dataset,Albert15_Afrique_du_Sud,a2_1615908551763,SitEmo,119,150,n’étaient pas d’accord avec lui,Suggeree,Colere,Aucune,
Albert_dataset,Albert15_Afrique_du_Sud,a2_1615908704025,SitEmo,67,114,a décidé de renvoyer plusieurs de ses ministres,Suggeree,Colere,Aucune,
Albert_dataset,Albert15_Afrique_du_Sud,a2_1615908773453,SitEmo,327,337,en conflit,Designee,Colere,Aucune,
Albert_dataset,Albert15_Afrique_du_Sud,a2_1615909173673,SitEmo,583,592,la colère,Designee,Colere,Aucune,
Albert_dataset,Albert15_Afrique_du_Sud,a2_1615909353860,SitEmo,716,740,une grande manifestation,Comportementale,Colere,Aucune,
Albert_dataset,Albert15_Afrique_du_Sud,a2_1619191719634,SitEmo,654,676,vouloir tout contrôler,Suggeree,Colere,Aucune,
Albert_dataset,Albert15_Afrique_du_Sud,a2_1619602110400,SitEmo,377,387,corruption,Suggeree,Colere,Aucune,
Albert_dataset,Albert15_Afrique_du_Sud,a2_1615908935731,SitEmo,363,387,l’accusait de corruption,Comportementale,Colere,Aucune,
Albert_dataset,Albert15_Afrique_du_Sud,a2_1615909269351,SitEmo,629,676,accusent le président de vouloir tout contrôler,Comportementale,Colere,Aucune,
Albert_dataset,Albert15_Castor_vacher,a2_1615909576308,SitEmo,164,167,...,Montree,Surprise,Aucune,
Albert_dataset,Albert15_Castor_vacher,a2_1615909644336,SitEmo,184,185,!,Montree,Surprise,Aucune,
Albert_dataset,Albert15_Castor_vacher,a2_1615909718966,SitEmo,87,100,très curieuse,Designee,Surprise,Aucune,
Albert_dataset,Albert15_Castor_vacher,a2_1619191877092,Autre,393,402,curiosité,,,,
Albert_dataset,Albert15_Etat-Unis_et_Coree_du_Nord_le_bras_de_fer,a2_1621439219333,SitEmo,237,245,inquiète,Designee,Peur,Aucune,
Albert_dataset,Albert15_Etat-Unis_et_Coree_du_Nord_le_bras_de_fer,a2_1621439293272,SitEmo,1013,1024,en menaçant,Designee,Peur,Aucune,
Albert_dataset,Albert15_Etat-Unis_et_Coree_du_Nord_le_bras_de_fer,a2_1621439382163,SitEmo,1446,1475,n’entend pas se laisser faire,Suggeree,Colere,Aucune,
Albert_dataset,Albert15_Etat-Unis_et_Coree_du_Nord_le_bras_de_fer,a2_1621439444150,SitEmo,1583,1591,a menacé,Comportementale,Colere,Aucune,
Albert_dataset,Albert15_Etat-Unis_et_Coree_du_Nord_le_bras_de_fer,a2_1621439479649,SitEmo,1583,1591,a menacé,Designee,Peur,Aucune,
Albert_dataset,Albert15_Etat-Unis_et_Coree_du_Nord_le_bras_de_fer,a2_1621439532115,SitEmo,1609,1663,d’envoyer des bateaux militaires au large de ses côtes,,,,
Albert_dataset,Albert15_Etat-Unis_et_Coree_du_Nord_le_bras_de_fer,a2_1621439605173,SitEmo,2483,2492,redoutent,Designee,Peur,Aucune,
Albert_dataset,Albert15_Etat-Unis_et_Coree_du_Nord_le_bras_de_fer,a2_1621439614125,SitEmo,2513,2552,le déclenchement d’une guerre nucléaire,Suggeree,Peur,Aucune,
Albert_dataset,Albert15_Etat-Unis_et_Coree_du_Nord_le_bras_de_fer,a2_1621439721707,SitEmo,2513,2552,le déclenchement d’une guerre nucléaire,,,,
Albert_dataset,Albert15_Fresque_chocolatee,a2_1619192830316,SitEmo,138,153,le record battu,Suggeree,Fierte,Joie,
Albert_dataset,Albert15_Guyane_un_mois_apres_la_colere_s_apaise,a2_1615910324926,SitEmo,116,136,se sont mis en grève,Comportementale,Colere,Aucune,
Albert_dataset,Albert15_Guyane_un_mois_apres_la_colere_s_apaise,a2_1615910421204,SitEmo,140,199,ont régulièrement manifesté contre le gouvernement français,Comportementale,Colere,Aucune,
Albert_dataset,Albert15_Guyane_un_mois_apres_la_colere_s_apaise,a2_1615910921984,SitEmo,1151,1231,avait réalisé un reportage dénonçant les conditions de détention des prisonniers,Suggeree,Colere,Aucune,
Albert_dataset,Albert15_Guyane_un_mois_apres_la_colere_s_apaise,a2_1615911023481,SitEmo,1514,1523,en colère,Designee,Colere,Aucune,
Albert_dataset,Albert15_Guyane_un_mois_apres_la_colere_s_apaise,a2_1615912195081,SitEmo,2120,2130,mécontents,Designee,Colere,Aucune,
Albert_dataset,Albert15_Guyane_un_mois_apres_la_colere_s_apaise,a2_1615912269431,SitEmo,2151,2169,protester ensemble,Comportementale,Colere,Aucune,
Albert_dataset,Albert15_Guyane_un_mois_apres_la_colere_s_apaise,a2_1615912925280,SitEmo,3848,3851,ont,Comportementale,Colere,Aucune,
Albert_dataset,Albert15_Guyane_un_mois_apres_la_colere_s_apaise,a2_1615913046568,SitEmo,4495,4536,s’étaient soulevés contre le gouvernement,Comportementale,Colere,Aucune,
Albert_dataset,Albert15_Guyane_un_mois_apres_la_colere_s_apaise,a2_1615913130390,SitEmo,4585,4601,avaient protesté,Comportementale,Colere,Aucune,
